head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L23.H9,40,-0.03212890625,0.95,0.025,-0.5560546875,1,0.35254403948783875,0.0223403716692701
L11.H11,40,-0.02825775146484375,0.85,0.35,-0.3763671875,1,0.27288538217544556,0.04779191673733294
L10.H9,40,-0.02742919921875,0.95,0.125,-0.370703125,1,0.34656394720077516,0.027931870566681026
L11.H13,40,-0.026970672607421874,0.9,0.15,0.0630859375,1,0.011005574464797973,0.042701976466923953
L14.H5,40,-0.025460052490234374,0.7,0.425,-0.253515625,2,0.1336467981338501,0.06723196000093594
L16.H15,40,-0.022049713134765624,0.75,0.4,-0.1384765625,2,0.06854597330093384,0.057122603594325486
L13.H8,40,-0.0213714599609375,0.85,0.2,-0.232421875,1,0.16708995699882506,0.013088188087567686
L11.H14,40,-0.01908111572265625,0.875,0.175,-0.290625,1,0.1540694296360016,0.01782773619052023
L13.H2,40,-0.01883087158203125,0.75,0.2,-0.1876953125,1,0.16373354196548462,0.03283706356305629
L17.H2,40,-0.0154876708984375,0.975,0.0,-0.09296875,1,0.10697959065437317,0.0064802964741829784
L16.H8,40,-0.0153411865234375,0.925,0.025,-0.1365234375,1,0.1210598886013031,0.004767858621198684
L21.H10,40,-0.013311767578125,0.975,0.075,-0.1423828125,1,0.11246517300605774,0.0030251893665990794
L9.H13,40,-0.0125396728515625,0.775,0.1,0.051953125,1,0.018006527423858644,0.010135918494779617
L12.H8,40,-0.0115478515625,0.75,0.25,-0.2638671875,1,0.22509986758232117,0.03606349495239556
L5.H3,40,-0.01072540283203125,0.7,0.2,-0.233984375,1,0.1123935341835022,0.01945118948351592
L23.H10,40,-0.01040802001953125,0.925,0.025,-0.1458984375,1,0.09440764784812927,0.0019049321272177622
L19.H13,40,-0.01036376953125,0.9,0.05,-0.045703125,1,0.08026137948036194,0.005221098873880692
L13.H4,40,-0.0099151611328125,0.9,0.025,-0.08359375,1,0.07461556196212768,0.0031675010221078994
L14.H3,40,-0.0093597412109375,0.9,0.05,-0.0642578125,1,0.058413189649581906,0.003283235436538234
L8.H2,40,-0.00919189453125,0.725,0.325,-0.162109375,1,0.008433538675308227,0.0248016876517795
L14.H7,40,-0.0083953857421875,0.625,0.175,-0.0544921875,1,0.01187782883644104,0.019681793125346302
L11.H1,40,-0.00833587646484375,0.7,0.15,-0.144140625,1,0.13736572265625,0.009028299804776907
L10.H0,40,-0.0079742431640625,0.85,0.075,-0.0919921875,1,0.07974947690963745,0.0019877871964126825
L5.H11,40,-0.00700225830078125,0.675,0.1,-0.048046875,1,0.07402604222297668,0.005906346678966656
L17.H6,40,-0.00693511962890625,0.675,0.125,-0.0046875,1,0.026816582679748534,0.01784006777452305
L10.H14,40,-0.00654296875,0.9,0.0,-0.0640625,1,0.06432490944862365,0.0023252882761880755
L8.H8,40,-0.00619354248046875,0.85,0.05,-0.0908203125,1,0.07106287479400634,0.0015803064627107233
L19.H14,40,-0.0059173583984375,0.75,0.075,0.0640625,1,-0.013695621490478515,0.006855633459053934
L4.H15,40,-0.0058319091796875,0.65,0.025,-0.013671875,1,0.018547135591506957,0.002853641827823594
L12.H12,40,-0.0055999755859375,0.9,0.025,-0.05546875,1,0.05763465166091919,0.001114537061948795
L12.H7,40,-0.00556182861328125,0.75,0.25,-0.030078125,1,-0.08559707403182984,0.02253603609278798
L0.H2,40,-0.0055389404296875,0.85,0.0,-0.044921875,1,0.04498627185821533,0.0011289619811577722
L23.H8,40,-0.005010986328125,1.0,0.025,-0.1212890625,1,0.0612163782119751,0.0005164383263036143
L17.H7,40,-0.00489959716796875,0.725,0.05,-0.053515625,1,0.05450193881988526,0.0019079407618846744
L19.H2,40,-0.00485992431640625,0.8,0.0,-0.0921875,1,0.06833500266075135,0.0021068382877274415
L10.H3,40,-0.0047821044921875,0.775,0.05,0.0392578125,1,0.007781457901000976,0.0030604408500948923
L14.H8,40,-0.00455474853515625,0.625,0.025,-0.0701171875,1,0.07976241111755371,0.0039327942708041515
L9.H12,40,-0.00413970947265625,0.7,0.3,-0.1021484375,1,0.04633991122245788,0.016781259223353117
L6.H15,40,-0.00395355224609375,0.8,0.05,-0.0482421875,1,0.04544551372528076,0.001255939448310528
L22.H2,40,-0.0038543701171875,0.75,0.025,-0.04921875,1,0.055119842290878296,0.0007832296920241788
L11.H8,40,-0.00381011962890625,0.9,0.025,-0.05078125,1,0.04172395467758179,0.0005277049807773437
L13.H9,40,-0.00378875732421875,0.775,0.05,-0.0548828125,1,0.044022732973098756,0.003099762159399688
L23.H12,40,-0.00377197265625,0.9,0.025,-0.1291015625,1,0.056309401988983154,0.0004573946469463408
L10.H1,40,-0.0037353515625,0.625,0.0,-0.0484375,1,0.03712911605834961,0.0009623427424230613
L23.H11,40,-0.00372772216796875,0.825,0.025,-0.0708984375,1,0.04151045083999634,0.0003275180119089782
L13.H13,40,-0.0037200927734375,0.725,0.05,-0.06171875,1,0.05481247305870056,0.0021089882269734518
