head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L16.H2,56,-0.05452837262834821,0.8214285714285714,0.017857142857142856,-0.26157924107142855,1,0.20346034158553397,0.05911292223858514
L12.H8,56,-0.04741886683872768,0.75,0.14285714285714285,-0.33970424107142855,1,0.129903038165399,0.051316313412306566
L11.H1,56,-0.03315952845982143,0.7142857142857143,0.07142857142857142,-0.22502790178571427,1,0.1409906686416694,0.041078575392020866
L11.H11,56,-0.03169032505580357,0.7142857142857143,0.05357142857142857,-0.16657366071428573,1,0.09222580066749028,0.033362731620270224
L14.H5,56,-0.028965541294642856,0.7321428571428571,0.03571428571428571,-0.1669921875,1,0.11285863603864398,0.023398765296276127
L23.H9,56,-0.027239118303571428,0.875,0.07142857142857142,-0.5961216517857143,1,0.19585725186126574,0.01006370288502824
L15.H7,56,-0.02277374267578125,0.5714285714285714,0.03571428571428571,-0.06263950892857142,1,0.0667157673410007,0.012905789566242934
L16.H15,56,-0.018103463309151784,0.44642857142857145,0.07142857142857142,-0.0390625,1,0.048890850373676846,0.03708775307833483
L14.H7,56,-0.016673496791294644,0.625,0.017857142857142856,-0.11495535714285714,1,0.07019342588526863,0.017092999029305896
L13.H2,56,-0.016398838588169644,0.7678571428571429,0.0,-0.09291294642857142,1,0.03602172753640583,0.013588798257322716
L12.H3,56,-0.015973772321428572,0.8035714285714286,0.017857142857142856,-0.13253348214285715,1,0.06266162757362638,0.007821394486070079
L22.H2,56,-0.013395036969866072,0.8214285714285714,0.017857142857142856,-0.17061941964285715,1,0.06285898440650531,0.0031824351556549247
L12.H7,56,-0.011890956333705358,0.6964285714285714,0.03571428571428571,-0.10198102678571429,1,0.05274156268153872,0.010462216221120408
L11.H14,56,-0.011792864118303572,0.7142857142857143,0.03571428571428571,-0.16755022321428573,1,0.08466657889740807,0.011431443966492745
L10.H5,56,-0.011684962681361608,0.5714285714285714,0.05357142857142857,-0.0703125,1,0.0396424372281347,0.0069563333849406005
L15.H6,56,-0.010792323521205358,0.5892857142857143,0.05357142857142857,-0.005161830357142857,1,0.03431692027619907,0.01237421555353129
L23.H13,56,-0.010532924107142858,0.8392857142857143,0.017857142857142856,-0.16448102678571427,1,0.06906237133911677,0.0025019486700849874
L16.H8,56,-0.009057181222098214,0.7857142857142857,0.03571428571428571,-0.09165736607142858,1,0.05342466118080275,0.0028182314116358092
L14.H3,56,-0.008826119559151786,0.8035714285714286,0.017857142857142856,-0.07240513392857142,1,0.04332048712032182,0.002799170506217966
L14.H1,56,-0.008795601981026786,0.5892857142857143,0.03571428571428571,-0.03892299107142857,1,0.02369311185819762,0.0024070749676476616
L13.H8,56,-0.008152553013392858,0.7678571428571429,0.0,-0.10086495535714286,1,0.038791097700595856,0.0020985434878509424
L11.H4,56,-0.007625034877232143,0.875,0.0,-0.05426897321428571,1,0.036347614867346625,0.0009262210714950925
L8.H7,56,-0.007417951311383929,0.6428571428571429,0.0,-0.04631696428571429,1,0.03757451847195625,0.001487238438390445
