head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,16,-0.2744712829589844,1.0,0.3125,-1.853515625,2,1.674171268939972,0.4013761216774583
L12.H8,16,-0.22378158569335938,1.0,0.125,-1.4384765625,1,1.4306815266609192,0.22739781672134995
L15.H7,16,-0.13976669311523438,1.0,0.0625,-0.87353515625,1,0.9080126136541367,0.13704812387004495
L9.H15,16,-0.13030624389648438,1.0,0.0,-0.857421875,1,0.8641120195388794,0.08398396731354296
L16.H6,16,-0.12104034423828125,1.0,0.0625,-0.77099609375,1,0.8089973032474518,0.06519137613940984
L8.H7,16,-0.0841522216796875,1.0,0.0625,-0.56103515625,1,0.6232802867889404,0.04218667675741017
L14.H4,16,-0.08263397216796875,1.0,0.0625,-0.52392578125,1,0.5400253236293793,0.032466161414049566
L5.H9,16,-0.06793975830078125,0.8125,0.125,-0.40283203125,1,0.19384032487869263,0.058223573258146644
L4.H15,16,-0.06653594970703125,1.0,0.0625,-0.353515625,1,0.3319549113512039,0.023043143504764885
L10.H1,16,-0.05921173095703125,1.0,0.0625,-0.30908203125,1,0.15290290117263794,0.03301291982643306
L17.H6,16,-0.0557098388671875,0.9375,0.0,-0.38720703125,1,0.45404714345932007,0.0464570494950749
L14.H5,16,-0.05193328857421875,1.0,0.0,-0.31640625,1,0.36170539259910583,0.015632332128006965
L14.H7,16,-0.05104827880859375,0.9375,0.0,-0.3037109375,1,0.3289257287979126,0.02136506518581882
L9.H2,16,-0.0456390380859375,0.8125,0.0,-0.2431640625,1,0.291029691696167,0.011554537268239073
L11.H3,16,-0.0450592041015625,0.875,0.0,-0.28076171875,1,0.2882469594478607,0.01528086289181374
L9.H11,16,-0.04486083984375,1.0,0.0625,-0.3095703125,1,0.3074217587709427,0.010158753080759197
L7.H2,16,-0.04158782958984375,0.9375,0.125,-0.18408203125,1,0.07749757170677185,0.021913844509981573
L11.H1,16,-0.03638458251953125,0.8125,0.0,-0.228515625,1,0.2520766109228134,0.011979228933341801
L13.H9,16,-0.035125732421875,0.9375,0.0,-0.20166015625,1,0.2146691530942917,0.0091538492415566
L17.H2,16,-0.0346832275390625,1.0,0.0,-0.158203125,1,0.18630172312259674,0.009582383063388988
L23.H9,16,-0.03379058837890625,0.875,0.0625,-0.41845703125,1,0.2233448028564453,0.006895492275361903
L15.H9,16,-0.0337371826171875,0.6875,0.0,-0.1591796875,1,0.18603189289569855,0.01960960240148779
L5.H3,16,-0.03333282470703125,0.8125,0.0,-0.24169921875,1,0.2258734256029129,0.012376542581478134
L9.H7,16,-0.0330963134765625,1.0,0.0,-0.1396484375,1,0.1719050109386444,0.008835913380607963
L6.H6,16,-0.033050537109375,0.9375,0.0,-0.1982421875,1,0.2127729207277298,0.00716345282853581
L7.H15,16,-0.03256988525390625,1.0,0.0,-0.2119140625,1,0.23329484462738037,0.006934035875019617
L22.H2,16,-0.0296478271484375,1.0,0.0,-0.18798828125,1,0.16708990931510925,0.0059937063306279015
L0.H2,16,-0.02904510498046875,0.9375,0.0,-0.11962890625,1,0.15415427088737488,0.008150674868375063
L13.H5,16,-0.02881622314453125,0.9375,0.0,-0.2177734375,1,0.2325384020805359,0.009333838475868106
L9.H1,16,-0.0287628173828125,1.0,0.0,-0.17236328125,1,0.1869085729122162,0.003850394452456385
L3.H2,16,-0.02698516845703125,0.9375,0.0,-0.16455078125,1,0.17560391128063202,0.003743715802556835
