head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,25,-0.230457763671875,1.0,0.36,-1.625625,2,1.3106794929504395,0.3358955457806587
L12.H8,25,-0.194482421875,1.0,0.24,-1.271875,1,1.1581490898132325,0.17736942678689957
L9.H15,25,-0.11857421875,0.96,0.04,-0.7640625,1,0.7281466197967529,0.07418799512088299
L16.H6,25,-0.1097265625,1.0,0.0,-0.7378125,1,0.7269404220581055,0.05755446396768093
L15.H7,25,-0.08970947265625,0.84,0.04,-0.5603125,1,0.5770959091186524,0.11194865845143795
L14.H4,25,-0.079609375,1.0,0.0,-0.493125,1,0.47406797409057616,0.02998961992561817
L8.H7,25,-0.0724755859375,1.0,0.0,-0.5034375,1,0.5183912897109986,0.03561332080513239
L5.H9,25,-0.06160400390625,0.84,0.08,-0.35625,1,0.11936439514160156,0.055072611197829247
L4.H15,25,-0.0547998046875,1.0,0.04,-0.27875,1,0.23429937839508055,0.01914678132161498
L14.H5,25,-0.0527978515625,0.92,0.0,-0.318125,1,0.3351669120788574,0.01623061186634004
L10.H1,25,-0.0478662109375,1.0,0.08,-0.2303125,1,0.08749767303466797,0.029070911966264247
L16.H2,25,-0.0461962890625,0.8,0.08,-0.2278125,1,0.19393412590026857,0.025960533479228616
L11.H1,25,-0.0456396484375,0.96,0.0,-0.2728125,1,0.2790743064880371,0.013936128122732044
L14.H7,25,-0.041953125,0.96,0.0,-0.2425,1,0.23186726570129396,0.014707507491111755
L17.H6,25,-0.039775390625,0.88,0.0,-0.31875,1,0.32065589427948,0.0431117282807827
L9.H11,25,-0.039716796875,1.0,0.0,-0.2715625,1,0.2585711860656738,0.008765967041254043
L11.H3,25,-0.0361328125,0.92,0.0,-0.236875,1,0.23300524711608886,0.013756275288760661
L9.H2,25,-0.036083984375,0.96,0.0,-0.1834375,1,0.1794348907470703,0.009667018298059701
L23.H9,25,-0.0359814453125,0.92,0.0,-0.43875,1,0.24399352073669434,0.008758796406909823
L18.H9,25,-0.034267578125,0.72,0.0,-0.1903125,1,0.1746273469924927,0.019975972968386487
L7.H15,25,-0.032314453125,0.92,0.0,-0.2046875,1,0.20782445430755614,0.0068747597374022
L9.H1,25,-0.0307763671875,1.0,0.0,-0.1759375,1,0.18092204093933106,0.0040449318196624515
L22.H2,25,-0.0296337890625,1.0,0.0,-0.1878125,1,0.16655108451843262,0.0047977345529943705
L5.H3,25,-0.02896484375,0.72,0.0,-0.1959375,1,0.155522403717041,0.012062884205952286
L7.H2,25,-0.0288671875,0.84,0.04,-0.116875,1,0.025050334930419922,0.017703154236078263
L4.H14,25,-0.0271728515625,0.92,0.0,-0.178125,1,0.20324511528015138,0.005378640508279204
L0.H2,25,-0.0271142578125,0.92,0.0,-0.0953125,1,0.1306692886352539,0.0071757141686975955
L6.H6,25,-0.0268896484375,0.88,0.0,-0.1546875,1,0.1490248394012451,0.005566981360316276
L12.H9,25,-0.0252587890625,1.0,0.0,-0.18625,1,0.16944870471954346,0.004027763712219894
L9.H7,25,-0.02513671875,0.96,0.0,-0.098125,1,0.11735360622406006,0.007384481141343713
L3.H2,25,-0.0242236328125,1.0,0.0,-0.1475,1,0.1434627914428711,0.0029484202689491214
L13.H5,25,-0.0236376953125,0.92,0.0,-0.1778125,1,0.1780283832550049,0.007098865387961268
L15.H3,25,-0.0234130859375,0.72,0.0,-0.1153125,1,0.10736896514892579,0.01141424101195298
L17.H7,25,-0.0203271484375,0.84,0.0,-0.1040625,1,0.1200600528717041,0.006010818695649504
L10.H10,25,-0.0188916015625,0.88,0.0,-0.1265625,1,0.16948265075683594,0.004955354663543403
L9.H14,25,-0.018837890625,0.96,0.0,-0.1428125,1,0.13315767288208008,0.002284305416978896
L5.H8,25,-0.018759765625,0.84,0.0,-0.12625,1,0.11411685943603515,0.003290614951401949
L3.H10,25,-0.0181494140625,1.0,0.0,-0.0915625,1,0.08774131298065185,0.0018335847510024905
L17.H2,25,-0.01814453125,0.92,0.0,-0.05875,1,0.0915674352645874,0.005733093991875648
L5.H12,25,-0.0172705078125,0.92,0.0,-0.0928125,1,0.09913911819458007,0.002236804704880342
L1.H1,25,-0.0170458984375,0.8,0.0,-0.0815625,1,0.05490188598632813,0.004168943101540208
L7.H5,25,-0.016708984375,0.76,0.0,-0.083125,1,0.07722702026367187,0.00437963736243546
L8.H3,25,-0.0166748046875,0.92,0.0,-0.1265625,1,0.12737020015716552,0.002706014201976359
L10.H2,25,-0.01603515625,0.96,0.0,-0.0825,1,0.08620879173278809,0.0017349013546481729
L8.H0,25,-0.01525390625,0.96,0.0,-0.080625,1,0.08678623676300048,0.001733672795817256
L4.H6,25,-0.015029296875,1.0,0.0,-0.0725,1,0.045150775909423825,0.0017613146686926485
L13.H2,25,-0.01443359375,0.92,0.0,-0.110625,1,0.09660172462463379,0.002051292642718181
L23.H13,25,-0.01435546875,1.0,0.0,-0.0921875,1,0.07287128448486328,0.0013370580831542612
L16.H12,25,-0.0135595703125,0.84,0.0,-0.0865625,1,0.06465220928192139,0.003312479993328452
L10.H4,25,-0.013544921875,1.0,0.0,-0.069375,1,0.07200534343719482,0.0007498396257869899
L0.H9,25,-0.0128271484375,0.88,0.0,-0.06,1,0.07811701774597168,0.001655419860035181
L7.H12,25,-0.0127587890625,0.96,0.0,-0.0765625,1,0.07162265777587891,0.001090282634831965
L13.H0,25,-0.0125146484375,0.96,0.0,-0.0915625,1,0.085744948387146,0.0017457563243806363
L16.H1,25,-0.01234375,0.52,0.0,-0.06375,1,0.0692575740814209,0.011762598231434822
L5.H15,25,-0.012265625,1.0,0.0,-0.065625,1,0.06302136421203614,0.001103993800934404
L0.H13,25,-0.01220703125,0.92,0.0,-0.065,1,0.09896955966949463,0.001758575183339417
L8.H15,25,-0.0119873046875,0.64,0.0,-0.049375,1,0.04694998264312744,0.0028291959688067437
L2.H15,25,-0.0110546875,0.72,0.0,-0.05875,1,0.03462419033050537,0.0023987128818407657
L13.H9,25,-0.0110009765625,0.68,0.0,-0.078125,1,0.0765582799911499,0.0041566294338554145
L8.H6,25,-0.010126953125,0.68,0.0,-0.0775,1,0.0955574893951416,0.002801579460501671
L1.H2,25,-0.010009765625,0.88,0.0,-0.04625,1,0.04911542415618896,0.0009397255931980908
L1.H4,25,-0.009951171875,1.0,0.0,-0.0546875,1,0.04630781650543213,0.0007304192322771996
L9.H5,25,-0.0098974609375,0.8,0.0,-0.0503125,1,0.06662981510162354,0.0014745115605182945
L8.H4,25,-0.0096240234375,0.76,0.0,-0.0159375,1,0.00847217559814453,0.0028334572864696385
L15.H5,25,-0.009541015625,1.0,0.0,-0.07125,1,0.06769821166992188,0.0006126062385737895
L2.H10,25,-0.00953125,0.84,0.0,-0.0278125,1,0.024161314964294432,0.0016964932670816778
L23.H12,25,-0.00953125,1.0,0.0,-0.174375,1,0.09522868633270264,0.0007111188606359065
L11.H4,25,-0.0094580078125,0.84,0.0,-0.033125,1,0.06728066444396973,0.0022136381501331927
L23.H5,25,-0.0094189453125,0.72,0.0,-0.0471875,1,0.04430238246917725,0.0010490199591731654
L0.H5,25,-0.009208984375,0.92,0.0,-0.0246875,1,0.04159005165100098,0.0010449737589806319
L23.H8,25,-0.0091943359375,1.0,0.0,-0.1184375,1,0.07189650535583496,0.00043933262699283657
L13.H1,25,-0.0091064453125,0.6,0.0,-0.0659375,1,0.06429807662963867,0.005147464931942522
L0.H15,25,-0.0087158203125,0.92,0.0,-0.0315625,1,0.04856302261352539,0.0006944619759451598
L1.H13,25,-0.0085693359375,0.8,0.0,-0.04,1,0.044178433418273926,0.0011214819771703333
L1.H10,25,-0.008310546875,0.8,0.0,-0.055625,1,0.015502328872680665,0.0017270584148354829
L23.H10,25,-0.0081591796875,0.72,0.0,-0.0846875,1,0.04548690795898438,0.0006721933640073985
L5.H11,25,-0.0079638671875,0.88,0.0,-0.0703125,1,0.03825162887573242,0.0009735972271300852
L3.H14,25,-0.0079443359375,0.44,0.0,-0.0284375,1,0.003542943000793457,0.005108891157433391
L5.H2,25,-0.00791015625,0.92,0.0,-0.0484375,1,0.03577639579772949,0.0006227698491420596
L23.H14,25,-0.0077880859375,0.76,0.0,-0.1009375,1,0.05871814250946045,0.0008036081213504076
L3.H0,25,-0.007568359375,0.88,0.0,-0.0340625,1,0.062388062477111816,0.0014644826506264507
L11.H8,25,-0.00755859375,0.76,0.0,-0.059375,1,0.051838860511779786,0.0008629209036007524
L15.H11,25,-0.0071435546875,0.72,0.0,-0.02875,1,0.026164379119873047,0.0017281827499391511
L8.H11,25,-0.0070361328125,0.84,0.0,-0.0509375,1,0.048346004486083984,0.001074632022064179
L9.H0,25,-0.0068896484375,0.64,0.0,-0.0075,1,-0.011490640640258789,0.003994397823698819
L21.H10,25,-0.0066064453125,0.92,0.0,-0.0403125,1,0.040090603828430174,0.0002913086430635303
L3.H9,25,-0.0066015625,0.88,0.0,-0.0434375,1,0.03153566360473633,0.00044841763796284797
L13.H13,25,-0.0062939453125,0.52,0.0,0.0003125,1,0.012403931617736817,0.0029974087374284863
L15.H10,25,-0.0062451171875,0.72,0.0,-0.0490625,1,0.03613840579986572,0.0023243553075008093
L12.H0,25,-0.006240234375,0.6,0.0,-0.02625,1,0.026311893463134766,0.0025423938175663354
L6.H9,25,-0.006181640625,0.92,0.0,-0.0190625,1,0.018177151679992676,0.0008100643660873175
L6.H7,25,-0.0061474609375,0.88,0.0,-0.03875,1,0.03007565975189209,0.00046198650845326485
L8.H14,25,-0.006103515625,0.84,0.0,-0.0546875,1,0.04723191738128662,0.0005876636481843889
L7.H3,25,-0.00607421875,0.88,0.0,-0.0453125,1,0.045366883277893066,0.000363289229280781
L18.H4,25,-0.0059716796875,0.64,0.0,-0.0515625,1,0.04461442470550537,0.0023612634069286285
L2.H14,25,-0.005888671875,0.92,0.0,-0.0321875,1,0.0431484842300415,0.0004786772292573005
L17.H12,25,-0.00568359375,0.6,0.0,-0.004375,1,0.022043352127075196,0.004840838103555143
L2.H13,25,-0.00544921875,0.72,0.0,-0.0321875,1,-0.005516166687011719,0.0015389590291306377
L23.H1,25,-0.0054345703125,0.88,0.0,-0.08,1,0.042318906784057614,0.00030894613155396655
L6.H5,25,-0.0052880859375,0.72,0.0,-0.031875,1,0.02477551460266113,0.0010677387949544937
L0.H14,25,-0.004990234375,0.8,0.0,-0.02625,1,0.017947001457214354,0.0005326862551737577
L15.H6,25,-0.0049267578125,0.6,0.0,-0.045625,1,0.03412252426147461,0.0030187086155638097
L16.H15,25,-0.00486572265625,0.6,0.0,-0.036875,1,0.0322288703918457,0.004727417825779412
L11.H9,25,-0.004716796875,0.72,0.0,-0.04125,1,0.027584099769592287,0.00033354396582581104
