head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,28,-0.1468167986188616,0.9642857142857143,0.14285714285714285,-1.1216517857142858,1,1.114000529050827,0.19093553788427794
L12.H8,28,-0.13084629603794642,1.0,0.07142857142857142,-0.9952566964285714,1,1.004009165934154,0.11426824384502002
L16.H6,28,-0.09096854073660714,1.0,0.07142857142857142,-0.70703125,1,0.7000209220818111,0.05054959887638688
L15.H7,28,-0.08496311732700892,0.9285714285714286,0.03571428571428571,-0.5789620535714286,1,0.6372765600681305,0.11806014529429376
L9.H15,28,-0.0778350830078125,1.0,0.0,-0.6252790178571429,1,0.6330735215118953,0.04721502174756357
L14.H4,28,-0.06216648646763393,1.0,0.07142857142857142,-0.48716517857142855,1,0.45557799083845957,0.024626690794580748
L23.H9,28,-0.06168474469866071,0.9642857142857143,0.07142857142857142,-0.5619419642857143,1,0.3729445551122938,0.014777292065056307
L17.H6,28,-0.050282069614955356,0.9285714285714286,0.03571428571428571,-0.4341517857142857,1,0.4750533401966095,0.052236436832962294
L8.H7,28,-0.045436314174107144,1.0,0.03571428571428571,-0.42550223214285715,1,0.4423154890537262,0.023511187206687673
L14.H5,28,-0.042988368443080356,0.9285714285714286,0.03571428571428571,-0.32840401785714285,1,0.3427577997956957,0.014255876020927514
L9.H11,28,-0.03858293805803571,1.0,0.03571428571428571,-0.30301339285714285,1,0.2953675942761557,0.009287403148066784
L11.H1,28,-0.03811863490513393,0.9642857142857143,0.0,-0.24274553571428573,1,0.2503252157143184,0.009281776995132012
L10.H1,28,-0.0373992919921875,1.0,0.03571428571428571,-0.20870535714285715,1,0.10444122127124242,0.02451527477907283
L12.H9,28,-0.03453717912946429,0.9642857142857143,0.0,-0.234375,1,0.21884330255644663,0.006406490657744663
L4.H15,28,-0.031681605747767856,1.0,0.0,-0.20452008928571427,1,0.1830154870237623,0.012778450917851712
L11.H3,28,-0.028863089425223216,0.8928571428571429,0.0,-0.26060267857142855,1,0.24815801637513296,0.013487512611650996
L22.H2,28,-0.027498517717633928,1.0,0.03571428571428571,-0.17327008928571427,1,0.15689525859696524,0.0035111464094370604
L10.H10,28,-0.027219499860491072,1.0,0.03571428571428571,-0.19782366071428573,1,0.22909754088946752,0.006048023758921772
L4.H14,28,-0.026131766183035716,1.0,0.0,-0.18443080357142858,1,0.20093294978141785,0.004629003224960927
