head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,20,-0.19591064453125,1.0,0.1,-1.39765625,1,1.3661511659622192,0.24429879933595658
L12.H8,20,-0.1540771484375,1.0,0.05,-1.1234375,1,1.1060646295547485,0.12015438042581081
L15.H7,20,-0.107379150390625,0.9,0.0,-0.6328125,1,0.7457269191741943,0.13879636330530049
L16.H6,20,-0.09884033203125,1.0,0.0,-0.749609375,1,0.7248514235019684,0.05068956930190325
L9.H15,20,-0.093902587890625,1.0,0.0,-0.741796875,1,0.7191028714179992,0.053786329738795755
L14.H4,20,-0.065850830078125,1.0,0.0,-0.5078125,1,0.4668436050415039,0.022237016679719092
L23.H9,20,-0.054425048828125,0.85,0.05,-0.505859375,1,0.3267640471458435,0.012349022075068206
L8.H7,20,-0.048638916015625,1.0,0.0,-0.484375,1,0.4667645275592804,0.024628895008936523
L14.H5,20,-0.047442626953125,1.0,0.0,-0.371484375,1,0.3541214108467102,0.013444851688109338
L10.H1,20,-0.045318603515625,1.0,0.0,-0.243359375,1,0.14930420517921447,0.02509462614543736
L20.H11,20,-0.04527587890625,0.65,0.0,-0.25,1,0.27489044666290285,0.016148379351943732
L9.H11,20,-0.0429931640625,1.0,0.0,-0.340625,1,0.31788705587387084,0.01016077392268926
L4.H15,20,-0.042816162109375,1.0,0.0,-0.2765625,1,0.24173369407653808,0.015803934331052004
L11.H1,20,-0.042755126953125,1.0,0.0,-0.269140625,1,0.2759513854980469,0.00897148686926812
L5.H9,20,-0.040234375,0.8,0.05,-0.3453125,1,0.13719213008880615,0.04635515669360757
L12.H9,20,-0.036663818359375,0.95,0.0,-0.246875,1,0.2306138515472412,0.006455646059475839
L11.H3,20,-0.035162353515625,1.0,0.0,-0.334765625,1,0.2964338481426239,0.015641263406723737
L22.H2,20,-0.032489013671875,1.0,0.0,-0.2109375,1,0.18588788509368898,0.005256378534249961
L17.H6,20,-0.030328369140625,0.7,0.0,-0.340625,1,0.36366206407546997,0.03705898993648589
L10.H10,20,-0.02979736328125,1.0,0.0,-0.2140625,1,0.23543817400932313,0.0059780137380585074
L14.H7,20,-0.029248046875,0.85,0.0,-0.253515625,1,0.2032320022583008,0.010063455742783844
