head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,16,-0.19078350067138672,0.9375,0.375,-1.513671875,2,1.1693570762872696,0.2907033865340054
L12.H8,16,-0.1781139373779297,1.0,0.25,-1.27099609375,1,1.1581552624702454,0.18033920624293387
L9.H15,16,-0.10504150390625,1.0,0.0625,-0.7353515625,1,0.666716530919075,0.07122703723143786
L15.H7,16,-0.09810256958007812,1.0,0.0625,-0.57080078125,1,0.6160124838352203,0.08050067545264028
L16.H6,16,-0.09230422973632812,1.0,0.0625,-0.65869140625,1,0.6316295713186264,0.04449305811431259
L8.H7,16,-0.07532501220703125,0.9375,0.0625,-0.533203125,1,0.5307838171720505,0.03865663206670433
L11.H3,16,-0.0719146728515625,0.9375,0.0625,-0.46337890625,1,0.417930044233799,0.03522908332524821
L14.H4,16,-0.061908721923828125,0.9375,0.125,-0.453125,1,0.40527794510126114,0.025139180244877934
L5.H9,16,-0.0593719482421875,0.9375,0.1875,-0.3681640625,1,0.1484161540865898,0.05860242969356477
L4.H15,16,-0.0577239990234375,1.0,0.125,-0.31298828125,1,0.27299217879772186,0.020231466158293188
L10.H1,16,-0.050678253173828125,1.0,0.125,-0.28662109375,1,0.12712669372558594,0.03242092777509242
L14.H7,16,-0.050140380859375,0.875,0.0,-0.32568359375,1,0.2929307073354721,0.025215527013642713
L9.H2,16,-0.04863739013671875,0.9375,0.0,-0.25830078125,1,0.27416256070137024,0.014388383802725002
L11.H1,16,-0.047252655029296875,0.875,0.0,-0.27783203125,1,0.30718737840652466,0.017418440926121548
L9.H11,16,-0.043674468994140625,1.0,0.0,-0.31396484375,1,0.3067152053117752,0.01056473347125575
L17.H6,16,-0.040576934814453125,0.9375,0.0625,-0.26611328125,1,0.2943072021007538,0.029588961333502084
L14.H5,16,-0.04019927978515625,1.0,0.0,-0.2470703125,1,0.27056559920310974,0.011410765437176451
L23.H9,16,-0.0318756103515625,0.8125,0.0625,-0.4423828125,1,0.24935664236545563,0.009165674273390323
L7.H15,16,-0.03177642822265625,0.875,0.0,-0.19873046875,1,0.20777440816164017,0.007679742862819694
L9.H7,16,-0.03131866455078125,0.875,0.0,-0.13818359375,1,0.1707620844244957,0.010053047866676934
L7.H2,16,-0.03089141845703125,0.9375,0.125,-0.1337890625,1,0.03334420919418335,0.01942752383183688
L9.H1,16,-0.0303497314453125,1.0,0.0,-0.1806640625,1,0.18623976409435272,0.004363153151643928
L22.H2,16,-0.02976226806640625,1.0,0.0,-0.17626953125,1,0.15926331281661987,0.004301540851884056
L13.H1,16,-0.02796173095703125,0.625,0.0,-0.154296875,1,0.16828957200050354,0.012658971143537201
L6.H6,16,-0.027866363525390625,0.8125,0.0,-0.173828125,1,0.1678762137889862,0.006918376937392168
L7.H5,16,-0.02777862548828125,1.0,0.0,-0.14208984375,1,0.15276549756526947,0.00625271767785307
L15.H3,16,-0.027515411376953125,0.6875,0.0,-0.11328125,1,0.1412585973739624,0.011090977817957537
L13.H5,16,-0.02700042724609375,0.75,0.0,-0.18017578125,1,0.18648047000169754,0.007312967456527986
L16.H2,16,-0.02614593505859375,0.8125,0.0,-0.1083984375,1,0.15392445027828217,0.016087238494947087
L0.H2,16,-0.02581024169921875,1.0,0.0,-0.09326171875,1,0.12519076466560364,0.008092426891380455
L3.H2,16,-0.0256195068359375,1.0,0.0,-0.16259765625,1,0.15443769097328186,0.0031998787890188396
L4.H14,16,-0.02483367919921875,1.0,0.0,-0.1708984375,1,0.18185736238956451,0.0048123349697561935
L5.H3,16,-0.02483367919921875,0.6875,0.0,-0.158203125,1,0.15562936663627625,0.009319703167420812
