head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,7,-0.14553070068359375,1.0,0.8571428571428571,-1.96875,5,0.8220632416861398,0.36576306181294577
L12.H8,7,-0.1192779541015625,1.0,0.7142857142857143,-1.4040178571428572,3,0.8276321547372001,0.18280710386378424
L9.H15,7,-0.08257184709821429,1.0,0.42857142857142855,-0.8738839285714286,2,0.48047164508274626,0.08229128537433487
L15.H7,7,-0.07029070172991071,0.8571428571428571,0.42857142857142855,-0.6875,2,0.41292316573006765,0.1312928061400141
L17.H6,7,-0.057041713169642856,0.8571428571428571,0.2857142857142857,-0.5703125,1,0.6044913700648716,0.11006189084478787
L16.H6,7,-0.05702427455357143,1.0,0.2857142857142857,-0.5993303571428571,1,0.45952180453709196,0.03778874102447714
L11.H3,7,-0.054783412388392856,1.0,0.2857142857142857,-0.4609375,1,0.268442017691476,0.03323871136776039
L8.H7,7,-0.05323137555803571,1.0,0.14285714285714285,-0.5301339285714286,1,0.3788703169141497,0.03816936085266726
L14.H4,7,-0.050868443080357144,1.0,0.14285714285714285,-0.4877232142857143,1,0.3140514578138079,0.030916091852954457
L5.H9,7,-0.04944719587053571,0.8571428571428571,0.5714285714285714,-0.46763392857142855,2,0.01052614620753697,0.07120575676006931
L4.H15,7,-0.04145159040178571,1.0,0.42857142857142855,-0.36049107142857145,2,0.17783164978027344,0.026242133229970932
L14.H5,7,-0.03331647600446429,1.0,0.0,-0.30580357142857145,1,0.2373779501233782,0.015465060248970985
L9.H7,7,-0.029514857700892856,1.0,0.14285714285714285,-0.21540178571428573,1,0.14679993901933944,0.013144886187676872
L7.H2,7,-0.029227120535714284,1.0,0.42857142857142855,-0.21540178571428573,2,0.011463539940970284,0.02343296432601554
L9.H11,7,-0.029087611607142856,1.0,0.0,-0.3002232142857143,1,0.2206756728036063,0.010544137097895145
L5.H3,7,-0.029078892299107144,0.7142857142857143,0.2857142857142857,-0.27232142857142855,1,0.12686862264360702,0.016617388597556522
L9.H2,7,-0.028220040457589284,1.0,0.14285714285714285,-0.26004464285714285,1,0.16592349324907577,0.011676608584821224
L10.H1,7,-0.028093610491071428,1.0,0.42857142857142855,-0.26450892857142855,2,0.04925251007080078,0.03382816032639572
L13.H1,7,-0.02734375,0.8571428571428571,0.14285714285714285,-0.2767857142857143,1,0.1609799861907959,0.016370970157108138
L6.H6,7,-0.026070731026785716,1.0,0.14285714285714285,-0.21651785714285715,1,0.12250399589538574,0.009239947024200643
L14.H7,7,-0.024544852120535716,0.8571428571428571,0.14285714285714285,-0.2767857142857143,1,0.19468763896397182,0.016774444641279324
L15.H6,7,-0.023847307477678572,0.7142857142857143,0.0,-0.16294642857142858,1,0.11155462265014648,0.008532973605075054
L23.H9,7,-0.022609165736607144,0.8571428571428571,0.14285714285714285,-0.41294642857142855,1,0.18004918098449707,0.006791356884475265
L13.H5,7,-0.022565569196428572,1.0,0.14285714285714285,-0.20647321428571427,1,0.13330858094351633,0.007872587535530329
L0.H2,7,-0.021257672991071428,1.0,0.2857142857142857,-0.13392857142857142,2,0.0404810905456543,0.013824074263019221
L7.H15,7,-0.0205078125,1.0,0.0,-0.18415178571428573,1,0.1329618522099086,0.005869566130318812
L5.H12,7,-0.019853864397321428,0.8571428571428571,0.14285714285714285,-0.14508928571428573,1,0.10062170028686523,0.004370312173185604
L9.H1,7,-0.019417898995535716,1.0,0.0,-0.17299107142857142,1,0.13494144167218888,0.0042105835662888625
L15.H3,7,-0.019339425223214284,0.5714285714285714,0.0,-0.12276785714285714,1,0.08091364588056292,0.01023120598568182
L9.H14,7,-0.018668038504464284,1.0,0.14285714285714285,-0.19977678571428573,1,0.11769771575927734,0.00438432051201484
L8.H15,7,-0.017865862165178572,0.7142857142857143,0.0,-0.12946428571428573,1,0.06593220574515206,0.0060572817123362
L3.H2,7,-0.017682756696428572,1.0,0.0,-0.16071428571428573,1,0.10971784591674805,0.003193589675772403
L21.H3,7,-0.017621721540178572,0.8571428571428571,0.14285714285714285,-0.06361607142857142,1,-0.10993085588727679,0.02905218184293647
L5.H8,7,-0.017290387834821428,1.0,0.0,-0.14732142857142858,1,0.09165269987923759,0.0041195683214547375
L1.H1,7,-0.016749790736607144,0.8571428571428571,0.0,-0.13058035714285715,1,0.052335296358381,0.005112038077121335
L4.H14,7,-0.016226632254464284,1.0,0.0,-0.17633928571428573,1,0.1527900014604841,0.00449444872460195
L13.H2,7,-0.015869140625,1.0,0.14285714285714285,-0.15066964285714285,1,0.08648112842014857,0.0032719682369913372
L10.H10,7,-0.0157470703125,1.0,0.0,-0.12276785714285714,1,0.13815995625087193,0.004747180401214531
L0.H9,7,-0.01470947265625,1.0,0.0,-0.10602678571428571,1,0.07348602158682686,0.0027904149776856813
L16.H15,7,-0.014229910714285714,0.5714285714285714,0.14285714285714285,-0.18638392857142858,1,0.13746561322893416,0.022008717758581042
L11.H1,7,-0.014107840401785714,0.8571428571428571,0.0,-0.17410714285714285,1,0.17463040351867676,0.012691020366868802
L4.H6,7,-0.013357979910714286,1.0,0.0,-0.11495535714285714,1,0.052630458559308736,0.0028712648366178784
L8.H6,7,-0.012956891741071428,0.8571428571428571,0.0,-0.11383928571428571,1,0.10322625296456474,0.003141982846760324
L8.H3,7,-0.0126953125,0.7142857142857143,0.0,-0.12165178571428571,1,0.11036089488438197,0.0034609748316662653
L3.H10,7,-0.012677873883928572,1.0,0.0,-0.09263392857142858,1,0.05788346699305943,0.0023300760492150274
L7.H5,7,-0.012669154575892858,0.8571428571428571,0.0,-0.08035714285714286,1,0.053333793367658346,0.004248500735099826
L21.H12,7,-0.012616838727678572,0.7142857142857143,0.14285714285714285,-0.052455357142857144,1,-0.026698521205357144,0.010778623408571417
L1.H2,7,-0.012372698102678572,1.0,0.0,-0.09263392857142858,1,0.06970998219081334,0.0020383681819242027
L10.H2,7,-0.012119838169642858,0.8571428571428571,0.0,-0.08370535714285714,1,0.06709497315543038,0.0017675504620586122
L1.H13,7,-0.012076241629464286,0.8571428571428571,0.0,-0.07366071428571429,1,0.050658226013183594,0.002153072622604668
L16.H7,7,-0.011003766741071428,0.8571428571428571,0.14285714285714285,-0.06473214285714286,1,0.017626489911760603,0.0021599004248855636
L0.H13,7,-0.010838099888392858,1.0,0.0,-0.078125,1,0.09123011997767858,0.002034250114645277
L17.H11,7,-0.010471888950892858,1.0,0.0,-0.11941964285714286,1,0.06713468687874931,0.005668313708156347
L19.H4,7,-0.010410853794642858,0.5714285714285714,0.2857142857142857,-0.026785714285714284,1,-0.0023978097098214285,0.017278572808468846
L9.H0,7,-0.010271344866071428,0.8571428571428571,0.14285714285714285,-0.07924107142857142,1,0.002859728676932199,0.005644099587308509
L8.H11,7,-0.010096958705357142,0.7142857142857143,0.0,-0.08035714285714286,1,0.043268987110682895,0.0019223287818022072
L11.H4,7,-0.009878976004464286,0.7142857142857143,0.0,-0.041294642857142856,1,0.048054320471627374,0.002715950050125165
L0.H15,7,-0.009425571986607142,1.0,0.0,-0.052455357142857144,1,0.039775575910295756,0.0011016018106602132
L2.H15,7,-0.009347098214285714,0.7142857142857143,0.0,-0.07924107142857142,1,0.03648410524640765,0.0023329329643664615
L16.H12,7,-0.008823939732142858,1.0,0.0,-0.049107142857142856,1,0.002884558268955776,0.002457509482545512
L5.H15,7,-0.00872802734375,1.0,0.0,-0.07924107142857142,1,0.04418267522539411,0.001554554477999253
L16.H1,7,-0.008649553571428572,0.8571428571428571,0.0,-0.0390625,1,0.027529171534946988,0.0035989006282761693
L8.H0,7,-0.008597237723214286,0.7142857142857143,0.0,-0.05357142857142857,1,0.048668043954031806,0.0016019647092824535
L8.H4,7,-0.008283342633928572,0.8571428571428571,0.0,-0.05803571428571429,1,0.022099597113473073,0.003424475634736674
L10.H4,7,-0.008257184709821428,1.0,0.0,-0.07477678571428571,1,0.05288927895682199,0.0007458908242240016
L23.H13,7,-0.008257184709821428,0.7142857142857143,0.0,-0.07254464285714286,1,0.039824996675763814,0.0013057393100877693
L1.H4,7,-0.008030482700892858,1.0,0.0,-0.07366071428571429,1,0.044556685856410434,0.0008257962888040181
L0.H5,7,-0.008013044084821428,1.0,0.0,-0.049107142857142856,1,0.030184234891619,0.0013686948888269918
L6.H7,7,-0.007986886160714286,1.0,0.0,-0.06696428571428571,1,0.0401268686567034,0.000984001804941467
L17.H2,7,-0.007908412388392858,0.8571428571428571,0.0,-0.05580357142857143,1,0.06526473590305873,0.0060918875969946384
L15.H10,7,-0.007890973772321428,0.7142857142857143,0.0,-0.06361607142857142,1,0.029030799865722656,0.0032631861977279186
L2.H10,7,-0.007699148995535714,0.8571428571428571,0.0,-0.03459821428571429,1,0.009629249572753906,0.002138182321297271
L5.H14,7,-0.007585797991071429,0.8571428571428571,0.0,-0.05915178571428571,1,0.0528080804007394,0.0017640294640191964
L22.H2,7,-0.007210867745535714,0.7142857142857143,0.14285714285714285,-0.11830357142857142,1,0.08278942108154297,0.005386212940460869
L11.H2,7,-0.007106236049107143,0.8571428571428571,0.0,-0.08258928571428571,1,0.034388576235089986,0.003734725760295987
L7.H12,7,-0.006923130580357143,0.8571428571428571,0.0,-0.06473214285714286,1,0.04362879480634417,0.0009310161445422896
L6.H3,7,-0.0067138671875,1.0,0.0,-0.0546875,1,0.03537923949105399,0.0009320005275575178
L3.H0,7,-0.006600516183035714,1.0,0.0,-0.046875,1,0.0638477121080671,0.0014416238492620842
L22.H11,7,-0.006539481026785714,0.7142857142857143,0.0,-0.05803571428571429,1,0.0392193113054548,0.001399336230991009
L1.H10,7,-0.006243024553571429,1.0,0.0,-0.06473214285714286,1,0.025427818298339844,0.0020195421031011
L13.H13,7,-0.006120954241071429,0.5714285714285714,0.0,-0.026785714285714284,1,0.03255125454493931,0.004908758830944342
L3.H14,7,-0.005972726004464286,0.7142857142857143,0.0,-0.06919642857142858,1,0.013269083840506417,0.005610740277916193
L0.H14,7,-0.005955287388392857,0.8571428571428571,0.0,-0.04352678571428571,1,0.024043151310511997,0.0008032147473256503
L23.H12,7,-0.005807059151785714,1.0,0.0,-0.15959821428571427,1,0.07487136977059501,0.0006270068032400948
L12.H9,7,-0.005789620535714286,0.8571428571428571,0.0,-0.07142857142857142,1,0.06119060516357422,0.0019795961478458984
L12.H7,7,-0.005658830915178571,0.42857142857142855,0.14285714285714285,-0.022321428571428572,1,-0.057491915566580634,0.0151104157557711
L20.H1,7,-0.005615234375,0.7142857142857143,0.2857142857142857,0.020089285714285716,1,-0.19463750294276647,0.032168668312286694
L11.H8,7,-0.005519321986607143,1.0,0.0,-0.06696428571428571,1,0.05626535415649414,0.001158734567330352
L17.H3,7,-0.0052490234375,0.7142857142857143,0.0,-0.04799107142857143,1,0.03755981581551688,0.010931194660120777
L23.H14,7,-0.00518798828125,0.8571428571428571,0.0,-0.09151785714285714,1,0.03854434830801828,0.0005995247130548316
L3.H12,7,-0.005179268973214286,1.0,0.0,-0.05022321428571429,1,0.03152016230991909,0.0005220658453514002
L12.H6,7,-0.005144391741071429,1.0,0.0,-0.041294642857142856,1,0.03660045351300921,0.0006760362469192062
L18.H13,7,-0.005144391741071429,0.8571428571428571,0.0,-0.033482142857142856,1,0.023046459470476423,0.001529379203150581
L1.H7,7,-0.004961286272321429,0.5714285714285714,0.0,-0.046875,1,-0.022724253790719167,0.004410250378506524
L16.H2,7,-0.004830496651785714,0.42857142857142855,0.0,-0.06473214285714286,1,0.07224505288260323,0.017707668743761524
L8.H14,7,-0.004690987723214286,1.0,0.0,-0.06361607142857142,1,0.04380713190351214,0.0006331374045527939
L19.H15,7,-0.004673549107142857,0.42857142857142855,0.0,-0.029017857142857144,1,0.017879486083984375,0.00804008184266942
