head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,11,-0.2322020097212358,1.0,0.5454545454545454,-1.9041193181818181,2,1.3045284314589067,0.32784603942524304
L12.H8,11,-0.17938371138139206,1.0,0.36363636363636365,-1.3657670454545454,2,1.0742069591175427,0.16103810613805597
L9.H15,11,-0.11325628107244318,1.0,0.18181818181818182,-0.8955965909090909,1,0.7036431485956366,0.07328351366926324
L15.H7,11,-0.10982721502130682,1.0,0.2727272727272727,-0.7926136363636364,1,0.7137070135636763,0.12738611142743717
L16.H6,11,-0.10601251775568182,1.0,0.09090909090909091,-0.7684659090909091,1,0.663928053595803,0.04943164285611023
L5.H9,11,-0.07920143821022728,1.0,0.2727272727272727,-0.5021306818181818,1,0.13629631562666458,0.06848436289212921
L14.H4,11,-0.07708185369318182,1.0,0.09090909090909091,-0.5340909090909091,1,0.472387357191606,0.03128049641170285
L8.H7,11,-0.07488458806818182,1.0,0.18181818181818182,-0.6384943181818182,1,0.5448575236580588,0.04249077713624998
L11.H3,11,-0.06915838068181818,1.0,0.09090909090909091,-0.5049715909090909,1,0.4368202903053977,0.03247694865885106
L4.H15,11,-0.06819291548295454,1.0,0.09090909090909091,-0.4069602272727273,1,0.2753500288183039,0.024388107979162174
L16.H2,11,-0.06216708096590909,0.8181818181818182,0.09090909090909091,-0.3544034090909091,1,0.27323261174288666,0.031754330223934216
L10.H1,11,-0.05794455788352273,1.0,0.18181818181818182,-0.2784090909090909,1,0.09247396209023216,0.0305432201447812
L14.H7,11,-0.047956986860795456,1.0,0.18181818181818182,-0.375,1,0.26636804233897815,0.022153572306375612
L14.H5,11,-0.045232599431818184,1.0,0.09090909090909091,-0.3025568181818182,1,0.28568961403586646,0.013413455040956085
L9.H11,11,-0.042180841619318184,1.0,0.09090909090909091,-0.3359375,1,0.27868814901872113,0.009710656479001045
L9.H7,11,-0.040177778764204544,1.0,0.09090909090909091,-0.22088068181818182,1,0.17930141362276944,0.01126551609063013
L7.H2,11,-0.03985595703125,1.0,0.09090909090909091,-0.18536931818181818,1,0.05009492960843173,0.019777921451763672
L9.H2,11,-0.039567427201704544,0.9090909090909091,0.09090909090909091,-0.27485795454545453,1,0.2164200652729381,0.011234290792014111
L11.H1,11,-0.03597190163352273,0.9090909090909091,0.09090909090909091,-0.2634943181818182,1,0.24205710671164773,0.01326364278793335
L18.H9,11,-0.03488991477272727,0.7272727272727273,0.0,-0.15553977272727273,1,0.17003039880232376,0.013442971785976128
L17.H6,11,-0.034379438920454544,0.9090909090909091,0.09090909090909091,-0.35795454545454547,1,0.27887649969621137,0.02688550627367063
L7.H15,11,-0.03310879794034091,1.0,0.09090909090909091,-0.24076704545454544,1,0.20250149206681686,0.007003105859356848
L9.H1,11,-0.03274258700284091,1.0,0.09090909090909091,-0.2237215909090909,1,0.19367831403558905,0.004872769540683789
L0.H2,11,-0.03254283558238636,1.0,0.09090909090909091,-0.15198863636363635,1,0.10812239213423296,0.012332879705354571
L5.H3,11,-0.032526189630681816,0.9090909090909091,0.09090909090909091,-0.2833806818181818,1,0.19694237275557083,0.014241967434910211
L6.H6,11,-0.03189364346590909,1.0,0.09090909090909091,-0.23011363636363635,1,0.1681107391010631,0.008731909646567974
L22.H11,11,-0.031416459517045456,0.8181818181818182,0.09090909090909091,-0.14204545454545456,1,0.1516401767730713,0.01936821051772726
L22.H2,11,-0.0308837890625,0.9090909090909091,0.09090909090909091,-0.1981534090909091,1,0.14941577477888626,0.005798115395009518
L1.H1,11,-0.029946067116477272,1.0,0.09090909090909091,-0.17258522727272727,1,0.10703669894825328,0.006556114901534535
L23.H9,11,-0.029629794034090908,0.8181818181818182,0.09090909090909091,-0.38139204545454547,1,0.19935172254388983,0.007885941748761317
L13.H9,11,-0.028952858664772728,0.9090909090909091,0.0,-0.18607954545454544,1,0.15841893716291947,0.006400359519334002
L13.H1,11,-0.028475674715909092,0.9090909090909091,0.09090909090909091,-0.17116477272727273,1,0.1543330712751909,0.011610230261629278
L5.H8,11,-0.028287020596590908,1.0,0.09090909090909091,-0.21448863636363635,1,0.1660665598782626,0.0056745375464247036
L15.H9,11,-0.026744495738636364,0.7272727272727273,0.09090909090909091,-0.1924715909090909,1,0.1357881806113503,0.015513617159079084
L13.H5,11,-0.026566938920454544,1.0,0.09090909090909091,-0.22869318181818182,1,0.20329410379583185,0.007579437076029452
L3.H2,11,-0.026328346946022728,1.0,0.09090909090909091,-0.18110795454545456,1,0.14759267460216174,0.003201290134298192
