head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L22.H0,75,-0.03364542643229167,0.9866666666666667,0.12,-0.5282291666666666,1,0.40553287506103514,0.03319593839347362
L23.H9,75,-0.026564127604166668,0.8533333333333334,0.24,-0.5360416666666666,1,0.350257298151652,0.025243837982416154
L11.H1,75,-0.024769287109375,0.9333333333333333,0.13333333333333333,-0.18375,1,0.12101351420084636,0.01086487880597512
L12.H8,75,-0.021731363932291668,0.9066666666666666,0.06666666666666667,-0.35302083333333334,1,0.267011620203654,0.015119369228680929
L23.H6,75,-0.017838541666666666,0.96,0.06666666666666667,-0.25385416666666666,1,0.22173512140909832,0.009383891286949317
L14.H7,75,-0.014696451822916666,0.8533333333333334,0.13333333333333333,-0.11197916666666667,1,0.08093846638997396,0.007015601107850671
L5.H3,75,-0.013745524088541667,0.96,0.06666666666666667,-0.20864583333333334,1,0.1301885414123535,0.005339074796065688
L23.H13,75,-0.012406412760416667,0.88,0.05333333333333334,-0.14677083333333332,1,0.09698302586873372,0.0030878132364402216
L23.H15,75,-0.012294921875,1.0,0.06666666666666667,-0.1528125,1,0.12906492233276368,0.0031713741334776085
L19.H2,75,-0.011955159505208333,0.84,0.02666666666666667,-0.18729166666666666,1,0.155409574508667,0.00626050985728701
L12.H3,75,-0.011829020182291667,0.88,0.05333333333333334,-0.1609375,1,0.13272188822428385,0.00497267561343809
L13.H8,75,-0.0117626953125,0.92,0.02666666666666667,-0.15510416666666665,1,0.13512946446736654,0.003250128081999719
L23.H10,75,-0.011018880208333333,0.9333333333333333,0.08,-0.1715625,1,0.12837030092875162,0.0031589607537413637
L21.H0,75,-0.00973388671875,0.7866666666666666,0.09333333333333334,-0.0803125,1,0.06957942326863607,0.003279869071751212
L0.H2,75,-0.008055826822916667,0.8933333333333333,0.05333333333333334,-0.04729166666666667,1,0.0855330467224121,0.0035993583127856255
L9.H8,75,-0.007736002604166667,0.9866666666666667,0.05333333333333334,-0.10958333333333334,1,0.08030030250549317,0.0016470909654162824
L9.H15,75,-0.007502848307291666,0.92,0.06666666666666667,-0.0646875,1,0.05424503008524577,0.0014909581137665857
L3.H3,75,-0.006728922526041667,0.96,0.05333333333333334,-0.10489583333333333,1,0.06149902025858561,0.0014981336751952767
L14.H5,75,-0.006706136067708333,0.5333333333333333,0.08,-0.164375,1,0.13567038536071777,0.015580437742173672
L10.H3,75,-0.006356608072916666,0.9466666666666667,0.02666666666666667,-0.0215625,1,0.07483970006306966,0.0016441941012938818
L16.H15,75,-0.006134440104166666,0.7733333333333333,0.06666666666666667,-0.049479166666666664,1,0.03145259539286296,0.0028783449922533083
L15.H6,75,-0.005829264322916666,0.76,0.04,-0.0653125,1,0.03459957122802734,0.004403052038202683
L22.H2,75,-0.0057958984375,0.6666666666666666,0.04,-0.059895833333333336,1,0.037299667994181315,0.0025981143101428948
L23.H14,75,-0.005724283854166666,0.7466666666666667,0.04,-0.14395833333333333,1,0.07566248893737793,0.003117228513583541
