head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L13.H6,99,-0.05210861051925505,0.8787878787878788,0.08080808080808081,-0.5814393939393939,1,0.31650039538590596,0.04521632394424141
L15.H7,99,-0.04984044547032828,0.7575757575757576,0.10101010101010101,-0.4476010101010101,1,0.28860488955420677,0.05399093767298818
L11.H1,99,-0.049251055476641416,0.9292929292929293,0.020202020202020204,-0.6368371212121212,1,0.39943193109950637,0.03005611730005705
L14.H10,99,-0.047444044941603536,0.6767676767676768,0.06060606060606061,-0.5517676767676768,1,0.3489874693179371,0.08303055594171953
L11.H11,99,-0.022670553188131312,0.7373737373737373,0.020202020202020204,-0.3907828282828283,1,0.18614435451801378,0.013300026049649324
L9.H2,99,-0.022654523753156564,0.7474747474747475,0.06060606060606061,-0.34485479797979796,1,0.12492742848516715,0.016668651463767288
L12.H9,99,-0.02201581242108586,0.797979797979798,0.04040404040404041,-0.270675505050505,1,0.14906511613816925,0.01521344733191654
L18.H0,99,-0.021210641571969696,0.45454545454545453,0.08080808080808081,-0.1423611111111111,1,0.09712392136906133,0.02409772189613902
L17.H2,99,-0.019955413510101012,0.6262626262626263,0.04040404040404041,-0.15088383838383837,1,0.11899907149449744,0.01708344192799143
L15.H6,99,-0.019652087279040404,0.6363636363636364,0.04040404040404041,-0.20943813131313133,1,0.1111027742877151,0.019342617232898117
L16.H8,99,-0.018357402146464648,0.7171717171717171,0.020202020202020204,-0.01120580808080808,1,0.0928307610629785,0.010166407729771853
L17.H5,99,-0.017368509311868688,0.5959595959595959,0.0,-0.18860479797979798,1,0.09834119195889945,0.013593714126718531
L8.H15,99,-0.017184787326388888,0.7272727272727273,0.020202020202020204,-0.3317550505050505,1,0.09486963411774298,0.012221511396505362
L12.H8,99,-0.016994900173611112,0.6060606060606061,0.04040404040404041,-0.32875631313131315,1,0.14191199839115143,0.014634427105340015
L18.H9,99,-0.015288381865530304,0.5353535353535354,0.020202020202020204,-0.10037878787878787,1,0.05871626283183242,0.010568971060700903
L23.H9,99,-0.015081232244318182,0.8585858585858586,0.0,-0.36079545454545453,1,0.11897792674676337,0.004617130995911518
L15.H3,99,-0.015079999210858586,0.6868686868686869,0.020202020202020204,-0.13304924242424243,1,0.061907194780580925,0.016025618368718887
L22.H2,99,-0.013752022174873738,0.8383838383838383,0.0,-0.15767045454545456,1,0.11551124354203542,0.004713933374935577
L11.H6,99,-0.012913559422348484,0.8383838383838383,0.020202020202020204,-0.15025252525252525,1,0.09767987962925073,0.003836828384212115
L15.H11,99,-0.01206030026830808,0.5656565656565656,0.04040404040404041,-0.08428030303030302,1,0.058650411740697996,0.009123769655078913
L9.H11,99,-0.011988784327651516,0.5959595959595959,0.04040404040404041,-0.24321338383838384,1,0.07622763364001958,0.008829451092892807
L9.H9,99,-0.011893840751262626,0.797979797979798,0.06060606060606061,-0.16114267676767677,1,0.07315140044448351,0.002989126816405909
L15.H10,99,-0.01189260771780303,0.7070707070707071,0.04040404040404041,-0.08191287878787878,1,0.07545854211455644,0.005433437032736791
L11.H5,99,-0.010552300347222222,0.5959595959595959,0.020202020202020204,-0.07765151515151515,1,0.0602497679717613,0.018842417637569445
L23.H14,99,-0.009765625,0.7777777777777778,0.020202020202020204,-0.21180555555555555,1,0.062352754401438164,0.0025200053784250154
L12.H0,99,-0.009705206360479798,0.5555555555555556,0.06060606060606061,-0.09311868686868686,1,0.035032289949330414,0.023182425998101913
L10.H10,99,-0.00961026278409091,0.7171717171717171,0.020202020202020204,-0.16272095959595959,1,0.06761289831965861,0.0029293016215722837
L14.H12,99,-0.009570805713383838,0.6161616161616161,0.0,-0.08743686868686869,1,0.07551926028246832,0.0056265536878903856
L14.H3,99,-0.008650962752525252,0.7272727272727273,0.020202020202020204,-0.12200126262626262,1,0.05767437424322571,0.0046066016851303475
L11.H8,99,-0.008599175347222222,0.7575757575757576,0.020202020202020204,-0.12436868686868686,1,0.06932249574950247,0.0027844949277509427
L19.H13,99,-0.007703993055555556,0.5858585858585859,0.0,-0.03756313131313131,1,0.058601648970083756,0.009358429623946472
L12.H1,99,-0.007192284169823232,0.7070707070707071,0.0,-0.11205808080808081,1,0.05813889958039679,0.005874806376467483
