head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,13,-0.0893695537860577,1.0,0.07692307692307693,-0.9669471153846154,1,0.45154091945061314,0.07556666584255603
L11.H1,13,-0.0792236328125,0.9230769230769231,0.07692307692307693,-0.5757211538461539,1,0.3770610781816336,0.04033754773151416
L14.H5,13,-0.05517108623798077,0.8461538461538461,0.07692307692307693,-0.24639423076923078,1,0.17485188062374407,0.03652229013208013
L12.H8,13,-0.04868257962740385,0.9230769230769231,0.07692307692307693,-0.5877403846153846,1,0.25243820593907285,0.02066416941726437
L13.H13,13,-0.042147122896634616,0.6153846153846154,0.0,-0.16646634615384615,1,0.19600020463650042,0.02985360878161513
L18.H4,13,-0.039320725661057696,0.6923076923076923,0.0,-0.20612980769230768,1,0.15389103614366972,0.020121707312332895
L5.H3,13,-0.03454120342548077,0.8461538461538461,0.0,-0.16466346153846154,1,0.14504060836938712,0.01358881479021735
L15.H6,13,-0.03151292067307692,0.6153846153846154,0.0,-0.23677884615384615,1,0.15110515631162202,0.024479402229189873
L12.H9,13,-0.031085674579326924,0.6923076923076923,0.0,-0.2013221153846154,1,0.14939413162378165,0.017840277367772963
L23.H9,13,-0.024625338040865384,0.9230769230769231,0.0,-0.44471153846153844,1,0.15341238792125994,0.0073990810913248705
L9.H2,13,-0.023634690504807692,0.7692307692307693,0.07692307692307693,-0.06129807692307692,1,0.064782243508559,0.012821952203431955
L15.H8,13,-0.02202430138221154,0.8461538461538461,0.0,-0.27884615384615385,1,0.11498006032063411,0.011180073237763
L10.H7,13,-0.017864520733173076,0.9230769230769231,0.0,-0.11117788461538461,1,0.07338557335046622,0.006159214311852478
L3.H3,13,-0.01636681189903846,1.0,0.0,-0.05889423076923077,1,0.07652492706592266,0.0030759701487393333
L12.H1,13,-0.016249436598557692,0.6923076923076923,0.0,-0.06490384615384616,1,0.05673534136552077,0.010085850577944746
L8.H7,13,-0.0157470703125,0.6923076923076923,0.07692307692307693,-0.18269230769230768,1,0.05550766449708205,0.006417302414774895
