head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The default port for Redis is,0.0087890625,0.0625,False,1,0.8794753551483154,0.818962812423706,-0.060512542724609375,0.0008578433189541101
L0.H0,1,The default port for SSH is,0.00537109375,0.0,False,1,1.6596412658691406,1.6227238178253174,-0.03691744804382324,0.00035305297933518887
L0.H0,2,An LDAP directory service listens on port,-0.0126953125,-0.140625,False,1,2.3118128776550293,2.484647035598755,0.17283415794372559,0.0035049784928560257
L0.H0,3,The default port for HTTPS is,-0.00634765625,-0.03125,False,1,1.5230090618133545,1.5474591255187988,0.024450063705444336,0.0003014137619175017
L0.H0,4,A Docker registry service listens on port,0.0059814453125,0.0625,False,1,3.6691322326660156,3.6461336612701416,-0.022998571395874023,0.0009310340392403305
L0.H0,5,A MySQL database server listens on port,-0.0205078125,-0.140625,False,1,2.022310972213745,2.1612706184387207,0.13895964622497559,0.0023064380511641502
L0.H0,6,An SMTP mail transfer server listens on port,-0.01416015625,-0.125,False,1,0.596633791923523,0.6640316843986511,0.06739789247512817,0.0011034010676667094
L0.H0,7,The default port for FTP is,0.0029296875,0.0,False,1,2.8600516319274902,2.8415544033050537,-0.018497228622436523,0.00020807655528187752
L0.H0,8,A web server using HTTP typically listens on port,-0.0009765625,-0.015625,False,1,0.5284397602081299,0.5360292792320251,0.007589519023895264,7.942890806589276e-05
L0.H0,9,A DNS name server listens on port,-0.00732421875,-0.078125,False,1,0.7879180908203125,0.8360315561294556,0.048113465309143066,0.0007454258156940341
L0.H0,10,The default port for LDAPS is,0.003204345703125,0.046875,False,1,5.102931976318359,5.089951992034912,-0.012979984283447266,0.000707588333170861
L0.H0,11,The default port for Microsoft SQL Server is,0.01025390625,0.0625,False,1,1.5630881786346436,1.5011491775512695,-0.06193900108337402,0.0004965286934748292
L0.H0,12,A Memcached caching server listens on port,0.0087890625,0.03125,False,1,2.1465606689453125,2.1212403774261475,-0.02532029151916504,0.0011550697963684797
L0.H0,13,An SMB file sharing service listens on port,-0.0013427734375,0.0390625,False,1,4.886272430419922,4.885973930358887,-0.00029850006103515625,0.001540629891678691
L0.H0,14,The default port for HTTP is,-0.00830078125,-0.046875,False,1,2.1159160137176514,2.1549439430236816,0.03902792930603027,0.00017253505939152092
L0.H0,15,The default port for SMB is,-0.005859375,-0.015625,False,1,3.234562873840332,3.2559213638305664,0.021358489990234375,0.0005101712886244059
L0.H0,16,An Apache web server typically listens on port,0.00048828125,0.03125,False,1,0.2815725803375244,0.28013625741004944,-0.0014363229274749756,-0.0002783469099085778
L0.H0,17,The default port for LDAP is,0.00537109375,0.03125,False,1,3.0384521484375,2.9754204750061035,-0.06303167343139648,0.0009313761256635189
L0.H0,18,A DHCP server listens on port,-0.013916015625,-0.1796875,False,1,3.3904154300689697,3.5499894618988037,0.15957403182983398,0.004209782928228378
L0.H0,19,An IMAP mail access server listens on port,0.013671875,0.078125,False,1,2.5942752361297607,2.557204008102417,-0.03707122802734375,0.0015745260752737522
L0.H0,20,A Redis in-memory database listens on port,-0.011962890625,-0.0625,False,1,3.3061344623565674,3.348121166229248,0.041986703872680664,0.0020072488114237785
L0.H0,21,The default port for PostgreSQL is,0.0048828125,0.0,False,1,2.1134886741638184,2.0939486026763916,-0.019540071487426758,0.00014448119327425957
L0.H0,22,The default port for DNS is,-0.0029296875,-0.015625,False,1,2.2153232097625732,2.228154182434082,0.012830972671508789,-1.4862715033814311e-05
L0.H0,23,A PostgreSQL database server listens on port,0.00439453125,0.0625,False,1,0.8017948865890503,0.7709078788757324,-0.03088700771331787,0.00037324661388993263
L0.H0,24,A VNC remote desktop server listens on port,0.009765625,0.046875,False,1,1.266913890838623,1.205396294593811,-0.06151759624481201,0.0012615316081792116
L0.H0,25,The default port for MongoDB is,0.02001953125,0.078125,False,1,3.3750345706939697,3.2879624366760254,-0.08707213401794434,0.0015470529906451702
L0.H0,26,The default port for Nginx HTTP server is,-0.00634765625,-0.046875,False,1,1.5692464113235474,1.6001406908035278,0.03089427947998047,0.00010858796304091811
L0.H0,27,The default port for VNC is,0.0224609375,0.078125,False,1,3.2238755226135254,3.099522590637207,-0.12435293197631836,0.0013134467881172895
L0.H0,28,The default port for Apache HTTP server is,-0.00048828125,0.0,False,1,1.2149039506912231,1.2100814580917358,-0.004822492599487305,0.00037508062086999416
