head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L15.H6,41,-0.15256183903391768,1.0,0.07317073170731707,-0.7351371951219512,1,0.7925050411282516,0.11971151224541955
L11.H11,41,-0.1366482246212843,0.9512195121951219,0.12195121951219512,-0.7006478658536586,2,0.7204830886387243,0.11529985261036128
L14.H5,41,-0.12097875083365091,0.9512195121951219,0.0975609756097561,-0.5766006097560976,1,0.6165780323307689,0.09343645864779629
L12.H8,41,-0.10298640553544207,0.926829268292683,0.024390243902439025,-0.5884146341463414,1,0.5604117338250323,0.06753072259300275
L15.H7,41,-0.06363882669588415,0.9024390243902439,0.12195121951219512,-0.26391006097560976,1,0.25939283574499733,0.03446203822386451
L11.H1,41,-0.04727396150914634,0.975609756097561,0.024390243902439025,-0.3081173780487805,1,0.26053032206326,0.012992458642324114
L18.H15,41,-0.04473876953125,0.8536585365853658,0.07317073170731707,-0.20483993902439024,1,0.22786206225069558,0.019736859336972418
L12.H1,41,-0.040884994879001525,0.8292682926829268,0.07317073170731707,-0.10423018292682927,1,0.18061386375892452,0.025804356399287538
L23.H9,41,-0.02996975038109756,0.9512195121951219,0.04878048780487805,-0.5287728658536586,1,0.1793000051161138,0.009618569253489556
L16.H7,41,-0.029611727086509148,0.8536585365853658,0.0,-0.0861280487804878,1,0.11557277019430952,0.013340905445014558
L10.H10,41,-0.02609104063452744,0.8780487804878049,0.04878048780487805,-0.09965701219512195,1,0.13977208370115698,0.007034503235822407
L13.H13,41,-0.025722596703506097,0.7560975609756098,0.024390243902439025,-0.15929878048780488,1,0.12712346635213712,0.0090968856682416
L18.H8,41,-0.023153165491615852,0.7804878048780488,0.024390243902439025,-0.17130335365853658,1,0.13499093419168054,0.011512929595128077
L9.H11,41,-0.022438607564786585,0.8536585365853658,0.04878048780487805,-0.12709603658536586,1,0.12634280760113786,0.007815924020932714
L5.H3,41,-0.022227961842606708,0.8536585365853658,0.04878048780487805,-0.10861280487804878,1,0.10701363188464467,0.01076501924345815
L9.H3,41,-0.022212330887957318,0.9512195121951219,0.024390243902439025,-0.10651676829268293,1,0.11801444248455327,0.003906293086446367
