head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,165,-0.1302150841915246,0.8848484848484849,0.2606060606060606,-1.2034564393939393,1,0.7218798279762269,0.22808864053451652
L11.H11,165,-0.05877204663825757,0.7696969696969697,0.13333333333333333,-0.7933712121212121,1,0.3883443781823823,0.06811075383853732
L9.H11,165,-0.056706838896780305,0.8666666666666667,0.10909090909090909,-0.6177083333333333,1,0.42974876057017936,0.04093695292249322
L11.H1,165,-0.04843343098958333,0.8181818181818182,0.12121212121212122,-0.5106534090909091,1,0.34544604763840187,0.03896687190810388
L13.H6,165,-0.04815044981060606,0.7272727272727273,0.15757575757575756,-0.5957859848484849,1,0.34492957230770227,0.08865908052433621
L15.H7,165,-0.04744632605350379,0.7212121212121212,0.14545454545454545,-0.4722064393939394,1,0.2555370757074067,0.08178284333341501
L18.H0,165,-0.03639396898674242,0.6363636363636364,0.13333333333333333,-0.30823863636363635,1,0.17608771577025906,0.045945759653466554
L17.H6,165,-0.03367365056818182,0.7757575757575758,0.13333333333333333,-0.24114583333333334,1,0.18517221212387086,0.03412487137159615
L12.H1,165,-0.02880822383996212,0.8242424242424242,0.09090909090909091,-0.26590909090909093,1,0.13680275642510617,0.018559621136183993
L8.H2,165,-0.028553725733901514,0.793939393939394,0.07272727272727272,-0.28125,1,0.1713978521751635,0.020649597100969967
L22.H2,165,-0.02558038884943182,0.8424242424242424,0.06060606060606061,-0.31543560606060606,1,0.20220285979184238,0.015536569606047124
L12.H8,165,-0.021429258404356062,0.6060606060606061,0.10909090909090909,-0.36856060606060603,1,0.21185807170289936,0.030951680259948426
L14.H4,165,-0.021044551964962122,0.593939393939394,0.12121212121212122,-0.22840909090909092,1,0.11460233023672393,0.03199163704235671
L11.H6,165,-0.01712350556344697,0.696969696969697,0.07272727272727272,-0.27571022727272726,1,0.16669128049503673,0.024391294298270208
L13.H12,165,-0.016319691051136363,0.6484848484848484,0.09696969696969697,-0.2009469696969697,1,0.1652019172003775,0.025790101225544333
L23.H9,165,-0.016006007339015152,0.7090909090909091,0.06666666666666667,-0.38172348484848484,1,0.12997902740131725,0.008017453781300874
L12.H15,165,-0.01382168856534091,0.6484848484848484,0.08484848484848485,-0.12713068181818182,1,0.07996816526759755,0.013437669863924384
L11.H8,165,-0.013798384232954545,0.8121212121212121,0.024242424242424242,-0.17793560606060607,1,0.10626408511942083,0.0028994742435205613
L10.H13,165,-0.01321725556344697,0.5696969696969697,0.06666666666666667,-0.22537878787878787,1,0.07079603527531479,0.020010695461127343
L13.H9,165,-0.013092595880681818,0.6787878787878788,0.11515151515151516,-0.19540719696969697,1,0.09118855938766941,0.011348243248225613
L16.H6,165,-0.012094578598484848,0.6181818181818182,0.06666666666666667,-0.08589015151515152,1,0.07749220385695949,0.00997995778734824
L4.H2,165,-0.011142800071022727,0.7090909090909091,0.01818181818181818,-0.10080492424242424,1,0.06768388170184511,0.004008649983161101
L17.H12,165,-0.011000014796401515,0.6545454545454545,0.06666666666666667,-0.05677083333333333,1,0.015866570219849094,0.014692629008927862
L14.H5,165,-0.010252056699810606,0.6545454545454545,0.048484848484848485,-0.12698863636363636,1,0.06114136919830784,0.006637442521892037
L9.H1,165,-0.010010875355113637,0.793939393939394,0.024242424242424242,-0.1374526515151515,1,0.08304903760100855,0.0021737490075104163
