head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L15.H7,28,-0.12466648646763392,1.0,0.03571428571428571,-0.564453125,1,0.5729800718171256,0.06847448425001598
L12.H8,28,-0.07943943568638392,1.0,0.0,-0.5594308035714286,1,0.5368022407804217,0.03236229185547147
L11.H11,28,-0.07172720772879464,0.9642857142857143,0.03571428571428571,-0.5837053571428571,1,0.5137139303343636,0.05226536540846739
L23.H9,28,-0.07028416224888392,0.9642857142857143,0.0,-0.7366071428571429,1,0.4736930217061724,0.028895968105643988
L9.H15,28,-0.06303187779017858,1.0,0.0,-0.5147879464285714,1,0.45885562896728516,0.026542264768587693
L17.H6,28,-0.06068202427455357,1.0,0.03571428571428571,-0.27064732142857145,1,0.29365627254758564,0.024695109733979086
L19.H5,28,-0.04681396484375,1.0,0.0,-0.23967633928571427,1,0.23694077559879848,0.01081916015079644
L10.H1,28,-0.04298182896205357,1.0,0.0,-0.29324776785714285,1,0.2260254451206752,0.011130736841421043
L5.H9,28,-0.039143153599330356,0.9285714285714286,0.0,-0.30887276785714285,1,0.195980932031359,0.018621322249860635
L14.H7,28,-0.0387725830078125,1.0,0.0,-0.18694196428571427,1,0.22031696353639876,0.010698580771401924
L14.H4,28,-0.038279942103794644,0.9285714285714286,0.0,-0.36104910714285715,1,0.2859986424446106,0.01718174426683358
L11.H1,28,-0.03492518833705357,1.0,0.0,-0.216796875,1,0.22127007586615427,0.005335299015444305
L8.H7,28,-0.034297398158482144,1.0,0.0,-0.26395089285714285,1,0.2710275820323399,0.009329447971789964
L17.H0,28,-0.0329742431640625,1.0,0.0,-0.15094866071428573,1,0.17757391929626465,0.005871953392800476
L22.H2,28,-0.030310494559151784,0.9642857142857143,0.0,-0.14592633928571427,1,0.1404153278895787,0.004134790872090629
L7.H2,28,-0.030266898018973216,0.9285714285714286,0.0,-0.20479910714285715,1,0.13930652822766984,0.00872736144810915
L3.H15,28,-0.0282745361328125,0.9642857142857143,0.0,-0.16908482142857142,1,0.12347300563539777,0.006848944825053748
L4.H15,28,-0.028067452566964284,1.0,0.0,-0.21568080357142858,1,0.1529493076460702,0.0064468417632659635
L9.H14,28,-0.027675083705357144,0.9642857142857143,0.0,-0.142578125,1,0.15362623759678432,0.005409232602687553
L20.H11,28,-0.0259857177734375,0.6785714285714286,0.0,-0.11662946428571429,1,0.1308552282197135,0.007319057477746226
L14.H8,28,-0.024446759905133928,1.0,0.0,-0.18694196428571427,1,0.18542862789971487,0.0033783303432366146
L14.H5,28,-0.024189540318080356,1.0,0.0,-0.123046875,1,0.13754956211362565,0.0033371734649075995
L17.H2,28,-0.023956298828125,0.9642857142857143,0.0,-0.11635044642857142,1,0.1430508324078151,0.003712869020611314
L11.H8,28,-0.021002633231026784,0.8571428571428571,0.0,-0.15457589285714285,1,0.1386566162109375,0.0048341484964891735
L4.H6,28,-0.020956856863839284,1.0,0.0,-0.12276785714285714,1,0.0981235248701913,0.0023808496064572993
L7.H5,28,-0.018428257533482144,1.0,0.0,-0.09040178571428571,1,0.09335177285330636,0.0019038577572376067
L21.H10,28,-0.016363961356026784,0.8928571428571429,0.0,-0.09877232142857142,1,0.10061731508799962,0.0018966496676772035
