head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L23.H9,105,-0.08759533110119047,0.9809523809523809,0.0380952380952381,-0.8457589285714285,1,0.41626891720862613,0.03005501501084793
L5.H3,105,-0.08522716703869047,0.8761904761904762,0.01904761904761905,-0.5698660714285714,1,0.5022255105631692,0.06298825546566929
L12.H8,105,-0.06289760044642857,0.9142857142857143,0.009523809523809525,-0.6308779761904761,1,0.3733565725031353,0.027128902153067645
L14.H5,105,-0.03986467633928571,0.9238095238095239,0.009523809523809525,-0.3698660714285714,1,0.20779278846014113,0.010793736419596132
L17.H6,105,-0.03411342075892857,0.7333333333333333,0.047619047619047616,-0.2002232142857143,1,0.1441950826417832,0.03861907122967144
L11.H1,105,-0.032261439732142856,0.6666666666666666,0.01904761904761905,-0.2467261904761905,1,0.1458856551420121,0.0340324009458224
L11.H15,105,-0.027212379092261905,0.7238095238095238,0.009523809523809525,-0.09270833333333334,1,0.07173440569923037,0.013708528436143837
L12.H5,105,-0.02667178199404762,0.7047619047619048,0.047619047619047616,-0.22351190476190477,1,0.11860921865417844,0.015756565996534414
L11.H11,105,-0.024977911086309524,0.6761904761904762,0.01904761904761905,-0.4297619047619048,1,0.20163727885200863,0.03865293399652555
L20.H11,105,-0.023225911458333335,0.44761904761904764,0.009523809523809525,-0.1367559523809524,1,0.10795942601703462,0.01910720370215131
L23.H5,105,-0.02010556175595238,0.9428571428571428,0.0,-0.12462797619047619,1,0.0893307299841018,0.0020099908845233067
L16.H8,105,-0.017032877604166666,0.6666666666666666,0.02857142857142857,-0.00029761904761904765,1,0.04756070857956296,0.008064277894750593
L14.H7,105,-0.016796875,0.8571428571428571,0.0,-0.20930059523809524,1,0.10509597971325829,0.004162479843944311
L17.H0,105,-0.015938895089285716,0.8,0.0,-0.08162202380952381,1,0.05548115599723089,0.006535098672334459
L22.H2,105,-0.015376209077380952,0.6571428571428571,0.0,-0.1324404761904762,1,0.08586376962207612,0.006757932388046313
L17.H2,105,-0.015030924479166667,0.5904761904761905,0.02857142857142857,0.03891369047619048,1,0.03252465724945068,0.017777577053666824
L5.H14,105,-0.01478329613095238,0.7904761904761904,0.009523809523809525,-0.14300595238095237,1,0.07534937319301424,0.002770898782182485
L9.H3,105,-0.014341517857142856,0.8476190476190476,0.0,-0.16450892857142857,1,0.09614313017754328,0.0027637014259761644
L7.H5,105,-0.014255487351190477,0.9047619047619048,0.0,-0.13459821428571428,1,0.07649716678119842,0.001749372155782545
L16.H6,105,-0.013909040178571428,0.7333333333333333,0.0,-0.22194940476190475,1,0.09346217399551755,0.01581428169073271
L6.H5,105,-0.01380673363095238,0.8476190476190476,0.0,-0.1605654761904762,1,0.10014573733011882,0.002489303546913323
L4.H2,105,-0.013711402529761905,0.8666666666666667,0.0,-0.1103422619047619,1,0.06676768547012693,0.0020649398466394773
L23.H10,105,-0.011302548363095239,0.9142857142857143,0.0,-0.11808035714285714,1,0.056109507594789776,0.0010180669379354055
L2.H10,105,-0.010988653273809525,0.9428571428571428,0.0,-0.08601190476190476,1,0.059283165136973064,0.0009184811289222645
L10.H1,105,-0.010886346726190476,0.9142857142857143,0.0,-0.10617559523809524,1,0.06372595997083755,0.0009482765512075275
L13.H8,105,-0.010430617559523809,0.7428571428571429,0.0,-0.14263392857142856,1,0.06301477664992923,0.0029480655428155192
L17.H11,105,-0.010395740327380953,0.7904761904761904,0.0,-0.12328869047619048,1,0.05699673862684341,0.0032701917497130733
L13.H4,105,-0.010314360119047619,0.6952380952380952,0.0,-0.06994047619047619,1,0.04686925099009559,0.004283703315637207
L11.H3,105,-0.010139973958333333,0.6952380952380952,0.009523809523809525,-0.10282738095238095,1,0.050938959348769415,0.006022383935938013
L10.H2,105,-0.010128348214285715,0.8952380952380953,0.0,-0.08110119047619048,1,0.045068334397815525,0.0010052224483972948
L15.H10,105,-0.00984468005952381,0.6761904761904762,0.0,-0.07611607142857142,1,0.040791365646180654,0.00297499422283311
L7.H14,105,-0.009319196428571428,0.7142857142857143,0.0,-0.05505952380952381,1,0.05203851858774821,0.0019299353154132231
L10.H10,105,-0.00924711681547619,0.6285714285714286,0.0,-0.14895833333333333,1,0.08084432709784735,0.00491319507460243
L10.H14,105,-0.008835565476190476,0.638095238095238,0.0,-0.0996279761904762,1,0.05664385613941011,0.0018562992782487223
L13.H2,105,-0.008803013392857143,0.8285714285714286,0.0,-0.10357142857142858,1,0.05185830621492295,0.0010357011798381186
L16.H7,105,-0.008077566964285715,0.6285714285714286,0.009523809523809525,-0.030952380952380953,1,0.024692755937576295,0.0029359479614954795
L8.H11,105,-0.007877604166666666,0.7904761904761904,0.0,-0.07849702380952381,1,0.054841120470137825,0.00103046197410939
L3.H4,105,-0.00783110119047619,0.7142857142857143,0.0,-0.06517857142857143,1,0.04181454351970128,0.0012910114675399936
L19.H2,105,-0.007596261160714286,0.7619047619047619,0.0,-0.0703125,1,0.030267196609860374,0.001023932331286016
L6.H12,105,-0.007340494791666667,0.8095238095238095,0.0,-0.09404761904761905,1,0.04323277104468573,0.0010255943990722743
L8.H1,105,-0.007266090029761905,0.6476190476190476,0.009523809523809525,-0.020089285714285716,1,0.01600847698393322,0.002142690998915073
L14.H14,105,-0.006819661458333333,0.5714285714285714,0.0,-0.031994047619047616,1,0.019060286169960385,0.0036922263186646713
L23.H0,105,-0.006461588541666666,0.9428571428571428,0.0,-0.05952380952380952,1,0.026746167171569097,0.000263063121279369
L7.H12,105,-0.0064592633928571425,0.7428571428571429,0.0,-0.06681547619047619,1,0.03683315856116159,0.0005369381495429912
L3.H5,105,-0.006310453869047619,0.7047619047619048,0.0,-0.05818452380952381,1,0.03308553695678711,0.0009726362383974317
L13.H6,105,-0.006238374255952381,0.5142857142857142,0.0,-0.0380952380952381,1,0.02117911321776254,0.014320089595137342
L23.H11,105,-0.006096540178571429,0.9047619047619048,0.0,-0.08668154761904762,1,0.0330892060484205,0.0002885856276233902
L23.H1,105,-0.00603608630952381,0.9333333333333333,0.0,-0.08757440476190476,1,0.03197436474618458,0.0002448977245963068
L23.H12,105,-0.005822172619047619,0.9142857142857143,0.0,-0.16941964285714287,1,0.039701936074665614,0.0003350589501981934
L22.H9,105,-0.005777994791666667,0.7619047619047619,0.0,-0.04404761904761905,1,0.02576143883523487,0.0007346155819028527
L4.H9,105,-0.005696614583333333,0.7714285714285715,0.0,-0.05327380952380952,1,0.029519551140921457,0.00037410776671354794
