head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L14.H4,50,-0.09845947265625,0.94,0.16,-0.670625,1,0.5527478134632111,0.05796072106808424
L15.H7,50,-0.09452880859375,0.96,0.16,-0.6059375,1,0.5428202688694,0.07535414982587099
L11.H11,50,-0.09205078125,0.98,0.06,-0.9284375,1,0.6995050537586213,0.043731730468571185
L23.H9,50,-0.0744287109375,0.86,0.06,-0.63453125,1,0.4507766091823578,0.030053735789842904
L17.H6,50,-0.068046875,0.9,0.04,-0.26109375,1,0.37294596552848813,0.04245145414955914
L12.H8,50,-0.04787109375,0.92,0.02,-0.54125,1,0.4111228907108307,0.022649690667167308
L16.H6,50,-0.04338623046875,0.74,0.06,-0.37,1,0.2572233211994171,0.02954727246426046
L11.H3,50,-0.03810546875,0.76,0.04,-0.2496875,1,0.24280134797096253,0.018882274557836354
L5.H3,50,-0.03768310546875,1.0,0.0,-0.35390625,1,0.28604049324989317,0.00828659262508154
L11.H1,50,-0.03576904296875,1.0,0.0,-0.23515625,1,0.25017923474311826,0.007751976866275072
L9.H11,50,-0.02873046875,0.94,0.02,-0.33203125,1,0.23564320921897888,0.0060912336362525825
L17.H2,50,-0.02757080078125,0.94,0.02,-0.1515625,1,0.20398885369300843,0.006477458676090464
L14.H8,50,-0.02604736328125,0.92,0.0,-0.25921875,1,0.2298020279407501,0.006056392192840576
L8.H7,50,-0.02312744140625,0.98,0.02,-0.25296875,1,0.1723296082019806,0.003852741569280624
L23.H6,50,-0.0217431640625,0.86,0.02,-0.201875,1,0.15130465149879455,0.004366494701243937
L19.H5,50,-0.0196337890625,0.82,0.04,-0.1046875,1,0.10645060658454895,0.0033642961556324736
L23.H14,50,-0.01939697265625,0.82,0.02,-0.1646875,1,0.12547107577323913,0.0024036724295001476
L9.H3,50,-0.0189111328125,0.98,0.0,-0.1665625,1,0.15401283621788026,0.0025069757748860865
L15.H3,50,-0.018262939453125,0.52,0.02,-0.0971875,1,0.07255936980247497,0.011704153547179885
L22.H2,50,-0.016141357421875,0.82,0.04,-0.12625,1,0.12546493887901305,0.005966803256887943
L23.H10,50,-0.01438232421875,0.84,0.02,-0.13734375,1,0.08637582898139953,0.001399375378387049
L12.H3,50,-0.013955078125,0.9,0.0,-0.11015625,1,0.10861973643302918,0.002464439051691443
L11.H2,50,-0.0135107421875,0.82,0.0,-0.2603125,1,0.13011751770973207,0.0031302039325237273
L13.H2,50,-0.0133349609375,0.9,0.04,-0.110625,1,0.08762022852897644,0.002103902519447729
L6.H6,50,-0.01302490234375,0.96,0.0,-0.124375,1,0.09537604451179504,0.0016940968565177172
L9.H1,50,-0.0128662109375,0.92,0.02,-0.12234375,1,0.10906355619430542,0.0016274915507528932
L3.H3,50,-0.012509765625,0.86,0.0,-0.1296875,1,0.10142363667488098,0.0015448452718555927
L23.H5,50,-0.0119140625,0.84,0.02,-0.06578125,1,0.06153020262718201,0.001110311395023018
L10.H10,50,-0.0114697265625,0.72,0.0,-0.070625,1,0.11066196799278259,0.0028656069026328623
L13.H8,50,-0.0110791015625,0.84,0.0,-0.06,1,0.06881301760673524,0.0012606842064997181
L23.H13,50,-0.011005859375,0.78,0.02,-0.10171875,1,0.08412123560905456,0.0023796149948611856
L1.H5,50,-0.0107421875,1.0,0.0,-0.0909375,1,0.07247661471366883,0.0010690590311423875
L21.H10,50,-0.01044921875,0.8,0.02,-0.055625,1,0.07690384149551392,0.002065884098992683
L7.H15,50,-0.01001708984375,0.82,0.04,-0.12578125,1,0.06736502289772034,0.0019275515677873046
L14.H7,50,-0.00986572265625,0.78,0.0,-0.06828125,1,0.07541298747062683,0.0020874122832901776
L20.H11,50,-0.0095458984375,0.4,0.0,-0.02890625,1,0.05265572667121887,0.004348299036500976
L3.H15,50,-0.00900390625,0.9,0.0,-0.0784375,1,0.06019304990768433,0.0007360821089241654
L1.H11,50,-0.00883056640625,0.72,0.02,-0.05625,1,0.03761296391487121,0.0021184800984337926
L17.H0,50,-0.008623046875,0.68,0.02,-0.04765625,1,0.0633859658241272,0.0039970378775615245
L23.H12,50,-0.00859375,1.0,0.0,-0.15640625,1,0.07213284850120544,0.0004940862505463883
L14.H5,50,-0.00850341796875,0.82,0.0,-0.055,1,0.05440737128257751,0.0009659221774199978
L9.H15,50,-0.00841796875,0.82,0.0,-0.084375,1,0.06150148987770081,0.0008992966584628447
L3.H14,50,-0.00837646484375,0.86,0.0,-0.08890625,1,0.05608609199523926,0.0007676084102422465
L10.H2,50,-0.008271484375,0.86,0.02,-0.08125,1,0.04781304955482483,0.0009505859622731805
L11.H8,50,-0.00822265625,0.86,0.02,-0.08609375,1,0.06263739943504333,0.0009514789452077821
L8.H4,50,-0.00822021484375,0.86,0.0,-0.10890625,1,0.05015930056571961,0.0010542397474637255
L6.H5,50,-0.007900390625,0.86,0.0,-0.08625,1,0.0603970468044281,0.0006892212986713275
L4.H13,50,-0.00785400390625,0.92,0.0,-0.063125,1,0.04903494596481323,0.00048482956844964065
L22.H0,50,-0.0075927734375,0.68,0.02,-0.14359375,1,0.08984745860099792,0.004701121833641082
