head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H8,101,-0.19275204497988863,1.0,0.2871287128712871,-0.8052289603960396,1,0.7287802743439628,0.09986876912119955
L17.H0,101,-0.14372661326191213,0.9603960396039604,0.26732673267326734,-0.7359220297029703,1,0.4463153050677611,0.08958004835513558
L22.H2,101,-0.14025274597772278,1.0,0.1188118811881188,-0.6543162128712872,1,0.49865827820088604,0.04689167221399522
L10.H7,101,-0.13608906056621287,1.0,0.1188118811881188,-0.6015625,1,0.688762878427411,0.06770719132284717
L10.H14,101,-0.09839229772586634,1.0,0.07920792079207921,-0.437654702970297,1,0.4270015199585716,0.02801793172844861
L15.H15,101,-0.09206820950649752,0.9900990099009901,0.12871287128712872,-0.41646039603960394,1,0.3210113508866565,0.04262568659349667
L5.H3,101,-0.07815884127475248,1.0,0.019801980198019802,-0.39689047029702973,1,0.5288586982406012,0.02980213229645892
L17.H2,101,-0.05979269801980198,1.0,0.019801980198019802,-0.25386757425742573,1,0.2252287711247359,0.009734591397705793
L13.H6,101,-0.057599058245668314,0.9108910891089109,0.04950495049504951,-0.19933477722772278,1,0.28856130991831863,0.01647736138138588
L9.H15,101,-0.05538608060024752,1.0,0.039603960396039604,-0.22091584158415842,1,0.24280484123985366,0.009382530717216063
L19.H5,101,-0.051786819306930694,0.9702970297029703,0.06930693069306931,-0.24752475247524752,1,0.17684921769812556,0.02160375441844105
L13.H4,101,-0.051224812422648515,1.0,0.0,-0.20799814356435645,1,0.22128231572632742,0.007026871553354777
L17.H13,101,-0.047741578357054455,0.8217821782178217,0.04950495049504951,-0.23360148514851486,1,0.1822332226403869,0.030827987952734746
L16.H13,101,-0.04126278716738861,0.7227722772277227,0.07920792079207921,-0.20869430693069307,1,0.1345321754417797,0.03236159795894066
L23.H13,101,-0.0382877765315594,1.0,0.019801980198019802,-0.17844987623762376,1,0.13658738136291504,0.003643437387827452
L14.H3,101,-0.03582098932549505,0.9900990099009901,0.0,-0.17365408415841585,1,0.17216967356086957,0.0037551392549833302
L2.H2,101,-0.03539193030631188,1.0,0.009900990099009901,-0.1360612623762376,1,0.15030381585111713,0.0049938444961046815
L8.H2,101,-0.03363218401918317,1.0,0.0,-0.1203589108910891,1,0.1133647590580553,0.005234904176933636
L17.H7,101,-0.033374144299195545,0.7524752475247525,0.04950495049504951,-0.17164294554455445,1,0.11115258755070148,0.019757259643456836
L11.H11,101,-0.030523621209777228,1.0,0.009900990099009901,-0.1373762376237624,1,0.11007403147102583,0.0029965358887716095
L23.H9,101,-0.028864190129950496,0.9900990099009901,0.0,-0.2988087871287129,1,0.12331782827282896,0.0034095825763456153
L11.H13,101,-0.02599009900990099,1.0,0.0,-0.07681002475247525,1,0.09174302780982291,0.0023573677996081292
L11.H1,101,-0.02376866104579208,0.9900990099009901,0.0,-0.109375,1,0.12470764924984166,0.0033351005744281233
L16.H8,101,-0.02204638188428218,0.9702970297029703,0.0,-0.06520730198019802,1,0.09987329492474546,0.0018959402759089181
L23.H4,101,-0.021287370436262377,0.9801980198019802,0.0,-0.11680074257425743,1,0.08096459950550948,0.0013217658440162897
L11.H14,101,-0.021120581296410892,0.9801980198019802,0.0,-0.12561881188118812,1,0.06796248124377562,0.002059530005744188
L1.H13,101,-0.02108553140470297,0.9306930693069307,0.0,-0.14317759900990099,1,0.13476357719685772,0.0035681102567785743
L11.H5,101,-0.02092841120049505,1.0,0.0,-0.011602722772277228,1,0.015705378928987105,0.0021875290970069052
L9.H1,101,-0.02081963567450495,1.0,0.0,-0.06474319306930693,1,0.06972212012451474,0.0016762825837912092
