head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L10.H0,27,-0.10836961534288195,1.0,0.2222222222222222,-0.6102430555555556,1,0.4925289242355912,0.06729635532462487
L5.H11,27,-0.051830150462962965,0.9629629629629629,0.07407407407407407,-0.2806712962962963,1,0.2792443346094202,0.020439302514272707
L8.H3,27,-0.04490379050925926,1.0,0.1111111111111111,-0.24074074074074073,1,0.23891292677985299,0.010059253329894057
L10.H9,27,-0.04281277126736111,1.0,0.037037037037037035,-0.22193287037037038,1,0.19185063574049208,0.010476540200653727
L9.H12,27,-0.04097041377314815,0.9259259259259259,0.037037037037037035,-0.23177083333333334,1,0.20308227009243435,0.013234279334062227
L8.H6,27,-0.038981119791666664,0.8518518518518519,0.1111111111111111,-0.23582175925925927,1,0.18961064903824418,0.014014582580852288
L14.H3,27,-0.03261085792824074,0.9629629629629629,0.0,-0.11082175925925926,1,0.1608241840645119,0.005536534659633482
L15.H11,27,-0.031642772533275465,0.5925925925925926,0.037037037037037035,-0.21238425925925927,1,0.17245199062206126,0.017973158916262305
L2.H5,27,-0.030470106336805556,0.6296296296296297,0.037037037037037035,-0.14814814814814814,1,0.14362604529769332,0.021090450759166508
L10.H3,27,-0.028487594039351853,0.9259259259259259,0.037037037037037035,-0.11516203703703703,1,0.13011301888359916,0.0067319120582262125
L6.H2,27,-0.028182418258101853,0.8888888888888888,0.0,-0.13570601851851852,1,0.1515312636340106,0.008854133587899722
L8.H4,27,-0.027144820601851853,0.8148148148148148,0.037037037037037035,-0.13831018518518517,1,0.1553108427259657,0.013198466057440749
L22.H2,27,-0.026543511284722224,0.9629629629629629,0.037037037037037035,-0.18344907407407407,1,0.15366019142998588,0.00441073022213661
L16.H8,27,-0.02544939959490741,0.9259259259259259,0.037037037037037035,-0.07407407407407407,1,0.12037792029204192,0.004920478763610676
L17.H2,27,-0.022133156105324073,0.9259259259259259,0.037037037037037035,-0.03761574074074074,1,0.09399331057513202,0.005606460617855191
L7.H15,27,-0.021633572048611112,0.7777777777777778,0.0,-0.11140046296296297,1,0.11572970284356011,0.0063729092125194495
L15.H1,27,-0.020360876012731483,0.6296296296296297,0.037037037037037035,-0.10416666666666667,1,0.09265872284218117,0.010414595782532598
L12.H12,27,-0.019648799189814815,0.7777777777777778,0.0,-0.1076388888888889,1,0.12400893811826352,0.00566506104142819
L11.H6,27,-0.018812391493055556,1.0,0.037037037037037035,-0.11458333333333333,1,0.1074706889964916,0.0034255956027967236
L7.H4,27,-0.018276638454861112,0.7777777777777778,0.07407407407407407,-0.13744212962962962,1,0.09447898688139739,0.005945616574199112
L12.H1,27,-0.017557779947916668,0.9629629629629629,0.0,-0.08304398148148148,1,0.10134733164751972,0.0017754732829484124
L12.H15,27,-0.017451533564814815,0.8888888888888888,0.0,-0.10590277777777778,1,0.102291707639341,0.002661404376677065
L13.H4,27,-0.016698766637731483,0.9259259259259259,0.0,-0.04369212962962963,1,0.07631136752940991,0.0024007083158250207
L15.H14,27,-0.01631447120949074,0.8148148148148148,0.037037037037037035,-0.07436342592592593,1,0.09490087297227648,0.003957303474399615
L9.H5,27,-0.016065809461805556,0.7777777777777778,0.0,-0.0931712962962963,1,0.09536315776683667,0.002424255207491418
L7.H3,27,-0.015708640769675927,0.8148148148148148,0.0,-0.1166087962962963,1,0.0994039464879919,0.003235130710958469
L17.H8,27,-0.015196623625578705,0.5555555555555556,0.07407407407407407,-0.13194444444444445,1,0.06460248099433051,0.017383576681755518
L8.H11,27,-0.01447437427662037,0.8518518518518519,0.037037037037037035,-0.07118055555555555,1,0.07748430746572989,0.0019439445049674422
L23.H9,27,-0.014214409722222222,1.0,0.0,-0.20457175925925927,1,0.10039016935560438,0.0018519594213338914
L16.H3,27,-0.014130768952546295,0.7777777777777778,0.037037037037037035,-0.08391203703703703,1,0.08717490125585485,0.004043536944125124
L8.H9,27,-0.013812029803240741,0.8518518518518519,0.037037037037037035,-0.043402777777777776,1,0.06575647106877079,0.00211611541238165
L9.H3,27,-0.013588234230324073,0.9629629629629629,0.037037037037037035,-0.053530092592592594,1,0.06289724950437192,0.0011444582250314179
L1.H11,27,-0.013249150028935185,0.5925925925925926,0.0,-0.05092592592592592,1,0.05575610090185095,0.007980192920917438
L4.H15,27,-0.012525770399305556,0.6666666666666666,0.037037037037037035,-0.05555555555555555,1,0.07528958497224031,0.009734639363294398
L10.H4,27,-0.011843080873842593,0.9629629629629629,0.0,-0.06452546296296297,1,0.06297074423895942,0.0007338553971041822
L6.H6,27,-0.01146556712962963,0.8518518518518519,0.037037037037037035,-0.0390625,1,0.04397365781995985,0.0035411692935869927
L11.H1,27,-0.011271158854166666,0.9259259259259259,0.0,-0.06336805555555555,1,0.06941000620524089,0.0011649193135478224
L22.H15,27,-0.01111404984085648,0.37037037037037035,0.07407407407407407,-0.09809027777777778,1,0.051696450621993455,0.01096851453621639
L8.H14,27,-0.01109935619212963,0.8518518518518519,0.0,-0.04832175925925926,1,0.05150915958263256,0.0014289286994392536
L13.H6,27,-0.010904947916666666,0.8148148148148148,0.0,-0.09375,1,0.09205849965413411,0.0033554700246356704
L1.H3,27,-0.01003463179976852,0.6296296296296297,0.0,-0.05324074074074074,1,0.05928284150582773,0.0043570212847380725
L10.H10,27,-0.009898998119212963,0.7777777777777778,0.037037037037037035,-0.04369212962962963,1,0.04808241349679453,0.0018432815192715713
