head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L13.H13,50,-0.02040802001953125,0.92,0.26,-0.2634375,1,0.1770486354827881,0.0307288924138993
L9.H2,50,-0.0177587890625,0.86,0.28,-0.4834375,1,0.2693626308441162,0.046676545217633245
L12.H8,50,-0.01770233154296875,0.94,0.16,-0.3521875,1,0.2293839931488037,0.017866595201194286
L18.H2,50,-0.01552093505859375,0.96,0.14,-0.36734375,1,0.22346009254455568,0.018181643988937138
L23.H6,50,-0.012957916259765626,0.8,0.2,-0.290625,1,0.15578537940979004,0.01752608420327306
L16.H4,50,-0.0127001953125,0.92,0.14,-0.19296875,1,0.10878582000732422,0.00891310876701027
L11.H1,50,-0.01145538330078125,0.9,0.08,-0.1553125,1,0.12128981590270996,0.010269791134633124
L14.H7,50,-0.01109710693359375,0.88,0.14,-0.1546875,1,0.12056137084960937,0.01224666294758208
L8.H15,50,-0.009644775390625,0.86,0.1,-0.35515625,1,0.1524211025238037,0.012076907018199563
L18.H4,50,-0.0088214111328125,0.8,0.1,-0.109375,1,0.08479330062866211,0.00893426510039717
L11.H4,50,-0.00776702880859375,0.82,0.16,-0.1546875,1,0.04486146926879883,0.00414835546631366
L14.H15,50,-0.00738983154296875,0.76,0.14,-0.30609375,1,0.1129608154296875,0.011622467581182717
L12.H15,50,-0.00675048828125,0.96,0.08,-0.1015625,1,0.0473992919921875,0.0011954462571884506
L16.H8,50,-0.0059124755859375,0.7,0.06,-0.05484375,1,0.029016809463500978,0.004942291658371687
L10.H14,50,-0.00494873046875,0.82,0.12,-0.12421875,1,0.05337779998779297,0.0029523669835180046
L11.H2,50,-0.00480255126953125,0.86,0.04,-0.10609375,1,0.04981770515441895,0.002825281585101038
L14.H5,50,-0.004637451171875,0.88,0.08,-0.07109375,1,0.04960574150085449,0.003171357759274542
L9.H11,50,-0.00417724609375,0.74,0.06,-0.07796875,1,0.045315332412719726,0.0036706954007968305
L13.H6,50,-0.00415191650390625,0.94,0.1,-0.056875,1,0.029536685943603515,0.0007025096518918872
L9.H7,50,-0.0041400146484375,0.84,0.06,-0.09359375,1,0.05292514801025391,0.0016487460187636317
L23.H9,50,-0.00411407470703125,0.7,0.2,-0.209375,1,0.061010217666625975,0.005330584007315338
L16.H6,50,-0.003770751953125,0.68,0.08,-0.05109375,1,0.043067617416381834,0.005716355447657406
L9.H3,50,-0.003314208984375,0.74,0.1,-0.01109375,1,0.034826927185058594,0.0019655952986795456
L13.H5,50,-0.0032574462890625,0.84,0.04,-0.04453125,1,0.04530709266662598,0.0012175414961529895
L13.H8,50,-0.00322052001953125,0.76,0.04,-0.02171875,1,0.04137053489685059,0.0041525194887071844
L22.H3,50,-0.00319976806640625,0.8,0.04,-0.03359375,1,0.027251949310302736,0.0016504392633214593
L16.H0,50,-0.00292999267578125,0.84,0.08,-0.03875,1,0.014751825332641601,0.0012053734765504487
L23.H13,50,-0.00275146484375,0.74,0.06,-0.05140625,1,0.02779958724975586,0.0014786234009079636
L11.H11,50,-0.002698211669921875,0.58,0.12,-0.0384375,1,0.14030948638916016,0.022571383751928808
L23.H12,50,-0.00269378662109375,0.96,0.0,-0.13140625,1,0.0424262809753418,0.0004507799551356584
L13.H2,50,-0.00259674072265625,0.78,0.04,-0.0375,1,0.025626516342163085,0.0009780386750935577
L13.H9,50,-0.0025738525390625,0.72,0.04,-0.045625,1,0.010534658432006835,0.003489165864884853
L22.H5,50,-0.00244537353515625,0.68,0.14,-0.02859375,1,0.0008769702911376954,0.004307935056276619
L12.H9,50,-0.00239410400390625,0.56,0.02,-0.04484375,1,0.03253382682800293,0.008762653013691305
L10.H13,50,-0.00237152099609375,0.64,0.04,-0.03546875,1,0.040500612258911134,0.004901868731249124
L23.H0,50,-0.00225555419921875,0.74,0.02,-0.040625,1,0.01999797821044922,0.0011977697908878327
L21.H11,50,-0.0022454833984375,0.68,0.1,-0.0640625,1,0.02392867088317871,0.005549808077048511
L23.H2,50,-0.00223663330078125,0.6,0.02,-0.05203125,1,0.025114984512329103,0.0016967959864996373
L0.H0,50,-0.0021343994140625,0.92,0.08,-0.11078125,1,0.025602922439575196,0.0006053378497017548
L13.H15,50,-0.002130126953125,0.78,0.0,-0.035,1,0.015184478759765625,0.0004907266801455989
L5.H12,50,-0.00210601806640625,0.7,0.04,-0.0484375,1,0.018023738861083983,0.0006958099477924407
L1.H13,50,-0.00209014892578125,0.78,0.02,-0.08546875,1,0.02527137756347656,0.0006093596888240427
L11.H8,50,-0.00203399658203125,0.72,0.02,-0.04109375,1,0.03573569297790527,0.0009233875025529414
L5.H3,50,-0.00203033447265625,0.72,0.02,-0.0196875,1,0.02537083625793457,0.0020320955128408967
L15.H5,50,-0.00178802490234375,0.62,0.08,-0.06375,1,0.044450502395629886,0.006090498017147184
L23.H10,50,-0.00178497314453125,0.78,0.06,-0.06578125,1,0.01988734245300293,0.001115659773349762
L22.H9,50,-0.0017474365234375,0.8,0.0,-0.0471875,1,0.024357500076293944,0.0009200895414687694
L23.H15,50,-0.001700439453125,0.56,0.04,-0.01890625,1,0.010844907760620116,0.0015928114741109313
L8.H0,50,-0.00167449951171875,0.84,0.0,-0.04515625,1,0.025496425628662108,0.0003023542897426523
L12.H3,50,-0.001668701171875,0.56,0.1,-0.0290625,1,0.018797883987426756,0.004993362133391201
L14.H0,50,-0.00166412353515625,0.54,0.06,-0.030625,1,0.007762870788574219,0.000913921360479435
L14.H3,50,-0.001650390625,0.68,0.1,-0.02265625,1,0.012359838485717773,0.002352176373824477
L10.H0,50,-0.00156524658203125,0.86,0.04,-0.02890625,1,0.011897554397583008,0.00015085207793163135
L15.H3,50,-0.0015435791015625,0.66,0.06,-0.02140625,1,0.008943185806274415,0.00039141144246968907
L20.H13,50,-0.001512451171875,0.66,0.02,-0.02140625,1,0.018777618408203123,0.0008555490348953754
L15.H11,50,-0.00150299072265625,0.6,0.04,-0.030625,1,0.008146095275878906,0.0005294371312629664
L22.H2,50,-0.00147003173828125,0.56,0.04,0.0078125,1,0.01599283218383789,0.0023874371103011073
L8.H8,50,-0.001441650390625,0.62,0.02,-0.00921875,1,0.020861129760742187,0.0011816912598442287
L21.H10,50,-0.00141754150390625,0.7,0.04,-0.00796875,1,0.014397640228271485,0.000925420016865246
L23.H5,50,-0.00138275146484375,0.72,0.0,-0.03265625,1,0.013874006271362305,0.0010150662169326097
L9.H8,50,-0.00136871337890625,0.82,0.02,-0.03625,1,0.021525325775146483,0.00023461060685804115
L11.H7,50,-0.0013568115234375,0.88,0.02,-0.02109375,1,0.015457916259765624,0.00019819042674498632
L9.H12,50,-0.0013189697265625,0.82,0.02,-0.0325,1,0.01443796157836914,0.0001154515908274334
L14.H12,50,-0.001314697265625,0.84,0.04,-0.0221875,1,0.012202205657958985,0.0002532445189717691
L15.H13,50,-0.00123077392578125,0.62,0.0,-0.00875,1,0.010021324157714845,0.0007161471445579082
L13.H4,50,-0.0012286376953125,0.62,0.08,0.07578125,1,-0.003983907699584961,0.003171957365702838
L9.H1,50,-0.0012255859375,0.6,0.02,-0.036875,1,0.030878334045410155,0.0008039313449990004
L0.H7,50,-0.0011962890625,0.74,0.0,-0.06609375,1,0.021142492294311522,0.0005146536586107686
L23.H8,50,-0.00119415283203125,0.88,0.0,-0.07140625,1,0.020632410049438478,0.00017767033859854563
L6.H13,50,-0.0011676025390625,0.58,0.04,0.010625,1,0.028653631210327147,0.0013069768785499037
