head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,50,-0.017366943359375,0.98,0.16,-0.47234375,1,0.24610156059265137,0.03938794799149036
L12.H8,50,-0.016957550048828124,0.96,0.12,-0.32546875,1,0.21349953651428222,0.015170122040435672
L23.H6,50,-0.01211761474609375,0.86,0.16,-0.25875,1,0.13273372650146484,0.014415349401533604
L23.H9,50,-0.0117803955078125,0.8,0.2,-0.31703125,1,0.11777236938476562,0.008556842105463147
L18.H2,50,-0.01163665771484375,0.78,0.12,-0.3034375,1,0.1927831554412842,0.016760663036257027
L16.H4,50,-0.01144805908203125,0.88,0.12,-0.166875,1,0.08759028434753419,0.009375465514604003
L22.H0,50,-0.010682525634765625,0.78,0.12,-0.23234375,1,0.12161240577697754,0.01614731227979064
L11.H1,50,-0.0094281005859375,0.76,0.18,-0.1046875,1,0.11313714981079101,0.0121338692586869
L8.H15,50,-0.0087957763671875,0.88,0.1,-0.31375,1,0.11876165390014648,0.009058659095317126
L18.H4,50,-0.0067803955078125,0.74,0.1,-0.108125,1,0.0833312702178955,0.00882359259063378
L14.H5,50,-0.00666229248046875,0.8,0.06,-0.09875,1,0.07179931640625,0.005329425549134612
L13.H13,50,-0.0065771484375,0.66,0.1,-0.07640625,1,0.07664097785949707,0.010607471414841712
L23.H2,50,-0.0061602783203125,0.76,0.12,-0.1040625,1,0.051624908447265624,0.0023978609684854745
L16.H8,50,-0.00602996826171875,0.64,0.14,-0.0546875,1,0.04210389137268066,0.005307503431104124
L23.H10,50,-0.005413818359375,0.78,0.08,-0.11421875,1,0.04767231941223145,0.0017476106830872596
L11.H4,50,-0.0053759765625,0.66,0.08,-0.09234375,1,0.03020512580871582,0.0036892760591581463
L11.H11,50,-0.004675140380859375,0.66,0.16,-0.11046875,1,0.13652859687805174,0.023494332153350114
L14.H15,50,-0.004345703125,0.58,0.1,-0.20765625,1,0.06588953018188476,0.009661860894411803
L12.H15,50,-0.00418182373046875,0.8,0.06,-0.0584375,1,0.03500551223754883,0.000725460582470987
L9.H7,50,-0.0039984130859375,0.88,0.12,-0.08828125,1,0.04962137222290039,0.0016590604139491915
L10.H14,50,-0.00397735595703125,0.74,0.1,-0.0884375,1,0.04799582481384277,0.002903813801240176
L16.H0,50,-0.00392578125,0.74,0.04,-0.03171875,1,0.024320812225341798,0.0025989291263977064
L15.H5,50,-0.00380859375,0.58,0.08,-0.104375,1,0.0561766242980957,0.00719014011323452
L9.H11,50,-0.00336395263671875,0.74,0.04,-0.05234375,1,0.03722540855407715,0.003448884901590645
L21.H11,50,-0.00335418701171875,0.66,0.04,-0.066875,1,0.03156566619873047,0.00449640196049586
