head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L15.H7,35,-0.060090855189732145,0.8857142857142857,0.2857142857142857,-0.39888392857142857,1,0.2697624547140939,0.05895195345261267
L11.H1,35,-0.05249808175223214,1.0,0.2571428571428571,-0.46495535714285713,1,0.29732181685311454,0.027693913344826016
L23.H9,35,-0.051239013671875,0.9142857142857143,0.2857142857142857,-0.6383928571428571,2,0.24048515047345842,0.032433887464659555
L14.H5,35,-0.03872419084821429,0.8857142857142857,0.2571428571428571,-0.3122767857142857,1,0.18660054206848145,0.0620110811399562
L13.H8,35,-0.03521641322544643,0.9142857142857143,0.14285714285714285,-0.5183035714285714,1,0.2938487734113421,0.02880657897996051
L11.H11,35,-0.03231724330357143,0.8571428571428571,0.3142857142857143,-0.29776785714285714,1,0.11741514205932617,0.03533776221530778
L16.H15,35,-0.0186767578125,0.6857142857142857,0.11428571428571428,-0.14017857142857143,1,0.09404292106628417,0.02119465684518218
L22.H2,35,-0.017947823660714287,0.9428571428571428,0.02857142857142857,-0.13191964285714286,1,0.08921449525015694,0.00359956695465371
L6.H15,35,-0.017679268973214285,0.8857142857142857,0.11428571428571428,-0.23415178571428572,1,0.17245216369628907,0.010859885585627385
L5.H14,35,-0.016636439732142856,0.9428571428571428,0.08571428571428572,-0.19441964285714286,1,0.1365833009992327,0.0063012514662529745
L5.H3,35,-0.01658238002232143,0.7428571428571429,0.14285714285714285,-0.03504464285714286,1,0.013711023330688476,0.019410527577357634
L12.H8,35,-0.016401018415178572,0.7714285714285715,0.17142857142857143,-0.1234375,1,0.11448532513209751,0.010048468823411635
L5.H9,35,-0.01485595703125,0.8285714285714286,0.11428571428571428,-0.09642857142857143,1,0.10504303659711565,0.009363047126680613
L7.H5,35,-0.014646693638392856,0.8857142857142857,0.11428571428571428,-0.14732142857142858,1,0.0991314343043736,0.004018503354330148
L11.H3,35,-0.013108607700892857,0.6571428571428571,0.14285714285714285,-0.15959821428571427,1,0.14007605825151717,0.017783890850841998
L9.H11,35,-0.012998744419642856,0.8,0.08571428571428572,-0.11383928571428571,1,0.0648684024810791,0.005747781973332167
L10.H13,35,-0.011976841517857143,0.8285714285714286,0.08571428571428572,-0.12767857142857142,1,0.08961197989327567,0.0037946735991031995
L19.H13,35,-0.01190185546875,0.8,0.08571428571428572,-0.009598214285714286,1,0.035474818093436104,0.0038250928711412208
L3.H15,35,-0.011797223772321428,0.8857142857142857,0.05714285714285714,-0.0359375,1,0.05409887858799526,0.00470672025611358
L5.H6,35,-0.011420549665178572,0.9142857142857143,0.08571428571428572,-0.08705357142857142,1,0.04128584180559431,0.0019912189754125263
L2.H10,35,-0.011376953125,0.8571428571428571,0.08571428571428572,-0.046651785714285715,1,0.03742662157331194,0.002920013985463551
L17.H2,35,-0.01097412109375,0.7428571428571429,0.05714285714285714,-0.003794642857142857,1,0.04300053460257394,0.00729760065940874
L23.H13,35,-0.010879952566964286,0.8285714285714286,0.05714285714285714,-0.09732142857142857,1,0.04635109901428223,0.0029863579531333277
L9.H1,35,-0.0108154296875,0.9428571428571428,0.02857142857142857,-0.10290178571428571,1,0.07230016844613212,0.001877042938888605
L21.H10,35,-0.010726492745535714,0.9428571428571428,0.02857142857142857,-0.08258928571428571,1,0.056356804711478095,0.0013335313032647328
L8.H2,35,-0.010625348772321429,0.9142857142857143,0.02857142857142857,-0.055357142857142855,1,0.05944929804120745,0.0016832208959385753
L10.H10,35,-0.010433523995535715,0.8,0.05714285714285714,-0.13861607142857144,1,0.07247565133231026,0.006505614173199449
L13.H13,35,-0.010348074776785714,0.6285714285714286,0.08571428571428572,-0.11183035714285715,1,0.09318042482648577,0.011683861706738493
L7.H14,35,-0.00977783203125,0.7714285714285715,0.02857142857142857,-0.065625,1,0.06970434870038714,0.0062456732915182195
L5.H13,35,-0.009232003348214286,0.7142857142857143,0.11428571428571428,-0.10647321428571428,1,0.06016127041407994,0.004999317325252508
L11.H7,35,-0.008827427455357143,0.7428571428571429,0.02857142857142857,-0.06696428571428571,1,0.06842506953648159,0.0048668852774426345
L12.H9,35,-0.008745465959821428,0.6857142857142857,0.05714285714285714,-0.15089285714285713,1,0.07089693886893136,0.009789739256458624
L14.H8,35,-0.008534458705357142,0.9142857142857143,0.0,-0.06205357142857143,1,0.05092416490827288,0.0016674468634716635
L19.H2,35,-0.008304268973214285,0.7428571428571429,0.17142857142857143,-0.15223214285714284,1,0.03909987722124372,0.008418139462758387
L16.H8,35,-0.008075823102678572,0.6285714285714286,0.11428571428571428,-0.044196428571428574,1,0.0326972416469029,0.005147246118368847
L9.H7,35,-0.00792236328125,0.7714285714285715,0.05714285714285714,-0.08504464285714286,1,0.04769472394670759,0.004816840382825051
L6.H2,35,-0.007857840401785714,0.7714285714285715,0.05714285714285714,-0.07544642857142857,1,0.03732858385358538,0.0032228093827143312
L15.H6,35,-0.007855224609375,0.7142857142857143,0.14285714285714285,-0.17388392857142856,1,0.0949221202305385,0.029946176215474095
L9.H3,35,-0.007765415736607143,0.8285714285714286,0.02857142857142857,-0.07790178571428572,1,0.06194496154785156,0.00200368391815573
L23.H10,35,-0.007362583705357143,0.9142857142857143,0.05714285714285714,-0.07589285714285714,1,0.025380141394478934,0.0012499372474849223
L16.H6,35,-0.007284109933035714,0.6571428571428571,0.08571428571428572,-0.09799107142857143,1,0.0777914387839181,0.014710839811180319
