head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The primary ingredient in guacamole is,-0.001953125,-0.015625,False,1,2.536846160888672,2.5485999584198,0.01175379753112793,0.0002560077700763941
L0.H0,1,The primary ingredient in bread is,0.0172119140625,0.125,False,1,3.3790817260742188,3.3319759368896484,-0.04710578918457031,0.0014432943426072598
L0.H0,2,The primary ingredient in mayonnaise is,0.005859375,0.0234375,False,1,3.8011837005615234,3.7927939891815186,-0.008389711380004883,0.0005121827125549316
L0.H0,3,The primary ingredient in hummus is,-0.002197265625,-0.0234375,False,1,3.6273484230041504,3.629910945892334,0.0025625228881835938,0.0004596200305968523
L0.H0,4,The primary ingredient in risotto is,0.004638671875,0.0078125,False,1,3.811321496963501,3.8083064556121826,-0.0030150413513183594,0.0005517102545127273
L0.H0,5,The primary ingredient in butter is,0.0018310546875,0.0234375,False,1,4.319356441497803,4.304608345031738,-0.014748096466064453,0.0005626732017844915
L0.H0,6,The primary ingredient in custard is,-0.00537109375,-0.0234375,False,1,4.24873161315918,4.239462375640869,-0.009269237518310547,0.0005715948063880205
L0.H0,7,The primary ingredient in salsa is,-0.00732421875,-0.03125,False,1,3.4339680671691895,3.4597861766815186,0.0258181095123291,0.0004935902543365955
L0.H0,8,The primary ingredient in pasta is,0.0030517578125,0.015625,False,1,3.755800247192383,3.7508609294891357,-0.00493931770324707,0.00036937760887667537
L0.H0,9,The primary ingredient in kimchi is,-0.0098876953125,-0.1015625,False,1,4.2633891105651855,4.290939807891846,0.027550697326660156,0.001364398282021284
L0.H0,10,The primary ingredient in natto is,-0.003662109375,-0.046875,False,1,4.533444404602051,4.5381035804748535,0.004659175872802734,0.000483702402561903
L0.H0,11,The primary ingredient in ketchup is,-0.01416015625,-0.0859375,False,1,3.428874969482422,3.4867000579833984,0.05782508850097656,0.0008396590128540993
L0.H0,12,The primary ingredient in paella is,-0.00244140625,-0.03125,False,1,2.8384313583374023,2.859311580657959,0.02088022232055664,0.00041799177415668964
L0.H0,13,The primary ingredient in granola is,0.00244140625,0.0078125,False,1,4.112739086151123,4.101934432983398,-0.01080465316772461,0.0005876412615180016
L0.H0,14,The primary ingredient in mozzarella is,0.002197265625,0.0078125,False,1,3.5393731594085693,3.5361733436584473,-0.0031998157501220703,0.00032654544338583946
L0.H0,15,The primary ingredient in omelette is,-0.005859375,-0.0390625,False,1,4.2887067794799805,4.28325891494751,-0.005447864532470703,0.0008811709703877568
L0.H0,16,The primary ingredient in cheese is,0.0020751953125,0.015625,False,1,3.7472405433654785,3.743828296661377,-0.0034122467041015625,0.00022332114167511463
L0.H0,17,The primary ingredient in miso is,0.000244140625,0.0,False,1,4.107792854309082,4.115678787231445,0.007885932922363281,0.000636838492937386
L0.H0,18,The primary ingredient in cookie is,0.00146484375,-0.0078125,False,1,5.363201141357422,5.380365371704102,0.017164230346679688,0.0012625281233340502
L0.H0,19,The primary ingredient in pesto is,-0.004150390625,-0.015625,False,1,3.1274960041046143,3.122116804122925,-0.005379199981689453,0.000688738189637661
L0.H0,20,The primary ingredient in chocolate is,0.0,-0.0078125,False,1,2.3477816581726074,2.3447682857513428,-0.0030133724212646484,0.0004024570225737989
L0.H0,21,The primary ingredient in tofu is,-0.003662109375,-0.0234375,False,1,3.5442569255828857,3.562011957168579,0.01775503158569336,0.0003598651383072138
L0.H0,22,The primary ingredient in ice cream is,0.0028076171875,0.03125,False,1,4.126340866088867,4.108202934265137,-0.01813793182373047,0.0007820429746061563
