head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The main nutrient in lemon is,-0.009033203125,-0.046875,False,1,3.388211727142334,3.393153667449951,0.0049419403076171875,0.0005212399992160499
L0.H0,1,The main nutrient in cheese is,0.007080078125,0.0390625,False,1,3.606644630432129,3.6013245582580566,-0.005320072174072266,0.0006132002454251051
L0.H0,2,The main nutrient in butter is,-0.003173828125,-0.03125,False,1,4.303415775299072,4.311861038208008,0.008445262908935547,0.00037874130066484213
L0.H0,3,The main nutrient in beef is,-0.00634765625,-0.0390625,False,1,4.132243633270264,4.162076950073242,0.029833316802978516,0.0004437044553924352
L0.H0,4,The main nutrient in olive oil is,-0.011474609375,-0.0546875,False,1,3.207951545715332,3.232301950454712,0.024350404739379883,0.0005056802183389664
L0.H0,5,The main nutrient in meat is,-0.010498046875,-0.046875,False,1,3.5193886756896973,3.5527424812316895,0.03335380554199219,0.0004829233803320676
L0.H0,6,The main nutrient in cherry is,0.0115966796875,0.0859375,False,1,4.579139709472656,4.561422348022461,-0.017717361450195312,0.0011825824622064829
L0.H0,7,The main nutrient in seaweed is,-0.001953125,-0.015625,False,1,4.142326354980469,4.14116907119751,-0.0011572837829589844,0.0005624678451567888
L0.H0,8,The main nutrient in lime is,0.0068359375,0.03125,False,1,2.078005313873291,2.044621467590332,-0.033383846282958984,0.0002560459543019533
L0.H0,9,The main nutrient in tofu is,-0.00927734375,-0.03125,False,1,3.0603926181793213,3.068178653717041,0.0077860355377197266,0.0007589501328766346
L0.H0,10,The main nutrient in salt is,0.005859375,0.046875,False,1,1.7416658401489258,1.7051911354064941,-0.03647470474243164,6.28867419436574e-05
L0.H0,11,The main nutrient in spinach is,-0.0037841796875,-0.03125,False,1,3.944883108139038,3.9399712085723877,-0.004911899566650391,0.0005872222245670855
