head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,50,-0.0511273193359375,0.88,0.42,-0.494375,1,0.20128752708435058,0.056879426650702954
L15.H7,50,-0.04476409912109375,0.86,0.24,-0.34265625,1,0.1934485387802124,0.055286372508853675
L23.H9,50,-0.04370849609375,0.98,0.24,-0.595625,1,0.22159096717834473,0.03816558737307787
L12.H8,50,-0.038580322265625,0.82,0.3,-0.46546875,1,0.26619264125823977,0.06607514973729849
L11.H1,50,-0.038011474609375,0.82,0.2,-0.32,1,0.1850268030166626,0.029478290248662234
L5.H3,50,-0.03033203125,0.82,0.12,-0.22390625,1,0.19086170196533203,0.034769652504473926
L14.H5,50,-0.026025390625,0.78,0.2,-0.26046875,1,0.14539586067199706,0.036496053840965034
L13.H5,50,-0.02054443359375,0.68,0.22,-0.14203125,1,0.03190964698791504,0.036824804060161115
L9.H11,50,-0.019014892578125,0.68,0.16,-0.16515625,1,0.08574768543243408,0.022849876936525106
L14.H7,50,-0.0171527099609375,0.7,0.28,-0.21515625,2,0.09639889240264893,0.057577534979209304
L16.H6,50,-0.014356689453125,0.72,0.1,-0.11375,1,0.08294639825820922,0.013372577303089201
L17.H2,50,-0.01383544921875,0.74,0.06,-0.085,1,0.07628568410873413,0.011269412310793996
L23.H13,50,-0.012218017578125,0.8,0.08,-0.135,1,0.06582650661468506,0.004448396114166826
L16.H8,50,-0.011131591796875,0.7,0.04,-0.08640625,1,0.06855289697647095,0.0060023085260763765
L13.H8,50,-0.0110107421875,0.58,0.12,-0.176875,1,0.12461947917938232,0.021207260712981225
L15.H6,50,-0.0106903076171875,0.6,0.1,-0.06953125,1,0.06633345127105712,0.022669118903577326
L19.H2,50,-0.010325927734375,0.66,0.0,-0.1590625,1,0.060537042617797854,0.0070429342682473365
L2.H10,50,-0.009781494140625,0.9,0.08,-0.05984375,1,0.043875722885131835,0.0027032500179484486
L12.H1,50,-0.00953857421875,0.8,0.08,-0.079375,1,0.03272956371307373,0.0030935945350211115
L11.H8,50,-0.009078369140625,0.94,0.02,-0.0734375,1,0.05747570037841797,0.0019075373699888587
L5.H9,50,-0.009017333984375,0.8,0.0,-0.0946875,1,0.0796118950843811,0.003943367130123079
L3.H15,50,-0.00877685546875,0.78,0.02,-0.06625,1,0.0606423544883728,0.0023220318648964166
L4.H14,50,-0.008428955078125,0.68,0.08,-0.03625,1,0.030199251174926757,0.006191564651671797
L11.H14,50,-0.008243408203125,0.88,0.04,-0.06828125,1,0.04474653005599975,0.0011113467166433111
L11.H7,50,-0.007659912109375,0.88,0.04,-0.0715625,1,0.06395657777786255,0.0024257367150858043
L8.H2,50,-0.007607421875,0.86,0.0,-0.06328125,1,0.05590510368347168,0.0013858478120528162
L23.H10,50,-0.00719970703125,0.9,0.06,-0.07953125,1,0.032545528411865234,0.0009484657074790448
L9.H1,50,-0.006981201171875,0.82,0.0,-0.0740625,1,0.057653074264526365,0.0013650602276902646
L14.H8,50,-0.00665283203125,0.8,0.04,-0.05859375,1,0.05970478534698486,0.0030568922602105886
L20.H14,50,-0.006558837890625,0.66,0.0,-0.03328125,1,0.011992840766906739,0.0018823949786019511
L7.H5,50,-0.006336669921875,0.58,0.02,-0.0809375,1,0.05772687673568726,0.004489381373859942
L13.H13,50,-0.00585693359375,0.6,0.12,-0.09375,1,0.04162439346313476,0.020876378417015076
L16.H2,50,-0.0057196044921875,0.5,0.08,-0.0390625,1,0.014319689273834228,0.01783590164151974
L22.H2,50,-0.005283203125,0.62,0.08,-0.04921875,1,0.03401059150695801,0.002313124083448201
L10.H1,50,-0.005203857421875,0.86,0.02,-0.04109375,1,0.05307114601135254,0.0020876920386217533
L12.H9,50,-0.0049267578125,0.6,0.04,-0.03828125,1,0.03861699342727661,0.010542948422953486
L6.H15,50,-0.004915771484375,0.64,0.02,-0.0334375,1,0.0353136157989502,0.009211529255844652
L13.H14,50,-0.00480224609375,0.62,0.02,-0.06984375,1,0.0377538800239563,0.007623104045633227
L9.H13,50,-0.00465576171875,0.72,0.08,-0.0109375,1,0.009135448932647705,0.002308259793790057
L13.H2,50,-0.004617919921875,0.76,0.04,-0.0690625,1,0.035087096691131595,0.001643241848796606
L21.H10,50,-0.004561767578125,0.86,0.0,-0.0390625,1,0.024368042945861815,0.0007216368798981421
L9.H14,50,-0.004466552734375,0.66,0.02,-0.05828125,1,0.038896901607513426,0.004104651168454439
L6.H11,50,-0.00421875,0.7,0.04,-0.0475,1,0.02134305000305176,0.002413764001103118
L20.H10,50,-0.004034423828125,0.7,0.0,-0.04140625,1,0.027773585319519043,0.0010665388902998528
L10.H10,50,-0.00398681640625,0.68,0.06,-0.0153125,1,0.027636003494262696,0.004239145233295858
L13.H0,50,-0.00397216796875,0.74,0.0,-0.036875,1,0.02057515859603882,0.0010703742981422694
L16.H12,50,-0.00395263671875,0.52,0.12,-0.0171875,1,-0.007221431732177735,0.0039886681304778905
L8.H7,50,-0.003885498046875,0.54,0.04,-0.03828125,1,0.04664066076278686,0.006999938951339573
L18.H2,50,-0.0038623046875,0.5,0.02,-0.0228125,1,0.020636067390441895,0.002528316266834736
L3.H2,50,-0.003828125,0.68,0.04,-0.03828125,1,0.020471746921539306,0.0011603586247656494
L17.H11,50,-0.0036572265625,0.66,0.02,-0.0421875,1,0.018579039573669433,0.003927557915449143
L18.H5,50,-0.0035986328125,0.7,0.06,-0.023125,1,0.014932751655578613,0.002173174252093304
L6.H7,50,-0.0035595703125,0.78,0.0,-0.028125,1,0.018064038753509523,0.0003153710759943351
L10.H2,50,-0.003526611328125,0.56,0.02,-0.0215625,1,0.020126953125,0.003882765732705593
L15.H5,50,-0.003492431640625,0.78,0.04,-0.03203125,1,0.025186731815338134,0.0006937193191697588
