head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L23.H9,70,-0.027780805315290178,0.9285714285714286,0.17142857142857143,-0.46785714285714286,1,0.28915699550083707,0.014669652090274862
L9.H7,70,-0.02732914515904018,0.8142857142857143,0.21428571428571427,-0.4094866071428571,1,0.27128470965794155,0.0527340758059706
L14.H8,70,-0.018091038295200892,0.8285714285714286,0.12857142857142856,-0.20066964285714287,1,0.19532868521554128,0.02714713178575039
L16.H15,70,-0.015287344796316965,0.6714285714285714,0.07142857142857142,-0.15357142857142858,1,0.13010513441903251,0.02481611537956009
L14.H5,70,-0.014260428292410714,0.7428571428571429,0.07142857142857142,-0.15066964285714285,1,0.1724209955760411,0.023983591997862926
L16.H1,70,-0.013233075823102678,0.8,0.1,-0.13627232142857143,1,0.12112795966012137,0.013022326165394458
L21.H10,70,-0.0126983642578125,0.8857142857142857,0.04285714285714286,-0.10602678571428571,1,0.10556966236659458,0.0034764250108440006
L12.H8,70,-0.011942400251116071,0.8714285714285714,0.07142857142857142,-0.165625,1,0.14066734995160785,0.010278524677934392
L14.H13,70,-0.011788286481584821,0.7571428571428571,0.02857142857142857,-0.09810267857142857,1,0.10827748434884207,0.008512292290106416
L16.H8,70,-0.009909711565290179,0.8142857142857143,0.05714285714285714,-0.025892857142857145,1,0.0837808404650007,0.005195857913765524
L11.H1,70,-0.009831455775669642,0.8571428571428571,0.02857142857142857,-0.09263392857142858,1,0.08830305167606899,0.0024409581150393934
L18.H8,70,-0.008636256626674107,0.6714285714285714,0.05714285714285714,-0.07098214285714285,1,0.06382941518511091,0.00913376758222252
L13.H8,70,-0.008037676130022322,0.7571428571428571,0.05714285714285714,-0.16841517857142857,1,0.14010789734976634,0.009591483880233552
L1.H5,70,-0.007791355678013393,0.6857142857142857,0.04285714285714286,-0.09040178571428571,1,0.07078234468187605,0.010125655298387366
L10.H14,70,-0.007085963657924107,0.8285714285714286,0.05714285714285714,-0.08671875,1,0.06589507716042654,0.0024650935266566066
L23.H13,70,-0.005923679896763393,0.7857142857142857,0.05714285714285714,-0.06964285714285715,1,0.05383073261805943,0.0016715332595465173
L11.H11,70,-0.005657523018973214,0.7857142857142857,0.04285714285714286,-0.05948660714285714,1,0.0643871477672032,0.0036743320624477095
L15.H13,70,-0.0054168701171875,0.4714285714285714,0.04285714285714286,-0.06060267857142857,1,0.04237314632960728,0.0077171061567371775
L8.H7,70,-0.005245753696986607,0.7571428571428571,0.04285714285714286,-0.03872767857142857,1,0.057532003947666714,0.003516102284525654
L14.H3,70,-0.00506439208984375,0.7285714285714285,0.04285714285714286,-0.005803571428571429,1,0.03583758217947824,0.0029952464675131654
L23.H10,70,-0.004980686732700893,0.7857142857142857,0.014285714285714285,-0.08303571428571428,1,0.0464099611554827,0.001439941375948755
