head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L23.H9,19,-0.06280196340460527,1.0,0.05263157894736842,-0.850328947368421,1,0.23861689865589142,0.032618616974152824
L17.H2,19,-0.049881784539473686,0.8421052631578947,0.05263157894736842,-0.4634046052631579,1,0.2078747145439449,0.026957327034324408
L16.H6,19,-0.034745065789473686,0.6842105263157895,0.0,-0.16529605263157895,1,0.1234255891881491,0.017082788053238273
L14.H2,19,-0.027819181743421052,0.7368421052631579,0.0,-0.12417763157894737,1,0.11391010331480127,0.01332781436404299
L16.H8,19,-0.02553196957236842,0.7894736842105263,0.05263157894736842,-0.13240131578947367,1,0.08492231996435869,0.009800351675183169
L0.H7,19,-0.015342310855263159,0.5789473684210527,0.05263157894736842,-0.049342105263157895,1,0.015847509628848025,0.007098721330342079
L14.H3,19,-0.013941714638157895,0.8421052631578947,0.05263157894736842,-0.12088815789473684,1,0.056876411171335926,0.003116554617391605
L13.H4,19,-0.009900544819078948,0.7894736842105263,0.05263157894736842,-0.10773026315789473,1,0.038456211356740246,0.0032515366987545826
L6.H11,19,-0.009431537828947368,0.5789473684210527,0.0,-0.05139802631578947,1,0.028525542663900477,0.0028042794890911623
L1.H5,19,-0.008679841694078948,0.5789473684210527,0.0,-0.06661184210526316,1,0.0364805416841256,0.004463706253629521
L23.H10,19,-0.008622018914473685,0.7894736842105263,0.0,-0.19120065789473684,1,0.03226557256359803,0.002136959123354724
L0.H0,19,-0.008442125822368422,0.5263157894736842,0.0,-0.019325657894736843,1,0.0053376218206004095,0.0035237669393322186
L12.H8,19,-0.00830078125,0.631578947368421,0.0,-0.04111842105263158,1,0.029975651126158864,0.004890890273121553
L14.H7,19,-0.007529810855263158,0.5789473684210527,0.0,-0.038651315789473686,1,0.02469733553497415,0.003983956978500876
L1.H2,19,-0.0071700246710526315,0.5263157894736842,0.05263157894736842,-0.029605263157894735,1,0.0008929069889219184,0.0028733885215172592
L23.H14,19,-0.007067228618421052,0.7894736842105263,0.0,-0.12376644736842106,1,0.02846214881068782,0.0010232992709988092
L23.H2,19,-0.006489000822368421,0.7894736842105263,0.0,-0.06126644736842105,1,0.020905363716577228,0.0005524440723667411
L14.H8,19,-0.006411903782894737,0.42105263157894735,0.0,-0.09786184210526316,1,0.05927582790977076,0.007676673138599941
L7.H14,19,-0.006077816611842105,0.42105263157894735,0.0,-0.05879934210526316,1,0.03404366734780764,0.0027866537380568366
L0.H6,19,-0.005435341282894737,0.7368421052631579,0.0,-0.04975328947368421,1,0.024225217731375443,0.002565718733086741
L22.H2,19,-0.005332545230263158,0.7368421052631579,0.0,-0.013157894736842105,1,0.01750328313363226,0.0007126866814934673
L13.H9,19,-0.004895662006578948,0.5789473684210527,0.0,-0.05838815789473684,1,0.020223735194457203,0.0017291479933574966
L7.H12,19,-0.004651521381578948,0.5789473684210527,0.0,-0.0078125,1,0.004945354242073863,0.0015380409022327513
L0.H10,19,-0.004574424342105263,0.5789473684210527,0.0,0.005756578947368421,1,0.007276255833475213,0.0008641903466348978
L9.H3,19,-0.004510176809210526,0.5789473684210527,0.0,-0.06373355263157894,1,0.02842102591928683,0.0015606877381000423
L12.H5,19,-0.00439453125,0.5789473684210527,0.05263157894736842,0.0,1,0.013329422003344485,0.0017884226778589532
L23.H12,19,-0.004201788651315789,0.8947368421052632,0.0,-0.18544407894736842,1,0.024731509387493134,0.0003330939748833005
L8.H7,19,-0.004124691611842105,0.5263157894736842,0.05263157894736842,-0.0012335526315789473,1,0.006532402022888786,0.004114308075881318
L23.H15,19,-0.00390625,0.7368421052631579,0.0,-0.06949013157894737,1,0.01575835676569688,0.000362054308138077
L15.H12,19,-0.003867701480263158,0.3684210526315789,0.0,-0.004111842105263158,1,0.00030541851332313135,0.003867570893290624
L9.H7,19,-0.0038548519736842104,0.5263157894736842,0.0,-0.046052631578947366,1,0.044043782510255515,0.007698935400663973
L19.H2,19,-0.003546463815789474,0.3157894736842105,0.0,-0.023026315789473683,1,-0.004699988584769399,0.0019426026870190214
