head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L10.H7,29,-0.05590399380387931,0.8275862068965517,0.10344827586206896,-0.37957974137931033,1,0.2527059492622984,0.06374948658682617
L0.H12,29,-0.05313057735048492,0.6896551724137931,0.13793103448275862,-0.42941810344827586,1,0.2688345905264904,0.1111653650024954
L22.H2,29,-0.04507551522090517,0.8275862068965517,0.10344827586206896,-0.6198814655172413,1,0.25973037013719824,0.031223458362201827
L12.H9,29,-0.03938767005657327,0.7931034482758621,0.06896551724137931,-0.38415948275862066,1,0.2393412890619245,0.03303534487475127
L14.H7,29,-0.037168305495689655,0.6896551724137931,0.10344827586206896,-0.35075431034482757,1,0.2047800139106553,0.031595221205297376
L9.H2,29,-0.0370977993669181,0.7241379310344828,0.034482758620689655,-0.3995150862068966,1,0.23958782941616816,0.04959346800902056
L5.H3,29,-0.03697546597184806,0.5862068965517241,0.06896551724137931,-0.36018318965517243,2,0.22826282872722067,0.08927727037697533
L7.H5,29,-0.02971044080010776,0.6551724137931034,0.10344827586206896,-0.27720905172413796,1,0.15649647997884913,0.04464810772421107
L1.H5,29,-0.027372162917564655,0.6896551724137931,0.10344827586206896,-0.2984913793103448,1,0.15218166621594592,0.036119222788015735
L19.H0,29,-0.026905980603448277,0.6206896551724138,0.06896551724137931,-0.19827586206896552,1,0.13901673784029894,0.027580920596313983
L17.H4,29,-0.025319066540948277,0.6206896551724138,0.10344827586206896,-0.2764008620689655,1,0.11914535059497275,0.025746292809971833
L13.H13,29,-0.025165426320043104,0.7931034482758621,0.034482758620689655,-0.3302801724137931,1,0.14127381672633105,0.027830960758929622
L18.H9,29,-0.02418254983836207,0.6551724137931034,0.0,-0.2109375,1,0.13673714574041038,0.02666056584248195
L19.H7,29,-0.021574875404094827,0.5172413793103449,0.034482758620689655,-0.1492456896551724,1,0.10131985321640968,0.019760758210646476
L16.H6,29,-0.021128687365301723,0.6896551724137931,0.06896551724137931,-0.20716594827586207,1,0.1445854913828702,0.029448436517449064
L0.H15,29,-0.02033417800377155,0.6551724137931034,0.06896551724137931,-0.21282327586206898,1,0.11113342141796803,0.02699681320350935
L23.H9,29,-0.01969751818426724,0.8620689655172413,0.034482758620689655,-0.5142780172413793,1,0.1399270515760471,0.010237406697405246
L6.H4,29,-0.018276872306034482,0.4827586206896552,0.06896551724137931,-0.13550646551724138,1,0.12867417571873502,0.04781426107484581
L14.H5,29,-0.017545502761314655,0.7241379310344828,0.06896551724137931,-0.21282327586206898,1,0.10965752331861134,0.03341826357164195
L16.H13,29,-0.017047750538793104,0.5517241379310345,0.0,-0.13577586206896552,1,0.05978571739176224,0.01990479160377649
L19.H12,29,-0.016942517510775863,0.5172413793103449,0.06896551724137931,-0.10048491379310345,1,0.06782015181820968,0.011563560454556738
L11.H3,29,-0.016879377693965518,0.5862068965517241,0.06896551724137931,-0.10371767241379311,1,0.07442233428872864,0.014480057540289448
