head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Digital privacy in cell phones is Riley v.,0.0146484375,0.1484375,False,1,5.747925281524658,5.649684906005859,-0.09824037551879883,0.0041592782363295555
L0.H0,1,Incitement test in Brandenburg v.,0.00360107421875,0.0,False,1,4.973923683166504,4.963207244873047,-0.010716438293457031,0.0058645871467888355
L0.H0,2,The Java API copyright case is Google LLC v.,-0.008056640625,-0.0546875,False,1,4.977725028991699,5.033782958984375,0.05605792999267578,0.0004521980881690979
L0.H0,3,Interracial marriage rights in Loving v.,0.00146484375,0.109375,False,1,0.16978661715984344,0.15477798879146576,-0.015008628368377686,0.00041498802602291107
L0.H0,4,The ministerial exception in Hosanna-Tabor v.,-0.015625,-0.078125,False,1,4.669490814208984,4.750985145568848,0.08149433135986328,0.003908983897417784
L0.H0,5,Abortion rights overturned in Dobbs v. Jackson Women's Health,0.00537109375,0.046875,False,1,2.992129325866699,2.980635643005371,-0.011493682861328125,0.008204747922718525
L0.H0,6,Same-sex marriage is Obergefell v.,0.001953125,0.046875,False,1,0.25390368700027466,0.24014070630073547,-0.013762980699539185,0.0004902705550193787
L0.H0,7,The landmark desegregation case is Brown v. Board of,0.00927734375,0.1875,False,1,0.3506466746330261,0.3116137385368347,-0.039032936096191406,0.0012239706702530384
L0.H0,8,Presidential immunity in Nixon v.,-0.0068359375,-0.0390625,False,1,2.408627986907959,2.500579833984375,0.09195184707641602,0.005324108991771936
L0.H0,9,Cruel and unusual punishment in Roper v.,-0.00439453125,-0.046875,False,1,0.8827024102210999,0.9111062288284302,0.028403818607330322,0.0006570261321030557
L0.H0,10,The landmark abortion case is Roe v.,0.0,-0.0625,False,1,0.060003262013196945,0.06317317485809326,0.0031699128448963165,-0.0003728290612343699
L0.H0,11,The power of judicial review is Marbury v.,-0.00048828125,-0.0625,False,1,0.10759980231523514,0.11283526569604874,0.005235463380813599,0.00016838863666635007
L0.H0,12,The student newspaper case is Hazelwood School District v.,0.02490234375,0.203125,False,1,5.737217903137207,5.609973430633545,-0.1272444725036621,0.007004710845649242
L0.H0,13,Work product doctrine in Hickman v.,-0.0068359375,-0.0390625,False,1,1.7724664211273193,1.8214848041534424,0.04901838302612305,0.0017152223736047745
L0.H0,14,The Japanese internment case is Hirabayashi v. United,0.0,0.03125,False,1,0.06432029604911804,0.06382089108228683,-0.0004994049668312073,0.00011626171180978417
L0.H0,15,The gun control case in United States v.,-0.0068359375,-0.0546875,False,1,4.929523468017578,4.91489315032959,-0.014630317687988281,0.0028719615656882524
L0.H0,16,Location tracking privacy in Carpenter v. United,-0.0078125,-0.21875,False,1,0.28846943378448486,0.34812405705451965,0.05965462327003479,0.001685159862972796
