head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,37,-0.02867332664695946,0.8108108108108109,0.16216216216216217,-0.5356841216216216,1,0.3427769171225058,0.06006217642209014
L18.H4,37,-0.01856540989231419,0.918918918918919,0.13513513513513514,-0.21896114864864866,1,0.14960227141509186,0.013642223649406555
L15.H6,37,-0.017068811365076014,0.7567567567567568,0.13513513513513514,-0.23733108108108109,1,0.14656601725397883,0.02786948806543306
L23.H9,37,-0.014617095122466216,0.9459459459459459,0.10810810810810811,-0.3589527027027027,1,0.10718130420994114,0.005915062785198963
L18.H8,37,-0.009352400496199325,0.6216216216216216,0.10810810810810811,-0.1007179054054054,1,0.043283829817900785,0.005649486721243168
L12.H15,37,-0.0073926771009290545,0.7837837837837838,0.02702702702702703,-0.06672297297297297,1,0.037058127892983926,0.0020000292403179825
L12.H12,37,-0.00721946922508446,0.8108108108108109,0.0,-0.07052364864864864,1,0.05175080814877072,0.0024874018429703005
L23.H2,37,-0.006331160261824324,0.9459459459459459,0.05405405405405406,-0.07347972972972973,1,0.03300607526624525,0.0012930742350117479
L16.H8,37,-0.006256103515625,0.7027027027027027,0.08108108108108109,0.03146114864864865,1,0.03266529134801916,0.005480558800234183
L11.H1,37,-0.006077946843327703,0.8108108108108109,0.10810810810810811,-0.07052364864864864,1,0.04627939172693201,0.004280044220551546
L13.H5,37,-0.005983094911317568,0.5945945945945946,0.13513513513513514,-0.18792229729729729,1,0.1045414757084202,0.029429328332126543
L10.H2,37,-0.005462646484375,0.7027027027027027,0.05405405405405406,-0.0633445945945946,1,0.047251624030035896,0.003512920198232137
L9.H10,37,-0.0053331529771959455,0.7837837837837838,0.05405405405405406,-0.06461148648648649,1,0.03450200364396379,0.0021596312533900446
L10.H14,37,-0.005291913006756757,0.6486486486486487,0.08108108108108109,-0.05489864864864865,1,0.03240359796060098,0.0018939205950340005
L16.H0,37,-0.0051805650865709455,0.6756756756756757,0.02702702702702703,-0.03842905405405406,1,0.025023750356725744,0.003873643685585341
L13.H8,37,-0.0051178803315033786,0.6486486486486487,0.05405405405405406,-0.11697635135135136,1,0.06314235120206266,0.006333261124185614
L17.H2,37,-0.004824251741976352,0.6486486486486487,0.05405405405405406,0.04391891891891892,1,0.020410731032087997,0.004552369635250117
L11.H13,37,-0.0046625910578547295,0.7837837837837838,0.08108108108108109,-0.0016891891891891893,1,0.016558608493289433,0.002668564104022005
L16.H5,37,-0.004483609586148648,0.7837837837837838,0.0,-0.037373310810810814,1,0.02621518599020468,0.0013530661034983004
L9.H8,37,-0.004392881651182432,0.6756756756756757,0.05405405405405406,-0.07347972972972973,1,0.03629582637065166,0.0023854216497794195
L16.H15,37,-0.004270811338682432,0.5135135135135135,0.05405405405405406,-0.028716216216216218,1,0.026935010342984587,0.005820199396898593
L22.H9,37,-0.0042196737753378375,0.8378378378378378,0.05405405405405406,-0.08234797297297297,1,0.04082074680843869,0.002302282924033903
L8.H13,37,-0.004181733002533784,0.5675675675675675,0.05405405405405406,-0.046875,1,0.020810829626547324,0.0021187493410842442
L11.H14,37,-0.0040349187077702705,0.7027027027027027,0.02702702702702703,-0.044552364864864864,1,0.0208774708412789,0.002059513960990149
L10.H3,37,-0.003954913165118243,0.7297297297297297,0.02702702702702703,-0.012246621621621621,1,0.017044408901317698,0.001066010439063649
L0.H7,37,-0.0035746806376689188,0.6486486486486487,0.05405405405405406,-0.049619932432432436,1,0.021918599669997756,0.0019687878674311513
L16.H6,37,-0.0035425134607263513,0.6486486486486487,0.10810810810810811,0.018158783783783782,1,0.011717396813469965,0.0033955013574528937
L14.H5,37,-0.0035152950802364866,0.5675675675675675,0.08108108108108109,-0.04581925675675676,1,0.04169295285199139,0.007190046979844369
L14.H7,37,-0.003502098289695946,0.5675675675675675,0.02702702702702703,-0.06418918918918919,1,0.04446389868452742,0.0076348366045921635
L8.H4,37,-0.003280227248733108,0.5945945945945946,0.02702702702702703,-0.020481418918918918,1,0.007752740705335462,0.002578352760473216
L16.H4,37,-0.003257957664695946,0.43243243243243246,0.02702702702702703,-0.013302364864864864,1,0.013730248889407597,0.0014710041463872217
L13.H6,37,-0.00323486328125,0.7027027027027027,0.0,-0.0234375,1,0.01659954560769571,0.0005701350787972302
L5.H6,37,-0.003173828125,0.5675675675675675,0.05405405405405406,-0.03462837837837838,1,0.025713514637302707,0.004486753580135268
L13.H13,37,-0.0031680545291385134,0.5945945945945946,0.05405405405405406,-0.04581925675675676,1,0.03211902283333443,0.002436542516964412
L10.H1,37,-0.0028323611697635134,0.4594594594594595,0.05405405405405406,-0.02027027027027027,1,0.03524915592090504,0.0047061704901500126
L23.H11,37,-0.0028249379750844594,0.7297297297297297,0.02702702702702703,-0.07833614864864864,1,0.02940156653120711,0.0006427228693831461
L23.H8,37,-0.002824113175675676,0.918918918918919,0.02702702702702703,-0.10620777027027027,1,0.032259580251332874,0.00038177036873782307
L23.H14,37,-0.0028109163851351353,0.5675675675675675,0.02702702702702703,-0.06798986486486487,1,0.016492089709720097,0.0014929238319824878
L8.H2,37,-0.0027977195945945946,0.5135135135135135,0.05405405405405406,-0.02027027027027027,1,0.007110337953309755,0.002586539740346976
L18.H11,37,-0.00237377269847973,0.5405405405405406,0.02702702702702703,-0.010135135135135136,1,0.01142894899522936,0.000698104478942696
L23.H0,37,-0.0023391311233108107,0.8108108108108109,0.02702702702702703,-0.04265202702702703,1,0.0176744912121747,0.0007563696563011035
L8.H12,37,-0.002297066353462838,0.7567567567567568,0.02702702702702703,-0.02808277027027027,1,0.01353288341212917,0.0005693152885902924
L10.H0,37,-0.0022929423564189188,0.8108108108108109,0.02702702702702703,-0.023859797297297296,1,0.011123985857576938,0.0002181229234289227
L7.H11,37,-0.0022615999788851353,0.7027027027027027,0.05405405405405406,-0.0044341216216216214,1,0.003091986114914353,0.0013368262522350494
L14.H3,37,-0.002120559279983108,0.6216216216216216,0.02702702702702703,0.024704391891891893,1,-0.007804277780893687,0.0026303983696207805
L8.H15,37,-0.0020941656989020272,0.7027027027027027,0.02702702702702703,-0.009923986486486486,1,0.007531043645497915,0.0005325382922278919
L18.H6,37,-0.002066947318412162,0.6216216216216216,0.02702702702702703,-0.017736486486486486,1,0.00705661644806733,0.0005284677460401105
L22.H2,37,-0.0020422033361486487,0.6486486486486487,0.05405405405405406,0.009923986486486486,1,0.004932861070375185,0.0004928152681001135
L15.H11,37,-0.002036429740287162,0.5945945945945946,0.02702702702702703,-0.008445945945945946,1,0.006426894986951673,0.0004945495869882556
L6.H14,37,-0.0020199337521114866,0.6756756756756757,0.02702702702702703,-0.023859797297297296,1,0.005892721382347313,0.0006831419721837281
L23.H12,37,-0.002014984955658784,0.6756756756756757,0.0,-0.12014358108108109,1,0.038196757033064556,0.0004305629637029425
L15.H10,37,-0.0020083865603885134,0.6486486486486487,0.0,-0.013091216216216216,1,0.004271578144382786,0.0015877290405458897
L1.H11,37,-0.0019960145692567567,0.4864864864864865,0.02702702702702703,-0.011824324324324325,1,0.014636825870823216,0.00165324129724271
L10.H12,37,-0.001982817778716216,0.7567567567567568,0.0,-0.005067567567567568,1,0.009697289080233188,0.0003593161696649937
L9.H4,37,-0.0019176586254222973,0.4594594594594595,0.02702702702702703,-0.0004222972972972973,1,-0.005702476243715029,0.00167014985502622
L11.H5,37,-0.0018623970650337837,0.7297297297297297,0.0,-0.009712837837837838,1,0.01122066136952993,0.00046425974279692446
L3.H5,37,-0.0018450762774493243,0.7567567567567568,0.05405405405405406,-0.007390202702702703,1,0.005363084174491264,0.000511159368387952
L10.H8,37,-0.0018261058910472973,0.7837837837837838,0.02702702702702703,-0.014358108108108109,1,0.010212305429819468,0.00016681773145997745
L5.H11,37,-0.0017452755489864864,0.6486486486486487,0.02702702702702703,-0.004222972972972973,1,0.008320511998357,0.0005451976805390488
L8.H7,37,-0.0017098091744087837,0.6216216216216216,0.05405405405405406,-0.0316722972972973,1,0.024201309358751453,0.002958643520754334
L23.H4,37,-0.0017073347761824324,0.7027027027027027,0.02702702702702703,-0.02533783783783784,1,0.007092192366316512,0.0005646647806389484
L19.H6,37,-0.0016957875844594594,0.5405405405405406,0.02702702702702703,-0.010135135135135136,1,0.002283476494454049,0.0004878619499347248
L0.H9,37,-0.0016693940033783783,0.6756756756756757,0.02702702702702703,-0.020481418918918918,1,0.009826273531527133,0.0006177815234263402
L3.H3,37,-0.001666919605152027,0.6216216216216216,0.02702702702702703,-0.024282094594594593,1,0.012825733906513936,0.0007413992645672044
L2.H2,37,-0.0016545476140202703,0.6756756756756757,0.02702702702702703,-0.016047297297297296,1,0.006602190636299752,0.000640921837436287
L11.H6,37,-0.0015860892630912163,0.7297297297297297,0.02702702702702703,-0.01266891891891892,1,0.01258511156649203,0.0002917536779981723
L19.H13,37,-0.001560520481418919,0.6216216216216216,0.05405405405405406,0.02512668918918919,1,0.012022392169849292,0.0012223096399228215
L20.H6,37,-0.0014706173458614864,0.5405405405405406,0.0,-0.0044341216216216214,1,0.0037355229661271377,0.0003003822820500244
L21.H2,37,-0.0013724662162162163,0.4864864864864865,0.02702702702702703,-0.00633445945945946,1,-0.0008338142085719753,0.00033211309248046646
L11.H4,37,-0.0013106062605574324,0.7297297297297297,0.02702702702702703,-0.012880067567567568,1,0.003309417415309597,0.00037481662081051116
L13.H14,37,-0.001274315086570946,0.4864864864864865,0.02702702702702703,-0.02533783783783784,1,0.017292647748380095,0.0039053301044151413
L6.H15,37,-0.0012644174936655406,0.7297297297297297,0.02702702702702703,-0.004222972972972973,1,0.003009847692541174,0.00030226175393279945
L7.H4,37,-0.0012644174936655406,0.6756756756756757,0.02702702702702703,-0.002533783783783784,1,0.005673846682986697,0.0003049935572513228
L4.H5,37,-0.001243797508445946,0.5675675675675675,0.0,-0.012035472972972973,1,0.006058525394748997,0.00031865613355704054
