head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L17.H7,49,-0.04350093919403699,0.8775510204081632,0.16326530612244897,-0.4293686224489796,1,0.3059580374737175,0.037656639586796756
L16.H8,49,-0.0342170559630102,0.9591836734693877,0.14285714285714285,-0.22576530612244897,1,0.25477970862875177,0.014423207085275528
L17.H2,49,-0.03134279834980867,0.9387755102040817,0.16326530612244897,-0.17857142857142858,1,0.2104839256831578,0.016864529164622024
L12.H15,49,-0.02581787109375,0.9387755102040817,0.14285714285714285,-0.22688137755102042,1,0.24523060662405832,0.011984546972932865
L13.H6,49,-0.02433247468909439,0.8979591836734694,0.02040816326530612,-0.26291454081632654,1,0.2734278756745008,0.01246792683377862
L8.H15,49,-0.02415435168207908,1.0,0.061224489795918366,-0.2576530612244898,1,0.29727138791765484,0.016276273952454935
L14.H3,49,-0.023033920599489797,0.9591836734693877,0.14285714285714285,-0.2382015306122449,1,0.21988463888362964,0.006791876643249879
L18.H11,49,-0.02198371108697385,0.6530612244897959,0.061224489795918366,-0.22528698979591838,1,0.14083784453722895,0.0202603709601265
L8.H9,49,-0.01896138093909439,0.9591836734693877,0.04081632653061224,-0.17761479591836735,1,0.17233614045746473,0.004649447600300215
L23.H6,49,-0.017541379344706634,0.8163265306122449,0.0,-0.14987244897959184,1,0.13214038342845683,0.006447981325529364
L23.H9,49,-0.016815185546875,0.8571428571428571,0.061224489795918366,-0.26052295918367346,1,0.15999812495951748,0.004420253904346301
L15.H15,49,-0.016150649713010203,0.5918367346938775,0.04081632653061224,-0.16358418367346939,1,0.11094108406378299,0.013624519808217883
L12.H8,49,-0.016140684789540817,0.9591836734693877,0.061224489795918366,-0.21316964285714285,1,0.1700448600613341,0.006408157986493743
L14.H15,49,-0.01578506158322704,0.8367346938775511,0.08163265306122448,-0.2372448979591837,1,0.26434869182353116,0.023011733473715733
L11.H1,49,-0.015487359494579082,0.9183673469387755,0.04081632653061224,-0.17091836734693877,1,0.20869487645674725,0.00660442114731639
L15.H1,49,-0.015189034598214286,0.673469387755102,0.04081632653061224,-0.13408801020408162,1,0.10509774636249153,0.01095020660788429
L11.H11,49,-0.015085648517219387,0.9387755102040817,0.08163265306122448,-0.15401785714285715,1,0.1863326442484953,0.00622457221663576
L22.H2,49,-0.014029366629464286,0.9591836734693877,0.0,-0.14158163265306123,1,0.11470347034687899,0.002620169322709648
L0.H4,49,-0.014019401705994899,0.9591836734693877,0.04081632653061224,-0.08258928571428571,1,0.09360782467589086,0.002970739818957387
L0.H13,49,-0.011802206234056123,0.9591836734693877,0.0,-0.08370535714285714,1,0.075408935546875,0.002098907621539369
L9.H11,49,-0.011701311383928572,0.8979591836734694,0.04081632653061224,-0.16167091836734693,1,0.21020881497130103,0.006189023985584475
L9.H15,49,-0.010858652543048469,0.9591836734693877,0.0,-0.13042091836734693,1,0.13123623205690968,0.0024918191092164845
L9.H3,49,-0.010757757692920918,1.0,0.0,-0.09630102040816327,1,0.13573102075226454,0.0031373080398355213
L21.H10,49,-0.01051922233737245,0.9591836734693877,0.0,-0.09024234693877552,1,0.08667339110861019,0.0013139063352243785
L19.H2,49,-0.010165467554209183,0.8163265306122449,0.02040816326530612,-0.08019770408163265,1,0.08484078913318868,0.00268157594599666
L14.H12,49,-0.01016422193877551,0.8775510204081632,0.0,-0.09789540816326531,1,0.08895892513041594,0.0017183034963506674
L19.H11,49,-0.009556361607142858,0.6938775510204082,0.061224489795918366,-0.06616709183673469,1,0.06014104765288684,0.003298539149501285
L22.H6,49,-0.009424949178890306,0.673469387755102,0.02040816326530612,-0.07493622448979592,1,0.06790327539249343,0.002915286760980962
L14.H8,49,-0.008709343112244899,0.8367346938775511,0.04081632653061224,-0.09008290816326531,1,0.13421578309973892,0.005922252549884879
L13.H2,49,-0.008488246372767858,0.7755102040816326,0.061224489795918366,-0.0819515306122449,1,0.06764214379446847,0.003543956468965174
L23.H5,49,-0.00846457967952806,0.8367346938775511,0.0,-0.09614158163265306,1,0.06878513705973723,0.0013983892339248477
L23.H13,49,-0.008382369060905613,0.9591836734693877,0.0,-0.08242984693877552,1,0.06596971044735032,0.0009171258680741017
L4.H6,49,-0.007973184390943877,0.6530612244897959,0.04081632653061224,-0.05883290816326531,1,0.06782429072321677,0.003281598658852127
L6.H2,49,-0.007967579121492346,0.8571428571428571,0.04081632653061224,-0.03364158163265306,1,0.07074957477803133,0.0031143283015307114
L13.H0,49,-0.007479297871492347,0.7959183673469388,0.08163265306122448,-0.016581632653061226,1,0.05399425662293726,0.0051655031179971235
L11.H13,49,-0.007326709980867347,0.8979591836734694,0.04081632653061224,0.015784438775510203,1,0.028573780643696686,0.0014554609162067728
L0.H3,49,-0.007197165975765306,0.9183673469387755,0.0,-0.061224489795918366,1,0.06323108867723115,0.0009033204215502708
L0.H7,49,-0.006889498963647959,0.9387755102040817,0.0,-0.06744260204081633,1,0.0680872274904835,0.0009719541745393404
L1.H1,49,-0.006745630381058673,0.9387755102040817,0.0,-0.09789540816326531,1,0.07125729930644133,0.0008679684578222508
L23.H10,49,-0.006662796954719388,0.8163265306122449,0.0,-0.09518494897959184,1,0.06981865240603077,0.000976845026919048
L16.H3,49,-0.006395612444196429,0.5102040816326531,0.12244897959183673,-0.05644132653061224,1,0.03957170369673749,0.008859442100902943
L13.H4,49,-0.006165796396683673,0.6938775510204082,0.0,0.018494897959183673,1,0.04275866430632922,0.0026332030253370807
L16.H15,49,-0.00613029635682398,0.42857142857142855,0.04081632653061224,-0.034279336734693876,1,0.045693076386743664,0.004832518807308254
L9.H8,49,-0.005876813616071429,0.9591836734693877,0.0,-0.049107142857142856,1,0.055710378958254446,0.0006442667621815083
