head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L8.H15,49,-0.1063095404177296,0.9591836734693877,0.061224489795918366,-1.1543367346938775,1,1.0150813545499529,0.12169183912325879
L12.H15,49,-0.0770263671875,1.0,0.04081632653061224,-0.46603954081632654,1,0.5061538730348859,0.028979987628301795
L9.H11,49,-0.07699522680165816,0.9795918367346939,0.04081632653061224,-0.7351721938775511,1,0.6931015593664986,0.037916959472456754
L13.H15,49,-0.07174246651785714,0.9795918367346939,0.10204081632653061,-0.4499362244897959,1,0.4558322356671703,0.026575057197134107
L9.H2,49,-0.06644610969387756,0.8571428571428571,0.12244897959183673,-0.390625,1,0.36765886082941174,0.08416786694861188
L11.H6,49,-0.0618522799744898,0.9183673469387755,0.04081632653061224,-0.22831632653061223,1,0.3796878177292493,0.028332349331099158
L18.H0,49,-0.05583844866071429,0.40816326530612246,0.12244897959183673,-0.38169642857142855,1,0.22864450240621761,0.10022979984487577
L11.H1,49,-0.04376096141581633,0.9795918367346939,0.04081632653061224,-0.297672193877551,1,0.3662044637057246,0.011975935650799347
L15.H11,49,-0.043755978954081634,0.7959183673469388,0.04081632653061224,-0.28380102040816324,1,0.28974297338602495,0.03034190831786706
L18.H8,49,-0.04319545200892857,0.7551020408163265,0.04081632653061224,-0.27503188775510207,1,0.29848514527690656,0.022873166471016497
L14.H15,49,-0.03971769371811224,0.9183673469387755,0.02040816326530612,-0.43271683673469385,1,0.313536819146604,0.01774748085940979
L7.H12,49,-0.03644670758928571,0.9387755102040817,0.02040816326530612,-0.34215561224489793,1,0.30501860745099124,0.008253868597996782
L16.H8,49,-0.03618263711734694,0.9183673469387755,0.061224489795918366,-0.13839285714285715,1,0.26453338593852765,0.011262167668046087
L13.H6,49,-0.03522102200255102,0.9591836734693877,0.04081632653061224,-0.19626913265306123,1,0.2807718418082412,0.011739218484002108
L14.H3,49,-0.03479502152423469,0.9387755102040817,0.04081632653061224,-0.21237244897959184,1,0.2003888037739968,0.007529462673416247
L9.H3,49,-0.030285893654336735,0.9795918367346939,0.02040816326530612,-0.1678890306122449,1,0.21565426855671163,0.005386140280669289
L16.H5,49,-0.028520856584821428,0.46938775510204084,0.02040816326530612,-0.14190051020408162,1,0.15504840442112514,0.022166656183298054
L22.H2,49,-0.027632732780612245,0.7959183673469388,0.0,-0.1747448979591837,1,0.1801575568257546,0.007339746090203372
L3.H11,49,-0.027592873086734693,0.8571428571428571,0.04081632653061224,-0.3005420918367347,1,0.1951371771948678,0.0076279233646940215
L8.H5,49,-0.025198800223214284,0.9795918367346939,0.0,-0.1356823979591837,1,0.16413834630226604,0.004093776758741207
L5.H11,49,-0.025094168526785716,0.8979591836734694,0.02040816326530612,-0.19483418367346939,1,0.17451295074151488,0.0036524384263522773
L1.H8,49,-0.024675641741071428,0.9591836734693877,0.02040816326530612,-0.10921556122448979,1,0.1718531287446314,0.003634856676454751
L15.H3,49,-0.02415497448979592,0.7142857142857143,0.02040816326530612,-0.12611607142857142,1,0.11949304901823705,0.01276098262537651
L23.H6,49,-0.02381367586096939,0.7959183673469388,0.0,-0.21763392857142858,1,0.21632342435875718,0.009930000388614682
L1.H11,49,-0.022722516741071428,0.9183673469387755,0.04081632653061224,-0.13488520408163265,1,0.15528138802976024,0.004125045320228198
L11.H4,49,-0.022059849330357144,0.8571428571428571,0.02040816326530612,-0.1675701530612245,1,0.14992970106553058,0.004092035569222074
L23.H9,49,-0.022054866868622448,0.8163265306122449,0.10204081632653061,-0.2771045918367347,1,0.1434026105063302,0.005065153029804327
L10.H10,49,-0.021045918367346938,0.8367346938775511,0.02040816326530612,-0.12595663265306123,1,0.1600111941902005,0.00468628568698329
L14.H12,49,-0.020879005899234693,0.9387755102040817,0.0,-0.1404655612244898,1,0.15476387617539386,0.003388845414037303
L5.H9,49,-0.020796795280612245,0.9183673469387755,0.0,-0.1639030612244898,1,0.1809363754428163,0.0034685877451140967
L7.H2,49,-0.020684689891581634,0.8979591836734694,0.02040816326530612,-0.16454081632653061,1,0.15845369076242252,0.0037846152399837667
L16.H3,49,-0.020527742346938774,0.7551020408163265,0.04081632653061224,-0.13408801020408162,1,0.11801960030380561,0.008615100065814046
L6.H10,49,-0.020467952806122448,0.8775510204081632,0.02040816326530612,-0.17075892857142858,1,0.1662416579772015,0.0030658491803998394
L13.H8,49,-0.019406688456632654,0.8163265306122449,0.061224489795918366,-0.2659438775510204,1,0.2061428318218309,0.010424469892239692
L12.H8,49,-0.01930953045280612,0.8163265306122449,0.02040816326530612,-0.17873086734693877,1,0.1504865349555502,0.00881181964745783
L5.H8,49,-0.018933354591836735,0.8571428571428571,0.02040816326530612,-0.15625,1,0.13636856662983798,0.003573885365693393
L15.H5,49,-0.018731564891581634,0.6326530612244898,0.04081632653061224,-0.21348852040816327,1,0.11558287970873775,0.01967832007046257
L23.H2,49,-0.01755570392219388,0.7755102040816326,0.04081632653061224,-0.09454719387755102,1,0.12830238682883127,0.003956813173967281
L7.H13,49,-0.017493423150510203,0.8163265306122449,0.04081632653061224,-0.08896683673469388,1,0.14045402955035774,0.0036850010130402384
L22.H9,49,-0.016362404336734693,0.673469387755102,0.08163265306122448,-0.11846301020408163,1,-0.016654265170194665,0.02491880095164691
L8.H9,49,-0.016270228794642856,0.9183673469387755,0.0,-0.10379464285714286,1,0.10688684667859759,0.0018343193443463544
L9.H6,49,-0.01621293048469388,0.9591836734693877,0.02040816326530612,-0.11272321428571429,1,0.10925751559588374,0.0013940262694947649
L0.H15,49,-0.01584671954719388,0.8367346938775511,0.02040816326530612,-0.11096938775510204,1,0.10683157006088569,0.0020746132032233005
L0.H4,49,-0.014895069355867346,0.8571428571428571,0.02040816326530612,-0.02072704081632653,1,0.06333994378848952,0.0026518219585378406
L16.H0,49,-0.014464086415816327,0.7346938775510204,0.061224489795918366,-0.08083545918367346,1,0.08022206413502596,0.014016681284244572
L0.H13,49,-0.014279735331632654,0.8979591836734694,0.0,-0.08673469387755102,1,0.09872829427524489,0.0015371839916191008
L18.H4,49,-0.013056540975765306,0.7551020408163265,0.0,-0.12436224489795919,1,0.11002828880232207,0.005676711783554329
L5.H3,49,-0.012976821588010204,0.8163265306122449,0.02040816326530612,-0.08641581632653061,1,0.06417601449148995,0.0036020302950233525
L19.H10,49,-0.012814891581632654,0.7551020408163265,0.04081632653061224,-0.10586734693877552,1,0.054164837817756495,0.003918599628377706
L4.H2,49,-0.012513452646683673,0.7551020408163265,0.061224489795918366,-0.05628188775510204,1,0.12590128791575528,0.006610753242762721
L1.H3,49,-0.01250099649234694,0.9183673469387755,0.04081632653061224,-0.07079081632653061,1,0.09140991921327551,0.0016319888604719344
L6.H8,49,-0.012079978475765306,0.8775510204081632,0.061224489795918366,-0.13058035714285715,1,0.10133132642629195,0.0014270503392884964
L3.H9,49,-0.01171875,0.8979591836734694,0.0,-0.05181760204081633,1,0.07005357255741042,0.0007821286493040412
L8.H0,49,-0.011639030612244899,0.8979591836734694,0.02040816326530612,-0.10379464285714286,1,0.08219423586008501,0.0013700091221835464
L11.H11,49,-0.011492047991071428,0.6122448979591837,0.0,-0.18957270408163265,1,0.13721013312437097,0.01043305315115318
L13.H9,49,-0.010645029496173469,0.7346938775510204,0.02040816326530612,-0.029496173469387755,1,0.061349564669083576,0.004603799028626206
L18.H2,49,-0.01041583625637755,0.7346938775510204,0.04081632653061224,-0.12675382653061223,1,0.08807563051885488,0.0025287615408531713
L19.H13,49,-0.010228993941326531,0.7551020408163265,0.04081632653061224,-0.1482780612244898,1,0.1171444557151016,0.0031578896367656334
L2.H2,49,-0.010136818399234694,0.8775510204081632,0.0,-0.08418367346938775,1,0.07634395239304523,0.001002967781125929
L23.H13,49,-0.010101941167091837,0.8979591836734694,0.0,-0.08529974489795919,1,0.07144219534737724,0.0009490725627872554
L8.H3,49,-0.009852818080357142,0.7959183673469388,0.02040816326530612,-0.04065688775510204,1,0.02704921547247439,0.0023818441764071434
L22.H0,49,-0.009107940051020409,0.5714285714285714,0.0,-0.14317602040816327,1,0.1924471684864589,0.01809084843083912
L18.H6,49,-0.00906558912627551,0.673469387755102,0.0,-0.06313775510204081,1,0.07210407938276019,0.0028730182081689033
L12.H5,49,-0.008592255261479591,0.5306122448979592,0.02040816326530612,-0.15098852040816327,1,0.06501749340368777,0.014693886032137943
L16.H4,49,-0.008497588488520409,0.5714285714285714,0.0,-0.08418367346938775,1,0.055874381746564596,0.0104114931547178
L4.H10,49,-0.00841537786989796,0.8775510204081632,0.0,-0.0856186224489796,1,0.049459948831675,0.0011408077220299415
L15.H9,49,-0.00826092155612245,0.5306122448979592,0.0,-0.049904336734693876,1,0.0688033760810385,0.008865880982163933
L9.H12,49,-0.008051658163265306,0.8367346938775511,0.0,-0.050701530612244895,1,0.07524506413206762,0.0009279979674421175
L2.H5,49,-0.00778758769132653,0.8571428571428571,0.0,-0.04272959183673469,1,0.04408332523034544,0.0006252841968136858
L12.H10,49,-0.007692920918367347,0.7959183673469388,0.04081632653061224,-0.036830357142857144,1,0.08407824136772934,0.0017327146607032996
L21.H2,49,-0.007585797991071429,0.4489795918367347,0.04081632653061224,-0.05660076530612245,1,0.05617688869943424,0.002336520346164304
L2.H15,49,-0.007408920599489796,0.7755102040816326,0.04081632653061224,-0.043845663265306124,1,0.03599750752351722,0.0010203131978228992
L1.H15,49,-0.007339166135204082,0.7959183673469388,0.0,-0.07860331632653061,1,0.07713017658311494,0.0007711103095730045
L19.H6,49,-0.007175990513392857,0.42857142857142855,0.02040816326530612,-0.05213647959183673,1,0.03740464181316142,0.004946394388122028
L5.H13,49,-0.007159797512755102,0.5714285714285714,0.04081632653061224,-0.07302295918367346,1,0.08788432393755231,0.002827562301476695
L23.H15,49,-0.007035235969387755,0.7551020408163265,0.0,-0.04862882653061224,1,0.06009994477641826,0.0012680198343907843
L3.H1,49,-0.006985411352040816,0.8163265306122449,0.0,-0.04607780612244898,1,0.0501476696559361,0.00038294111065476257
L6.H15,49,-0.0068832708864795915,0.7755102040816326,0.02040816326530612,-0.021364795918367346,1,0.029609850474766324,0.0006502775315905693
L2.H14,49,-0.006260463169642857,0.8571428571428571,0.0,-0.04878826530612245,1,0.05150385292208925,0.000421506195472867
L17.H13,49,-0.006223094706632653,0.32653061224489793,0.04081632653061224,-0.03411989795918367,1,0.03245464393070766,0.004444130161796145
L11.H9,49,-0.00594905931122449,0.7959183673469388,0.02040816326530612,-0.04177295918367347,1,0.021667076616871114,0.0009265554444009096
L7.H10,49,-0.005939094387755102,0.8775510204081632,0.0,-0.04830994897959184,1,0.04823254809087636,0.0004516212707409179
L14.H9,49,-0.005722357302295918,0.7142857142857143,0.02040816326530612,-0.0011160714285714285,1,0.020834754924384916,0.001874670070329947
L4.H15,49,-0.005600286989795918,0.6122448979591837,0.0,-0.04942602040816327,1,0.06887075852374641,0.004540165249562385
L23.H12,49,-0.005585339604591837,0.8979591836734694,0.0,-0.11607142857142858,1,0.060916487051516165,0.00039312417609427047
L9.H10,49,-0.005555444834183673,0.8775510204081632,0.04081632653061224,-0.04352678571428571,1,0.04735723320318728,0.0003479331686061674
L3.H15,49,-0.005520567602040816,0.673469387755102,0.04081632653061224,-0.029177295918367346,1,0.06764108064223309,0.0011898408131911515
L7.H14,49,-0.005266462053571429,0.8571428571428571,0.0,-0.047353316326530615,1,0.03594917423871099,0.0004610882636055122
L5.H2,49,-0.005082110969387755,0.9183673469387755,0.0,-0.05213647959183673,1,0.04717580882870421,0.00029153031462147755
L10.H9,49,-0.00494758450255102,0.8775510204081632,0.0,-0.03810586734693878,1,0.0403541983390341,0.00025787544640182633
L9.H7,49,-0.004828005420918368,0.5306122448979592,0.04081632653061224,-0.15768494897959184,1,0.1527290441551987,0.0373849929785546
L5.H10,49,-0.004775689572704082,0.8571428571428571,0.0,-0.044802295918367346,1,0.04408162467333735,0.00039099202680220943
L0.H10,49,-0.004631198182397959,0.7755102040816326,0.0,-0.029974489795918366,1,0.03249238461864238,0.0004804446094678905
L5.H4,49,-0.004521584024234694,0.7755102040816326,0.0,-0.05197704081632653,1,0.03723844946647177,0.00026830052711932005
L20.H15,49,-0.00436961894132653,0.7755102040816326,0.0,-0.03045280612244898,1,0.0319494544243326,0.000635774434919526
L2.H7,49,-0.0042849170918367345,0.673469387755102,0.04081632653061224,0.00047831632653061223,1,0.007701776465591119,0.0009307475928074623
L13.H4,49,-0.004205197704081632,0.5306122448979592,0.0,0.1326530612244898,1,0.013590783488993742,0.004667216591175874
L19.H11,49,-0.004190250318877551,0.5918367346938775,0.0,-0.02375637755102041,1,0.024888211367081622,0.0006639983295492724
L2.H6,49,-0.004180285395408163,0.7959183673469388,0.0,-0.00860969387755102,1,0.028330720200830578,0.00029539222164110435
L0.H3,49,-0.004150390625,0.673469387755102,0.04081632653061224,-0.01403061224489796,1,4.721904287532884e-05,0.0009973152274531977
L18.H11,49,-0.0038389867665816328,0.5714285714285714,0.0,-0.03491709183673469,1,0.032357035850992005,0.002260598642555569
L3.H8,49,-0.0038041095344387753,0.673469387755102,0.0,-0.05899234693877551,1,0.04859328026674232,0.0013046713839332592
L15.H15,49,-0.0037542849170918366,0.5306122448979592,0.02040816326530612,-0.03268494897959184,1,0.024281078455399493,0.002249844577781172
L14.H6,49,-0.0036720742984693877,0.42857142857142855,0.0,-0.017538265306122448,1,0.005194291776540328,0.003194586022243816
L5.H0,49,-0.0036048110650510204,0.8571428571428571,0.0,-0.03300382653061224,1,0.03322871363892847,0.0002537644217301597
L10.H4,49,-0.003500179368622449,0.7346938775510204,0.0,-0.011798469387755101,1,0.016161728878410494,0.0003744938500802869
L19.H8,49,-0.00345035475127551,0.5714285714285714,0.04081632653061224,-0.062181122448979595,1,0.020570351153003926,0.0011711068046326768
L23.H14,49,-0.003425442442602041,0.6122448979591837,0.0,-0.07653061224489796,1,0.040060074961915305,0.002396017966354836
L20.H3,49,-0.0033183195153061226,0.5510204081632653,0.0,-0.012436224489795918,1,0.01581239213748854,0.0011906657069184988
L6.H4,49,-0.0033058633609693877,0.8367346938775511,0.0,-0.012914540816326531,1,0.01733518376642344,0.0001990290916090052
L23.H5,49,-0.0032336176658163264,0.5510204081632653,0.0,-0.043845663265306124,1,0.025027396727581412,0.0007090652462484657
L6.H11,49,-0.0032311264349489796,0.7346938775510204,0.0,-0.05389030612244898,1,0.030649423599243164,0.0004550236353308571
L23.H8,49,-0.0032311264349489796,0.8163265306122449,0.0,-0.06584821428571429,1,0.03176620785070925,0.0002213085137963371
L1.H1,49,-0.0032286352040816328,0.6938775510204082,0.02040816326530612,-0.05293367346938776,1,-0.0006580644724320392,0.0009597253520041704
L10.H14,49,-0.003166354432397959,0.6326530612244898,0.0,-0.016741071428571428,1,0.02745444190745451,0.0012680512344540686
L15.H1,49,-0.0031563895089285715,0.6326530612244898,0.0,-0.01371173469387755,1,0.012184364455086845,0.0009745165844666486
L22.H5,49,-0.0026755819515306123,0.5510204081632653,0.04081632653061224,0.007174744897959184,1,-0.00653112421230394,0.0032245582207201086
L1.H9,49,-0.002640704719387755,0.6938775510204082,0.04081632653061224,-0.025510204081632654,1,0.022286507548118124,0.00025504754784360186
L7.H6,49,-0.0026133011798469387,0.6122448979591837,0.04081632653061224,0.04830994897959184,1,-0.0014637611350234673,0.0018425311166222912
L0.H2,49,-0.0024563536352040817,0.6122448979591837,0.04081632653061224,0.0,1,0.04948948840705716,0.0022280241828411818
L4.H0,49,-0.002197265625,0.7346938775510204,0.04081632653061224,-0.014987244897959183,1,0.011885185630954042,0.000222942458966994
L20.H6,49,-0.0021873007015306123,0.46938775510204084,0.02040816326530612,-0.017378826530612245,1,0.008873963842586595,0.0011433039107942022
L20.H10,49,-0.0021125637755102043,0.40816326530612246,0.0,-0.016741071428571428,1,0.008022712201488261,0.0016117930343690595
L16.H15,49,-0.0020951251594387753,0.5510204081632653,0.0,-0.03667091836734694,1,0.03212299152296417,0.005027205452836137
L2.H1,49,-0.002040318080357143,0.6530612244897959,0.0,-0.0031887755102040817,1,0.020395023482186452,0.000232846195864781
L19.H3,49,-0.0019755460778061226,0.46938775510204084,0.04081632653061224,-0.01913265306122449,1,0.010505540030343192,0.001247163006545244
L23.H1,49,-0.0019356863839285715,0.6530612244897959,0.04081632653061224,-0.06345663265306123,1,0.023147079409385214,0.00020167433311663835
L1.H10,49,-0.0019033003826530613,0.5918367346938775,0.04081632653061224,-0.014987244897959183,1,0.02280036770567602,0.00039530655414303197
L3.H14,49,-0.0019033003826530613,0.6530612244897959,0.04081632653061224,-0.01403061224489796,1,0.0005211903124439473,0.0004771649181172822
L8.H4,49,-0.0018983179209183674,0.5510204081632653,0.04081632653061224,-0.052455357142857144,1,0.043077590514202506,0.0017274897165444432
L6.H9,49,-0.0017289142219387755,0.6938775510204082,0.0,0.00972576530612245,1,0.007449050338900819,0.0002722925654390045
L20.H12,49,-0.0015744579081632653,0.5306122448979592,0.0,-0.012276785714285714,1,0.008094152625726193,0.00031889526961057695
L14.H0,49,-0.001542071906887755,0.5306122448979592,0.0,-0.00701530612244898,1,0.012701961458945761,0.0009871465201508633
L3.H5,49,-0.0014449139030612245,0.6122448979591837,0.0,-0.007653061224489796,1,0.00876499925340925,0.000320787750640694
L3.H13,49,-0.0013577208227040817,0.6326530612244898,0.0,-0.009247448979591837,1,0.005273188863481794,0.0002937279968303913
L6.H3,49,-0.0013552295918367347,0.6122448979591837,0.0,-0.025350765306122448,1,0.011960199901035853,0.0002815299606537541
L4.H1,49,-0.0011509486607142857,0.6530612244897959,0.0,-0.006696428571428571,1,0.010722890192148636,0.00017260639911650548
L23.H11,49,-0.0011235451211734694,0.5714285714285714,0.0,-0.024713010204081634,1,0.0057971672135956435,0.0001608922808669859
L16.H11,49,-0.0011185626594387755,0.5714285714285714,0.0,-0.01403061224489796,1,0.00573694219394606,0.00012667413507095224
L12.H11,49,-0.0011135801977040817,0.30612244897959184,0.04081632653061224,-0.017059948979591837,1,0.02169819267428651,0.0029282434613322745
L1.H14,49,-0.0010687380420918368,0.5714285714285714,0.0,0.005580357142857143,1,-0.006055634848925532,0.0003944334049283869
L10.H0,49,-0.001016422193877551,0.5714285714285714,0.0,0.007653061224489796,1,0.006707539363783233,0.00023728634536085763
L2.H3,49,-0.0008794044961734694,0.5102040816326531,0.04081632653061224,-0.0012755102040816326,1,0.01985382060615384,0.0006291185896511056
L18.H1,49,-0.0008345623405612245,0.4489795918367347,0.04081632653061224,-0.011479591836734694,1,0.007085004631353885,0.0003716840958299961
L4.H7,49,-0.0007672991071428571,0.5102040816326531,0.0,-0.03268494897959184,1,0.010432751811280543,0.0003979970693317413
L20.H2,49,-0.0007374043367346938,0.6530612244897959,0.0,-0.010682397959183673,1,0.008329240643248265,0.00017497445158517862
