head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L13.H2,100,-0.21410728454589845,0.94,0.22,-1.49203125,1,1.2388450115919114,0.296287738471292
L11.H1,100,-0.073165283203125,0.94,0.03,-0.671640625,1,0.5415039670467376,0.04748023307416588
L14.H12,100,-0.0525616455078125,0.79,0.02,-0.343203125,1,0.3304819756746292,0.028150007238727993
L23.H9,100,-0.03724853515625,0.92,0.03,-0.502109375,1,0.2791896525025368,0.009559190818108618
L9.H11,100,-0.0251220703125,0.9,0.03,-0.199375,1,0.172577320933342,0.006057880076696165
L14.H5,100,-0.02443634033203125,0.62,0.07,-0.147421875,1,0.16248683422803878,0.021214084898238072
L16.H8,100,-0.0244268798828125,0.89,0.01,-0.117578125,1,0.16957309275865554,0.006964457182039041
L23.H6,100,-0.0224200439453125,0.84,0.01,-0.2453125,1,0.17003420174121855,0.008680520661873742
L11.H14,100,-0.018060302734375,0.82,0.01,-0.1940625,1,0.12462995082139969,0.008675542356650112
L23.H2,100,-0.01658203125,0.78,0.01,-0.097421875,1,0.11856372147798538,0.0038630735425977036
L22.H0,100,-0.0160479736328125,0.75,0.0,-0.176328125,1,0.15507092148065568,0.01081962131196633
L11.H12,100,-0.0155645751953125,0.78,0.02,-0.14234375,1,0.11022621780633926,0.004319593309483025
L8.H15,100,-0.014715576171875,0.83,0.0,-0.243984375,1,0.12677303880453109,0.004460467224998865
L10.H1,100,-0.0137762451171875,0.92,0.02,-0.129921875,1,0.10493689954280853,0.0019801003771135585
L23.H11,100,-0.0137506103515625,0.75,0.01,-0.148046875,1,0.09639858305454255,0.0035041286578052677
L14.H3,100,-0.012786865234375,0.84,0.01,-0.076875,1,0.09448171108961105,0.0027036442211829125
L9.H14,100,-0.012335205078125,0.85,0.0,-0.096015625,1,0.08854332506656647,0.0018300951179116964
L8.H8,100,-0.01207275390625,0.73,0.0,-0.120625,1,0.09076309055089951,0.004782954565598629
L17.H2,100,-0.01044677734375,0.64,0.01,-0.00046875,1,0.05875576913356781,0.011011828252812848
L15.H14,100,-0.0102783203125,0.57,0.01,-0.07921875,1,0.06824914693832397,0.004679758295969805
L5.H12,100,-0.0102349853515625,0.92,0.0,-0.11296875,1,0.06960492104291915,0.0012716373096918687
L8.H2,100,-0.009874267578125,0.88,0.01,-0.04359375,1,0.0702835351228714,0.0011026803479762747
L13.H4,100,-0.00960205078125,0.7,0.0,0.041875,1,0.07363466531038285,0.003100852940697223
L10.H7,100,-0.00949249267578125,0.58,0.08,-0.05453125,1,-0.015395041406154632,0.029373568420414813
L18.H4,100,-0.0091607666015625,0.65,0.02,-0.0884375,1,0.06976563096046448,0.004188083815242862
L23.H0,100,-0.009014892578125,0.79,0.01,-0.0784375,1,0.061987316608428954,0.0022734982331530772
L1.H1,100,-0.008531494140625,0.9,0.01,-0.113203125,1,0.05767312049865723,0.0007143661975715077
L23.H10,100,-0.008375244140625,0.79,0.0,-0.10375,1,0.06064171314239502,0.0009694194994517602
L9.H8,100,-0.00811279296875,0.5,0.01,-0.046796875,1,0.014565454721450806,0.01591441234573722
L8.H11,100,-0.0076727294921875,0.77,0.01,-0.103125,1,0.05870188921689987,0.0015474488867039326
L1.H8,100,-0.0069049072265625,0.87,0.01,-0.096484375,1,0.04896257340908051,0.0006650350777817948
L18.H2,100,-0.0067474365234375,0.61,0.0,-0.0965625,1,0.048274973034858705,0.004337512881756993
L10.H14,100,-0.0065399169921875,0.72,0.01,-0.0825,1,0.056392317116260526,0.001826524488715222
L23.H12,100,-0.006390380859375,0.9,0.0,-0.16015625,1,0.05622654676437378,0.000410121317836456
L19.H13,100,-0.005931396484375,0.74,0.01,0.0134375,1,0.03634093552827835,0.0012715306796599179
L14.H15,100,-0.0054278564453125,0.67,0.01,-0.111328125,1,0.039921369850635526,0.0015848449934856034
L11.H11,100,-0.00521240234375,0.62,0.02,-0.09640625,1,0.03108346939086914,0.00723590302222874
L2.H10,100,-0.0051470947265625,0.79,0.0,-0.04375,1,0.03829642713069916,0.0005961269360705046
L2.H5,100,-0.0050152587890625,0.82,0.02,-0.083046875,1,0.03078088045120239,0.0005506489065737697
