head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L13.H2,17,-0.057439018698299635,0.9411764705882353,0.47058823529411764,-0.9163602941176471,2,0.4394692813648897,0.09148753398810239
L16.H1,17,-0.05631211224724265,1.0,0.4117647058823529,-0.6590073529411765,2,0.3429100653704475,0.06830176383749965
L9.H8,17,-0.03940716911764706,0.9411764705882353,0.11764705882352941,-0.46369485294117646,1,0.3066862330717199,0.03228864602415877
L8.H15,17,-0.03883900361902574,1.0,0.23529411764705882,-0.3860294117647059,1,0.2578147299149457,0.034506553948363834
L23.H9,17,-0.02824850643382353,1.0,0.23529411764705882,-0.5496323529411765,1,0.29665432256810803,0.0173598133465823
L11.H1,17,-0.02788229549632353,0.9411764705882353,0.23529411764705882,-0.39568014705882354,1,0.3007609002730426,0.022434167289996847
L9.H11,17,-0.02760494456571691,1.0,0.23529411764705882,-0.33869485294117646,1,0.22381231364081888,0.014103112249251674
L8.H2,17,-0.024680642520680147,0.9411764705882353,0.17647058823529413,-0.20863970588235295,1,0.13001039448906393,0.013729201383231318
L10.H7,17,-0.024177102481617647,0.7647058823529411,0.4117647058823529,-0.28860294117647056,1,0.06212478525498334,0.02376197697594762
L8.H8,17,-0.022344252642463234,0.9411764705882353,0.11764705882352941,-0.2913602941176471,1,0.19860520082361557,0.013919336858260281
L12.H8,17,-0.02180211684283088,0.7647058823529411,0.29411764705882354,-0.4407169117647059,1,0.3276511921602137,0.046286842730991984
L14.H7,17,-0.021736593807444853,0.8235294117647058,0.058823529411764705,-0.19393382352941177,1,0.16504276500028722,0.016654454308616763
L11.H11,17,-0.01981937184053309,0.8235294117647058,0.23529411764705882,-0.19623161764705882,1,0.15504717826843262,0.018907567924436403
L14.H12,17,-0.01912105784696691,1.0,0.11764705882352941,-0.19669117647058823,1,0.12832171776715448,0.008731470419340493
L14.H5,17,-0.01718408921185662,1.0,0.11764705882352941,-0.234375,1,0.20630045498118682,0.012515957467257977
L7.H14,17,-0.014861162971047795,0.9411764705882353,0.058823529411764705,-0.16636029411764705,1,0.11875127343570485,0.005399908329469755
L16.H8,17,-0.014606251436121324,1.0,0.0,-0.1208639705882353,1,0.12505006790161133,0.00503141522024046
L8.H11,17,-0.014437507180606617,1.0,0.17647058823529413,-0.1052389705882353,1,0.0890646541819853,0.004358617479310316
L9.H2,17,-0.014004875631893383,1.0,0.17647058823529413,-0.1332720588235294,1,0.09682468806996065,0.003918273240903064
L10.H14,17,-0.013706880457261029,0.8823529411764706,0.11764705882352941,-0.20634191176470587,1,0.15915870666503906,0.006116995724904186
L8.H6,17,-0.012799431295955883,1.0,0.0,-0.14338235294117646,1,0.12230146632475011,0.0048354938283891365
L9.H15,17,-0.01104736328125,0.8823529411764706,0.11764705882352941,-0.14751838235294118,1,0.1121368127710679,0.0058749050778501176
L5.H9,17,-0.010521383846507353,0.9411764705882353,0.058823529411764705,-0.10431985294117647,1,0.07793460172765396,0.0027292663409539007
L6.H10,17,-0.01046124626608456,0.8823529411764706,0.11764705882352941,-0.06571691176470588,1,0.05765707352582146,0.0031309579430586275
L22.H2,17,-0.009549309225643383,0.8823529411764706,0.058823529411764705,-0.09329044117647059,1,0.06265462146085851,0.0019621216325664565
L5.H3,17,-0.009449678308823529,0.9411764705882353,0.11764705882352941,-0.09420955882352941,1,0.0650638832765467,0.003513256464537014
L10.H1,17,-0.009426341337316176,0.9411764705882353,0.11764705882352941,-0.09283088235294118,1,0.07775554937474868,0.005038928932181615
L13.H8,17,-0.008837531594669117,0.7058823529411765,0.058823529411764705,-0.10018382352941177,1,0.07925820350646973,0.0034450824194423415
L4.H2,17,-0.008485681870404412,1.0,0.11764705882352941,-0.09145220588235294,1,0.07111260470222025,0.0017860631513244966
L14.H3,17,-0.00762939453125,0.7647058823529411,0.058823529411764705,-0.04825367647058824,1,0.06287560743444107,0.0035633679054787055
L4.H15,17,-0.0073780732996323525,0.9411764705882353,0.058823529411764705,-0.0974264705882353,1,0.06825124516206629,0.0023601169437717866
L23.H13,17,-0.007349350873161764,0.9411764705882353,0.058823529411764705,-0.0818014705882353,1,0.05667267126195571,0.0010804278015926043
L6.H15,17,-0.007137522977941176,0.9411764705882353,0.11764705882352941,-0.04733455882352941,1,0.03770735684563132,0.002117067089249544
L11.H8,17,-0.007004681755514706,0.7647058823529411,0.058823529411764705,-0.07261029411764706,1,0.06783308702356675,0.0024473044322803617
L14.H1,17,-0.0069185144761029415,1.0,0.11764705882352941,-0.08869485294117647,1,0.06348280345692354,0.001633794159929761
L5.H13,17,-0.0065837186925551475,1.0,0.058823529411764705,-0.050091911764705885,1,0.044783928815056294,0.001311394529800643
L13.H6,17,-0.006302777458639706,0.8823529411764706,0.0,-0.06709558823529412,1,0.06709989379434024,0.0011664402914260898
L12.H12,17,-0.006284825942095588,0.7647058823529411,0.11764705882352941,-0.07077205882352941,1,0.04175528358010685,0.0029327408821486376
L3.H7,17,-0.00609902774586397,0.8823529411764706,0.058823529411764705,-0.04779411764705882,1,0.04014162456288057,0.0006652752533281112
L21.H10,17,-0.0059114343979779415,1.0,0.058823529411764705,-0.07261029411764706,1,0.04750784705666935,0.0006018812641474035
L14.H4,17,-0.0058836095473345585,0.6470588235294118,0.11764705882352941,-0.1323529411764706,1,0.06707983858445112,0.008635819855365245
L19.H3,17,-0.0058674531824448525,0.6470588235294118,0.11764705882352941,-0.08639705882352941,1,0.04262695592992446,0.0018239656042971868
L13.H9,17,-0.005536247702205882,0.8823529411764706,0.058823529411764705,-0.06479779411764706,1,0.046112523359410906,0.0029993025476441663
L23.H11,17,-0.0054689295151654415,0.8823529411764706,0.058823529411764705,-0.1135110294117647,1,0.0662992561564726,0.0015339050544699764
L13.H5,17,-0.005434821633731618,0.8235294117647058,0.11764705882352941,-0.09191176470588236,1,0.0668636350070729,0.0025162951582494903
L3.H15,17,-0.005274155560661764,0.7647058823529411,0.11764705882352941,-0.03400735294117647,1,0.04300015112932991,0.0031055697267327238
L4.H13,17,-0.00522927676930147,0.8823529411764706,0.058823529411764705,-0.05193014705882353,1,0.03927275713752298,0.0006661664023447563
L5.H4,17,-0.00517721737132353,0.9411764705882353,0.058823529411764705,-0.04503676470588235,1,0.0372158218832577,0.0006048196134061608
L23.H5,17,-0.005064122817095588,0.8823529411764706,0.0,-0.07536764705882353,1,0.03662647920496324,0.0007400332217323868
L5.H5,17,-0.004986931295955882,0.7058823529411765,0.11764705882352941,-0.07904411764705882,1,0.025005256428438073,0.0023175616378841154
