head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H0,27,-0.28037742332175924,0.8518518518518519,0.7407407407407407,-1.4904513888888888,3,0.6833958095974393,0.4517030195781478
L9.H12,27,-0.055408619068287035,0.9629629629629629,0.07407407407407407,-0.32060185185185186,1,0.19034008626584653,0.01921255172540744
L13.H2,27,-0.04689082392939815,0.7777777777777778,0.037037037037037035,-0.44820601851851855,1,0.3278471054854216,0.038522530644614666
L23.H11,27,-0.04379837601273148,0.9629629629629629,0.0,-0.4496527777777778,1,0.2577035206335562,0.0211559526721464
L4.H15,27,-0.039274992766203706,0.9629629629629629,0.037037037037037035,-0.3605324074074074,1,0.1840166030106721,0.017167130571410612
L7.H10,27,-0.03323929398148148,0.8148148148148148,0.07407407407407407,-0.3804976851851852,1,0.22786111301845974,0.01656133797088707
L9.H8,27,-0.03129521122685185,0.8888888888888888,0.0,-0.2821180555555556,1,0.12910234045099328,0.017723095131158415
L11.H14,27,-0.03118896484375,0.6296296296296297,0.0,-0.20949074074074073,1,0.11644932517298946,0.00935924298957818
L10.H14,27,-0.027818467881944444,0.9259259259259259,0.0,-0.265625,1,0.16822545616715043,0.008109586796274892
L23.H9,27,-0.02483226634837963,0.9629629629629629,0.0,-0.4056712962962963,1,0.15288964465812402,0.006028128063513173
L13.H4,27,-0.024820963541666668,0.9259259259259259,0.037037037037037035,-0.08362268518518519,1,0.11991051391318992,0.0046201783396234665
L0.H2,27,-0.020308883101851853,0.48148148148148145,0.037037037037037035,-0.13194444444444445,1,0.10231857388107865,0.009590841674556335
L21.H0,27,-0.01929615162037037,0.8148148148148148,0.0,-0.08854166666666667,1,0.07277165960382533,0.006346123068295937
L0.H1,27,-0.01850269458912037,0.7777777777777778,0.1111111111111111,-0.09664351851851852,1,0.07020846119633427,0.007850761871345134
L14.H3,27,-0.018344455295138888,0.9259259259259259,0.037037037037037035,-0.12731481481481483,1,0.11241141513541893,0.003549411095230392
L17.H2,27,-0.018317328559027776,0.8148148148148148,0.0,-0.026041666666666668,1,0.09855597549014622,0.007882212952676194
L22.H2,27,-0.017112449363425927,0.7777777777777778,0.0,-0.05381944444444445,1,0.06254284470169633,0.0026769810431654115
L2.H6,27,-0.01678466796875,0.8518518518518519,0.0,-0.1412037037037037,1,0.07749430780057553,0.006400835169996653
L6.H8,27,-0.016199182581018517,0.7777777777777778,0.0,-0.045717592592592594,1,0.05971237023671468,0.004611449147988524
L10.H3,27,-0.016153971354166668,0.9259259259259259,0.0,-0.05758101851851852,1,0.04894213764755814,0.0020971281747161237
L8.H4,27,-0.014137550636574073,0.7037037037037037,0.037037037037037035,-0.25289351851851855,1,0.12155996870111536,0.006282636930269224
L12.H8,27,-0.014112684461805556,0.7777777777777778,0.0,-0.21643518518518517,1,0.11775123631512677,0.004276060555302711
L10.H9,27,-0.013943142361111112,0.8518518518518519,0.0,-0.15625,1,0.10321785344017877,0.0020581100004535445
L16.H8,27,-0.01329662181712963,0.8148148148148148,0.037037037037037035,-0.028356481481481483,1,0.057323336601257324,0.00455557804606441
L16.H13,27,-0.011861165364583334,0.6666666666666666,0.07407407407407407,-0.061342592592592594,1,0.0693579603124548,0.005595421685467483
L11.H12,27,-0.01178882740162037,0.7037037037037037,0.0,-0.08362268518518519,1,0.08163945763199418,0.003655218029355941
L11.H11,27,-0.011739095052083334,0.7777777777777778,0.0,-0.17332175925925927,1,0.08610756308944137,0.0032299034711387423
L5.H10,27,-0.011366102430555556,0.9629629629629629,0.037037037037037035,-0.08275462962962964,1,0.03676059952488652,0.003604558233982297
L8.H2,27,-0.011121961805555556,0.6666666666666666,0.037037037037037035,-0.060474537037037035,1,0.04557282394833035,0.0023451236063717967
L2.H7,27,-0.010642722800925927,0.8888888888888888,0.07407407407407407,-0.10040509259259259,1,0.060338377952575684,0.0017910801268751836
L10.H1,27,-0.010441532841435185,0.9629629629629629,0.0,-0.061342592592592594,1,0.03900184896257189,0.0009613660200826686
L0.H14,27,-0.010269730179398149,0.7777777777777778,0.07407407407407407,-0.030381944444444444,1,0.0325094947108516,0.001999595180408236
L7.H8,27,-0.010161223234953705,0.5185185185185185,0.0,0.025752314814814815,1,0.02279798189798991,0.006822494574374071
L4.H5,27,-0.010005244502314815,0.7407407407407407,0.037037037037037035,-0.08015046296296297,1,0.046512745044849535,0.0026235625803194664
L10.H13,27,-0.009874131944444444,0.8518518518518519,0.0,-0.04861111111111111,1,0.050438408498410824,0.0012376924213539395
L8.H8,27,-0.009797272858796295,0.7407407407407407,0.037037037037037035,-0.16319444444444445,1,0.0794240501191881,0.004340289082999031
L6.H12,27,-0.009788230613425927,0.8888888888888888,0.0,-0.06018518518518518,1,0.04515889838889793,0.0013894219149800915
L3.H1,27,-0.009661639178240741,0.7407407407407407,0.037037037037037035,-0.10677083333333333,1,0.061961730321248375,0.003502747116187863
L14.H2,27,-0.00920726634837963,0.6296296296296297,0.0,-0.08101851851851852,1,0.07228680451711018,0.003761004913637104
L12.H14,27,-0.008759675202546295,0.8888888888888888,0.0,-0.1154513888888889,1,0.05306074795899568,0.0014840494927570776
L10.H10,27,-0.008576569733796295,0.7037037037037037,0.0,-0.0023148148148148147,1,0.0006603444064104999,0.0031814599728763656
L8.H0,27,-0.00845902054398148,0.5925925925925926,0.037037037037037035,-0.1634837962962963,1,0.09182719389597575,0.007163596900042008
