head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,"1, 2, 3,",-0.0283203125,-0.078125,False,1,2.1039814949035645,2.1711409091949463,0.06715941429138184,0.005137077532708645
L0.H0,1,"2, 3, 4,",-0.010009765625,0.0234375,False,1,2.7778728008270264,2.7405989170074463,-0.03727388381958008,0.0037356845568865538
L0.H0,2,"3, 4, 5,",-0.0263671875,-0.0703125,False,1,2.291583299636841,2.3175418376922607,0.025958538055419922,0.00759103475138545
L0.H0,3,"4, 5, 6,",-0.01416015625,-0.046875,False,1,2.621777057647705,2.6244969367980957,0.002719879150390625,0.004512470681220293
L0.H0,4,"10, 11, 12,",-0.0029296875,0.046875,False,1,2.2030134201049805,2.161242961883545,-0.04177045822143555,0.004016426391899586
L0.H0,5,"20, 21, 22,",0.001953125,0.0625,False,1,2.0936532020568848,2.060713529586792,-0.03293967247009277,0.00144715397618711
L0.H0,6,"98, 99, 100,",-0.02001953125,-0.203125,False,1,1.5528998374938965,1.6600698232650757,0.1071699857711792,0.0023907520808279514
L0.H0,7,"99, 100, 101,",-0.02099609375,-0.15625,False,1,1.807866096496582,1.9070197343826294,0.09915363788604736,0.0023016538470983505
L0.H0,8,"A, B, C,",-0.0146484375,-0.15625,False,1,1.7472076416015625,1.8240480422973633,0.07684040069580078,0.0012515531852841377
L0.H0,9,"B, C, D,",-0.0087890625,-0.1484375,False,1,1.8292460441589355,1.9167735576629639,0.08752751350402832,0.0011423053219914436
L0.H0,10,"C, D, E,",-0.00732421875,-0.078125,False,1,1.4298968315124512,1.4814504384994507,0.05155360698699951,0.0009943230543285608
L0.H0,11,"X, Y, Z,",-0.0225830078125,-0.2578125,False,1,4.804976463317871,4.956116199493408,0.1511397361755371,0.006476930342614651
L0.H0,12,"H, I, J,",-0.017333984375,-0.21875,False,1,2.9329845905303955,3.0875000953674316,0.15451550483703613,0.0031097359023988247
L0.H0,13,"T, U, V,",-0.04248046875,-0.234375,False,1,2.1114697456359863,2.3546555042266846,0.24318575859069824,0.005360128823667765
L0.H0,14,"Monday, Tuesday, Wednesday,",-0.013671875,-0.0390625,False,1,2.0073952674865723,2.046677589416504,0.03928232192993164,0.0014347225660458207
L0.H0,15,"Tuesday, Wednesday, Thursday,",0.00830078125,0.046875,False,1,1.26951003074646,1.2286553382873535,-0.040854692459106445,0.002061789622530341
L0.H0,16,"Wednesday, Thursday, Friday,",0.00390625,-0.015625,False,1,1.2953598499298096,1.2819498777389526,-0.013409972190856934,0.00048262474592775106
L0.H0,17,"Thursday, Friday, Saturday,",-0.01171875,-0.109375,False,1,1.6004912853240967,1.660504937171936,0.060013651847839355,0.0012973296688869596
L0.H0,18,"Friday, Saturday, Sunday,",-0.036376953125,-0.171875,False,1,3.321603298187256,3.5635595321655273,0.24195623397827148,0.006370740942656994
L0.H0,19,"Saturday, Sunday, Monday,",-0.01611328125,-0.1328125,False,1,1.6544926166534424,1.7625389099121094,0.10804629325866699,0.0021182294003665447
L0.H0,20,"January, February, March,",-0.02001953125,-0.171875,False,1,1.500459909439087,1.5966300964355469,0.09617018699645996,0.0015650643035769463
L0.H0,21,"February, March, April,",-0.0009765625,-0.078125,False,1,1.430265188217163,1.4507228136062622,0.02045762538909912,8.023518603295088e-05
L0.H0,22,"March, April, May,",-0.00244140625,-0.046875,False,1,1.6372915506362915,1.6551367044448853,0.01784515380859375,0.00021997865405865014
L0.H0,23,"April, May, June,",0.00390625,-0.0625,False,1,1.3128554821014404,1.3119981288909912,-0.0008573532104492188,0.0004085762775503099
L0.H0,24,"Infant, Child, Teenager,",-0.0107421875,-0.1015625,False,1,2.890929937362671,2.9610443115234375,0.0701143741607666,0.0011814422905445099
L0.H0,25,"West, North, East,",-0.00927734375,-0.1328125,False,1,2.0677146911621094,2.1443910598754883,0.0766763687133789,0.0011145976604893804
L0.H0,26,"Fall, Winter, Spring,",-0.01904296875,-0.125,False,1,1.5726714134216309,1.6506624221801758,0.07799100875854492,0.0015470597427338362
L0.H0,27,"One, Two, Three,",-0.017578125,-0.1640625,False,1,2.647439956665039,2.804727554321289,0.15728759765625,0.0026551305782049894
L0.H0,28,"Two, Three, Four,",-0.00537109375,-0.125,False,1,1.5016229152679443,1.5529184341430664,0.05129551887512207,0.0007397239096462727
L0.H0,29,"Three, Four, Five,",-0.009765625,-0.1484375,False,1,1.9628806114196777,2.0640509128570557,0.10117030143737793,0.0011083767749369144
L0.H0,30,"First, Second, Third,",-0.00634765625,-0.140625,False,1,1.963101863861084,2.0185701847076416,0.05546832084655762,0.0013540558284148574
L0.H0,31,"Second, Third, Fourth,",-0.00439453125,-0.109375,False,1,1.4782105684280396,1.5206454992294312,0.0424349308013916,0.0005954456282779574
L0.H1,0,"1, 2, 3,",-0.01416015625,-0.2109375,False,1,2.1039814949035645,2.2024519443511963,0.09847044944763184,0.002873278222978115
L0.H1,1,"2, 3, 4,",-0.046630859375,-0.1953125,False,1,2.7778728008270264,3.0167551040649414,0.23888230323791504,0.01078723557293415
L0.H1,2,"3, 4, 5,",-0.048828125,-0.2421875,False,1,2.291583299636841,2.5635526180267334,0.2719693183898926,0.011616566218435764
L0.H1,3,"4, 5, 6,",-0.080078125,-0.3359375,False,1,2.621777057647705,2.9829142093658447,0.36113715171813965,0.02046194300055504
L0.H1,4,"10, 11, 12,",-0.03173828125,-0.265625,False,1,2.2030134201049805,2.364049196243286,0.16103577613830566,0.003013421781361103
L0.H1,5,"20, 21, 22,",-0.0078125,-0.1015625,False,1,2.0936532020568848,2.1450042724609375,0.051351070404052734,0.0005273236893117428
L0.H1,6,"98, 99, 100,",-0.00048828125,-0.078125,False,1,1.5528998374938965,1.5666496753692627,0.013749837875366211,0.0006066749338060617
L0.H1,7,"99, 100, 101,",-0.00732421875,-0.078125,False,1,1.807866096496582,1.8491013050079346,0.04123520851135254,0.0001839078904595226
L0.H1,8,"A, B, C,",-0.0029296875,-0.0234375,False,1,1.7472076416015625,1.7496209144592285,0.0024132728576660156,0.0006499900482594967
L0.H1,9,"B, C, D,",-0.01220703125,-0.03125,False,1,1.8292460441589355,1.8371913433074951,0.00794529914855957,0.0008930431213229895
L0.H1,10,"C, D, E,",-0.0126953125,-0.03125,False,1,1.4298968315124512,1.4467564821243286,0.01685965061187744,0.0011673197150230408
L0.H1,11,"X, Y, Z,",0.00244140625,0.03125,False,1,4.804976463317871,4.8045973777771,-0.0003790855407714844,0.0015185599913820624
L0.H1,12,"H, I, J,",-0.00830078125,-0.03125,False,1,2.9329845905303955,2.9392929077148438,0.006308317184448242,0.0009798307437449694
L0.H1,13,"T, U, V,",-0.00732421875,-0.0703125,False,1,2.1114697456359863,2.1711220741271973,0.05965232849121094,6.493018008768559e-05
L0.H1,14,"Monday, Tuesday, Wednesday,",-0.00927734375,-0.0703125,False,1,2.0073952674865723,2.060595750808716,0.053200483322143555,0.0002712334680836648
L0.H1,15,"Tuesday, Wednesday, Thursday,",-0.00048828125,-0.03125,False,1,1.26951003074646,1.2800601720809937,0.010550141334533691,0.0003893042157869786
L0.H1,16,"Wednesday, Thursday, Friday,",-0.0087890625,-0.09375,False,1,1.2953598499298096,1.3551000356674194,0.05974018573760986,0.0006124925566837192
L0.H1,17,"Thursday, Friday, Saturday,",0.005859375,-0.03125,False,1,1.6004912853240967,1.6001583337783813,-0.00033295154571533203,0.0009514101548120379
L0.H1,18,"Friday, Saturday, Sunday,",-0.005615234375,-0.0390625,False,1,3.321603298187256,3.357985019683838,0.03638172149658203,0.0005393976462073624
L0.H1,19,"Saturday, Sunday, Monday,",-0.00341796875,-0.046875,False,1,1.6544926166534424,1.6823816299438477,0.027889013290405273,0.00038342372863553464
L0.H1,20,"January, February, March,",-0.00244140625,-0.03125,False,1,1.500459909439087,1.5159194469451904,0.015459537506103516,-0.00016361918824259192
L0.H1,21,"February, March, April,",-0.0029296875,-0.03125,False,1,1.430265188217163,1.4532912969589233,0.023026108741760254,4.456831084098667e-05
L0.H1,22,"March, April, May,",0.00244140625,-0.03125,False,1,1.6372915506362915,1.6535232067108154,0.016231656074523926,-7.222380372695625e-05
L0.H1,23,"April, May, June,",-0.01171875,-0.078125,False,1,1.3128554821014404,1.3591735363006592,0.04631805419921875,0.0006784219294786453
L0.H1,24,"Infant, Child, Teenager,",-0.004638671875,0.0078125,False,1,2.890929937362671,2.8735439777374268,-0.01738595962524414,0.0007559813093394041
L0.H1,25,"West, North, East,",-0.01171875,-0.0625,False,1,2.0677146911621094,2.1072306632995605,0.03951597213745117,0.00018420908600091934
L0.H1,26,"Fall, Winter, Spring,",-0.00390625,-0.03125,False,1,1.5726714134216309,1.5985660552978516,0.025894641876220703,0.0005100272828713059
L0.H1,27,"One, Two, Three,",-0.01025390625,-0.0625,False,1,2.647439956665039,2.7310190200805664,0.08357906341552734,0.0003677081549540162
L0.H1,28,"Two, Three, Four,",-0.00927734375,-0.078125,False,1,1.5016229152679443,1.5692702531814575,0.06764733791351318,0.0007351348176598549
L0.H1,29,"Three, Four, Five,",-0.0146484375,-0.1171875,False,1,1.9628806114196777,2.0730550289154053,0.11017441749572754,0.0012217038311064243
L0.H1,30,"First, Second, Third,",-0.01513671875,-0.0625,False,1,1.963101863861084,2.0175580978393555,0.054456233978271484,0.001284806989133358
L0.H1,31,"Second, Third, Fourth,",-0.01513671875,-0.046875,False,1,1.4782105684280396,1.505033254623413,0.026822686195373535,0.0006332030170597136
L0.H2,0,"1, 2, 3,",0.0302734375,0.125,False,1,2.1039814949035645,1.9954192638397217,-0.10856223106384277,0.005359566770493984
L0.H2,1,"2, 3, 4,",0.0263671875,0.109375,False,1,2.7778728008270264,2.716585159301758,-0.061287641525268555,0.005760138854384422
L0.H2,2,"3, 4, 5,",0.02783203125,0.078125,False,1,2.291583299636841,2.212757110595703,-0.0788261890411377,0.005043129436671734
L0.H2,3,"4, 5, 6,",0.01171875,0.015625,False,1,2.621777057647705,2.630742073059082,0.008965015411376953,0.004063967615365982
L0.H2,4,"10, 11, 12,",-0.00244140625,-0.046875,False,1,2.2030134201049805,2.254167318344116,0.05115389823913574,0.0029267643112689257
L0.H2,5,"20, 21, 22,",-0.015625,-0.0546875,False,1,2.0936532020568848,2.1655662059783936,0.07191300392150879,0.0011161230504512787
L0.H2,6,"98, 99, 100,",-0.00732421875,0.03125,False,1,1.5528998374938965,1.5791664123535156,0.02626657485961914,0.0011245241621509194
L0.H2,7,"99, 100, 101,",-0.0068359375,-0.03125,False,1,1.807866096496582,1.8277994394302368,0.019933342933654785,0.001224037492647767
L0.H2,8,"A, B, C,",0.01953125,0.0625,False,1,1.7472076416015625,1.6956329345703125,-0.05157470703125,0.0021190065890550613
L0.H2,9,"B, C, D,",0.01220703125,-0.0078125,False,1,1.8292460441589355,1.827574372291565,-0.0016716718673706055,0.0016968174604699016
L0.H2,10,"C, D, E,",0.01123046875,0.03125,False,1,1.4298968315124512,1.406567931175232,-0.02332890033721924,0.0006768054445274174
L0.H2,11,"X, Y, Z,",0.00537109375,0.046875,False,1,4.804976463317871,4.787766456604004,-0.017210006713867188,0.0037177936173975468
L0.H2,12,"H, I, J,",-0.002197265625,0.0625,False,1,2.9329845905303955,2.926791191101074,-0.006193399429321289,0.0014906174037605524
L0.H2,13,"T, U, V,",0.015625,0.0859375,False,1,2.1114697456359863,2.0139636993408203,-0.09750604629516602,0.0022558148484677076
L0.H2,14,"Monday, Tuesday, Wednesday,",-0.0615234375,-0.421875,False,1,2.0073952674865723,2.3790647983551025,0.3716695308685303,0.011467705480754375
L0.H2,15,"Tuesday, Wednesday, Thursday,",-0.021484375,-0.3046875,False,1,1.26951003074646,1.455330729484558,0.18582069873809814,0.0042945621535182
L0.H2,16,"Wednesday, Thursday, Friday,",-0.00830078125,-0.171875,False,1,1.2953598499298096,1.3845347166061401,0.08917486667633057,0.002313008299097419
L0.H2,17,"Thursday, Friday, Saturday,",-0.01220703125,-0.203125,False,1,1.6004912853240967,1.7222917079925537,0.12180042266845703,0.0029655753169208765
L0.H2,18,"Friday, Saturday, Sunday,",-0.0205078125,-0.1015625,False,1,3.321603298187256,3.4554026126861572,0.13379931449890137,0.005821459926664829
L0.H2,19,"Saturday, Sunday, Monday,",-0.0478515625,-0.34375,False,1,1.6544926166534424,1.9748128652572632,0.3203202486038208,0.00784622598439455
L0.H2,20,"January, February, March,",-0.02880859375,-0.078125,False,1,1.500459909439087,1.6027755737304688,0.10231566429138184,0.0024897954426705837
L0.H2,21,"February, March, April,",-0.0244140625,-0.03125,False,1,1.430265188217163,1.5006930828094482,0.07042789459228516,0.0022786918561905622
L0.H2,22,"March, April, May,",-0.015625,-0.046875,False,1,1.6372915506362915,1.7090517282485962,0.07176017761230469,0.00099768559448421
L0.H2,23,"April, May, June,",-0.02294921875,-0.046875,False,1,1.3128554821014404,1.391295075416565,0.07843959331512451,0.0016012247651815414
L0.H2,24,"Infant, Child, Teenager,",0.01416015625,0.078125,False,1,2.890929937362671,2.8492953777313232,-0.041634559631347656,0.0015790881589055061
L0.H2,25,"West, North, East,",0.00341796875,0.015625,False,1,2.0677146911621094,2.0749292373657227,0.007214546203613281,0.0004390017129480839
L0.H2,26,"Fall, Winter, Spring,",0.0166015625,0.078125,False,1,1.5726714134216309,1.515891671180725,-0.05677974224090576,0.0013369715306907892
L0.H2,27,"One, Two, Three,",-0.015625,-0.046875,False,1,2.647439956665039,2.7291040420532227,0.0816640853881836,0.0017515927320346236
L0.H2,28,"Two, Three, Four,",-0.0009765625,0.015625,False,1,1.5016229152679443,1.5103378295898438,0.008714914321899414,0.0006718692602589726
L0.H2,29,"Three, Four, Five,",-0.00244140625,-0.0234375,False,1,1.9628806114196777,2.005742073059082,0.0428614616394043,0.001170170959085226
L0.H2,30,"First, Second, Third,",-0.02734375,-0.09375,False,1,1.963101863861084,1.9839154481887817,0.020813584327697754,0.0028092877473682165
L0.H2,31,"Second, Third, Fourth,",-0.033203125,-0.203125,False,1,1.4782105684280396,1.5342588424682617,0.05604827404022217,0.004143198952078819
