head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H11,23,-0.19668910814368207,1.0,0.9130434782608695,-1.710258152173913,3,1.0591546348903491,0.3578147269461466
L8.H7,23,-0.06141198199728261,1.0,0.43478260869565216,-0.5210597826086957,1,0.20339378066684888,0.03077486659521642
L9.H2,23,-0.057769775390625,0.8260869565217391,0.13043478260869565,-0.13383152173913043,1,0.35454175783240277,0.20480038776345874
L14.H2,23,-0.057211171025815216,1.0,0.43478260869565216,-0.265625,2,0.050053555032481316,0.03869945721943741
L11.H1,23,-0.053742781929347824,0.9565217391304348,0.2608695652173913,-0.17255434782608695,1,0.22986573758332626,0.033727193899128746
L22.H9,23,-0.05221159561820652,1.0,0.391304347826087,-0.3658288043478261,1,0.2455369804216468,0.02575028104626614
L15.H5,23,-0.051725968070652176,0.9130434782608695,0.34782608695652173,-0.3733016304347826,1,0.0968908227008322,0.03990380644150402
L9.H0,23,-0.05164370329483696,0.9565217391304348,0.30434782608695654,-0.2105978260869565,1,-0.0275625871575397,0.03328511145208841
L23.H9,23,-0.048215119735054345,1.0,0.17391304347826086,-0.46059782608695654,1,0.2804499709087869,0.013695002756202999
L23.H2,23,-0.04726774796195652,1.0,0.13043478260869565,-0.3179347826086957,1,0.3797736271567967,0.018131347413620224
L5.H3,23,-0.045099673063858696,0.9565217391304348,0.21739130434782608,-0.31453804347826086,1,0.11643535157908565,0.019999358843526115
L19.H10,23,-0.03778076171875,1.0,0.34782608695652173,-0.22860054347826086,1,0.08773357971854832,0.015139561637466692
L7.H12,23,-0.03643002717391304,1.0,0.2608695652173913,-0.2547554347826087,1,0.14676886019499405,0.013653542846441269
L14.H15,23,-0.03571618121603261,0.782608695652174,0.30434782608695654,-0.37092391304347827,1,0.11776314611020296,0.03745416487040727
L6.H11,23,-0.03322966202445652,1.0,0.17391304347826086,-0.288383152173913,1,0.13333385923634405,0.009958847628339478
