head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,23,-0.21055117897365405,1.0,0.8260869565217391,-2.2197690217391304,8,0.5873335444408915,0.4466369935999746
L11.H1,23,-0.1307731296705163,0.9565217391304348,0.5652173913043478,-1.1878396739130435,2,0.46993620499320654,0.1333949005474215
L6.H15,23,-0.12850487750509512,1.0,0.6086956521739131,-1.107336956521739,3,0.5506155076234237,0.12933328099872754
L7.H14,23,-0.12371428116508153,1.0,0.5652173913043478,-1.017663043478261,2,0.4498828079389489,0.14046996702318607
L13.H0,23,-0.11378279976222826,0.9130434782608695,0.6521739130434783,-0.6599864130434783,2,0.0035959223042363706,0.11798356206196806
L9.H11,23,-0.09090655782948369,1.0,0.43478260869565216,-0.7319972826086957,2,0.3893717579219652,0.05003986961167792
L23.H9,23,-0.07251241932744565,1.0,0.21739130434782608,-0.6667798913043478,1,0.36518996694813605,0.025402047509408516
L8.H2,23,-0.06922050144361414,0.9565217391304348,0.30434782608695654,-0.5461956521739131,1,0.2720413829969323,0.03007399813150582
L8.H7,23,-0.060114321501358696,0.8695652173913043,0.17391304347826086,-0.6273777173913043,1,0.3089659421340279,0.02958131006554417
L10.H10,23,-0.05756411345108696,0.9565217391304348,0.13043478260869565,-0.4670516304347826,1,0.2741274730018947,0.024534168470974848
L14.H15,23,-0.055780825407608696,1.0,0.21739130434782608,-0.34714673913043476,1,0.20931870004405145,0.023526753298938274
L12.H8,23,-0.055419921875,0.9565217391304348,0.21739130434782608,-0.422554347826087,1,0.24886565623076065,0.03899481406678324
L11.H7,23,-0.05153224779211957,0.8695652173913043,0.2608695652173913,-0.10427989130434782,1,0.011769854504129162,0.06501723987900693
L11.H11,23,-0.049390709918478264,0.9130434782608695,0.043478260869565216,-0.6046195652173914,1,0.30787527042886487,0.03124761273679526
L4.H6,23,-0.047357973845108696,0.9565217391304348,0.13043478260869565,-0.2826086956521739,1,0.1707602376523225,0.016077157251698816
L4.H2,23,-0.04555080247961957,0.8695652173913043,0.21739130434782608,-0.24898097826086957,1,0.06782472651937733,0.023338326070781634
L11.H14,23,-0.04478918987771739,1.0,0.043478260869565216,-0.36820652173913043,1,0.2557571141616158,0.016814291720157085
L8.H4,23,-0.04209568189538043,0.8695652173913043,0.08695652173913043,-0.30672554347826086,1,0.1793399893719217,0.01705204125534257
L16.H8,23,-0.03647248641304348,1.0,0.13043478260869565,-0.13383152173913043,1,0.14345664563386337,0.01632755747793809
L9.H1,23,-0.035307511039402176,0.9565217391304348,0.08695652173913043,-0.19701086956521738,1,0.09408231403516687,0.009502055609355802
L0.H6,23,-0.034760848335597824,0.8695652173913043,0.13043478260869565,-0.24660326086956522,1,0.1481455823649531,0.011747263427621321
L7.H5,23,-0.033651600713315216,0.9130434782608695,0.043478260869565216,-0.3226902173913043,1,0.16567811758621878,0.010706109784381546
L8.H12,23,-0.033139436141304345,0.8695652173913043,0.08695652173913043,-0.39028532608695654,1,0.273929502653039,0.02453948116010946
L20.H6,23,-0.031679899796195655,0.9130434782608695,0.043478260869565216,-0.16474184782608695,1,0.09889465829600459,0.00618553059378072
L9.H13,23,-0.03157905910326087,1.0,0.043478260869565216,-0.18512228260869565,1,0.12840623440949814,0.005845145509659272
L14.H3,23,-0.030092985733695652,0.9130434782608695,0.043478260869565216,-0.16338315217391305,1,0.12786988590074622,0.008801160096798254
L11.H13,23,-0.025693147078804348,1.0,0.043478260869565216,-0.14639945652173914,1,0.11184522379999576,0.004394954328587198
L19.H3,23,-0.025153118631114132,0.43478260869565216,0.043478260869565216,-0.20176630434782608,1,0.12138216391853664,0.052050781362239555
L17.H7,23,-0.024363642153532608,0.782608695652174,0.043478260869565216,-0.16338315217391305,1,0.1522739140883736,0.010861862304053553
L10.H1,23,-0.020210597826086956,1.0,0.043478260869565216,-0.13688858695652173,1,0.0952778380850087,0.003618318405326294
L5.H9,23,-0.019724970278532608,0.9130434782608695,0.0,-0.13722826086956522,1,0.11682250188744586,0.004887112917419037
L6.H3,23,-0.019600246263586956,0.9565217391304348,0.043478260869565216,-0.14673913043478262,1,0.08370774725209111,0.0027680188688226854
