head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H0,159,-0.30895385502269435,0.9937106918238994,0.7861635220125787,-2.1076552672955975,7,0.9069899343094736,1.0529073621585685
L9.H2,159,-0.2167241798256928,1.0,0.3710691823899371,-1.5333628144654088,2,1.3238887914321706,0.36070203645236837
L6.H3,159,-0.17603196438003635,0.9245283018867925,0.24528301886792453,-1.1448506289308176,2,1.0751643484493472,0.3649676272399583
L11.H1,159,-0.11520999932439073,0.9433962264150944,0.1949685534591195,-0.5904088050314465,1,0.5351110835495235,0.13568435703058662
L13.H1,159,-0.11462714237237126,0.8616352201257862,0.3333333333333333,-0.6153694968553459,2,0.3117238418111261,0.23234426190069168
L2.H10,159,-0.11118177497911753,0.8805031446540881,0.22012578616352202,-0.551248034591195,1,0.5226562540486174,0.19525498633255373
L6.H15,159,-0.09265789295892296,0.9685534591194969,0.15723270440251572,-0.6734473270440252,1,0.5389535558298699,0.0727220760737458
L17.H9,159,-0.09256533256866648,0.5911949685534591,0.27044025157232704,-0.5554245283018868,2,0.13166552669597123,0.31019812919935846
L13.H12,159,-0.08156935973737225,0.8050314465408805,0.15723270440251572,-0.4117531446540881,1,0.45377316639858223,0.12887897490049308
L7.H5,159,-0.07191400108097484,0.8805031446540881,0.13836477987421383,-0.7126572327044025,1,0.4969132280199783,0.07972446814437145
L11.H10,159,-0.06755142691750196,0.7861635220125787,0.15723270440251572,-0.2838541666666667,1,0.2737658899160301,0.13448923887061132
L13.H13,159,-0.06571662950815645,0.8238993710691824,0.15723270440251572,-0.36944772012578614,1,0.22942048798567094,0.08919338942520062
L6.H4,159,-0.06497077222140331,0.8113207547169812,0.20125786163522014,-0.5097779088050315,1,0.27269876827983736,0.08954223533125841
L14.H14,159,-0.06422467501658313,0.7547169811320755,0.22641509433962265,-0.4036458333333333,1,0.1680104799990384,0.11209099775556557
L17.H3,159,-0.06373855302918632,0.6729559748427673,0.18867924528301888,-0.42639544025157233,2,0.1841303563717776,0.161395379462398
L12.H6,159,-0.06333769792280856,0.779874213836478,0.22641509433962265,-0.3235554245283019,1,0.22714871880393359,0.168243398995332
L1.H11,159,-0.06178274094683569,0.7735849056603774,0.18867924528301888,-0.49169614779874216,1,0.28934885120991644,0.09853777266253934
L13.H6,159,-0.061667388340212265,0.7232704402515723,0.1761006289308176,-0.21511399371069181,1,0.18702392251986377,0.14603271096089632
L2.H14,159,-0.060641498685632865,0.8742138364779874,0.1320754716981132,-0.3355444182389937,1,0.35559830238234325,0.06953761045698006
L17.H4,159,-0.0595128281311419,0.6792452830188679,0.1761006289308176,-0.2696049528301887,1,0.13746870651185136,0.16861055334246536
