head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L7.H7,30,-0.2713834126790365,0.9333333333333333,0.5,-2.2885416666666667,2,1.1752273519833882,0.6787371754646301
L9.H12,30,-0.16533203125,0.9,0.3,-1.565625,1,0.8954195221265157,0.2613067383567492
L12.H0,30,-0.13160298665364584,0.7666666666666667,0.3,-0.7828125,1,0.29452579418818153,0.2948545734087626
L12.H13,30,-0.12972412109375,0.9333333333333333,0.16666666666666666,-0.9,1,0.6655104120572408,0.1690572294096152
L7.H10,30,-0.088299560546875,0.8666666666666667,0.23333333333333334,-0.88984375,1,0.4583673357963562,0.091819701778392
L10.H11,30,-0.076763916015625,0.8,0.13333333333333333,-0.5598958333333334,1,0.31831513047218324,0.11704867999069393
L1.H2,30,-0.07251790364583334,0.7333333333333333,0.13333333333333333,-0.7395833333333334,1,0.3173704147338867,0.07463261938343445
L10.H8,30,-0.06386515299479166,0.8,0.2,-0.33098958333333334,1,0.23013808727264404,0.08040822690818458
L17.H9,30,-0.0509521484375,0.7333333333333333,0.23333333333333334,-0.371875,1,0.1648196756839752,0.170518912623326
L0.H6,30,-0.042891438802083334,0.7666666666666667,0.1,-0.47421875,1,0.1822002092997233,0.04262470485021671
L10.H3,30,-0.04132486979166667,0.7333333333333333,0.26666666666666666,-0.3177083333333333,1,0.105898384253184,0.13376227794215084
L13.H11,30,-0.04074300130208333,0.7666666666666667,0.16666666666666666,-0.22395833333333334,1,0.11957818071047464,0.04971019954731067
L3.H10,30,-0.040625,0.7,0.16666666666666666,-0.3111979166666667,1,0.12969481348991393,0.0453357616905123
L4.H15,30,-0.040576171875,0.6666666666666666,0.03333333333333333,-0.45078125,1,0.20486212968826295,0.03640289862329761
L13.H2,30,-0.037526448567708336,0.6333333333333333,0.1,-0.5203125,1,0.20386744936307272,0.09593467911084493
L9.H2,30,-0.033111572265625,0.8,0.1,-0.2604166666666667,1,0.16050734122594199,0.02507182627450675
L1.H11,30,-0.03179524739583333,0.6666666666666666,0.1,-0.40703125,1,0.1685847928126653,0.04425491162886222
L10.H7,30,-0.03179117838541667,0.5666666666666667,0.13333333333333333,-0.18072916666666666,1,0.06526951392491659,0.05311881472977499
L13.H1,30,-0.030287679036458334,0.7333333333333333,0.2,-0.15963541666666667,1,0.08558162252108256,0.04080195419179897
L0.H7,30,-0.030110677083333332,0.6666666666666666,0.06666666666666667,-0.2947916666666667,1,0.12577147483825685,0.02199669451996063
L10.H9,30,-0.02996826171875,0.5666666666666667,0.16666666666666666,-0.26666666666666666,1,0.08101990024248759,0.1170621703689297
L13.H9,30,-0.02706298828125,0.7666666666666667,0.06666666666666667,-0.20885416666666667,1,0.14255465467770895,0.024497905063132444
L6.H6,30,-0.026871744791666666,0.7333333333333333,0.13333333333333333,-0.3190104166666667,1,0.13003321290016173,0.025689955955992144
