head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,"Find the pattern: 2, 5, 8, 11,",-0.03076171875,-0.078125,False,1,2.456725597381592,2.5036725997924805,0.04694700241088867,0.003935288637876511
L0.H0,1,"Find the pattern: 3, 7, 11, 15,",-0.01318359375,-0.09375,False,1,2.671868324279785,2.7218172550201416,0.049948930740356445,0.0022703330032527447
L0.H0,2,"Find the pattern: 4, 9, 14, 19,",0.00439453125,-0.078125,False,1,2.819556474685669,2.868640661239624,0.04908418655395508,0.005203923210501671
L0.H0,3,"Find the pattern: 5, 10, 15, 20,",-0.04248046875,-0.140625,False,1,1.9480433464050293,2.1045608520507812,0.15651750564575195,0.004524479154497385
L0.H0,4,"Find the pattern: 6, 12, 18, 24,",-0.0234375,-0.09375,False,1,1.4196994304656982,1.5254333019256592,0.10573387145996094,0.0019392706453800201
L0.H0,5,"Find the pattern: 7, 14, 21, 28,",-0.03125,-0.234375,False,1,1.0239050388336182,1.1900355815887451,0.16613054275512695,0.004210339859127998
L0.H0,6,"Find the pattern: 8, 16, 24, 32,",-0.0078125,0.0,False,1,1.6853491067886353,1.7121648788452148,0.02681577205657959,0.0020578026305884123
L0.H0,7,"Find the pattern: 9, 18, 27, 36,",-0.0087890625,-0.1875,False,1,0.36690929532051086,0.4222499132156372,0.05534061789512634,0.0008652484975755215
L0.H0,8,"Find the pattern: 10, 20, 30, 40,",-0.009765625,-0.125,False,1,0.8021726608276367,0.8666681051254272,0.06449544429779053,0.0006137076998129487
L0.H0,9,"Find the pattern: 1, 4, 7, 10,",-0.017578125,0.0,False,1,2.163538932800293,2.207378625869751,0.04383969306945801,0.00137350894510746
L0.H0,10,"Find the pattern: 2, 6, 10, 14,",-0.015869140625,-0.03125,False,1,2.6303646564483643,2.674152374267578,0.04378771781921387,0.002554803155362606
L0.H0,11,"Find the pattern: 3, 8, 13, 18,",-0.013427734375,-0.109375,False,1,2.7511720657348633,2.835650682449341,0.08447861671447754,0.004172668792307377
L0.H0,12,"Find the pattern: 4, 10, 16, 22,",-0.0172119140625,-0.0625,False,1,3.315431594848633,3.370638847351074,0.055207252502441406,0.005942723713815212
L0.H0,13,"Find the pattern: 5, 12, 19, 26,",-0.01629638671875,-0.15625,False,1,3.3633499145507812,3.4504945278167725,0.08714461326599121,0.005502612330019474
L0.H0,14,"Find the pattern: 6, 14, 22, 30,",-0.014892578125,-0.0625,False,1,2.7978432178497314,2.8431787490844727,0.04533553123474121,0.001628476893529296
L0.H0,15,"Find the pattern: 7, 16, 25, 34,",0.0030517578125,-0.015625,False,1,2.688181161880493,2.703965663909912,0.015784502029418945,0.001974050421267748
L0.H0,16,"Find the pattern: 8, 18, 28, 38,",-0.0185546875,-0.09375,False,1,2.161817789077759,2.211517810821533,0.049700021743774414,0.0014255736023187637
L0.H0,17,"Find the pattern: 9, 20, 31, 42,",-0.0009765625,-0.0703125,False,1,3.486809492111206,3.5104153156280518,0.023605823516845703,0.003163356799632311
