head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H0,30,-0.164898681640625,1.0,0.43333333333333335,-0.8924479166666667,2,0.6359698484341304,0.30860741486152016
L12.H13,30,-0.13642476399739584,1.0,0.3333333333333333,-0.5203125,2,0.6708960761626561,0.22190184916059177
L7.H7,30,-0.0771209716796875,0.9,0.4666666666666667,-0.5471354166666667,2,0.309855509797732,0.20315113418425124
L9.H12,30,-0.0499359130859375,0.7666666666666667,0.36666666666666664,-0.19453125,2,0.10956627825895945,0.10696099928269784
L13.H6,30,-0.04459025065104167,1.0,0.16666666666666666,-0.19973958333333333,1,0.1572707325220108,0.05327928632420177
L13.H12,30,-0.04241129557291667,0.8,0.26666666666666666,-0.16015625,1,0.11777780751387278,0.06785176401026546
L1.H2,30,-0.041249593098958336,1.0,0.1,-0.3815104166666667,1,0.2398592621088028,0.0255508567361782
L17.H9,30,-0.038800048828125,0.7,0.36666666666666664,-0.20807291666666666,1,0.08097809652487437,0.05094599472019278
L10.H8,30,-0.03165486653645833,0.8333333333333334,0.16666666666666666,-0.025260416666666667,1,0.11583384573459625,0.0431479210111623
L8.H0,30,-0.029221598307291666,0.8333333333333334,0.1,-0.18723958333333332,1,0.17153389950593312,0.02550831177116682
L7.H10,30,-0.02855224609375,0.9333333333333333,0.0,-0.11770833333333333,1,0.097044637799263,0.020267381402663886
L1.H11,30,-0.027986653645833335,0.9666666666666667,0.13333333333333333,-0.16197916666666667,1,0.15384368399779003,0.01592782853016009
L10.H9,30,-0.027787272135416666,0.7,0.26666666666666666,-0.23567708333333334,1,0.03146541217962901,0.10167790721170604
L4.H15,30,-0.025722249348958334,0.9333333333333333,0.06666666666666667,-0.16640625,1,0.12229236165682475,0.010951506672427058
L9.H2,30,-0.025537109375,0.9666666666666667,0.13333333333333333,-0.12291666666666666,1,0.1403170277674993,0.016952649775582054
L2.H6,30,-0.023415120442708333,1.0,0.1,-0.17239583333333333,1,0.13610138793786367,0.007582762631742904
L0.H6,30,-0.022928873697916668,1.0,0.1,-0.2916666666666667,1,0.1574862152338028,0.012067502624510477
L14.H14,30,-0.02139892578125,0.7666666666666667,0.16666666666666666,-0.13958333333333334,1,0.08227050999800364,0.008951969157593945
L10.H14,30,-0.017881266276041665,0.8333333333333334,0.13333333333333333,-0.190625,1,0.08531112770239511,0.00968430337961763
L0.H7,30,-0.0175537109375,0.9333333333333333,0.06666666666666667,-0.17786458333333333,1,0.10599269171555838,0.006052230802985529
L11.H15,30,-0.016493733723958334,0.7333333333333333,0.16666666666666666,-0.024739583333333332,1,0.06389746367931366,0.014722338637026648
L6.H4,30,-0.016404215494791666,0.9,0.1,-0.06484375,1,0.08026222685972849,0.007850189338205383
L6.H6,30,-0.015065511067708334,1.0,0.1,-0.06640625,1,0.0790968785683314,0.003508061151175449
L10.H4,30,-0.014605712890625,0.8666666666666667,0.1,-0.07734375,1,0.09015946288903555,0.006521847580249111
L16.H11,30,-0.014556884765625,0.6,0.26666666666666666,-0.1078125,1,0.0670221577088038,0.020068515550034742
L13.H15,30,-0.014542643229166667,0.9,0.03333333333333333,-0.13229166666666667,1,0.08223722080389659,0.0060709669487550855
L3.H3,30,-0.014182535807291667,0.9666666666666667,0.03333333333333333,-0.08411458333333334,1,0.08576023479302725,0.0033182001924918344
L10.H11,30,-0.0140869140625,0.9333333333333333,0.03333333333333333,-0.08645833333333333,1,0.06645724276701609,0.0035194961790693926
L7.H6,30,-0.013185628255208333,0.9333333333333333,0.1,0.00390625,1,0.06754648288091024,0.004243893300493558
L13.H13,30,-0.01275634765625,0.8,0.1,-0.12265625,1,0.07556529939174653,0.010814266694554438
L4.H5,30,-0.012451171875,0.7333333333333333,0.06666666666666667,-0.07265625,1,0.05349999169508616,0.006866416608681902
L16.H14,30,-0.012284342447916667,0.7,0.1,-0.046875,1,0.037691421310106915,0.004283107445614102
L11.H3,30,-0.0120361328125,0.9,0.03333333333333333,-0.03177083333333333,1,0.07760814328988393,0.005690673274511937
L6.H1,30,-0.012013753255208334,0.9,0.0,-0.13229166666666667,1,0.06873122453689576,0.0032057843132254978
L0.H0,30,-0.011411539713541667,0.8333333333333334,0.03333333333333333,-0.08489583333333334,1,0.0520219753185908,0.002590465995793541
