head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H1,199,-0.2870325371248638,0.9949748743718593,0.40703517587939697,-2.015840923366834,6,1.2778360237877573,0.711850684772634
L12.H13,199,-0.21437067003106353,0.8944723618090452,0.2663316582914573,-1.094809987437186,4,1.1891556462301083,0.5939288649090271
L6.H3,199,-0.15936023386279544,0.9447236180904522,0.18090452261306533,-1.4319645100502512,2,1.0128857450718856,0.29650416324645207
L12.H0,199,-0.10362257070876846,0.7286432160804021,0.2663316582914573,-0.8501884422110553,3,0.3251024116972583,0.3933108167081659
L12.H15,199,-0.10070072346596262,0.9195979899497487,0.12060301507537688,-0.6332836055276382,1,0.5006804386874539,0.1291881656044879
L7.H7,199,-0.08774344286127905,0.7989949748743719,0.1708542713567839,-0.7187892587939698,1,0.46237833094057723,0.1555343791263309
L13.H6,199,-0.07761260372909469,0.7989949748743719,0.10552763819095477,-0.4254475502512563,1,0.3325931278979359,0.14794888848324197
L9.H2,199,-0.06647863340138191,0.8894472361809045,0.10552763819095477,-0.7447393216080402,1,0.44832700812936427,0.07599076949382884
L11.H11,199,-0.06623775156299073,0.7085427135678392,0.1306532663316583,-0.6036432160804021,1,0.2946674670256562,0.11636168410212981
L7.H1,199,-0.0629286262857255,0.8391959798994975,0.09547738693467336,-0.33468121859296485,1,0.27940161694683624,0.05910611854738617
L6.H4,199,-0.060535296722872174,0.8291457286432161,0.12060301507537688,-0.5821686557788944,1,0.3235174123216514,0.07054158195241321
L1.H11,199,-0.05972558409724403,0.8090452261306532,0.12060301507537688,-0.4729506909547739,1,0.327556570009071,0.07803435158218495
L13.H12,199,-0.05940637636424309,0.5979899497487438,0.11557788944723618,-0.21152638190954773,1,0.11384033512829536,0.13103700634302692
L5.H1,199,-0.058635232436597046,0.8793969849246231,0.08542713567839195,-0.45595163316582915,1,0.3415137069608698,0.05399458956595828
L13.H9,199,-0.0474184889290201,0.8894472361809045,0.07035175879396985,-0.2715923366834171,1,0.25959759815853445,0.03451372293992923
L6.H15,199,-0.04680261659861809,0.7989949748743719,0.07537688442211055,-0.40483668341708545,1,0.3017164962974625,0.048545455235997265
L8.H4,199,-0.04561453967837233,0.8743718592964824,0.06030150753768844,-0.5134657663316583,1,0.2658917446382082,0.04442012427379401
L12.H11,199,-0.042474181208778265,0.7587939698492462,0.08040201005025126,-0.22954616834170855,1,0.18956493799710394,0.04479348035289405
L0.H9,199,-0.040727394909115894,0.9396984924623115,0.035175879396984924,-0.3652245603015075,1,0.2571744521209343,0.021892429234392136
L4.H4,199,-0.0375990364419755,0.8793969849246231,0.07537688442211055,-0.33899968592964824,1,0.23462936611630808,0.034858016959150515
L2.H7,199,-0.03671916405759265,0.8844221105527639,0.04522613065326633,-0.30555119346733667,1,0.1706425436028284,0.0203202854995218
L2.H10,199,-0.036045553696215454,0.8040201005025126,0.06532663316582915,-0.36691268844221103,1,0.22303251360529033,0.037829650005257814
L12.H5,199,-0.03578868463410804,0.6984924623115578,0.11557788944723618,-0.17360238693467336,1,0.128085583074009,0.06751035699613823
L12.H7,199,-0.03456890163709171,0.6582914572864321,0.15577889447236182,-0.15236337939698494,1,0.057477776878443194,0.11158295680743048
L5.H0,199,-0.03424003256026225,0.864321608040201,0.02512562814070352,-0.2737515703517588,1,0.2039126938386778,0.021027904997337563
L4.H15,199,-0.033941911093553705,0.8241206030150754,0.07035175879396985,-0.33487751256281406,1,0.17772908388969288,0.03368343811847232
L16.H11,199,-0.03177242183206069,0.6080402010050251,0.12562814070351758,-0.2673523869346734,2,0.10485293162078714,0.11358453348335598
L16.H12,199,-0.03162295854271357,0.5175879396984925,0.07035175879396985,-0.22620917085427136,1,0.13374594535360385,0.06827005235994253
L0.H6,199,-0.030194306493404523,0.7788944723618091,0.05527638190954774,-0.2907506281407035,1,0.14721682510483805,0.026343344879247735
L2.H14,199,-0.027686420996584485,0.6231155778894473,0.07035175879396985,-0.2849403266331658,1,0.1883901647062757,0.04236881466591631
L9.H14,199,-0.02754633151107098,0.7386934673366834,0.06532663316582915,-0.18121859296482412,1,0.11169741793194009,0.02647806723173895
L7.H5,199,-0.027127059859846106,0.7035175879396985,0.08040201005025126,-0.4025596733668342,1,0.2042702848288282,0.054488390086548655
L12.H6,199,-0.026320874391488693,0.6532663316582915,0.09045226130653267,-0.07521984924623115,1,0.07142118660349343,0.08189568726870058
L13.H13,199,-0.025762586737397928,0.7035175879396985,0.08542713567839195,-0.2275047110552764,1,0.1199501052723458,0.04891749076491418
