head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,25,-0.0434326171875,0.96,0.28,-0.624375,1,0.5446991443634033,0.05632463067770004
L11.H11,25,-0.036754150390625,0.88,0.16,-0.525,1,0.4971801471710205,0.055573323518037794
L15.H13,25,-0.036171875,0.92,0.2,-0.3678125,1,0.2812031650543213,0.05515603385865688
L11.H1,25,-0.034498291015625,1.0,0.08,-0.3584375,1,0.2856227207183838,0.015647540614008904
L13.H6,25,-0.0241650390625,0.88,0.08,-0.18125,1,0.13185338020324708,0.013091109180822968
L10.H1,25,-0.023521728515625,0.92,0.08,-0.3021875,1,0.25518866539001467,0.011969413608312607
L23.H9,25,-0.019920654296875,0.92,0.12,-0.311875,1,0.12093268394470215,0.008528756089508533
L9.H3,25,-0.01642333984375,0.96,0.0,-0.2078125,1,0.16152350425720216,0.005228127464652062
L8.H2,25,-0.016287841796875,0.96,0.04,-0.1975,1,0.13184456825256347,0.005891228886321187
L23.H13,25,-0.01572021484375,0.8,0.04,-0.1803125,1,0.11380522727966308,0.004265743112191558
L10.H14,25,-0.01483642578125,0.92,0.08,-0.15875,1,0.1493453311920166,0.0045796816423535345
L9.H11,25,-0.01409423828125,0.88,0.08,-0.1953125,1,0.16271754264831542,0.005321572748944164
L6.H2,25,-0.01346923828125,1.0,0.0,-0.196875,1,0.1365002727508545,0.0035907304752618076
L22.H0,25,-0.013328857421875,0.84,0.04,-0.17625,1,0.14293818473815917,0.007744551412761211
L14.H5,25,-0.0127685546875,0.92,0.08,-0.155625,1,0.14188088417053224,0.008459528591483832
L23.H6,25,-0.012745361328125,0.68,0.08,-0.135,1,0.09629878997802735,0.00499089595861733
L5.H14,25,-0.012698974609375,0.96,0.0,-0.1590625,1,0.10527386665344238,0.0027915290696546437
L22.H2,25,-0.01171630859375,0.88,0.12,-0.156875,1,0.10727249145507813,0.00443912654183805
L21.H10,25,-0.01153076171875,0.76,0.04,-0.0834375,1,0.0689622402191162,0.003117513475008309
L8.H6,25,-0.010772705078125,1.0,0.0,-0.1228125,1,0.09480324745178223,0.0021211817488074303
L15.H9,25,-0.0097265625,0.52,0.04,-0.0540625,1,0.04116374015808105,0.0030739972385345027
L12.H3,25,-0.009683837890625,0.76,0.0,-0.18,1,0.11768193244934082,0.005973664224147797
L16.H6,25,-0.009417724609375,0.68,0.08,-0.1615625,1,0.1726410961151123,0.009962778948247432
L8.H15,25,-0.009273681640625,0.76,0.08,-0.1821875,1,0.12981924057006836,0.008622558237984777
L13.H2,25,-0.0092236328125,0.88,0.0,-0.1621875,1,0.11912421226501464,0.0035830753203481436
L9.H12,25,-0.009197998046875,0.88,0.08,-0.1178125,1,0.13202574729919433,0.007704423042014241
L8.H4,25,-0.009041748046875,0.72,0.12,-0.1828125,1,0.18772170066833496,0.023769923858344554
L14.H8,25,-0.008922119140625,0.88,0.08,-0.13625,1,0.12039540290832519,0.004098972659558058
L8.H0,25,-0.008812255859375,0.8,0.04,-0.1565625,1,0.057932653427124024,0.0037965840008109806
L0.H1,25,-0.008594970703125,0.84,0.0,-0.1340625,1,0.07484892845153808,0.003339084843173623
L9.H8,25,-0.008414306640625,0.96,0.0,-0.1084375,1,0.08192834854125977,0.0012083736062049866
L7.H3,25,-0.00837890625,1.0,0.0,-0.1290625,1,0.08715671539306641,0.0012451531714759768
L18.H0,25,-0.00837890625,0.44,0.16,-0.119375,1,0.026868534088134766,0.009842411172576249
L9.H15,25,-0.0083447265625,0.92,0.0,-0.0890625,1,0.07084160804748535,0.00133949133916758
L5.H3,25,-0.00834228515625,0.88,0.0,-0.135,1,0.09967280387878417,0.0029434002656489613
L3.H3,25,-0.008291015625,0.92,0.04,-0.1721875,1,0.09325873374938964,0.002949941619299352
L8.H14,25,-0.007677001953125,0.96,0.0,-0.1128125,1,0.08998147010803223,0.0016173270577564836
L2.H15,25,-0.007236328125,0.8,0.0,-0.090625,1,0.07360295295715331,0.0022425139229744675
L9.H2,25,-0.00719482421875,0.84,0.04,-0.055625,1,0.030349807739257814,0.004349244628101588
L11.H2,25,-0.006856689453125,0.72,0.0,-0.161875,1,0.0789488697052002,0.0041217835992574696
L5.H11,25,-0.00677734375,1.0,0.04,-0.079375,1,0.0662894058227539,0.0007743375957943499
L9.H1,25,-0.006710205078125,0.8,0.0,-0.065625,1,0.06610459327697754,0.0014441361557692288
L6.H7,25,-0.006611328125,0.96,0.04,-0.0978125,1,0.06323516845703125,0.0009510012180544436
L6.H11,25,-0.006595458984375,0.96,0.0,-0.0959375,1,0.05983180046081543,0.0009249646461103111
L23.H10,25,-0.00617919921875,0.68,0.04,-0.091875,1,0.03452213287353516,0.0012953687692061067
L23.H14,25,-0.005919189453125,0.84,0.04,-0.1334375,1,0.06353922843933106,0.0014308075048029424
L9.H7,25,-0.005899658203125,0.8,0.04,-0.068125,1,0.06878098487854004,0.0026783237000927327
L2.H7,25,-0.00560546875,0.88,0.0,-0.0615625,1,0.06733639717102051,0.0013595318654552103
L17.H11,25,-0.005438232421875,0.68,0.08,-0.096875,1,0.0846773338317871,0.002418227856978774
L4.H7,25,-0.00532958984375,0.84,0.0,-0.0771875,1,0.043826751708984375,0.0007095416740048677
L14.H4,25,-0.0052587890625,0.96,0.0,-0.085625,1,0.059848299026489256,0.0010143204173073172
L0.H11,25,-0.005233154296875,0.72,0.0,-0.0646875,1,0.06395354270935058,0.004306833483278752
L4.H0,25,-0.0051611328125,0.8,0.0,-0.0275,1,0.06207765579223633,0.002436531325802207
L0.H7,25,-0.005115966796875,0.84,0.04,-0.06125,1,0.04045068740844727,0.0008256666944362224
L12.H15,25,-0.005068359375,0.76,0.08,-0.03,1,0.01931230545043945,0.002455547552090138
L21.H14,25,-0.0050048828125,0.64,0.0,-0.0109375,1,0.035423479080200194,0.0032060518115758895
L7.H10,25,-0.004921875,0.88,0.04,-0.0890625,1,0.043728389739990235,0.0006389247300103306
L19.H13,25,-0.00489013671875,0.84,0.0,-0.0615625,1,0.043643159866333006,0.0012645359011366963
L17.H2,25,-0.004847412109375,0.64,0.08,0.011875,1,0.03555824279785156,0.007540038637816906
L7.H5,25,-0.004781494140625,0.72,0.08,-0.040625,1,0.003685741424560547,0.0014163954253308476
L14.H7,25,-0.00477294921875,0.8,0.0,-0.040625,1,0.041603374481201175,0.0025480732833966613
L19.H2,25,-0.004713134765625,0.72,0.0,-0.103125,1,0.10699760437011718,0.0060732136480510235
L13.H9,25,-0.004635009765625,0.72,0.04,-0.030625,1,0.03137578010559082,0.0027164380438625814
L14.H0,25,-0.0046044921875,0.52,0.0,-0.0340625,1,0.03161383628845215,0.0014145661258953624
L11.H4,25,-0.004400634765625,0.72,0.04,-0.018125,1,0.017754716873168944,0.003503785915672779
L4.H10,25,-0.004373779296875,0.8,0.04,-0.075,1,0.04143728256225586,0.0009863708599004894
L2.H14,25,-0.00408203125,0.96,0.04,-0.045625,1,0.04228256225585938,0.0006640906853135675
L11.H6,25,-0.004051513671875,0.64,0.04,-0.0265625,1,0.0141079044342041,0.0013039159530308098
L15.H1,25,-0.003984375,0.4,0.04,-0.0259375,1,0.015781097412109375,0.0031780111568514256
L10.H4,25,-0.0038330078125,0.96,0.0,-0.035625,1,0.04019242286682129,0.0004440574604086578
L8.H11,25,-0.0037841796875,0.84,0.04,-0.029375,1,0.028085403442382813,0.0010609938856214285
L23.H12,25,-0.003564453125,1.0,0.04,-0.1290625,1,0.06502507209777832,0.0004958704463206232
L9.H10,25,-0.003525390625,0.92,0.0,-0.0296875,1,0.02192723274230957,0.0002869100222596899
L8.H7,25,-0.003460693359375,0.6,0.04,-0.0703125,1,0.025437955856323243,0.0018925063963979483
L7.H14,25,-0.003387451171875,0.72,0.04,-0.050625,1,0.027649660110473633,0.0006354437558911741
L13.H14,25,-0.00336181640625,0.72,0.04,-0.041875,1,0.023709630966186522,0.0017920992569997907
L15.H11,25,-0.00332275390625,0.44,0.04,-0.024375,1,0.010588293075561523,0.0022210944944527
L15.H10,25,-0.003292236328125,0.84,0.0,-0.0675,1,0.03714756011962891,0.0007475680438801646
L6.H1,25,-0.00324462890625,0.8,0.0,-0.081875,1,0.02307107925415039,0.0007738801412051544
L6.H15,25,-0.003211669921875,0.92,0.0,-0.0415625,1,0.02936976432800293,0.00021399294841103255
L3.H0,25,-0.0031396484375,0.64,0.0,-0.084375,1,0.011637983322143554,0.0032789927814155817
L20.H10,25,-0.003040771484375,0.56,0.04,-0.0203125,1,0.0036452960968017577,0.0016486605699174107
L23.H8,25,-0.002833251953125,0.96,0.0,-0.0759375,1,0.035024795532226566,0.00019543205737136305
L0.H4,25,-0.0025,0.6,0.0,0.0003125,1,0.015308361053466796,0.0006991118914447725
L1.H1,25,-0.002486572265625,0.88,0.04,-0.0228125,1,0.018901615142822265,0.000331329153268598
L13.H5,25,-0.00244140625,0.84,0.04,-0.038125,1,0.028243598937988282,0.0003450678108492866
L10.H9,25,-0.002408447265625,0.84,0.0,-0.0465625,1,0.032654428482055665,0.0003109879931434989
L12.H14,25,-0.002265625,0.84,0.08,-0.0290625,1,0.039547672271728514,0.002662406265735626
L5.H12,25,-0.002261962890625,0.56,0.0,-0.005625,1,0.021621332168579102,0.0007805817783810198
L15.H3,25,-0.002215576171875,0.48,0.08,-0.023125,1,0.0052382564544677735,0.0023764770076377317
L7.H11,25,-0.00217529296875,0.68,0.0,-0.0396875,1,0.01981983184814453,0.0005610407912172377
L16.H5,25,-0.002166748046875,0.72,0.0,-0.02375,1,0.014706382751464844,0.0007386124669574201
L23.H15,25,-0.002147216796875,0.48,0.04,-0.0221875,1,0.006230535507202148,0.0016360262501984835
L11.H12,25,-0.002135009765625,0.72,0.04,-0.0425,1,0.026950864791870116,0.00032207182957790794
L10.H15,25,-0.001978759765625,0.76,0.04,0.016875,1,0.004029064178466797,0.0009017734904773533
L20.H8,25,-0.001943359375,0.52,0.0,-0.01125,1,0.009233999252319335,0.001026904348982498
L17.H8,25,-0.001888427734375,0.36,0.04,-0.0121875,1,0.011840972900390625,0.0013122837530681864
L10.H2,25,-0.00188720703125,0.56,0.0,0.0096875,1,0.031539926528930666,0.002009396222420037
L21.H9,25,-0.00188720703125,0.6,0.0,-0.023125,1,0.015081958770751953,0.0008708418119931594
L23.H4,25,-0.001822509765625,0.64,0.0,-0.0215625,1,0.006997919082641602,0.0004406994950841181
L8.H8,25,-0.00181396484375,0.68,0.0,-0.0059375,1,0.012858190536499024,0.00033203394850715994
L13.H13,25,-0.00179443359375,0.64,0.04,-0.0309375,1,0.01780991554260254,0.0012173251574859024
L11.H5,25,-0.001748046875,0.6,0.0,-0.005625,1,0.0066774082183837895,0.00038553933962248265
L17.H7,25,-0.001712646484375,0.6,0.0,-0.01375,1,0.00827594757080078,0.00021286251198034733
L10.H10,25,-0.001710205078125,0.52,0.04,0.028125,1,-0.02497288703918457,0.002782163596712053
L17.H10,25,-0.00169677734375,0.6,0.04,-0.025,1,0.013310518264770508,0.000659711241023615
L5.H4,25,-0.001656494140625,0.76,0.04,-0.043125,1,0.01938018798828125,0.0002502109782653861
L4.H13,25,-0.001630859375,0.6,0.08,-0.098125,1,0.031480655670166016,0.0028612626995891334
L6.H3,25,-0.00153076171875,0.76,0.0,-0.0053125,1,0.010632238388061523,0.00020509605528786778
L0.H3,25,-0.00150390625,0.64,0.0,0.01,1,-0.005496034622192383,0.0005046074977144599
L13.H3,25,-0.001478271484375,0.6,0.0,-0.0171875,1,0.022033767700195314,0.0005596913461340591
L3.H12,25,-0.001475830078125,0.72,0.0,-0.0325,1,0.02374407768249512,0.00020054653461556882
L5.H1,25,-0.001416015625,0.64,0.04,-0.011875,1,0.0029427719116210936,0.0006969879462849349
L2.H11,25,-0.0014111328125,0.68,0.0,-0.0109375,1,0.00870173454284668,0.00030338414304424075
L2.H13,25,-0.001397705078125,0.6,0.04,-0.0228125,1,0.01223276138305664,0.00032736258901422844
L15.H7,25,-0.0013427734375,0.64,0.08,-0.0246875,1,0.0071532058715820315,0.005805529626086354
L6.H9,25,-0.001180419921875,0.68,0.0,-0.0096875,1,0.005781478881835937,0.00036395138304214927
L19.H8,25,-0.001160888671875,0.44,0.04,-0.0021875,1,0.0055916976928710935,0.00390946876257658
L23.H5,25,-0.001129150390625,0.64,0.0,-0.0071875,1,0.006202688217163086,0.00025976061238907277
