head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,32,-0.10236930847167969,0.9375,0.25,-1.008056640625,1,0.4727840283885598,0.12018059357069433
L11.H11,32,-0.06363677978515625,0.90625,0.15625,-0.564697265625,1,0.2551389439031482,0.03956788458162919
L23.H9,32,-0.053981781005859375,0.8125,0.09375,-0.560302734375,1,0.22176194097846746,0.02642395076691173
L9.H2,32,-0.04653167724609375,1.0,0.09375,-0.345947265625,1,0.1858944958075881,0.018730040959781036
L11.H1,32,-0.03810882568359375,0.8125,0.03125,-0.42626953125,1,0.21981661301106215,0.030169905330694746
L15.H13,32,-0.0377349853515625,0.6875,0.03125,-0.551513671875,1,0.33125648368149996,0.11310683787451126
L15.H10,32,-0.03485107421875,0.90625,0.03125,-0.236328125,1,0.11683167982846498,0.010319547342078295
L10.H14,32,-0.021999359130859375,0.875,0.0,-0.18408203125,1,0.10369384381920099,0.005815105985675473
L16.H8,32,-0.02149200439453125,0.8125,0.0,-0.020263671875,1,0.0474829925224185,0.0063410177135665435
L5.H3,32,-0.019992828369140625,0.84375,0.0625,-0.049072265625,1,0.03910497669130564,0.011972284868534189
L21.H9,32,-0.019397735595703125,0.6875,0.0,-0.09033203125,1,0.06838057469576597,0.007017045489192242
L9.H7,32,-0.018718719482421875,0.96875,0.0,-0.132568359375,1,0.06299587059766054,0.004009195166872814
L12.H3,32,-0.018146514892578125,0.71875,0.03125,-0.105712890625,1,0.04920338373631239,0.008460159791866317
L16.H6,32,-0.018024444580078125,0.8125,0.03125,-0.2822265625,1,0.10313345398753881,0.008365188616153318
L17.H2,32,-0.017974853515625,0.65625,0.0,-0.017578125,1,0.04268857929855585,0.006356448804581305
L14.H3,32,-0.01750946044921875,0.9375,0.0,-0.04931640625,1,0.04482245724648237,0.0036394131875567837
L10.H13,32,-0.0168914794921875,0.8125,0.03125,-0.149169921875,1,0.06524903606623411,0.005500480270711705
L12.H7,32,-0.016574859619140625,0.625,0.0625,-0.015380859375,1,0.014025644399225712,0.01896055755787529
L9.H11,32,-0.016407012939453125,0.90625,0.0,-0.13916015625,1,0.0705994637683034,0.003022678754859953
L7.H5,32,-0.016307830810546875,0.875,0.0,-0.135009765625,1,0.0725112771615386,0.0024611413391539827
L19.H13,32,-0.015834808349609375,0.65625,0.03125,-0.12841796875,1,0.09047208074480295,0.008751976260100491
L14.H15,32,-0.0157928466796875,0.75,0.0,-0.125244140625,1,0.07000985648483038,0.005575429870077642
L12.H9,32,-0.015289306640625,0.65625,0.0,-0.135986328125,1,0.0780273461714387,0.008867576907505281
L6.H5,32,-0.015079498291015625,0.96875,0.0,-0.128173828125,1,0.07022360805422068,0.0016853800052558654
L23.H10,32,-0.014987945556640625,0.71875,0.0,-0.164794921875,1,0.06712076161056757,0.004048607825097861
L13.H4,32,-0.014865875244140625,0.65625,0.03125,-0.001953125,1,0.03553840797394514,0.003921970106603112
L9.H14,32,-0.01366424560546875,0.75,0.0,-0.119873046875,1,0.04973231349140406,0.005269000746920938
L3.H0,32,-0.013614654541015625,0.78125,0.03125,-0.10205078125,1,0.0607654107734561,0.0023399269666697364
L11.H15,32,-0.013256072998046875,0.65625,0.0625,0.0185546875,1,0.010032747872173786,0.012718299047264736
L5.H12,32,-0.012508392333984375,0.875,0.0,-0.1103515625,1,0.052698769606649876,0.0020127946481807157
L14.H7,32,-0.011993408203125,0.53125,0.09375,-0.24072265625,1,0.08664110582321882,0.029058617597911507
