head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L14.H5,26,-0.08295616736778846,0.9230769230769231,0.07692307692307693,-0.41015625,1,0.47700182978923505,0.06648170432219139
L15.H13,26,-0.07750760591947116,0.8461538461538461,0.07692307692307693,-0.48617788461538464,1,0.5106828396136944,0.10751216421620204
L11.H1,26,-0.05559598482572115,1.0,0.07692307692307693,-0.29897836538461536,1,0.3291800618171692,0.028159394036405362
L12.H8,26,-0.053206223707932696,0.7692307692307693,0.11538461538461539,-0.44711538461538464,1,0.399819016456604,0.047034027735487774
L13.H13,26,-0.039412278395432696,0.8076923076923077,0.038461538461538464,-0.24759615384615385,1,0.241056345976316,0.028300206212756727
L12.H9,26,-0.03782301682692308,0.7307692307692307,0.0,-0.19170673076923078,1,0.2297438635275914,0.02014422353106336
L14.H15,26,-0.036055344801682696,0.8461538461538461,0.0,-0.30228365384615385,1,0.2682991119531485,0.013932232207690295
L9.H2,26,-0.03367966871995192,0.8461538461538461,0.07692307692307693,-0.15324519230769232,1,0.19624747679783747,0.018245834230373684
L11.H11,26,-0.03213031475360577,0.7692307692307693,0.11538461538461539,-0.12620192307692307,1,0.14649748802185059,0.021260714444976587
L15.H7,26,-0.026158259465144232,0.6923076923076923,0.0,-0.16556490384615385,1,0.19478872189154992,0.020916107670368198
L8.H15,26,-0.023144061748798076,0.8461538461538461,0.038461538461538464,-0.17487980769230768,1,0.14413684606552124,0.0067721242980601695
L18.H4,26,-0.023106501652644232,0.6923076923076923,0.07692307692307693,-0.1141826923076923,1,0.12757530579200158,0.013227654294146655
L12.H1,26,-0.022533710186298076,0.7692307692307693,0.07692307692307693,-0.057992788461538464,1,0.0713995832663316,0.016555674320373397
L13.H8,26,-0.01920494666466346,0.8461538461538461,0.0,-0.12800480769230768,1,0.14061398460314825,0.004019438900286332
L10.H10,26,-0.01816734900841346,0.8846153846153846,0.07692307692307693,-0.09705528846153846,1,0.10952085256576538,0.0038277455963767492
L1.H11,26,-0.01729407677283654,0.9230769230769231,0.0,-0.13822115384615385,1,0.1119610437980065,0.004258102191110643
L13.H5,26,-0.017275296724759616,0.8846153846153846,0.0,-0.07361778846153846,1,0.11127133323596074,0.003860791462312381
L14.H7,26,-0.015627347506009616,0.6923076923076923,0.038461538461538464,-0.08623798076923077,1,0.11286095243233901,0.016777423622373205
L8.H12,26,-0.015430157001201924,0.9615384615384616,0.0,-0.07782451923076923,1,0.10217127891687247,0.0023278871533245994
L23.H6,26,-0.015240009014423076,0.5769230769230769,0.038461538461538464,-0.16256009615384615,1,0.10894504418739906,0.02285839765905761
L22.H0,26,-0.014995868389423076,0.6538461538461539,0.0,-0.18269230769230768,1,0.1279338552401616,0.017592397518455982
L15.H10,26,-0.01486675555889423,0.7307692307692307,0.07692307692307693,-0.0985576923076923,1,0.07870195920650776,0.00841887511509972
L11.H6,26,-0.014387864332932692,0.8461538461538461,0.0,-0.07241586538461539,1,0.0801203571833097,0.005744175233233433
L11.H8,26,-0.013716477614182692,0.8461538461538461,0.0,-0.0811298076923077,1,0.08276081543702346,0.0018258147297624068
L16.H6,26,-0.013608492337740384,0.7692307692307693,0.0,-0.08323317307692307,1,0.12320337387231681,0.010749621585441323
L10.H14,26,-0.01330096905048077,0.6923076923076923,0.0,-0.14543269230769232,1,0.10802119511824387,0.006038254708983004
L5.H9,26,-0.011763352614182692,0.7692307692307693,0.0,-0.08233173076923077,1,0.07480464073327872,0.0025176673169391085
L15.H5,26,-0.011751615084134616,0.7692307692307693,0.0,-0.08323317307692307,1,0.0673753756743211,0.0032652826675285515
L11.H14,26,-0.010230431189903846,0.8846153846153846,0.0,-0.10907451923076923,1,0.0850299229988685,0.001563877869137706
L23.H9,26,-0.010144747220552884,0.5,0.038461538461538464,-0.17878605769230768,1,0.09836193231435922,0.010397274781448336
L18.H8,26,-0.009833702674278846,0.46153846153846156,0.0,-0.07692307692307693,1,0.08817702531814575,0.007876342189914655
L23.H15,26,-0.009793795072115384,0.8076923076923077,0.0,-0.050180288461538464,1,0.04296988248825073,0.0032650215748267677
L3.H15,26,-0.009542611929086538,0.8461538461538461,0.0,-0.06610576923076923,1,0.05736881494522095,0.0010351604522349169
L8.H11,26,-0.009350116436298076,0.7692307692307693,0.0,-0.04146634615384615,1,0.03962491108820988,0.0016244226583064748
L22.H5,26,-0.009192833533653846,0.6923076923076923,0.038461538461538464,-0.11298076923076923,1,0.04852522795016949,0.011013277251130113
L18.H2,26,-0.009174053485576924,0.8076923076923077,0.0,-0.07962740384615384,1,0.05724338843272282,0.003163315136379634
L13.H2,26,-0.00893695537860577,0.7692307692307693,0.0,-0.0751201923076923,1,0.07437427227313702,0.0036906550186148915
L4.H2,26,-0.008591871995192308,0.8461538461538461,0.0,-0.06280048076923077,1,0.04756581783294678,0.0016203528167142605
L21.H4,26,-0.008512056790865384,0.6923076923076923,0.038461538461538464,0.013221153846153846,1,0.022118219962486856,0.005843625309073384
L19.H13,26,-0.008415809044471154,0.5769230769230769,0.038461538461538464,-0.021935096153846152,1,0.05546375421377329,0.008349308553778637
L9.H1,26,-0.008399376502403846,0.7692307692307693,0.0,-0.044771634615384616,1,0.05419142658893879,0.0011328734813455062
L23.H2,26,-0.007958045372596154,0.7692307692307693,0.0,-0.030048076923076924,1,0.050652724045973554,0.002269455352619004
L10.H13,26,-0.007781982421875,0.6153846153846154,0.038461538461538464,-0.043569711538461536,1,0.03620360218561613,0.003675067313731863
L2.H14,26,-0.007772592397836538,0.8076923076923077,0.0,-0.051382211538461536,1,0.0436708743755634,0.0004966251721131043
L4.H13,26,-0.007730337289663462,0.8461538461538461,0.0,-0.047475961538461536,1,0.04908314118018517,0.0006878494470863818
L9.H11,26,-0.007664607121394231,0.6538461538461539,0.038461538461538464,-0.06670673076923077,1,0.04559956147120549,0.00278557485076957
L5.H3,26,-0.007544884314903846,0.8461538461538461,0.0,-0.06520432692307693,1,0.04136300545472365,0.0012382043003946398
L7.H2,26,-0.006960355318509615,0.8846153846153846,0.0,-0.028846153846153848,1,0.03333491545457106,0.001093866055061181
L17.H11,26,-0.006514329176682692,0.46153846153846156,0.0,-0.004807692307692308,1,0.03591400384902954,0.004537232061221193
L9.H15,26,-0.006305401141826923,0.7692307692307693,0.0,-0.002403846153846154,1,0.03264491374676044,0.001053607601744051
L22.H2,26,-0.006223238431490385,0.6923076923076923,0.0,-0.029447115384615384,1,0.06361053769405071,0.002330675161479471
L23.H14,26,-0.005835899939903846,0.6153846153846154,0.0,-0.0850360576923077,1,0.022926057760532085,0.003386228761743181
L21.H10,26,-0.005695049579326923,0.5384615384615384,0.0,-0.024338942307692308,1,0.04436759765331562,0.003190845857786301
L16.H1,26,-0.005652794471153846,0.7692307692307693,0.0,-0.036959134615384616,1,0.038311052780884966,0.0019495134653810125
L12.H2,26,-0.005612886868990385,0.6153846153846154,0.0,-0.00030048076923076925,1,0.020891074950878438,0.002798186644213274
L13.H6,26,-0.005495511568509615,0.7307692307692307,0.0,-0.05588942307692308,1,0.056422107494794406,0.0012361328251874791
L1.H5,26,-0.005467341496394231,0.8076923076923077,0.0,-0.024939903846153848,1,0.0314740721996014,0.0005436149882510877
L8.H8,26,-0.005202073317307692,0.6153846153846154,0.0,-0.05048076923076923,1,0.04599067339530358,0.0037701303887073523
L19.H7,26,-0.005197378305288462,0.5769230769230769,0.0,0.0,1,0.014207541942596436,0.007461604348813685
L3.H13,26,-0.005192683293269231,0.6923076923076923,0.0,-0.04176682692307692,1,0.03456417872355534,0.0004939520373367346
L14.H12,26,-0.004744309645432692,0.8076923076923077,0.0,-0.042067307692307696,1,0.03507616198979891,0.0004942422369472646
L5.H8,26,-0.004622239332932692,0.5769230769230769,0.0,-0.02403846153846154,1,0.03099865638292753,0.0011263853297210657
L22.H7,26,-0.004617544320913462,0.4230769230769231,0.0,0.005408653846153846,1,-0.01557578261081989,0.00521272545246085
L23.H13,26,-0.004570594200721154,0.5384615384615384,0.0,-0.05498798076923077,1,0.051135936608681314,0.0032181458843227187
L7.H12,26,-0.004403921274038462,0.8461538461538461,0.0,-0.048978365384615384,1,0.027568115637852594,0.000506793683878361
L9.H3,26,-0.004371056189903846,0.6538461538461539,0.0,-0.0009014423076923077,1,0.027976650458115798,0.0014922240919146973
L10.H1,26,-0.004286545973557692,0.6923076923076923,0.0,-0.0015024038461538462,1,0.01651372817846445,0.002318291380876102
L1.H3,26,-0.004162128155048077,0.8076923076923077,0.0,-0.014122596153846154,1,0.022194500152881328,0.0004191566818357947
L23.H5,26,-0.004056490384615385,0.5384615384615384,0.0,-0.021033653846153848,1,0.029646254502809964,0.002114091212906015
L7.H15,26,-0.004030667818509615,0.7692307692307693,0.0,-0.037259615384615384,1,0.03155488922045781,0.0006190273360026857
L20.H0,26,-0.004011887770432692,0.6153846153846154,0.038461538461538464,-0.022235576923076924,1,0.010202747124892015,0.0011859235657119336
L3.H8,26,-0.003993107722355769,0.6153846153846154,0.0,-0.01171875,1,0.027883995037812453,0.0003069622644733709
L9.H8,26,-0.003849909855769231,0.8076923076923077,0.0,-0.030048076923076924,1,0.025114605059990518,0.0003327938398937337
L21.H15,26,-0.003692626953125,0.5,0.0,-0.03545673076923077,1,0.009625081832592305,0.0024459362388230287
L21.H9,26,-0.003643329326923077,0.6153846153846154,0.0,-0.03275240384615385,1,0.022452056407928467,0.005389403924569846
L7.H14,26,-0.003612811748798077,0.7692307692307693,0.0,-0.03756009615384615,1,0.032611388426560625,0.0005402642088413883
L0.H13,26,-0.00360107421875,0.6538461538461539,0.0,-0.039963942307692304,1,0.02474755048751831,0.0007634051849331277
L2.H7,26,-0.003497783954326923,0.6923076923076923,0.0,-0.03756009615384615,1,0.021748446501218356,0.0004981893798685633
L9.H0,26,-0.003453181340144231,0.5384615384615384,0.0,-0.044771634615384616,1,0.02051023107308608,0.0025051381403150465
L6.H13,26,-0.003387451171875,0.7307692307692307,0.0,-0.00811298076923077,1,0.02192692573253925,0.000620220228134153
L13.H1,26,-0.003363976111778846,0.7307692307692307,0.0,-0.0234375,1,0.024100477878863994,0.00046947417230022926
L13.H15,26,-0.003277118389423077,0.6923076923076923,0.0,-0.01953125,1,0.023721708701207087,0.00023221964735197477
L7.H1,26,-0.0032184307391826925,0.9230769230769231,0.0,-0.015625,1,0.017235210308661826,0.0001699422783321307
L1.H0,26,-0.0031221829927884615,0.8076923076923077,0.0,-0.015625,1,0.0198364991408128,0.0001706685479103516
L23.H12,26,-0.0031104454627403845,0.8076923076923077,0.0,-0.07001201923076923,1,0.02315085667830247,0.00028913685673614964
L2.H3,26,-0.0029742901141826925,0.6923076923076923,0.0,-0.045973557692307696,1,0.03752682300714346,0.0010200505225489347
L22.H8,26,-0.002875694861778846,0.6153846153846154,0.0,-0.007512019230769231,1,-0.0011732165630047137,0.0012849148476491861
L0.H2,26,-0.0027864896334134615,0.5384615384615384,0.038461538461538464,-0.05228365384615385,1,0.008230970456049992,0.0021603145824673656
L12.H15,26,-0.0027864896334134615,0.7307692307692307,0.0,-0.030949519230769232,1,0.026366410347131584,0.0003542316175858454
L19.H8,26,-0.0027559720552884615,0.5384615384615384,0.0,-0.05709134615384615,1,0.026414252244509183,0.0036188730602869047
L1.H7,26,-0.0027019794170673075,0.6153846153846154,0.0,-0.030048076923076924,1,0.015913027983445387,0.00028195634177581477
L8.H2,26,-0.002662071814903846,0.6923076923076923,0.0,0.028846153846153848,1,0.002634777472569392,0.0010656408871559857
L9.H7,26,-0.0026151216947115385,0.6538461538461539,0.0,-0.0078125,1,0.014940080734399648,0.0007556603925947386
L8.H3,26,-0.0025775615985576925,0.6538461538461539,0.0,-0.017127403846153848,1,0.025263740466191217,0.00034758594749571505
L5.H10,26,-0.002521221454326923,0.6923076923076923,0.0,-0.01622596153846154,1,0.01438683271408081,0.0002765639644796745
L2.H8,26,-0.002476618840144231,0.7307692307692307,0.0,-0.008713942307692308,1,0.015589636105757494,0.0002759487173394658
L16.H4,26,-0.0023968036358173075,0.38461538461538464,0.0,-0.002704326923076923,1,0.0165058236855727,0.001245475619865689
L17.H2,26,-0.0023944561298076925,0.4230769230769231,0.038461538461538464,-0.02013221153846154,1,-9.821011469914363e-05,0.02161453402816103
L4.H7,26,-0.0023827185997596155,0.8461538461538461,0.0,-0.013822115384615384,1,0.012734481921562782,0.0001154995048776842
L5.H11,26,-0.0023169884314903845,0.6153846153846154,0.0,-0.006009615384615385,1,0.011515186383174015,0.00031529112815265904
L15.H1,26,-0.002253605769230769,0.6538461538461539,0.0,-0.015925480769230768,1,0.010998281148763804,0.00017457994363212492
L14.H11,26,-0.002239520733173077,0.6923076923076923,0.0,-0.01171875,1,0.011303454637527466,0.00017677447277282437
L6.H15,26,-0.002166748046875,0.6153846153846154,0.0,0.0078125,1,0.007902746017162617,0.0005829692062644216
L5.H0,26,-0.002155010516826923,0.7692307692307693,0.0,-0.006911057692307692,1,0.01346052151459914,0.00014071775177189222
L9.H12,26,-0.002110407902644231,0.7692307692307693,0.0,-0.022235576923076924,1,0.01947203966287466,0.00013417935406323522
L11.H4,26,-0.0020892803485576925,0.6153846153846154,0.0,0.007512019230769231,1,0.017416353409106914,0.0014069159392070456
L14.H13,26,-0.0020165076622596155,0.6538461538461539,0.0,-0.009615384615384616,1,0.0222508586370028,0.00024871014298136847
L16.H2,26,-0.001941387469951923,0.5769230769230769,0.0,-0.006911057692307692,1,0.012509121344639705,0.0006564219276277492
L4.H4,26,-0.001903827373798077,0.7307692307692307,0.0,-0.0030048076923076925,1,0.005010304542688223,0.0003646414692271859
L6.H11,26,-0.0018850473257211538,0.6538461538461539,0.0,-0.009314903846153846,1,0.011985636674440824,0.00018653651484503195
L3.H5,26,-0.0017981896033653845,0.6153846153846154,0.0,-0.02674278846153846,1,0.01442101368537316,0.00016542065658051378
L23.H10,26,-0.0017911470853365385,0.46153846153846156,0.0,-0.05318509615384615,1,0.04314152094034048,0.0028005455790732344
L1.H12,26,-0.0017606295072115385,0.6538461538461539,0.0,-0.026141826923076924,1,0.013337327883793758,0.000161720014707848
L23.H4,26,-0.001739501953125,0.5769230769230769,0.0,-0.01201923076923077,1,0.008806141523214487,0.0002553032001322628
L14.H4,26,-0.0017113318810096155,0.5384615384615384,0.0,-0.026141826923076924,1,0.02510735163321862,0.0007584152727549036
L0.H1,26,-0.0016855093149038462,0.7307692307692307,0.0,-0.016826923076923076,1,0.009642976980942946,5.5283902978632024e-05
L14.H2,26,-0.001659686748798077,0.5,0.038461538461538464,-0.01622596153846154,1,0.0029193415091587948,0.0015850684363753176
L4.H3,26,-0.0016315166766826923,0.5769230769230769,0.0,-0.00811298076923077,1,0.009524184923905592,8.596848419983871e-05
L2.H5,26,-0.0016221266526442308,0.5769230769230769,0.0,-0.027644230769230768,1,0.01020111945959238,0.00033774069239510794
L0.H5,26,-0.001556396484375,0.5,0.0,-0.025841346153846152,1,0.0017409645594083346,0.0006954871697906548
L5.H13,26,-0.0014812762920673077,0.6153846153846154,0.0,-0.004807692307692308,1,0.006712574225205641,0.00028041225036409183
L4.H6,26,-0.0014624962439903845,0.6153846153846154,0.0,-0.01171875,1,0.008138198118943434,0.0005716927071961646
L12.H0,26,-0.0013709435096153845,0.5,0.0,0.0033052884615384615,1,0.003572074266580435,0.0004150008244323544
L8.H1,26,-0.001331035907451923,0.5769230769230769,0.0,0.008413461538461538,1,0.003954818615546593,0.00032821841719291674
L0.H12,26,-0.0013286884014423077,0.5769230769230769,0.0,-0.009314903846153846,1,0.007217792364267202,0.00012323152399263703
L15.H3,26,-0.001312255859375,0.46153846153846156,0.0,-0.013521634615384616,1,0.012586187857847948,0.00030639103687672806
L8.H6,26,-0.0012418306790865385,0.6538461538461539,0.0,0.006610576923076923,1,0.007014549695528471,0.00024035568080412655
L19.H12,26,-0.0012230506310096155,0.5,0.0,-0.0030048076923076925,1,0.005067272828175471,0.001734499662863807
L9.H10,26,-0.0011995755709134615,0.6923076923076923,0.0,0.0,1,0.005830086194551908,0.00013244940656967138
L6.H0,26,-0.001140887920673077,0.6153846153846154,0.0,-0.009615384615384616,1,0.012311433370296773,0.00016535634774929629
L10.H0,26,-0.0010939378004807692,0.5769230769230769,0.0,-0.013822115384615384,1,0.009788421484140249,0.00019774896757623466
L1.H4,26,-0.0010657677283653845,0.5769230769230769,0.0,0.004206730769230769,1,0.002927626554782574,0.00015387040408453546
L17.H8,26,-0.0010235126201923077,0.5769230769230769,0.0,0.0009014423076923077,1,0.005602887043586144,0.00012891129657733612
L10.H11,26,-0.000988300030048077,0.5384615384615384,0.0,-0.006310096153846154,1,0.012324085602393517,0.0009461419383744494
L10.H4,26,-0.0009812575120192308,0.6538461538461539,0.0,-0.005108173076923077,1,0.006951146400891817,0.00022250927227455226
L6.H8,26,-0.0009624774639423077,0.5,0.0,-0.002704326923076923,1,0.008206009864807129,0.0003650235818125881
L4.H8,26,-0.0009436974158653846,0.6923076923076923,0.0,-0.010516826923076924,1,0.008021368430210995,3.21483558554274e-05
L19.H15,26,-0.0009296123798076923,0.6153846153846154,0.038461538461538464,0.0030048076923076925,1,-0.008911407910860501,0.0009556774852031735
L2.H4,26,-0.000885009765625,0.7307692307692307,0.0,-0.014122596153846154,1,0.006110782806689923,7.840192819667909e-05
L20.H13,26,-0.0008333646334134615,0.5384615384615384,0.0,-0.002704326923076923,1,0.004044447953884418,0.000391357880009589
L7.H13,26,-0.0008310171274038461,0.5384615384615384,0.0,0.01953125,1,-0.010078297211573673,0.0010966166726295622
L21.H14,26,-0.0008263221153846154,0.38461538461538464,0.0,0.014122596153846154,1,0.0023913200084979716,0.0015832570654590828
L20.H9,26,-0.0008169320913461539,0.46153846153846156,0.0,-0.0021033653846153845,1,0.002860475044984084,0.0005254545081138181
