head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Violin is a string instrument. Erhu is a,0.000244140625,0.0078125,False,1,4.033918857574463,4.02611780166626,-0.007801055908203125,6.727580330334604e-05
L0.H0,1,Violin is a string instrument. Talking drum is a,0.00390625,0.0234375,False,1,4.843954563140869,4.826698303222656,-0.01725625991821289,0.0001885219826363027
L0.H0,2,Violin is a string instrument. Ukulele is a,0.003662109375,0.015625,False,1,3.334350347518921,3.313018560409546,-0.021331787109375,0.0004392843693494797
L0.H0,3,Violin is a string instrument. Steel drum is a,0.0050048828125,0.0390625,False,1,4.580250263214111,4.566956996917725,-0.013293266296386719,0.00031757610850036144
L0.H0,4,Violin is a string instrument. Oboe is a,-0.000732421875,0.0,False,1,4.524650573730469,4.521815776824951,-0.002834796905517578,0.00017116701928898692
L0.H0,5,Violin is a string instrument. Sitar is a,0.008056640625,0.03125,False,1,3.6300888061523438,3.59299373626709,-0.037095069885253906,0.0002089992631226778
L0.H0,6,Violin is a string instrument. Trombone is a,0.001708984375,0.0078125,False,1,4.659778594970703,4.645712375640869,-0.014066219329833984,0.00032796728191897273
L0.H0,7,Violin is a string instrument. Tabla is a,0.0048828125,0.0390625,False,1,4.735515594482422,4.6975603103637695,-0.037955284118652344,0.00042822048999369144
L0.H0,8,Violin is a string instrument. Pipa is a,0.00213623046875,0.0390625,False,1,5.310831069946289,5.295987129211426,-0.014843940734863281,0.0003009979845955968
L0.H0,9,Violin is a string instrument. Bass drum is a,-0.0025634765625,-0.015625,False,1,4.837935447692871,4.8483147621154785,0.010379314422607422,0.0002932657371275127
L0.H0,10,Violin is a string instrument. Banjo is a,0.00732421875,0.03125,False,1,2.8430488109588623,2.8083465099334717,-0.034702301025390625,0.0002449640305712819
L0.H0,11,Violin is a string instrument. Drum is a,0.00537109375,0.03125,False,1,3.9480886459350586,3.914498805999756,-0.033589839935302734,0.00024788538576103747
L0.H0,12,Violin is a string instrument. Cello is a,0.00390625,0.0234375,False,1,3.5982933044433594,3.5763208866119385,-0.0219724178314209,9.512226097285748e-05
L0.H0,13,Violin is a string instrument. Saxophone is a,-0.0015869140625,-0.015625,False,1,4.584232330322266,4.583952903747559,-0.00027942657470703125,0.00024771387688815594
L0.H0,14,Violin is a string instrument. Double bass is a,0.00634765625,0.0234375,False,1,4.5149736404418945,4.488800525665283,-0.026173114776611328,0.0004868609830737114
L0.H0,15,Violin is a string instrument. Snare drum is a,0.0074462890625,0.046875,False,1,4.8211565017700195,4.7893476486206055,-0.03180885314941406,0.000400261371396482
L0.H0,16,Violin is a string instrument. Guitar is a,0.0107421875,0.046875,False,1,3.001434087753296,2.9445149898529053,-0.056919097900390625,0.000482749892398715
L0.H0,17,Violin is a string instrument. Marimba is a,-0.0009765625,0.0,False,1,3.1858510971069336,3.1881561279296875,0.0023050308227539062,0.00015192040882539004
L0.H0,18,Violin is a string instrument. Viola is a,0.0146484375,0.078125,False,1,4.3022356033325195,4.234600067138672,-0.06763553619384766,0.0007065609097480774
L0.H0,19,Violin is a string instrument. Harpsichord is a,0.002197265625,0.015625,False,1,4.171285629272461,4.154051780700684,-0.017233848571777344,0.00022123579401522875
L0.H0,20,Violin is a string instrument. Lute is a,0.0059814453125,0.03125,False,1,4.095078468322754,4.084038734436035,-0.01103973388671875,0.0003473142860457301
L0.H0,21,Violin is a string instrument. Djembe is a,0.0052490234375,0.03125,False,1,4.529393196105957,4.511886119842529,-0.017507076263427734,0.00031099404441192746
L0.H0,22,Violin is a string instrument. Mandolin is a,0.0029296875,0.0,False,1,2.860980749130249,2.853652000427246,-0.00732874870300293,-0.00024295365437865257
L0.H0,23,Violin is a string instrument. Timpani is a,-0.001220703125,-0.0078125,False,1,4.219511985778809,4.221042633056641,0.0015306472778320312,0.0001930571743287146
