head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L10.H9,36,-0.043853759765625,1.0,0.08333333333333333,-0.23155381944444445,1,0.22977472676171196,0.023700960653109684
L12.H8,36,-0.0374755859375,0.8611111111111112,0.16666666666666666,-0.3517795138888889,1,0.3419933584001329,0.06432138103991747
L11.H1,36,-0.036496480305989586,0.8055555555555556,0.1111111111111111,-0.2578125,1,0.24112176895141602,0.026075848908577528
L15.H1,36,-0.032948811848958336,0.5555555555555556,0.05555555555555555,-0.1742621527777778,1,0.1617598401175605,0.010633004955404127
L11.H14,36,-0.030487060546875,0.8888888888888888,0.2777777777777778,-0.3396267361111111,1,0.23088780376646253,0.01738319702498201
L10.H13,36,-0.024169921875,0.9166666666666666,0.05555555555555555,-0.14192708333333334,1,0.11296217971377903,0.008325962763693597
L19.H2,36,-0.0228729248046875,0.8888888888888888,0.05555555555555555,-0.1401909722222222,1,0.1496509313583374,0.010586843166189889
L18.H8,36,-0.021467420789930556,0.7777777777777778,0.027777777777777776,-0.18858506944444445,1,0.20869625939263237,0.026044299670805533
L13.H0,36,-0.017488267686631944,0.9722222222222222,0.027777777777777776,-0.15321180555555555,1,0.12077562676535712,0.0045830502252404886
L23.H9,36,-0.015736897786458332,0.8333333333333334,0.0,-0.3465711805555556,1,0.19600390725665623,0.007765906927589741
L12.H2,36,-0.015321519639756944,0.7777777777777778,0.05555555555555555,-0.08875868055555555,1,0.054554753833346896,0.00580463409035777
L8.H13,36,-0.013819376627604166,0.7222222222222222,0.027777777777777776,-0.10069444444444445,1,0.09060646428002252,0.0032013533313551713
L16.H8,36,-0.013225979275173612,0.9444444444444444,0.05555555555555555,-0.060546875,1,0.07020602623621623,0.0039633556864120895
L15.H10,36,-0.012959798177083334,0.9444444444444444,0.0,-0.11284722222222222,1,0.08999350998136732,0.002744135129938109
L7.H10,36,-0.012927585177951388,0.9722222222222222,0.027777777777777776,-0.08355034722222222,1,0.07386164532767402,0.0014476620336709958
L23.H13,36,-0.0123443603515625,1.0,0.0,-0.1171875,1,0.07706546783447266,0.001851915680971514
L9.H10,36,-0.012279934353298612,0.7222222222222222,0.05555555555555555,-0.1247829861111111,1,0.11154668198691474,0.004001323502355565
L15.H5,36,-0.011144002278645834,0.9166666666666666,0.027777777777777776,-0.060546875,1,0.058220896455976695,0.0016616841409510623
L10.H0,36,-0.011004977756076388,0.5277777777777778,0.05555555555555555,-0.06966145833333333,1,0.068082590897878,0.0015638859210109028
L12.H15,36,-0.010949028862847222,0.5833333333333334,0.027777777777777776,-0.06944444444444445,1,0.06828090217378405,0.0013299877512811993
L14.H7,36,-0.010353936089409722,0.6944444444444444,0.05555555555555555,-0.07378472222222222,1,0.055375357468922935,0.004802241216465417
L18.H6,36,-0.010140313042534722,0.5833333333333334,0.05555555555555555,-0.048394097222222224,1,0.051175064510769315,0.0025366662917399984
L20.H5,36,-0.010058932834201388,0.5833333333333334,0.027777777777777776,-0.06228298611111111,1,0.0976453357272678,0.009264267250222879
L21.H10,36,-0.010021633572048612,0.8888888888888888,0.027777777777777776,-0.07291666666666667,1,0.06783892711003621,0.0014143400508651717
L14.H4,36,-0.009901258680555556,0.6944444444444444,0.027777777777777776,-0.08116319444444445,1,0.07239784797032674,0.006296056814284788
L9.H6,36,-0.009752061631944444,0.9166666666666666,0.027777777777777776,-0.057291666666666664,1,0.04796498351626926,0.001129598728665668
L9.H12,36,-0.009424845377604166,0.9166666666666666,0.0,-0.09331597222222222,1,0.07284654511345758,0.0010701832951680343
L13.H15,36,-0.009324815538194444,0.5833333333333334,0.05555555555555555,-0.04796006944444445,1,0.04757681820127699,0.0009962741225737976
L12.H11,36,-0.009287516276041666,0.5277777777777778,0.027777777777777776,-0.041449652777777776,1,0.0532240801387363,0.001817475624395431
L9.H8,36,-0.009233262803819444,0.5277777777777778,0.1111111111111111,-0.125,1,0.09217354986402723,0.008558418886322115
L23.H11,36,-0.008599175347222222,0.9166666666666666,0.0,-0.0915798611111111,1,0.06617679860856798,0.0011210768247514756
L11.H13,36,-0.008349948459201388,0.8888888888888888,0.05555555555555555,-0.031684027777777776,1,0.04028854105207655,0.001625253676643802
L10.H6,36,-0.007946438259548612,0.8888888888888888,0.0,-0.054253472222222224,1,0.04160774416393704,0.0013382977954784615
L8.H10,36,-0.007787068684895833,0.8055555555555556,0.027777777777777776,-0.032769097222222224,1,0.0316414303249783,0.0009568375988035566
L4.H15,36,-0.007673475477430556,0.8611111111111112,0.0,-0.039496527777777776,1,0.03717039691077338,0.001302154467945608
L15.H7,36,-0.007612440321180556,0.6944444444444444,0.0,-0.028211805555555556,1,0.04499325487348768,0.007706444865713517
L11.H4,36,-0.007503933376736111,0.8888888888888888,0.027777777777777776,-0.004774305555555556,1,0.030160453584459092,0.0023125218221038166
L5.H10,36,-0.007115681966145833,0.6111111111111112,0.027777777777777776,-0.04123263888888889,1,0.04332154326968723,0.0008506909661163162
L12.H10,36,-0.007102118598090278,0.8611111111111112,0.0,-0.07682291666666667,1,0.08003418975406223,0.002648200170369819
L10.H14,36,-0.006664699978298611,0.7222222222222222,0.027777777777777776,-0.057291666666666664,1,0.07959003580941094,0.005268329925861003
L9.H5,36,-0.006500244140625,0.5555555555555556,0.027777777777777776,-0.03407118055555555,1,0.03858944442537096,0.0012174005783486387
L2.H5,36,-0.006368001302083333,0.9444444444444444,0.0,-0.046875,1,0.043478058444129095,0.0006321815680065709
L5.H11,36,-0.006235758463541667,0.7777777777777778,0.0,-0.046223958333333336,1,0.04837860663731893,0.0008122868894133717
L13.H13,36,-0.006159464518229167,0.75,0.08333333333333333,-0.04383680555555555,1,0.04023473130332099,0.0031290165417077434
L10.H3,36,-0.006150987413194444,0.6666666666666666,0.027777777777777776,-0.027994791666666668,1,0.039216823048061795,0.0006708990541584273
L8.H7,36,-0.006111992730034722,0.75,0.027777777777777776,-0.03537326388888889,1,0.03222570816675822,0.001302225751310794
L22.H4,36,-0.006039089626736111,0.9444444444444444,0.027777777777777776,-0.03927951388888889,1,0.025926464133792453,0.0005758171266481642
L13.H4,36,-0.005976359049479167,0.75,0.027777777777777776,0.014322916666666666,1,-0.006867984930674235,0.003985563160515287
L8.H15,36,-0.005857679578993056,0.8611111111111112,0.0,-0.04079861111111111,1,0.036632286177741155,0.0005495876693102117
L10.H2,36,-0.005805121527777778,0.8055555555555556,0.027777777777777776,-0.040364583333333336,1,0.0316192110379537,0.0012994469434488565
L17.H0,36,-0.0057373046875,0.6388888888888888,0.027777777777777776,-0.004991319444444444,1,0.03013179037306044,0.004903999024665811
L7.H11,36,-0.0056610107421875,0.6388888888888888,0.027777777777777776,-0.03342013888888889,1,0.033458842171563044,0.0007252841727070821
L22.H2,36,-0.005552503797743056,0.7222222222222222,0.0,-0.04405381944444445,1,0.044249256451924644,0.0016563335520913824
L6.H11,36,-0.0053253173828125,0.7222222222222222,0.027777777777777776,-0.028211805555555556,1,0.025422083006964788,0.0003986222380060806
L7.H4,36,-0.005191379123263889,0.75,0.0,-0.04470486111111111,1,0.04027220275666979,0.00046504959270047647
L18.H1,36,-0.005145602756076389,0.8611111111111112,0.0,-0.028645833333333332,1,0.021446506182352703,0.0005508701878069486
L23.H10,36,-0.005101521809895833,0.6388888888888888,0.0,-0.07552083333333333,1,0.033536824915144176,0.0011346169445055744
L6.H15,36,-0.004921807183159722,0.8333333333333334,0.0,-0.030381944444444444,1,0.029212196667989094,0.00037385851667042717
L9.H13,36,-0.004547119140625,0.8055555555555556,0.0,-0.028645833333333332,1,0.03715453545252482,0.0009282235704530547
L19.H15,36,-0.004413180881076389,0.8055555555555556,0.0,-0.020399305555555556,1,0.03057001034418742,0.0005254811229759879
L7.H12,36,-0.004411485460069444,0.6944444444444444,0.0,-0.040581597222222224,1,0.03630026843812731,0.0005506440486189806
L1.H4,36,-0.004392835828993056,0.6944444444444444,0.0,-0.026909722222222224,1,0.02414780192905002,0.00028167264705795486
L19.H3,36,-0.004308064778645833,0.8333333333333334,0.027777777777777776,-0.025390625,1,0.024197167820400663,0.0007651734130275953
L2.H15,36,-0.004304673936631944,0.6388888888888888,0.0,-0.023003472222222224,1,0.02472940418455336,0.00041038548240774416
