head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,175,-0.02322086879185268,0.9428571428571428,0.13714285714285715,-0.290625,1,0.222518401827131,0.017204453655119453
L14.H5,175,-0.017772696358816963,0.8971428571428571,0.05714285714285714,-0.20808035714285714,1,0.18219472885131835,0.01721701984692897
L23.H9,175,-0.016351754324776785,0.8742857142857143,0.14857142857142858,-0.43089285714285713,1,0.17204674312046597,0.012750605421939067
L11.H1,175,-0.01447780064174107,0.9485714285714286,0.06857142857142857,-0.15517857142857142,1,0.12498557567596436,0.005785366500661309
L8.H15,175,-0.012215314592633928,0.8114285714285714,0.08,-0.27549107142857143,1,0.1337403747013637,0.008157812101500374
L15.H5,175,-0.011583295549665178,0.8514285714285714,0.10857142857142857,-0.37209821428571427,1,0.2006386239188058,0.0200450157054833
L13.H6,175,-0.011542837960379464,0.6857142857142857,0.011428571428571429,-0.09174107142857142,1,0.06741982255663191,0.006754269738947706
L16.H15,175,-0.011319100516183036,0.6914285714285714,0.03428571428571429,-0.07839285714285714,1,0.06531763621738979,0.005964262777166108
L23.H2,175,-0.010363289969308036,0.8457142857142858,0.08,-0.1315625,1,0.09425658226013184,0.005384881455185158
L12.H3,175,-0.0075140380859375,0.8228571428571428,0.045714285714285714,-0.11254464285714286,1,0.06804128306252616,0.0032443531901974764
L23.H10,175,-0.00707183837890625,0.8857142857142857,0.017142857142857144,-0.11870535714285714,1,0.06171732357570103,0.0016244877808328185
L23.H6,175,-0.007051042829241071,0.7314285714285714,0.09142857142857143,-0.19424107142857142,1,0.0974153218950544,0.00944033332169056
L20.H10,175,-0.006509007045200893,0.5828571428571429,0.017142857142857144,-0.045625,1,0.037048248563494,0.0016661996681692213
L18.H8,175,-0.0059954833984375,0.6228571428571429,0.06857142857142857,-0.059821428571428574,1,0.04829832281385149,0.0047652689194572825
L9.H7,175,-0.005436880929129464,0.7542857142857143,0.05714285714285714,-0.1579017857142857,1,0.07604466029575893,0.004987070770002901
L13.H5,175,-0.005009983607700893,0.8171428571428572,0.04,-0.08459821428571429,1,0.06612748418535505,0.002815142542655979
L18.H4,175,-0.004987967354910714,0.7371428571428571,0.03428571428571429,-0.08825892857142857,1,0.0832659980228969,0.0074338597897440194
L8.H4,175,-0.004981645856584821,0.6914285714285714,0.06285714285714286,-0.17245535714285715,1,0.05096530505589077,0.0030221087858080865
