head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,27,-0.1010425708912037,0.8148148148148148,0.3333333333333333,-0.6814236111111112,1,0.43436049532007287,0.09595001154337768
L11.H14,27,-0.056315104166666664,0.8148148148148148,0.14814814814814814,-0.37962962962962965,1,0.2935735781987508,0.015761666025759444
L12.H12,27,-0.05189344618055555,1.0,0.07407407407407407,-0.3695023148148148,1,0.367721610599094,0.013250584300193522
L10.H9,27,-0.050107602719907406,0.9629629629629629,0.07407407407407407,-0.28153935185185186,1,0.2522423929638333,0.01302571324804039
L11.H1,27,-0.048398618344907406,0.9629629629629629,0.07407407407407407,-0.30844907407407407,1,0.24630011011053016,0.016226175724080315
L14.H5,27,-0.04640254267939815,0.7777777777777778,0.2222222222222222,-0.3654513888888889,1,0.24357887550636573,0.03374567020822455
L15.H7,27,-0.04273365162037037,0.7407407407407407,0.14814814814814814,-0.18489583333333334,1,0.13218264447318184,0.02039801760757756
L15.H13,27,-0.04240134910300926,0.7777777777777778,0.14814814814814814,-0.1675347222222222,1,0.08495544062720405,0.03213407093210629
L23.H9,27,-0.041623716001157406,0.7777777777777778,0.0,-0.5147569444444444,1,0.3600537732795433,0.021546329682072003
L13.H2,27,-0.04147677951388889,0.7407407407407407,0.14814814814814814,-0.3431712962962963,1,0.24772488629376446,0.02552475506025884
L9.H8,27,-0.041135434751157406,0.7777777777777778,0.2962962962962963,-0.21730324074074073,1,0.07269057521113644,0.03017869978039353
L14.H4,27,-0.03947166160300926,0.7407407407407407,0.1111111111111111,-0.31626157407407407,1,0.27390984252647116,0.02053253530283217
L8.H2,27,-0.038868091724537035,0.8148148148148148,0.14814814814814814,-0.2595486111111111,1,0.14480088375232839,0.013977206657054249
L8.H13,27,-0.038768627025462965,0.9259259259259259,0.07407407407407407,-0.2326388888888889,1,0.17783487726140906,0.00789496011135203
L10.H7,27,-0.03420455367476852,0.7777777777777778,0.2962962962962963,-0.15075231481481483,1,-0.038333115754304106,0.04645204116348867
L11.H11,27,-0.031383373119212965,0.7777777777777778,0.14814814814814814,-0.17447916666666666,1,0.13367854224310982,0.014240722189208976
L9.H10,27,-0.024145055700231483,0.8518518518518519,0.1111111111111111,-0.13252314814814814,1,0.09539952984562626,0.004060311941429973
L13.H13,27,-0.022176106770833332,0.7407407407407407,0.07407407407407407,-0.18460648148148148,1,0.12753067193207918,0.010177021147683263
