head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H1,100,-0.07797607421875,0.87,0.04,-0.848203125,1,0.5067444112896919,0.06359036413021385
L5.H3,100,-0.07257080078125,0.87,0.02,-0.5446875,1,0.4020694877207279,0.07276448358781636
L9.H2,100,-0.052557373046875,0.79,0.03,-0.40328125,1,0.2517737327516079,0.053473084100987764
L13.H6,100,-0.047237091064453125,0.71,0.06,-0.566484375,1,0.28367454320192337,0.08700733567238786
L9.H11,100,-0.0456427001953125,0.9,0.01,-0.486171875,1,0.30519504070281983,0.023671597829670644
L12.H1,100,-0.04204833984375,0.81,0.03,-0.26265625,1,0.18687802642583848,0.029343472975306213
L4.H14,100,-0.040072021484375,0.77,0.0,-0.341171875,1,0.25183095514774323,0.03661828176584095
L15.H7,100,-0.035977783203125,0.74,0.02,-0.312421875,1,0.1722928559035063,0.04515361130121164
L22.H2,100,-0.0327978515625,0.83,0.01,-0.377109375,1,0.20168751910328864,0.01596848530462012
L12.H8,100,-0.03094970703125,0.78,0.02,-0.33296875,1,0.22464479863643647,0.02465092603699304
L11.H6,100,-0.0306640625,0.87,0.01,-0.295703125,1,0.17412647373974324,0.010560042973083909
L11.H11,100,-0.0294091796875,0.66,0.02,-0.269609375,1,0.22675780527293682,0.03635751502821222
L14.H5,100,-0.027554931640625,0.74,0.03,-0.200703125,1,0.16254053607583047,0.01550817892268242
L4.H2,100,-0.02673583984375,0.9,0.01,-0.241796875,1,0.17043433770537375,0.009662681269983295
L17.H10,100,-0.025576171875,0.9,0.0,-0.1675,1,0.14204256489872932,0.010385130097274669
L5.H9,100,-0.0246392822265625,0.88,0.0,-0.225234375,1,0.16501201920211314,0.009353841415431816
L18.H0,100,-0.02396881103515625,0.43,0.07,-0.18078125,1,0.10290243744850158,0.0206652766179468
L15.H11,100,-0.0223773193359375,0.52,0.06,-0.20453125,1,0.11344190210103988,0.022068509188102325
L8.H2,100,-0.0219805908203125,0.89,0.0,-0.23953125,1,0.14547236502170563,0.005954257235571276
L14.H3,100,-0.0209033203125,0.77,0.01,-0.14265625,1,0.10546141833066941,0.007672205335402396
L16.H8,100,-0.0208673095703125,0.79,0.0,-0.106875,1,0.11365466251969338,0.010039586625352967
L12.H9,100,-0.0186962890625,0.73,0.02,-0.16984375,1,0.1067524716258049,0.011427674597653094
L15.H6,100,-0.017789306640625,0.73,0.02,-0.106015625,1,0.0889520899951458,0.011419485874357633
L17.H2,100,-0.017550048828125,0.76,0.01,-0.07671875,1,0.09528616294264794,0.01088905883138068
L19.H13,100,-0.01595703125,0.72,0.01,-0.2128125,1,0.104882972240448,0.00812707579927519
L13.H13,100,-0.0155859375,0.61,0.03,-0.05828125,1,0.06037952408194542,0.018878613414708523
L13.H9,100,-0.0153070068359375,0.69,0.01,-0.1675,1,0.07342148229479789,0.007761654911737423
L17.H8,100,-0.0145709228515625,0.51,0.02,-0.075390625,1,0.05995321542024613,0.017855836956914572
L8.H12,100,-0.014158935546875,0.76,0.0,-0.175859375,1,0.12942776039242745,0.009773212618601973
L18.H9,100,-0.0129302978515625,0.59,0.0,-0.097734375,1,0.05514204204082489,0.010041593991336412
L6.H11,100,-0.012611083984375,0.83,0.0,-0.138984375,1,0.07606087923049927,0.002480638378110598
L16.H2,100,-0.0121356201171875,0.76,0.01,-0.07046875,1,0.06913793697953224,0.009317500821998692
L5.H14,100,-0.011849365234375,0.7,0.01,-0.08046875,1,0.040770983919501305,0.005214014878802118
