head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The force is 50 newtons. Unit:,-0.00360107421875,-0.0546875,True,2,5.045989513397217,5.072840213775635,0.02685070037841797,0.0007891390705481172
L0.H0,1,The distance is 150 kilometers. Unit:,-0.0086669921875,-0.1328125,False,1,3.865776538848877,3.99137020111084,0.1255936622619629,0.0019402522593736649
L0.H0,2,The energy released is 100 joules. Unit:,0.0113525390625,0.1640625,False,1,5.890061378479004,5.732956886291504,-0.1571044921875,0.0039423792622983456
L0.H0,3,The memory capacity is 16 gigabytes. Unit:,0.0040283203125,0.046875,False,1,5.4307098388671875,5.417440891265869,-0.01326894760131836,0.0011670173844322562
L0.H0,4,The pressure is 1013 pascals. Unit:,-0.013671875,-0.109375,False,1,4.240022659301758,4.317732810974121,0.07771015167236328,0.0018623822834342718
L0.H0,5,The velocity is 60 miles per hour. Unit:,0.0020751953125,-0.0390625,False,1,4.3152642250061035,4.378750801086426,0.06348657608032227,0.0014200350269675255
L0.H0,6,The capacitance is 10 microfarads. Unit:,-0.0018310546875,-0.0078125,False,1,4.035447120666504,4.050027847290039,0.014580726623535156,0.0009666971163824201
L0.H0,7,The wavelength is 500 nanometers. Unit:,-0.00439453125,-0.03125,False,1,4.377279281616211,4.417824745178223,0.04054546356201172,0.0008772537112236023
L0.H0,8,The resistance is 100 ohms. Unit:,0.00762939453125,0.1015625,False,1,5.10360050201416,5.056943893432617,-0.04665660858154297,0.0010807595681399107
L0.H0,9,The volume is 500 milliliters. Unit:,-0.00714111328125,-0.09375,False,1,5.029600143432617,5.100924491882324,0.07132434844970703,0.001671863254159689
L0.H0,10,The radioactivity is 50 becquerels. Unit:,0.00640869140625,0.1328125,False,1,6.59404182434082,6.497553825378418,-0.09648799896240234,0.002955994103103876
L0.H0,11,The duration is 120 seconds. Unit:,0.00103759765625,0.0,False,1,6.284679412841797,6.283233165740967,-0.0014462471008300781,0.0014320201007649302
L0.H0,12,The illuminance is 500 lux. Unit:,-0.003173828125,-0.0390625,False,1,5.422050952911377,5.472270965576172,0.05022001266479492,0.0012817352544516325
L0.H0,13,The file size is 500 megabytes. Unit:,0.001708984375,-0.0234375,False,1,4.565832138061523,4.592041015625,0.026208877563476562,0.0012702362146228552
L0.H0,14,The dynamic viscosity is 1.5 centipoise. Unit:,-0.011962890625,-0.0703125,False,1,4.172311305999756,4.211756706237793,0.03944540023803711,0.0014128722250461578
L0.H0,15,The heading is 270 degrees. Unit:,-0.0023193359375,-0.0390625,False,1,4.962471961975098,4.987961769104004,0.02548980712890625,0.001378391170874238
L0.H0,16,The density is 1000 kilograms per cubic meter. Unit:,-0.00421142578125,-0.046875,False,1,5.545572280883789,5.5796027183532715,0.03403043746948242,0.0013634935021400452
L0.H0,17,The transfer rate is 10 gigabits. Unit:,-0.00384521484375,-0.078125,False,1,5.810788154602051,5.867089748382568,0.05630159378051758,0.0008266969816759229
L0.H0,18,The spring constant is 50 newtons per meter. Unit:,0.000732421875,0.015625,False,1,5.26341438293457,5.265913486480713,0.002499103546142578,0.0005942728603258729
L0.H0,19,The land size is 5 hectares. Unit:,-0.0029296875,-0.0390625,False,1,6.270136833190918,6.287008762359619,0.016871929168701172,0.001007806626148522
L0.H0,20,The magnetic flux density is 2 teslas. Unit:,-0.015869140625,-0.046875,False,1,3.475806951522827,3.5292487144470215,0.053441762924194336,0.0016547858249396086
L0.H0,21,The information entropy is 10 bits. Unit:,0.001220703125,-0.015625,False,1,5.732327461242676,5.757528781890869,0.02520132064819336,0.0014190211659297347
L0.H0,22,The depth is 100 fathoms. Unit:,-0.0166015625,-0.125,False,1,6.005760192871094,6.089880466461182,0.08412027359008789,0.0020897164940834045
L0.H0,23,The heat capacity is 4.18 joules per gram. Unit:,0.00146484375,0.0,False,1,3.678112506866455,3.679433584213257,0.0013210773468017578,0.0007569972076453269
L0.H0,24,The width is 50 centimeters. Unit:,-0.00579833984375,-0.09375,False,1,5.918246269226074,5.9901275634765625,0.07188129425048828,0.0016862363554537296
L0.H0,25,The dose is 250 milligrams. Unit:,-0.00775146484375,-0.125,False,1,6.2041015625,6.261480331420898,0.05737876892089844,0.0026586418971419334
L0.H0,26,The thickness is 2 millimeters. Unit:,-0.0079345703125,-0.078125,False,1,4.935813903808594,5.020448684692383,0.08463478088378906,0.0008790893480181694
L0.H0,27,The latency is 20 milliseconds. Unit:,0.015869140625,0.2109375,False,1,4.804143905639648,4.594745635986328,-0.2093982696533203,0.0057877348735928535
