head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L5.H3,43,-0.0612388433412064,0.9302325581395349,0.46511627906976744,-0.8290334302325582,3,0.5418312715929609,0.1564008557172709
L9.H11,43,-0.052269159361373545,0.9069767441860465,0.27906976744186046,-0.7252906976744186,1,0.5246822667676349,0.10356680840946907
L3.H15,43,-0.034683937250181686,1.0,0.20930232558139536,-0.4636627906976744,1,0.357597456421963,0.032082873970530064
L14.H5,43,-0.033997291742369186,0.9534883720930233,0.20930232558139536,-0.4558502906976744,1,0.39404342895330385,0.047086329459277695
L12.H8,43,-0.031493430913880814,0.9069767441860465,0.13953488372093023,-0.4344113372093023,1,0.3917422738186149,0.03617912755066226
L1.H5,43,-0.029116608375726744,0.8837209302325582,0.20930232558139536,-0.34629360465116277,1,0.3000663158505462,0.028299981338340184
L1.H11,43,-0.025210358375726744,0.9767441860465116,0.18604651162790697,-0.24709302325581395,1,0.19740656919257585,0.01088471977083489
L4.H15,43,-0.024637621502543606,0.9767441860465116,0.16279069767441862,-0.2618095930232558,1,0.19903375936108966,0.011667325713693402
L0.H12,43,-0.024147920830305234,0.9534883720930233,0.23255813953488372,-0.24582122093023256,1,0.22505358762519304,0.01831156656492588
L11.H11,43,-0.021697288335755814,0.6744186046511628,0.18604651162790697,-0.2914244186046512,1,0.28199945494186046,0.035671477011123366
L6.H4,43,-0.01963912609011628,0.8372093023255814,0.18604651162790697,-0.3012354651162791,1,0.23528244329053302,0.027408208199885
L11.H1,43,-0.018377259720203487,0.8604651162790697,0.11627906976744186,-0.2609011627906977,1,0.22228380691173466,0.011260778689215522
L4.H2,43,-0.016803120457848836,0.9302325581395349,0.16279069767441862,-0.2741642441860465,1,0.20306450821632563,0.01620796348812968
L23.H9,43,-0.016754150390625,0.7906976744186046,0.09302325581395349,-0.4484011627906977,1,0.25900266336840255,0.013396618627878122
L7.H14,43,-0.0161083132721657,0.813953488372093,0.13953488372093023,-0.21838662790697674,1,0.16588941285776537,0.010671729119061384
L5.H9,43,-0.015586675599563954,0.9069767441860465,0.16279069767441862,-0.2089389534883721,1,0.13814154891080635,0.008492966882375524
L2.H6,43,-0.01545254019803779,0.9534883720930233,0.13953488372093023,-0.16024709302325582,1,0.12321320245432299,0.00818073635292781
L6.H11,43,-0.014717989189680232,0.9069767441860465,0.13953488372093023,-0.19222383720930233,1,0.16856855015422023,0.0078243293182188
L12.H3,43,-0.01381381722383721,0.9534883720930233,0.046511627906976744,-0.17841569767441862,1,0.13092457970907523,0.006203811707754814
L12.H15,43,-0.01337024777434593,0.9302325581395349,0.06976744186046512,-0.11409883720930232,1,0.092509574668352,0.003204603645636505
L0.H6,43,-0.013114751771438954,0.8604651162790697,0.13953488372093023,-0.12463662790697674,1,0.11430269063905228,0.006504191849164145
