head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,The home stadium of Manchester United is the,0.009765625,0.046875,False,1,2.6331381797790527,2.563570737838745,-0.06956744194030762,0.0007278842385858297
L0.H0,1,The home stadium of Liverpool is the,0.013671875,0.09375,False,1,1.2965927124023438,1.1934775114059448,-0.10311520099639893,0.001787874847650528
L0.H0,2,The home stadium of Arsenal is the,-0.00830078125,-0.0546875,False,1,1.6491717100143433,1.7001419067382812,0.05097019672393799,0.00016798189608380198
L0.H0,3,The home stadium of Chelsea is the,0.00244140625,0.0234375,False,1,1.4975275993347168,1.4734522104263306,-0.02407538890838623,0.0003346746088936925
L0.H0,4,The home stadium of Barcelona is the,0.00341796875,0.0234375,False,1,1.8162626028060913,1.7887990474700928,-0.027463555335998535,0.0005086630117148161
L0.H0,5,The home stadium of Real Madrid is the,0.005615234375,0.0234375,False,1,3.241572380065918,3.2298996448516846,-0.011672735214233398,0.00021999952150508761
L0.H0,6,The home stadium of Bayern Munich is the,0.005859375,0.0390625,False,1,1.8307430744171143,1.782960057258606,-0.0477830171585083,0.00044671777868643403
L0.H0,7,The home stadium of Borussia Dortmund is the,0.005615234375,0.078125,False,1,4.7107391357421875,4.63967752456665,-0.07106161117553711,0.0012884712778031826
L0.H0,8,The home stadium of AC Milan is the,-0.0087890625,-0.0234375,False,1,2.209110975265503,2.2256176471710205,0.016506671905517578,0.00032208405900746584
L0.H0,9,The home stadium of Juventus is the,0.001953125,0.0,False,1,2.5320944786071777,2.5365564823150635,0.004462003707885742,0.00037048786180093884
L0.H0,10,The home stadium of New York Yankees is the,0.00927734375,0.03125,False,1,2.9012889862060547,2.842500686645508,-0.058788299560546875,0.0007065057288855314
L0.H0,11,The home stadium of Boston Red Sox is the,0.01025390625,0.046875,False,1,1.3972853422164917,1.346653938293457,-0.05063140392303467,0.0008494938956573606
L0.H0,12,The home stadium of Los Angeles Dodgers is the,0.0,-0.0078125,False,1,4.578867435455322,4.559422016143799,-0.019445419311523438,0.00021580257453024387
L0.H0,13,The home stadium of Chicago Cubs is the,0.026611328125,0.109375,False,1,3.416222333908081,3.2593302726745605,-0.1568920612335205,0.002497676759958267
L0.H0,14,The home stadium of San Francisco Giants is the,0.01123046875,0.0390625,False,1,4.077166557312012,4.012160778045654,-0.06500577926635742,0.0009616994066163898
