head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L11.H11,25,-0.24772705078125,0.92,0.12,-1.309375,1,1.6430109977722167,0.3179890041053295
L15.H7,25,-0.1809521484375,0.96,0.16,-0.8646875,1,1.0045013332366943,0.1667121921479702
L17.H6,25,-0.122340087890625,0.92,0.16,-0.750625,1,0.7558171033859253,0.136822722107172
L16.H6,25,-0.0924462890625,0.88,0.04,-0.5153125,1,0.6997645998001099,0.07556952558457851
L12.H8,25,-0.0847021484375,0.92,0.0,-0.3934375,1,0.5973170280456543,0.0715343690291047
L11.H3,25,-0.0793603515625,0.88,0.0,-0.42,1,0.5492907476425171,0.042165470011532306
L9.H2,25,-0.06757568359375,0.92,0.0,-0.3503125,1,0.4571166467666626,0.026402591411024332
L18.H14,25,-0.0577587890625,0.68,0.0,-0.155625,1,0.3410632848739624,0.05878288853622507
L8.H15,25,-0.0497607421875,0.8,0.0,-0.24375,1,0.334074592590332,0.01894666119478643
L9.H11,25,-0.04756103515625,0.88,0.0,-0.2075,1,0.32132596015930176,0.022184283062815665
L11.H1,25,-0.0462646484375,0.88,0.04,-0.235625,1,0.291820170879364,0.01563906801864505
L17.H2,25,-0.0408056640625,0.92,0.0,-0.178125,1,0.2546516418457031,0.015150607032701373
L5.H3,25,-0.03756103515625,0.76,0.04,-0.200625,1,0.26542584419250487,0.030640294402837755
L19.H0,25,-0.0348486328125,0.76,0.0,-0.14625,1,0.223928542137146,0.020385210867971182
L17.H4,25,-0.03242919921875,0.68,0.08,-0.2075,1,0.18410524368286132,0.034467362016439435
L15.H3,25,-0.03029296875,0.68,0.0,-0.1628125,1,0.1813017749786377,0.0180962086468935
L16.H1,25,-0.0295849609375,0.84,0.0,-0.1221875,1,0.166957106590271,0.02504111947491765
L18.H8,25,-0.024697265625,0.68,0.0,-0.1434375,1,0.14632490634918213,0.013337042115163058
L13.H1,25,-0.0245361328125,0.64,0.0,-0.104375,1,0.14744288921356202,0.023878045305609705
L16.H8,25,-0.0239599609375,0.8,0.0,-0.1015625,1,0.1420196008682251,0.008060190379619598
L15.H10,25,-0.02323486328125,0.76,0.04,-0.116875,1,0.1371456527709961,0.01149062093347311
L12.H2,25,-0.0229248046875,0.96,0.0,-0.11125,1,0.14830214023590088,0.003890564423054457
L8.H7,25,-0.0226904296875,0.8,0.0,-0.1271875,1,0.18581953048706054,0.006616422482766211
L14.H7,25,-0.02233642578125,0.72,0.0,-0.1046875,1,0.14258523941040038,0.010698870965279638
L17.H11,25,-0.02017822265625,0.76,0.0,-0.080625,1,0.1277984857559204,0.008440350769087673
L19.H12,25,-0.0198095703125,0.56,0.0,-0.073125,1,0.08875409364700318,0.022245451975613832
L15.H6,25,-0.019462890625,0.56,0.0,-0.0503125,1,0.050946991443634036,0.04456684602424502
L18.H10,25,-0.01861328125,0.76,0.0,-0.0959375,1,0.10242664813995361,0.01053056045435369
L9.H0,25,-0.0156884765625,0.8,0.0,-0.0853125,1,0.09165513038635253,0.00303759079426527
L9.H7,25,-0.015498046875,0.72,0.0,-0.1009375,1,0.11507518529891968,0.007169050183147192
L11.H8,25,-0.01468505859375,0.88,0.0,-0.0875,1,0.10057372570037842,0.0015189923183061183
L6.H15,25,-0.01406005859375,0.84,0.0,-0.0734375,1,0.10140594482421875,0.003151678817812353
L18.H9,25,-0.01404541015625,0.6,0.0,-0.04875,1,0.05337387084960937,0.011825583004392683
L14.H15,25,-0.0131884765625,0.84,0.0,-0.0653125,1,0.07980052947998047,0.0019923566194484012
L9.H3,25,-0.012109375,0.72,0.0,-0.0415625,1,0.08275654077529908,0.0031215610215440392
L7.H15,25,-0.01159912109375,0.8,0.0,-0.06125,1,0.09441603422164917,0.0018082502880133688
L14.H8,25,-0.01112060546875,0.68,0.0,-0.061875,1,0.10591550827026368,0.0055578798986971375
L19.H13,25,-0.010966796875,0.6,0.0,-0.085625,1,0.05140621662139892,0.026365977805107833
L10.H5,25,-0.01080810546875,0.68,0.0,-0.08875,1,0.07244820594787597,0.002228296579560265
L12.H1,25,-0.010791015625,0.88,0.0,-0.0590625,1,0.07233942985534668,0.0020425007678568363
L8.H14,25,-0.00968017578125,0.8,0.0,-0.05375,1,0.08809494018554688,0.0018540903553366662
L4.H2,25,-0.0090625,0.84,0.0,-0.03875,1,0.057602949142456054,0.0012973054323811085
L12.H9,25,-0.00865478515625,0.8,0.0,-0.065,1,0.0730590009689331,0.0020454188203439115
L14.H3,25,-0.0086083984375,0.64,0.0,-0.0415625,1,0.04370142459869385,0.0053603510558605195
L14.H2,25,-0.0085888671875,0.68,0.0,-0.049375,1,0.05702338218688965,0.004398202754091471
L14.H13,25,-0.0082568359375,0.84,0.0,-0.046875,1,0.059971296787261964,0.0006701341504231095
L22.H7,25,-0.007958984375,0.68,0.0,0.0353125,1,-0.01712660789489746,0.014834345020353794
L17.H12,25,-0.00759765625,0.68,0.0,-0.015625,1,0.03377057313919067,0.010127747883670964
L22.H2,25,-0.00757080078125,0.76,0.0,-0.0496875,1,0.06120899677276612,0.0014164160488871857
L19.H9,25,-0.0074169921875,0.64,0.0,-0.0396875,1,0.05514140605926514,0.01223682048614137
L7.H14,25,-0.0069775390625,0.72,0.0,-0.050625,1,0.05985067844390869,0.0019147763703949749
L9.H1,25,-0.006845703125,0.68,0.0,-0.03625,1,0.05623145580291748,0.001664775109384209
L15.H11,25,-0.006474609375,0.64,0.0,-0.0415625,1,0.04144193410873413,0.0015769450855441392
L17.H0,25,-0.00642578125,0.72,0.04,-0.0509375,1,0.03510880947113037,0.0041660389490425585
L14.H4,25,-0.0060693359375,0.6,0.0,-0.0559375,1,0.05670204877853394,0.0099525315919891
L20.H9,25,-0.006044921875,0.6,0.0,-0.03125,1,0.028588876724243165,0.010585038422141224
L8.H2,25,-0.0059716796875,0.84,0.0,-0.0484375,1,0.051532649993896486,0.0016836200328543783
L3.H7,25,-0.00593505859375,0.84,0.0,-0.0278125,1,0.03755093097686767,0.0003819429047871381
L23.H9,25,-0.005869140625,0.52,0.0,-0.2,1,0.05880982160568237,0.0049539359752088785
L8.H8,25,-0.0058447265625,0.76,0.0,-0.0396875,1,0.051522209644317626,0.000726621262729168
L8.H11,25,-0.00579833984375,0.64,0.0,-0.02375,1,0.040728607177734376,0.0011284447088837624
L9.H9,25,-0.005703125,0.64,0.0,-0.0415625,1,0.020924959182739258,0.0028349223220720888
L3.H15,25,-0.0056982421875,0.84,0.0,-0.02875,1,0.04129466533660889,0.0005773892672732472
L7.H12,25,-0.0055126953125,0.84,0.0,-0.029375,1,0.039168996810913084,0.0003406678349711001
L13.H13,25,-0.0053466796875,0.68,0.0,-0.0275,1,0.03625452518463135,0.004024597075767815
L8.H6,25,-0.00526123046875,0.76,0.0,-0.0271875,1,0.04056886196136475,0.0004316455638036132
L5.H12,25,-0.0051904296875,0.68,0.0,-0.024375,1,0.0349786114692688,0.001664630260784179
L5.H13,25,-0.00498046875,0.92,0.0,-0.0265625,1,0.034131910800933835,0.00030667996979900637
L3.H2,25,-0.004931640625,0.76,0.0,-0.0171875,1,0.023747472763061522,0.0007101508753839881
L8.H3,25,-0.00482666015625,0.72,0.0,-0.0375,1,0.047634046077728275,0.0013109675492160022
L13.H9,25,-0.0046435546875,0.68,0.0,-0.050625,1,0.038977737426757815,0.004773440295830369
L7.H3,25,-0.00464111328125,0.8,0.0,-0.02125,1,0.03459778785705567,0.0003520829806802794
L1.H3,25,-0.0046044921875,0.8,0.0,-0.025,1,0.03178071975708008,0.0003286326047964394
L22.H11,25,-0.004580078125,0.48,0.04,-0.0140625,1,0.0006753110885620117,0.004709915185812861
L23.H8,25,-0.00453125,0.8,0.0,-0.0634375,1,0.03077742338180542,0.00021289327647536994
L9.H6,25,-0.0044775390625,0.6,0.0,-0.034375,1,0.03466285705566406,0.0008958349679596722
L8.H5,25,-0.00439453125,0.64,0.0,-0.0346875,1,0.013386478424072265,0.0028086149552837016
L13.H5,25,-0.00432373046875,0.64,0.04,0.005,1,0.02349918842315674,0.002584439227357507
L4.H9,25,-0.00423828125,0.76,0.0,-0.028125,1,0.030214924812316895,0.00032263821165543047
L21.H3,25,-0.00420166015625,0.68,0.0,-0.038125,1,0.023442883491516114,0.015543298674747347
L13.H0,25,-0.0041455078125,0.6,0.0,-0.033125,1,0.02486335754394531,0.0005832910176832229
L8.H4,25,-0.004072265625,0.68,0.0,-0.0125,1,0.016927452087402345,0.0016060324106365442
L23.H12,25,-0.0040380859375,0.84,0.0,-0.1034375,1,0.03566532611846924,0.00030282707244623454
L6.H6,25,-0.0038671875,0.84,0.0,-0.0234375,1,0.027860169410705567,0.0002229044026171323
L2.H1,25,-0.0037841796875,0.8,0.0,-0.0171875,1,0.02552926540374756,0.000367842826526612
L2.H10,25,-0.0036181640625,0.64,0.0,-0.016875,1,0.025581414699554442,0.00044250982609810307
L22.H1,25,-0.0036181640625,0.52,0.0,-0.0215625,1,0.02092231273651123,0.002128681259928271
L11.H14,25,-0.0036083984375,0.6,0.0,-0.026875,1,0.034300391674041746,0.0006178638263372705
L23.H5,25,-0.0035791015625,0.56,0.0,-0.0215625,1,0.029134488105773924,0.0007958140631671995
L23.H14,25,-0.00357421875,0.68,0.0,-0.0603125,1,0.02641502857208252,0.0006525234080618247
L9.H5,25,-0.00350830078125,0.6,0.0,-0.0240625,1,0.026327192783355713,0.0008478095172904432
L10.H0,25,-0.003466796875,0.84,0.0,-0.024375,1,0.027465434074401857,0.00015493276267079638
L23.H13,25,-0.003212890625,0.72,0.0,-0.0334375,1,0.025329384803771973,0.0006278385978657753
L20.H7,25,-0.0030615234375,0.6,0.0,-0.0134375,1,0.01070584774017334,0.000672109184670262
L19.H4,25,-0.003056640625,0.64,0.0,-0.01,1,0.015313353538513184,0.0011022627248894424
L10.H4,25,-0.003046875,0.84,0.0,-0.018125,1,0.02296970844268799,0.00017240051383851095
L9.H13,25,-0.0029931640625,0.68,0.0,-0.0278125,1,0.03086731433868408,0.0007827593095134943
L11.H4,25,-0.002744140625,0.64,0.0,-0.0203125,1,0.020563106536865234,0.0004783802095334977
L15.H12,25,-0.0026806640625,0.56,0.0,-0.0078125,1,-0.012293882369995117,0.011547748539596796
L7.H4,25,-0.0026708984375,0.72,0.0,-0.0178125,1,0.020767502784729004,0.00014915096893673761
L16.H12,25,-0.00263671875,0.56,0.0,0.0403125,1,0.0044954919815063474,0.008012327421456576
L6.H1,25,-0.002490234375,0.8,0.0,-0.0153125,1,0.01835932970046997,9.435910149477422e-05
L5.H8,25,-0.00246337890625,0.72,0.0,-0.0278125,1,0.03712193250656128,0.001254406189545989
L1.H8,25,-0.00244140625,0.72,0.0,-0.013125,1,0.015910611152648926,0.00015463797462871297
L13.H2,25,-0.0022998046875,0.76,0.0,-0.0103125,1,0.01799085855484009,0.00017739936942234635
L6.H13,25,-0.00228515625,0.68,0.0,-0.011875,1,0.017602889537811278,0.00037741547479527073
L17.H10,25,-0.0022705078125,0.68,0.0,-0.0109375,1,0.017775049209594728,0.00020892448112135752
L11.H7,25,-0.0022509765625,0.64,0.0,-0.0071875,1,0.020272557735443116,0.0004905894235707819
L23.H0,25,-0.0020751953125,0.52,0.0,-0.023125,1,0.01433791160583496,0.00014180816273437813
L2.H13,25,-0.002021484375,0.64,0.0,-0.0175,1,0.01575317859649658,0.00033616605738643555
L5.H7,25,-0.002021484375,0.64,0.0,-0.011875,1,0.01470212459564209,5.099179950775578e-05
