head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L18.H8,44,-0.07753268155184659,0.9545454545454546,0.3181818181818182,-0.7350852272727273,2,0.5277016867290844,0.07017528962089935
L11.H11,44,-0.06115029074928977,0.9545454545454546,0.4318181818181818,-0.6361860795454546,2,0.3590898026119579,0.07254261303354394
L13.H2,44,-0.05701932040127841,0.9318181818181818,0.4772727272727273,-0.5811434659090909,2,0.27659600431268866,0.0715801459737122
L9.H15,44,-0.03480044278231534,0.9772727272727273,0.25,-0.3721590909090909,1,0.21561476317319003,0.03333406226540154
L23.H9,44,-0.03171192515980114,0.9545454545454546,0.13636363636363635,-0.5078125,1,0.31066904826597735,0.01601586826357313
L9.H11,44,-0.029366233132102272,0.9772727272727273,0.11363636363636363,-0.2755681818181818,1,0.2229444222016768,0.02006515140899203
L14.H5,44,-0.028715653852982956,0.9090909090909091,0.13636363636363635,-0.35795454545454547,1,0.31426949392665515,0.037091321650553837
L12.H8,44,-0.024176857688210228,1.0,0.045454545454545456,-0.2567471590909091,1,0.217655517838218,0.011351062609306113
L5.H9,44,-0.019469521262428978,0.8636363636363636,0.36363636363636365,-0.25816761363636365,2,0.02055159482088956,0.061533332633023914
L4.H2,44,-0.018826571377840908,0.9545454545454546,0.045454545454545456,-0.14577414772727273,1,0.10610318183898926,0.025971524163403294
L4.H15,44,-0.01813507080078125,0.9772727272727273,0.22727272727272727,-0.22514204545454544,1,0.08960756930437955,0.01651649559128352
L1.H11,44,-0.017864574085582386,0.9772727272727273,0.06818181818181818,-0.1670809659090909,1,0.08573673530058427,0.0075927177465266804
L5.H1,44,-0.017086375843394886,0.7727272727272727,0.11363636363636363,-0.11647727272727272,1,0.07678225907412442,0.0401576530738649
L11.H1,44,-0.016371987082741478,1.0,0.0,-0.20756392045454544,1,0.20508817109194669,0.0056740374949930065
L10.H1,44,-0.014577692205255682,1.0,0.11363636363636363,-0.19477982954545456,1,0.10517389124090021,0.010388221803375265
L2.H5,44,-0.01269045743075284,1.0,0.045454545454545456,-0.11594460227272728,1,0.08669504794207486,0.002403584520586512
L3.H5,44,-0.012674505060369318,0.9318181818181818,0.045454545454545456,-0.08043323863636363,1,0.03959750045429577,0.003217020601203496
L10.H10,44,-0.012287486683238636,0.9545454545454546,0.045454545454545456,-0.13920454545454544,1,0.15674205259843307,0.008620168378745968
L1.H0,44,-0.012241016734730114,0.9090909090909091,0.045454545454545456,-0.08931107954545454,1,0.02526613257148049,0.003169446953424168
L1.H10,44,-0.011901161887428978,0.9772727272727273,0.045454545454545456,-0.12286931818181818,1,0.0691707892851396,0.0020191215444356203
L1.H8,44,-0.011788108132102272,0.9772727272727273,0.022727272727272728,-0.060546875,1,0.04323932799425992,0.004092006467875432
L16.H6,44,-0.011607776988636364,0.7954545454545454,0.06818181818181818,-0.12766335227272727,1,0.09855506095019254,0.008186595101671463
L21.H10,44,-0.01088229092684659,0.9545454545454546,0.0,-0.10884232954545454,1,0.09528215906836769,0.0015322160463917746
L2.H6,44,-0.010740800337357954,0.8863636363636364,0.022727272727272728,-0.05735085227272727,1,0.05620768395337192,0.007089040305634791
L7.H2,44,-0.010587518865411932,0.8863636363636364,0.11363636363636363,-0.14488636363636365,1,0.046949500387365166,0.02006774499419738
L19.H2,44,-0.010081898082386364,0.8409090909090909,0.022727272727272728,-0.10564630681818182,1,0.10039841045032848,0.0026872535950546576
L4.H13,44,-0.009995893998579546,0.9772727272727273,0.022727272727272728,-0.10973011363636363,1,0.07129459489475597,0.0020391898605422202
L16.H15,44,-0.00963315096768466,0.4318181818181818,0.022727272727272728,-0.07066761363636363,1,0.057376319711858574,0.007968358129635983
L23.H13,44,-0.009589455344460228,0.9318181818181818,0.0,-0.10049715909090909,1,0.07769342444159767,0.0014018139270113104
L8.H7,44,-0.009470159357244318,0.9545454545454546,0.045454545454545456,-0.08167613636363637,1,0.09183983369307085,0.004467973475005816
L9.H7,44,-0.008990894664417614,0.9090909090909091,0.022727272727272728,-0.07919034090909091,1,0.04230614141984419,0.002242444982667538
L1.H2,44,-0.008878534490411932,1.0,0.022727272727272728,-0.04847301136363636,1,0.0325346209786155,0.0018828112819888206
L22.H2,44,-0.00863924893465909,0.9772727272727273,0.022727272727272728,-0.08149857954545454,1,0.08156124570152977,0.00147187329871072
L5.H12,44,-0.008254311301491478,0.9772727272727273,0.0,-0.095703125,1,0.059490003369071266,0.0018660912120884116
L9.H13,44,-0.00799837979403409,0.9545454545454546,0.0,-0.05397727272727273,1,0.059508003971793434,0.001354003292032179
L0.H4,44,-0.007417158647017045,0.8863636363636364,0.06818181818181818,-0.061967329545454544,1,0.032777672464197334,0.0026028363684996625
L13.H0,44,-0.007346413352272727,0.8636363636363636,0.06818181818181818,-0.11700994318181818,1,0.07063939354636452,0.004451381423595277
L23.H10,44,-0.007265957919034091,0.9090909090909091,0.022727272727272728,-0.09978693181818182,1,0.0641224817796187,0.001724730204759081
L5.H13,44,-0.00708770751953125,0.9318181818181818,0.045454545454545456,-0.026100852272727272,1,0.03892916440963745,0.004462473991390487
L3.H1,44,-0.006819985129616477,0.9772727272727273,0.045454545454545456,-0.03817471590909091,1,0.02353166992014105,0.0016768142985793847
L2.H10,44,-0.006789467551491477,0.9545454545454546,0.022727272727272728,-0.035333806818181816,1,0.019635769453915684,0.0018289444044719196
L1.H3,44,-0.006747159090909091,0.7954545454545454,0.022727272727272728,-0.015269886363636364,1,0.023702941157601097,0.004009317125151442
L14.H13,44,-0.006656299937855114,0.9090909090909091,0.022727272727272728,-0.007457386363636364,1,0.0026195211844010787,0.0024086080348669466
L1.H15,44,-0.006604974920099432,0.9318181818181818,0.022727272727272728,-0.07333096590909091,1,0.04486430775035511,0.0025238037620014934
L1.H1,44,-0.006577925248579545,0.75,0.045454545454545456,-0.09676846590909091,1,0.02933558008887551,0.008779883797449822
L6.H2,44,-0.006303267045454545,0.9318181818181818,0.0,-0.03835227272727273,1,0.015565167773853649,0.0010449212780010632
L3.H2,44,-0.006066755814985795,0.9090909090909091,0.022727272727272728,-0.054154829545454544,1,0.024010647426952015,0.0018611284236116758
L0.H12,44,-0.006016817959872159,0.7727272727272727,0.045454545454545456,-0.08362926136363637,1,0.055025274103338066,0.005385196979411624
L14.H15,44,-0.005982138893821023,0.8863636363636364,0.0,-0.06906960227272728,1,0.07249042662707242,0.0017078743859945628
L1.H9,44,-0.005944685502485795,0.9090909090909091,0.0,-0.04456676136363636,1,0.03244200077923862,0.0014370944660516795
L2.H0,44,-0.005911393599076705,0.8181818181818182,0.045454545454545456,-0.01260653409090909,1,0.013449701395901766,0.004448343227109449
L5.H3,44,-0.005662397904829545,0.8863636363636364,0.022727272727272728,-0.050248579545454544,1,0.043028983202847565,0.0021297687172508713
L2.H7,44,-0.005272605202414773,0.8181818181818182,0.045454545454545456,-0.0003551136363636364,1,0.01274674047123302,0.0038575649219141765
L1.H5,44,-0.005212263627485795,0.7045454545454546,0.045454545454545456,-0.007279829545454545,1,0.014337382533333519,0.005871557101437991
L14.H10,44,-0.005138050426136364,0.7045454545454546,0.045454545454545456,-0.07066761363636363,1,0.01484258608384566,0.027549418260936032
L23.H14,44,-0.00511932373046875,0.9545454545454546,0.022727272727272728,-0.08185369318181818,1,0.0412052490494468,0.000743600515389434
L23.H6,44,-0.005085338245738636,0.8636363636363636,0.045454545454545456,-0.08504971590909091,1,0.043989582495255905,0.0017985942487774248
L8.H15,44,-0.005041642622514205,0.8409090909090909,0.022727272727272728,0.0015980113636363637,1,-0.025750127705660732,0.0022868373939259486
L14.H7,44,-0.005010431463068182,0.6590909090909091,0.045454545454545456,-0.07421875,1,0.06335732611742886,0.0027639777373141524
L11.H13,44,-0.004995866255326705,0.8863636363636364,0.0,-0.011896306818181818,1,0.02960636940869418,0.002143500216665085
L12.H14,44,-0.004828713156960227,0.8863636363636364,0.022727272727272728,-0.030894886363636364,1,0.009689499031413685,0.0009470934058878232
L23.H8,44,-0.004809292879971591,0.9772727272727273,0.022727272727272728,-0.08611505681818182,1,0.05113661831075495,0.00034448559976722623
L23.H12,44,-0.004804437810724432,0.9545454545454546,0.022727272727272728,-0.12162642045454546,1,0.07443288239565762,0.0005599669397766279
L16.H9,44,-0.004597750577059659,0.7045454545454546,0.0,-0.01083096590909091,1,0.017250792546705765,0.0032129662709352983
L14.H9,44,-0.004493019797585227,0.7954545454545454,0.022727272727272728,-0.05433238636363636,1,0.03444393656470559,0.006127764466906559
L23.H1,44,-0.004474986683238636,0.8863636363636364,0.022727272727272728,-0.07137784090909091,1,0.03855741565877741,0.0003515566806361841
L14.H8,44,-0.004422274502840909,0.9772727272727273,0.022727272727272728,-0.04403409090909091,1,0.05655229091644287,0.0011552016578868709
L21.H7,44,-0.004277316006747159,0.9090909090909091,0.045454545454545456,-0.024680397727272728,1,-0.007363953373648904,0.0017564377518614162
L12.H6,44,-0.004091436212713068,0.7727272727272727,0.022727272727272728,-0.03675426136363636,1,0.03321482376618819,0.0017219302905935117
L3.H3,44,-0.003909024325284091,0.8863636363636364,0.022727272727272728,-0.02911931818181818,1,0.03080205483870073,0.0010421473092388953
L23.H5,44,-0.0038722645152698865,0.9318181818181818,0.022727272727272728,-0.028764204545454544,1,0.027079446749253708,0.0006151716879685409
L1.H4,44,-0.003840359774502841,0.8409090909090909,0.0,-0.026633522727272728,1,0.01752005382017656,0.0005007856611469338
