head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L12.H8,79,-0.07600035848496836,0.8860759493670886,0.0759493670886076,-0.3985363924050633,1,0.4062297955343995,0.05166549311031269
L14.H2,79,-0.06164512151404272,0.759493670886076,0.1518987341772152,-0.30448971518987344,1,0.3742987030669104,0.11267773761072114
L14.H5,79,-0.048854779593552215,0.8607594936708861,0.05063291139240506,-0.25435126582278483,1,0.2547085553030424,0.03101621274659528
L16.H6,79,-0.04674018183840981,0.8481012658227848,0.0759493670886076,-0.21607990506329114,1,0.23918558449684818,0.025910556731934223
L23.H9,79,-0.04647711258900317,0.9746835443037974,0.10126582278481013,-0.6761273734177216,1,0.1902464847021465,0.017295435813691796
L15.H7,79,-0.04430843304984177,0.7088607594936709,0.10126582278481013,-0.2366495253164557,1,0.20822884085812146,0.06062635508309932
L9.H3,79,-0.037711227996439875,0.8607594936708861,0.0759493670886076,-0.18393987341772153,1,0.21514961538435537,0.014999675457262659
L11.H11,79,-0.036595984350276896,0.8354430379746836,0.06329113924050633,-0.16762262658227847,1,0.2013902196401282,0.01679479148934442
L11.H1,79,-0.02607437326938291,0.810126582278481,0.05063291139240506,-0.15140427215189872,1,0.13609228783015964,0.009058890698103329
L14.H6,79,-0.023942005785205698,0.6075949367088608,0.08860759493670886,-0.14319620253164558,1,0.0806431038470208,0.015084128346090806
L12.H9,79,-0.023880970628955698,0.7468354430379747,0.0379746835443038,-0.10551819620253164,1,0.13700792004790488,0.013221170274316792
L8.H7,79,-0.02109498615506329,0.6455696202531646,0.012658227848101266,-0.06348892405063292,1,0.11036255012584638,0.013807737274401927
L14.H4,79,-0.020806807505933545,0.6455696202531646,0.05063291139240506,-0.12786787974683544,1,0.1160543783556057,0.01590402579212066
L17.H0,79,-0.02040892009493671,0.7088607594936709,0.0379746835443038,-0.1015625,1,0.10320335060735292,0.01292211177856131
L18.H5,79,-0.016459404667721517,0.4936708860759494,0.0379746835443038,-0.11066060126582279,1,0.05850950373878962,0.010718457648733961
L14.H7,79,-0.016023660007911392,0.620253164556962,0.06329113924050633,-0.06774129746835443,1,0.10358938537066496,0.028466758907690078
L9.H1,79,-0.016011298457278483,0.8227848101265823,0.012658227848101266,-0.07782832278481013,1,0.09441389388675932,0.0032244162841057523
L23.H14,79,-0.01586605023734177,0.810126582278481,0.06329113924050633,-0.29549050632911394,1,0.07175878784324549,0.008967130912078803
L17.H6,79,-0.01483386075949367,0.6835443037974683,0.0379746835443038,-0.07861946202531646,1,0.07687056969992723,0.018511833664681173
L13.H13,79,-0.014825362193433545,0.6329113924050633,0.012658227848101266,-0.030063291139240507,1,0.07891757918309562,0.015482747968569209
L13.H12,79,-0.014816863627373418,0.7088607594936709,0.0379746835443038,-0.052314082278481014,1,0.10746467264392708,0.009660205068479328
L16.H12,79,-0.014188742335838608,0.7341772151898734,0.0379746835443038,-0.08910205696202532,1,0.057807928399194644,0.006976643678897261
L22.H2,79,-0.013692735116693038,0.8987341772151899,0.0379746835443038,-0.022943037974683545,1,0.0456255221668678,0.0018639779628307524
L14.H1,79,-0.013250809681566455,0.7848101265822784,0.0379746835443038,-0.11293512658227849,1,0.06478911336464217,0.0032435278791368384
L11.H8,79,-0.013076202778876582,0.8860759493670886,0.0379746835443038,-0.07713607594936708,1,0.06355747505079341,0.0015078625377249915
L10.H14,79,-0.012346098694620253,0.7721518987341772,0.012658227848101266,-0.06378560126582279,1,0.0684213992915576,0.0025123992965768883
L9.H15,79,-0.012167628807357595,0.8481012658227848,0.012658227848101266,-0.05992879746835443,1,0.06919910749302635,0.00208901714303684
L18.H1,79,-0.011847773684731012,0.6075949367088608,0.06329113924050633,-0.30933544303797467,1,0.0771115784403644,0.021539280435683417
L9.H5,79,-0.011514784414556962,0.8607594936708861,0.0379746835443038,-0.051325158227848104,1,0.04452939840811718,0.0016422039398899938
L9.H11,79,-0.010511953619462026,0.7721518987341772,0.0,-0.03659018987341772,1,0.05854405142083953,0.0023791539575609886
L10.H13,79,-0.010381771039359177,0.6075949367088608,0.06329113924050633,0.015031645569620253,1,0.06956659540345397,0.010990657610818744
L10.H2,79,-0.010375203965585443,0.7721518987341772,0.0379746835443038,-0.03886471518987342,1,0.04842504708072807,0.002031302202236544
L7.H11,79,-0.010359752027294304,0.7088607594936709,0.02531645569620253,-0.03965585443037975,1,0.04397251749340492,0.002544726219409163
L14.H14,79,-0.010199824465981012,0.6835443037974683,0.012658227848101266,-0.05043512658227848,1,0.03306925145885612,0.005525728356081379
L16.H1,79,-0.009581746934335443,0.5949367088607594,0.0,-0.04153481012658228,1,0.05427407690241367,0.009512517129511667
L12.H0,79,-0.00930283944818038,0.6075949367088608,0.02531645569620253,-0.034216772151898736,1,0.0338579635076885,0.0037488782689228794
L12.H1,79,-0.008922721766218354,0.810126582278481,0.012658227848101266,-0.03945806962025317,1,0.043803508145899714,0.0012465104342090508
L16.H2,79,-0.008912678006329115,0.5949367088607594,0.02531645569620253,-0.026305379746835444,1,0.03913360381428199,0.005510420793419869
L8.H2,79,-0.008830010136471519,0.7721518987341772,0.0,-0.03243670886075949,1,0.037065273598779605,0.0019892134506231812
L23.H12,79,-0.008713348002373418,0.9240506329113924,0.012658227848101266,-0.17553401898734178,1,0.04915763343436808,0.0005623430121967074
L11.H7,79,-0.008534105518196203,0.5316455696202531,0.0379746835443038,-0.04341376582278481,1,0.02678763790975643,0.004334897919531464
L3.H4,79,-0.008191072488132911,0.7088607594936709,0.02531645569620253,-0.04252373417721519,1,0.03422990026353281,0.001671871453887618
L8.H14,79,-0.007890532288370253,0.7215189873417721,0.012658227848101266,-0.043908227848101264,1,0.0414974795112127,0.0023015332518770255
L12.H6,79,-0.007778505735759494,0.6455696202531646,0.02531645569620253,-0.03955696202531646,1,0.0340883026394663,0.003519694675629534
L10.H10,79,-0.007600808445411392,0.6329113924050633,0.0,-0.017108386075949368,1,0.04440721756295313,0.0029913345734954256
L12.H3,79,-0.007423883751977848,0.5822784810126582,0.012658227848101266,-0.039359177215189875,1,0.035934503319897226,0.004925797588068143
L15.H6,79,-0.006687985190862342,0.5569620253164557,0.0379746835443038,-0.010581487341772151,1,0.04862014100521426,0.01749113285501452
L7.H5,79,-0.006440367879746835,0.5316455696202531,0.0,-0.00949367088607595,1,0.03722549767433843,0.004748789818303165
L19.H15,79,-0.006377787529667721,0.620253164556962,0.0,-0.0078125,1,0.025759822205652164,0.0037082818644769678
L13.H0,79,-0.006227131131329114,0.7974683544303798,0.012658227848101266,-0.0368868670886076,1,0.02390448277509665,0.0006038477097982777
L23.H8,79,-0.006030891515031646,0.8987341772151899,0.012658227848101266,-0.1049248417721519,1,0.029378909098951123,0.0003216342921877174
L20.H9,79,-0.005965220777294304,0.35443037974683544,0.06329113924050633,-0.021261867088607594,1,0.0083157397523711,0.004638679100025911
L11.H14,79,-0.005420539952531646,0.7341772151898734,0.0,-0.04311708860759494,1,0.02652183061913599,0.0004907579226065663
L22.H10,79,-0.005131588706487342,0.5822784810126582,0.0,-0.01740506329113924,1,0.018410226966761336,0.0020334786907519227
L23.H0,79,-0.005031923704509494,0.810126582278481,0.02531645569620253,-0.04509493670886076,1,0.012456370305411423,0.0005133554292990107
L23.H15,79,-0.004835684088212025,0.7721518987341772,0.0,-0.06665348101265822,1,0.016676653789568553,0.000514144441510751
L18.H11,79,-0.004674211333069621,0.6455696202531646,0.02531645569620253,-0.024624208860759493,1,0.017311868788320806,0.0018778595508995785
L17.H4,79,-0.004660304588607595,0.6582278481012658,0.0,-0.010878164556962026,1,0.011695222009586382,0.0010210700777780759
L21.H14,79,-0.004419254351265823,0.5949367088607594,0.0379746835443038,-0.1842365506329114,1,0.017782609296750417,0.003545341505396439
L12.H7,79,-0.004326542721518987,0.5189873417721519,0.012658227848101266,0.006526898734177215,1,-0.005529301075995723,0.0031608064258117465
L5.H3,79,-0.0042013820213607595,0.569620253164557,0.0,-0.014339398734177215,1,0.015326061957999121,0.004463130163170303
L9.H8,79,-0.004150390625,0.7215189873417721,0.0,-0.021360759493670885,1,0.023265381779851792,0.00033848541462720266
L5.H12,79,-0.004130303105221519,0.7215189873417721,0.02531645569620253,-0.03441455696202532,1,0.025729508339604246,0.0012908297339660599
L11.H9,79,-0.004088582871835443,0.6962025316455697,0.0,-0.017701740506329115,1,0.021405241157435164,0.0004299329101959762
L23.H2,79,-0.004080856902689873,0.7974683544303798,0.02531645569620253,-0.03045886075949367,1,0.01136801099475426,0.00031736870631546114
L17.H11,79,-0.004062314576740506,0.569620253164557,0.012658227848101266,-0.05676424050632911,1,0.018255420877963682,0.00304980745061619
L19.H5,79,-0.004056906398338608,0.6582278481012658,0.012658227848101266,-0.03164556962025317,1,0.01817955095556718,0.0012243856007087375
L5.H9,79,-0.003970375543908227,0.6708860759493671,0.012658227848101266,-0.010878164556962026,1,0.007409009752394278,0.002625938008142977
L10.H1,79,-0.003928655310522152,0.7088607594936709,0.0,-0.005537974683544304,1,0.020304954504664942,0.000638889277588187
L1.H5,79,-0.003801176819620253,0.7215189873417721,0.0,-0.00860363924050633,1,0.013336558507967599,0.0006167503223291015
L19.H10,79,-0.0037076925929588607,0.569620253164557,0.0379746835443038,-0.07772943037974683,1,0.013106491746781747,0.0018166008367994505
L23.H11,79,-0.003621161738528481,0.7848101265822784,0.02531645569620253,-0.06536787974683544,1,0.016896578330027907,0.00030184942314215595
L7.H7,79,-0.0036126631724683546,0.5189873417721519,0.0,-0.009394778481012658,1,0.013925669691230677,0.00117732629440047
L10.H6,79,-0.003578668908227848,0.7468354430379747,0.0,-0.013647151898734177,1,0.009429328803774676,0.0003165713917755793
L0.H2,79,-0.0035778963113132912,0.46835443037974683,0.012658227848101266,-0.030557753164556962,1,0.028757211528246916,0.0028431793738191925
