head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L13.H11,45,-0.11434699164496528,1.0,0.6,-1.2114583333333333,3,0.4319047239091661,0.3345426549514135
L9.H2,45,-0.10674574110243056,1.0,0.5555555555555556,-1.2682291666666667,2,0.8147432274288602,0.350281165043513
L20.H11,45,-0.06514078776041667,1.0,0.3333333333333333,-0.48802083333333335,2,0.16731717321607803,0.17450645052724414
L11.H1,45,-0.04928181966145833,0.9555555555555556,0.06666666666666667,-0.48333333333333334,1,0.4087297598520915,0.04103319835331705
L17.H6,45,-0.043785942925347224,0.8666666666666667,0.1111111111111111,-0.6512152777777778,1,0.3902639759911431,0.09133451680342357
L14.H5,45,-0.035325113932291666,0.9111111111111111,0.044444444444444446,-0.35989583333333336,1,0.2867002116309272,0.04216653300552732
L8.H8,45,-0.03399793836805556,0.9777777777777777,0.044444444444444446,-0.29322916666666665,1,0.30067809952629937,0.021321534282631345
L11.H3,45,-0.03198445638020833,0.8666666666666667,0.1111111111111111,-0.2947916666666667,1,0.19725876914130316,0.046621223787466685
L21.H8,45,-0.029528130425347222,0.9555555555555556,0.13333333333333333,-0.2635416666666667,1,0.15250390900505914,0.035848971621857746
L10.H1,45,-0.027937825520833334,0.9777777777777777,0.022222222222222223,-0.2548611111111111,1,0.20431403583950467,0.011546098585757945
L4.H4,45,-0.025754801432291665,1.0,0.022222222222222223,-0.21180555555555555,1,0.19206236203511556,0.009234605677839782
L12.H8,45,-0.02536282009548611,0.9111111111111111,0.06666666666666667,-0.19340277777777778,1,0.20015827814737955,0.01825006824090249
L11.H6,45,-0.02199435763888889,0.9333333333333333,0.0,-0.2142361111111111,1,0.17839945157368978,0.013892661314457655
L6.H8,45,-0.021510145399305555,0.9777777777777777,0.022222222222222223,-0.18975694444444444,1,0.16099344359503853,0.012340811360627413
L8.H5,45,-0.021173773871527777,0.9777777777777777,0.044444444444444446,-0.1657986111111111,1,0.15515127711825902,0.00823556646808154
L13.H2,45,-0.021067301432291668,0.7333333333333333,0.022222222222222223,-0.18003472222222222,1,0.15824538336859809,0.021525080843518177
L23.H9,45,-0.020255533854166667,1.0,0.022222222222222223,-0.24131944444444445,1,0.1266308996412489,0.005127403077979883
L10.H10,45,-0.020005967881944444,0.9777777777777777,0.022222222222222223,-0.13489583333333333,1,0.1387029382917616,0.007086921617802646
L7.H2,45,-0.019809977213541666,1.0,0.0,-0.20520833333333333,1,0.16318629052903916,0.006385783768362469
L9.H3,45,-0.019541422526041668,0.9777777777777777,0.06666666666666667,-0.17673611111111112,1,0.16297764778137208,0.008546289894729853
L8.H2,45,-0.019195556640625,0.9333333333333333,0.0,-0.19375,1,0.17150832811991373,0.0076770624715007015
L16.H8,45,-0.01908230251736111,0.8888888888888888,0.06666666666666667,-0.050694444444444445,1,0.04176334804958767,0.01286424393248227
L13.H0,45,-0.01844482421875,0.9111111111111111,0.06666666666666667,-0.18263888888888888,1,0.11169716517130533,0.011310099489572975
L10.H4,45,-0.01821831597222222,0.9333333333333333,0.022222222222222223,-0.16961805555555556,1,0.15603574646843804,0.007409227127209306
L13.H7,45,-0.018174913194444444,0.9777777777777777,0.022222222222222223,-0.16371527777777778,1,0.10940637058681912,0.008083334363376101
L0.H11,45,-0.018093532986111112,0.9777777777777777,0.0,-0.1638888888888889,1,0.13880303700764973,0.0070745791774243115
L13.H15,45,-0.01773681640625,0.8888888888888888,0.022222222222222223,-0.1675347222222222,1,0.16038740475972493,0.011407876113015745
L11.H11,45,-0.016520182291666668,0.8444444444444444,0.0,-0.1484375,1,0.14725619951883953,0.012976561186628209
L17.H2,45,-0.013795301649305555,0.7777777777777778,0.06666666666666667,-0.06076388888888889,1,0.07903136147393121,0.013314557422159447
L16.H0,45,-0.013654242621527778,0.7777777777777778,0.022222222222222223,-0.10885416666666667,1,0.07461983892652724,0.008683766102573523
L23.H10,45,-0.01335177951388889,1.0,0.044444444444444446,-0.11006944444444444,1,0.06251079241434733,0.0035931247260628475
L4.H0,45,-0.012294514973958334,0.9555555555555556,0.0,-0.1111111111111111,1,0.09907907379998102,0.0029480259943132597
L10.H9,45,-0.012139892578125,0.7333333333333333,0.022222222222222223,-0.10989583333333333,1,0.10622468524509006,0.012609440978202555
L5.H9,45,-0.011909993489583333,0.9777777777777777,0.0,-0.09722222222222222,1,0.0870933903588189,0.0019556100596673787
L1.H3,45,-0.011907280815972223,0.9333333333333333,0.0,-0.09496527777777777,1,0.1028863853878445,0.004820450366888609
L9.H13,45,-0.011370849609375,1.0,0.0,-0.12430555555555556,1,0.08977228270636664,0.003556616837158799
L23.H15,45,-0.011253526475694444,0.8444444444444444,0.06666666666666667,-0.10451388888888889,1,0.0730378892686632,0.005547445350223118
L13.H12,45,-0.011174858940972223,0.7555555555555555,0.044444444444444446,-0.2748263888888889,1,0.15728280809190537,0.021651322363565366
L10.H11,45,-0.011000569661458333,0.7777777777777778,0.044444444444444446,-0.09965277777777778,1,0.04589476055569119,0.014961989229131075
L6.H2,45,-0.010287814670138888,0.9111111111111111,0.0,-0.12274305555555555,1,0.07849196857876248,0.0037942773817727965
L14.H4,45,-0.010102674696180555,0.7333333333333333,0.022222222222222223,-0.096875,1,0.07880118687947592,0.008329027168090558
L13.H3,45,-0.009405517578125,0.7333333333333333,0.0,-0.05607638888888889,1,0.035624896155463326,0.006310278867992262
L3.H11,45,-0.00938720703125,0.8888888888888888,0.0,-0.08611111111111111,1,0.07070399390326607,0.001952151285432693
L16.H6,45,-0.009373643663194445,0.7333333333333333,0.022222222222222223,-0.06944444444444445,1,0.06791357464260525,0.008727735926448885
L2.H7,45,-0.009128824869791666,0.9333333333333333,0.0,-0.08368055555555555,1,0.0744937260945638,0.0018209168726267915
L5.H1,45,-0.00885009765625,0.9777777777777777,0.0,-0.07604166666666666,1,0.06067347526550293,0.0013230554591346945
L14.H2,45,-0.0088134765625,0.9111111111111111,0.022222222222222223,-0.08090277777777778,1,0.055886766645643446,0.0037840648101539246
L8.H9,45,-0.008619520399305556,0.7333333333333333,0.022222222222222223,-0.09079861111111111,1,0.09556902249654134,0.0030844882648024294
L4.H5,45,-0.008448621961805555,0.8888888888888888,0.0,-0.08454861111111112,1,0.06301874584621853,0.00295191222232663
L6.H10,45,-0.008322482638888889,0.9333333333333333,0.0,-0.10104166666666667,1,0.06629761060078938,0.003042148139017324
L21.H10,45,-0.008073594835069444,0.7777777777777778,0.0,-0.06076388888888889,1,0.05257681210835775,0.002359331361690743
L9.H6,45,-0.008002387152777778,0.8222222222222222,0.022222222222222223,-0.06666666666666667,1,0.04096044964260525,0.00442969702805082
L15.H0,45,-0.007992892795138888,0.9777777777777777,0.0,-0.08802083333333334,1,0.06180209583706326,0.0018801753169908706
L3.H2,45,-0.007984754774305556,0.9777777777777777,0.0,-0.06892361111111112,1,0.058874421649509005,0.0014340536487806174
L9.H1,45,-0.007982720269097222,0.8444444444444444,0.0,-0.07083333333333333,1,0.08003986676534017,0.0023010980570688845
L2.H6,45,-0.007618543836805556,0.9555555555555556,0.0,-0.0640625,1,0.054790396160549586,0.0011276128326749635
L11.H2,45,-0.007459174262152778,0.6,0.1111111111111111,-0.04010416666666667,1,-0.07491558922661676,0.0514103728863928
L8.H15,45,-0.007364230685763889,0.9111111111111111,0.0,-0.06892361111111112,1,0.04736585087246365,0.001829898569525944
L10.H14,45,-0.007362874348958334,0.7333333333333333,0.0,-0.05138888888888889,1,0.06786725256178114,0.004633425496932533
L23.H6,45,-0.007146538628472222,0.8222222222222222,0.022222222222222223,-0.07517361111111111,1,0.06172004805670844,0.004194812530962129
L12.H9,45,-0.007099745008680556,0.7333333333333333,0.022222222222222223,-0.07395833333333333,1,0.048823414908515085,0.004570117365154955
L23.H2,45,-0.006955973307291667,0.8222222222222222,0.0,-0.06545138888888889,1,0.05505313873291016,0.0024588965280498898
L15.H13,45,-0.006939019097222222,0.6,0.022222222222222223,-0.07152777777777777,1,0.04537423451741537,0.008763632679539215
L6.H11,45,-0.006936984592013889,0.9555555555555556,0.0,-0.06527777777777778,1,0.04680154588487413,0.0013103556748117423
L4.H10,45,-0.006800672743055555,0.9777777777777777,0.0,-0.07673611111111112,1,0.05739582379659017,0.0007432134815543476
