head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,41,-0.15987600931307164,0.9512195121951219,0.4146341463414634,-1.344893292682927,2,1.252067358028598,0.28448494705485133
L11.H1,41,-0.07465790539253049,0.926829268292683,0.14634146341463414,-0.5579268292682927,1,0.49129304653260764,0.05835626826326295
L11.H3,41,-0.048299649866615856,0.8292682926829268,0.21951219512195122,-0.3715701219512195,1,0.3571853535931285,0.08008737489581108
L13.H12,41,-0.047403475133384144,0.8536585365853658,0.0975609756097561,-0.4616996951219512,1,0.38431929233597545,0.04127794917582012
L8.H8,41,-0.042531083269817076,0.926829268292683,0.0975609756097561,-0.3386051829268293,1,0.31644357704534765,0.01961801135231082
L14.H5,41,-0.039512076028963415,0.6341463414634146,0.21951219512195122,-0.3252667682926829,1,0.27267274478586706,0.06204976673272052
L11.H11,41,-0.03565792921112805,0.926829268292683,0.14634146341463414,-0.28125,1,0.24215749269578515,0.025836403987075134
L12.H14,41,-0.03195264862804878,0.9024390243902439,0.12195121951219512,-0.24504573170731708,1,0.09622649884805447,0.022934338089260386
L11.H6,41,-0.02778439405487805,0.9024390243902439,0.07317073170731707,-0.2534298780487805,1,0.22723310895082427,0.01956059350688919
L22.H2,41,-0.027578958650914635,0.8048780487804879,0.12195121951219512,-0.31421493902439024,1,0.1850166800545483,0.020669066991725164
L12.H8,41,-0.027154689881859755,0.8292682926829268,0.07317073170731707,-0.2505716463414634,1,0.24770126837055859,0.027860447332808156
L13.H11,41,-0.02708472275152439,0.7804878048780488,0.17073170731707318,-0.11509146341463415,1,0.17388386261172412,0.06467329151928425
L10.H9,41,-0.025820848418445123,0.9024390243902439,0.14634146341463414,-0.20826981707317074,1,0.1283402748224212,0.010630663416189392
L8.H2,41,-0.024789205411585365,0.8780487804878049,0.04878048780487805,-0.16863567073170732,1,0.12381934538120176,0.009672938596184661
L13.H15,41,-0.023261837842987805,0.7317073170731707,0.07317073170731707,-0.20426829268292682,1,0.16134748807767543,0.015945636797923504
L13.H2,41,-0.021846119950457318,0.7073170731707317,0.2926829268292683,-0.24104420731707318,1,0.16870674127485694,0.03344742902242238
L10.H4,41,-0.02152903487042683,0.8048780487804879,0.04878048780487805,-0.21589176829268292,1,0.1663644139359637,0.011093964624195927
L11.H14,41,-0.019248404153963415,0.8536585365853658,0.024390243902439025,-0.14634146341463414,1,0.11666337164436899,0.004777773740565087
L13.H0,41,-0.017374178258384148,0.6829268292682927,0.0975609756097561,-0.15091463414634146,1,0.09489942760002322,0.018254930474341097
L4.H4,41,-0.016975216749237805,0.8780487804878049,0.04878048780487805,-0.10423018292682927,1,0.13563535562375698,0.005197057378387488
L7.H2,41,-0.01680104325457317,0.8780487804878049,0.0975609756097561,-0.13205030487804878,1,0.11908027893159448,0.004016886435437766
L16.H0,41,-0.016634313071646343,0.7560975609756098,0.17073170731707318,-0.10022865853658537,1,0.0786209440812832,0.009899505987804575
L17.H11,41,-0.016559879954268292,0.7560975609756098,0.04878048780487805,-0.11394817073170732,1,0.1324624288372877,0.010242018248479836
L0.H11,41,-0.016324671303353657,0.8780487804878049,0.04878048780487805,-0.14233993902439024,1,0.11574802456832514,0.003924814282871056
L9.H13,41,-0.014520412538109756,0.8536585365853658,0.04878048780487805,-0.10442073170731707,1,0.07506148698853284,0.00282056055389481
L15.H10,41,-0.014417694836128049,0.6829268292682927,0.07317073170731707,-0.16615853658536586,1,0.11711611689590826,0.013938956547573936
L11.H5,41,-0.014376012290396341,0.7804878048780488,0.07317073170731707,-0.14138719512195122,1,0.062309081961468955,0.006009974619146527
L1.H3,41,-0.013911549637957318,0.8780487804878049,0.04878048780487805,-0.08955792682926829,1,0.10447661760376721,0.0028341855944656745
L19.H13,41,-0.012745927019817074,0.6585365853658537,0.07317073170731707,-0.09470274390243902,1,0.07346761226654053,0.019241143857049416
L23.H13,41,-0.012442239900914634,0.7804878048780488,0.07317073170731707,-0.10804115853658537,1,0.0714069343194729,0.004048549580081116
L16.H6,41,-0.011930140053353659,0.5609756097560976,0.024390243902439025,-0.061928353658536585,1,0.08152887879348383,0.011517266825227657
L16.H12,41,-0.011683022103658536,0.6829268292682927,0.07317073170731707,-0.08536585365853659,1,0.02735951906297265,0.007214965555737386
L5.H9,41,-0.011453768102134146,0.8780487804878049,0.024390243902439025,-0.09336890243902439,1,0.09817893766775364,0.0023788312484124084
L11.H4,41,-0.010776426733993903,0.6829268292682927,0.12195121951219512,-0.08860518292682927,1,0.06129280096147119,0.007768753828003821
L3.H3,41,-0.010310475419207318,0.7804878048780488,0.024390243902439025,-0.08784298780487805,1,0.0875372406913013,0.0020690417462369292
L14.H1,41,-0.010231576314786585,0.7317073170731707,0.04878048780487805,-0.09660823170731707,1,0.042758265646492565,0.003732489130925387
L11.H8,41,-0.01007080078125,0.7560975609756098,0.024390243902439025,-0.08765243902439024,1,0.07022095744202776,0.003819536447536382
L2.H7,41,-0.009846012766768292,0.8292682926829268,0.024390243902439025,-0.06421493902439024,1,0.04800765543449216,0.001465450356169263
L10.H14,41,-0.009725431116615854,0.7073170731707317,0.12195121951219512,-0.07202743902439024,1,0.05136240546296283,0.005699073980993978
L9.H3,41,-0.009664395960365854,0.7317073170731707,0.04878048780487805,-0.09032012195121951,1,0.09447512684798823,0.0038994667815930415
L12.H15,41,-0.0093994140625,0.6585365853658537,0.04878048780487805,-0.07717225609756098,1,0.06625607391683067,0.005882513107413926
L13.H6,41,-0.008744402629573171,0.5121951219512195,0.024390243902439025,-0.09622713414634146,1,0.08300073844630544,0.017620348174227175
L8.H9,41,-0.008613400342987805,0.6829268292682927,0.04878048780487805,-0.06612042682926829,1,0.05422325395956272,0.0037409389624372125
L12.H5,41,-0.00833055449695122,0.5853658536585366,0.1951219512195122,-0.0586890243902439,1,-0.021658430739146906,0.0192313503087839
L2.H6,41,-0.008260587366615854,0.9024390243902439,0.0,-0.054115853658536585,1,0.053614617847814794,0.0008589930572581091
L10.H10,41,-0.008242723418445123,0.6829268292682927,0.024390243902439025,-0.06955030487804878,1,0.06515095582822474,0.003005011205237768
L19.H15,41,-0.008235280106707318,0.6585365853658537,0.04878048780487805,-0.0743140243902439,1,0.03256652413344965,0.0067673716466964745
L15.H5,41,-0.008175733612804877,0.7560975609756098,0.12195121951219512,-0.07355182926829268,1,0.05534533175026498,0.0034718768537703266
L16.H15,41,-0.00808790253429878,0.5853658536585366,0.024390243902439025,-0.054115853658536585,1,0.041702077156159936,0.004048208059053073
L9.H11,41,-0.008061106612042682,0.7804878048780488,0.04878048780487805,-0.06097560975609756,1,0.064262503530921,0.0032064492584251594
L10.H1,41,-0.007998582793445123,0.6341463414634146,0.024390243902439025,-0.0783155487804878,1,0.0624640133322739,0.004920382092411562
L1.H1,41,-0.007913729039634146,0.926829268292683,0.0,-0.051448170731707314,1,0.046353411383745144,0.0008242221871425011
L3.H11,41,-0.007805056688262195,0.8048780487804879,0.024390243902439025,-0.045922256097560975,1,0.041238435884801354,0.0017452614123524145
L14.H10,41,-0.007779749428353659,0.7073170731707317,0.07317073170731707,-0.026676829268292682,1,-0.015467877795056598,0.010627065575113746
L13.H9,41,-0.007769328791920732,0.6829268292682927,0.07317073170731707,-0.09984756097560976,1,0.047391840597478356,0.006843417129059118
L4.H0,41,-0.007537097465701219,0.9024390243902439,0.04878048780487805,-0.06173780487804878,1,0.06049279614192683,0.0010897500338259993
L9.H12,41,-0.007196193788109756,0.6585365853658537,0.07317073170731707,-0.029153963414634148,1,-0.015151185233418534,0.005785332466674424
L4.H5,41,-0.007158977229420732,0.8536585365853658,0.04878048780487805,-0.04725609756097561,1,0.03435115988661603,0.0013889027851713232
L19.H2,41,-0.007121760670731708,0.6097560975609756,0.024390243902439025,-0.04058689024390244,1,0.03106291701154011,0.004729463525042619
L8.H4,41,-0.007002667682926829,0.5853658536585366,0.0975609756097561,-0.052591463414634144,1,-0.00851644103120013,0.004515771475825004
L3.H15,41,-0.006536716368140244,0.8780487804878049,0.024390243902439025,-0.03163109756097561,1,0.04475864113830939,0.0007100415468590743
L8.H5,41,-0.006511409108231708,0.5609756097560976,0.04878048780487805,-0.015053353658536585,1,0.07976519334607007,0.0063832615354529965
L9.H15,41,-0.006368497522865854,0.7560975609756098,0.024390243902439025,-0.0701219512195122,1,0.05767799441407367,0.0014372212832180283
L10.H11,41,-0.006097560975609756,0.5365853658536586,0.0975609756097561,0.0038109756097560975,1,0.01534540478776141,0.012400939265584074
L1.H10,41,-0.006054389767530487,0.8048780487804879,0.0,-0.036585365853658534,1,0.0361778925104839,0.0007632330021673314
L0.H1,41,-0.00604248046875,0.7804878048780488,0.024390243902439025,-0.05392530487804878,1,0.049080012775048976,0.0007018041775686802
L23.H6,41,-0.0058936142339939025,0.5853658536585366,0.12195121951219512,-0.10632621951219512,1,0.03798379549166051,0.011083636302273811
