head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,40,-0.19365386962890624,0.975,0.225,-1.064453125,1,1.0921682871878147,0.2544309732038528
L11.H3,40,-0.098333740234375,0.925,0.125,-0.4435546875,1,0.4979133978486061,0.07577911650296301
L13.H11,40,-0.0853546142578125,0.775,0.125,-0.124609375,1,0.35216109380126,0.11380783821223303
L11.H1,40,-0.0701385498046875,0.9,0.05,-0.3083984375,1,0.3686629317700863,0.04402865304728039
L13.H12,40,-0.05806884765625,0.875,0.05,-0.3259765625,1,0.33124458193778994,0.03537076007341966
L14.H5,40,-0.0510162353515625,0.825,0.125,-0.2744140625,1,0.22703019864857196,0.05849227325816173
L13.H2,40,-0.04814605712890625,0.825,0.15,-0.3462890625,1,0.20261882543563842,0.035892569681163874
L8.H8,40,-0.04708709716796875,0.95,0.05,-0.194140625,1,0.23676234856247902,0.015141747565940023
L13.H15,40,-0.0469207763671875,0.8,0.075,-0.190234375,1,0.17627355121076108,0.02582334452599753
L11.H11,40,-0.0413330078125,0.85,0.05,-0.15859375,1,0.19803582057356833,0.017135926634364296
L12.H8,40,-0.0405670166015625,0.925,0.075,-0.226171875,1,0.17295681089162826,0.016931222466519104
L11.H6,40,-0.03381195068359375,0.775,0.05,-0.1544921875,1,0.18742868900299073,0.01808309771658969
L17.H2,40,-0.0265716552734375,0.65,0.025,-0.113671875,1,0.07622331194579601,0.018249804466904607
L22.H2,40,-0.0260986328125,0.7,0.025,-0.307421875,1,0.17324374839663506,0.01539927989942953
L16.H6,40,-0.02498779296875,0.775,0.025,-0.094921875,1,0.09857047870755195,0.008152718536439351
L17.H11,40,-0.02385101318359375,0.675,0.05,-0.0884765625,1,0.1163128785789013,0.011933445607428438
L7.H2,40,-0.0229522705078125,0.925,0.05,-0.1064453125,1,0.11008869186043739,0.0036521686459309423
L16.H12,40,-0.0228179931640625,0.775,0.025,-0.06328125,1,0.07066114619374275,0.009707353978592436
L10.H4,40,-0.0215545654296875,0.8,0.0,-0.106640625,1,0.1261630792170763,0.006760597720858641
L10.H14,40,-0.0203094482421875,0.85,0.075,-0.08125,1,0.09061515182256699,0.005226818131632172
L4.H4,40,-0.018096923828125,0.925,0.05,-0.0443359375,1,0.08873719535768032,0.003059394004230853
L11.H8,40,-0.01778564453125,0.825,0.025,-0.083984375,1,0.08428338319063186,0.004429285221704049
L11.H14,40,-0.017266845703125,0.95,0.025,-0.0630859375,1,0.08383863046765327,0.002385996026714565
L15.H13,40,-0.0171630859375,0.6,0.05,-0.08828125,1,0.05510521605610848,0.017819996476828238
L19.H15,40,-0.01646728515625,0.575,0.025,-0.062109375,1,0.08156979084014893,0.01435684408788802
L15.H10,40,-0.0163116455078125,0.625,0.025,0.048828125,1,0.05587204918265343,0.015280151722254231
L10.H9,40,-0.0161041259765625,0.725,0.05,-0.0990234375,1,0.08399493247270584,0.0069757552293594925
L5.H9,40,-0.0159332275390625,0.975,0.0,-0.075,1,0.08670949414372445,0.002015207346630632
L16.H0,40,-0.01547088623046875,0.675,0.05,-0.0892578125,1,0.057307250797748566,0.012647429347998696
L8.H5,40,-0.0147735595703125,0.75,0.05,-0.0271484375,1,0.08096066601574421,0.003909295942867175
L13.H13,40,-0.0138427734375,0.675,0.0,-0.046875,1,0.06601150035858154,0.009128689327917527
L1.H3,40,-0.013482666015625,0.875,0.025,-0.04375,1,0.06805236078798771,0.001839330657821847
L9.H13,40,-0.01300048828125,0.875,0.05,-0.06796875,1,0.0675281710922718,0.0017754733005858725
L23.H13,40,-0.01297607421875,0.675,0.0,-0.0818359375,1,0.052867311611771585,0.00490257465862669
