head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,Answer with an Italian word. English: 'Eye' / Italian: ',0.034423828125,0.109375,False,1,2.099027395248413,1.9919682741165161,-0.10705912113189697,0.0029458506032824516
L0.H0,1,Answer with an Italian word. English: 'Two' / Italian: ',0.00732421875,0.03125,False,1,0.9124267101287842,0.8705404996871948,-0.041886210441589355,0.0007453807047568262
L0.H0,2,Answer with an Italian word. English: 'Hand' / Italian: ',0.01171875,0.078125,False,1,4.211555004119873,4.172961711883545,-0.038593292236328125,0.002416621195152402
L0.H0,3,Answer with an Italian word. English: 'Light' / Italian: ',0.0205078125,0.0546875,False,1,3.1502575874328613,3.0225658416748047,-0.12769174575805664,0.0020657775457948446
L0.H0,4,Answer with an Italian word. English: 'World' / Italian: ',0.014892578125,0.046875,False,1,1.9956061840057373,1.944091796875,-0.051514387130737305,0.0011896882206201553
L0.H0,5,Answer with an Italian word. English: 'Road' / Italian: ',0.0107421875,0.0546875,False,1,3.516450881958008,3.469616174697876,-0.046834707260131836,0.001735265483148396
L0.H0,6,Answer with an Italian word. English: 'Year' / Italian: ',-0.01513671875,-0.046875,False,1,1.228502631187439,1.243159294128418,0.014656662940979004,0.0007955016335472465
L0.H0,7,Answer with an Italian word. English: 'Bread' / Italian: ',0.007080078125,0.03125,False,1,3.3623809814453125,3.329817771911621,-0.032563209533691406,0.0011120185954496264
L0.H0,8,Answer with an Italian word. English: 'Dog' / Italian: ',0.01123046875,0.0,False,1,3.4576001167297363,3.3809776306152344,-0.07662248611450195,0.0019491156563162804
L0.H0,9,Answer with an Italian word. English: 'Door' / Italian: ',0.001953125,0.015625,False,1,1.514739751815796,1.4996402263641357,-0.015099525451660156,0.0007330800872296095
L0.H0,10,Answer with an Italian word. English: 'Mother' / Italian: ',0.0224609375,0.046875,False,1,1.641364336013794,1.5583064556121826,-0.08305788040161133,0.0013234782963991165
L0.H0,11,Answer with an Italian word. English: 'City' / Italian: ',0.01220703125,0.0625,False,1,1.476731538772583,1.4219269752502441,-0.05480456352233887,0.0010090284049510956
L0.H0,12,Answer with an Italian word. English: 'Fruit' / Italian: ',0.00390625,0.015625,False,1,1.5604846477508545,1.5295964479446411,-0.03088819980621338,0.0007949816063046455
L0.H0,13,Answer with an Italian word. English: 'Ten' / Italian: ',0.00439453125,0.078125,False,1,3.886892795562744,3.832833766937256,-0.05405902862548828,0.0018575917929410934
L0.H0,14,Answer with an Italian word. English: 'Water' / Italian: ',-0.0166015625,-0.1015625,False,1,2.6321797370910645,2.661500930786133,0.02932119369506836,0.0010849364334717393
L0.H0,15,Answer with an Italian word. English: 'Death' / Italian: ',0.014404296875,0.046875,False,1,2.5070600509643555,2.412179946899414,-0.0948801040649414,0.0019503291696310043
L0.H0,16,Answer with an Italian word. English: 'Black' / Italian: ',0.01611328125,0.015625,False,1,3.6321487426757812,3.561474323272705,-0.07067441940307617,0.0014692647382616997
L0.H0,17,Answer with an Italian word. English: 'Bridge' / Italian: ',0.00433349609375,0.0390625,False,1,4.554144859313965,4.527691841125488,-0.026453018188476562,0.0016328934580087662
L0.H0,18,Answer with an Italian word. English: 'New' / Italian: ',0.00634765625,0.125,False,1,0.6301807761192322,0.5985044836997986,-0.031676292419433594,0.00046939682215452194
L0.H0,19,Answer with an Italian word. English: 'One' / Italian: ',-0.01123046875,-0.046875,False,1,3.084542751312256,3.0654964447021484,-0.019046306610107422,0.001292944885790348
L0.H0,20,Answer with an Italian word. English: 'Time' / Italian: ',0.00146484375,-0.03125,False,1,0.45764607191085815,0.4528403878211975,-0.0048056840896606445,0.0002280977787449956
L0.H0,21,Answer with an Italian word. English: 'Man' / Italian: ',0.020263671875,0.0625,False,1,2.036101818084717,1.9514150619506836,-0.0846867561340332,0.0015571803087368608
L0.H0,22,Answer with an Italian word. English: 'Good' / Italian: ',0.009765625,0.015625,False,1,1.394876480102539,1.361379861831665,-0.03349661827087402,0.00031886808574199677
L0.H0,23,Answer with an Italian word. English: 'Mountain' / Italian: ',0.002685546875,0.015625,False,1,2.7632570266723633,2.727760076522827,-0.03549695014953613,0.0006632343865931034
L0.H0,24,Answer with an Italian word. English: 'Dream' / Italian: ',0.007080078125,0.0234375,False,1,2.938425064086914,2.880547523498535,-0.057877540588378906,0.001038331538438797
L0.H0,25,Answer with an Italian word. English: 'Moon' / Italian: ',0.0089111328125,0.0546875,False,1,3.9355146884918213,3.8967227935791016,-0.03879189491271973,0.0007775352569296956
L0.H0,26,Answer with an Italian word. English: 'Stone' / Italian: ',0.0025634765625,-0.03125,False,1,4.44438362121582,4.423086166381836,-0.021297454833984375,0.0014906516298651695
L0.H0,27,Answer with an Italian word. English: 'Book' / Italian: ',0.00537109375,0.0,False,1,1.5907917022705078,1.5770994424819946,-0.013692259788513184,0.00019529035489540547
L0.H0,28,Answer with an Italian word. English: 'Peace' / Italian: ',0.01416015625,0.015625,False,1,2.834904193878174,2.7681167125701904,-0.0667874813079834,0.0016968827694654465
L0.H0,29,Answer with an Italian word. English: 'Star' / Italian: ',0.0068359375,0.03125,False,1,1.9817478656768799,1.9398096799850464,-0.041938185691833496,0.00091732939472422
L0.H0,30,Answer with an Italian word. English: 'Love' / Italian: ',0.0146484375,0.03125,False,1,2.1674513816833496,2.125509023666382,-0.04194235801696777,0.0017752377316355705
L0.H0,31,Answer with an Italian word. English: 'Ship' / Italian: ',0.020263671875,0.078125,False,1,3.1391825675964355,3.0312438011169434,-0.10793876647949219,0.002045478206127882
L0.H0,32,Answer with an Italian word. English: 'Flower' / Italian: ',-0.0009765625,0.0,False,1,3.1961560249328613,3.186122417449951,-0.010033607482910156,0.00048795132897794247
L0.H0,33,Answer with an Italian word. English: 'Sun' / Italian: ',0.0048828125,0.03125,False,1,0.8965229988098145,0.8593693375587463,-0.037153661251068115,0.0006634623277932405
L0.H0,34,Answer with an Italian word. English: 'Forest' / Italian: ',0.01708984375,0.03125,False,1,2.2959790229797363,2.2402610778808594,-0.05571794509887695,0.0008200641022995114
L0.H0,35,Answer with an Italian word. English: 'Table' / Italian: ',-0.02734375,-0.0625,False,1,1.6789276599884033,1.7161345481872559,0.03720688819885254,0.0017763104988262057
L0.H0,36,Answer with an Italian word. English: 'King' / Italian: ',0.01611328125,0.125,False,1,1.039681077003479,0.9390521049499512,-0.10062897205352783,0.0018023948650807142
L0.H0,37,Answer with an Italian word. English: 'Life' / Italian: ',0.001953125,0.09375,False,1,1.434029221534729,1.374342441558838,-0.05968677997589111,0.0018729763105511665
L0.H0,38,Answer with an Italian word. English: 'War' / Italian: ',0.007080078125,-0.0390625,False,1,2.417841911315918,2.4385335445404053,0.020691633224487305,0.0008919599931687117
L0.H0,39,Answer with an Italian word. English: 'Father' / Italian: ',0.004150390625,0.0,False,1,2.9594430923461914,2.9371378421783447,-0.02230525016784668,0.0012511503882706165
L0.H1,0,Answer with an Italian word. English: 'Eye' / Italian: ',0.000244140625,-0.03125,False,1,2.099027395248413,2.1208035945892334,0.021776199340820312,-7.674156222492456e-06
L0.H1,1,Answer with an Italian word. English: 'Two' / Italian: ',0.0,-0.015625,False,1,0.9124267101287842,0.9120414853096008,-0.0003852248191833496,-2.0421925000846386e-05
L0.H1,2,Answer with an Italian word. English: 'Hand' / Italian: ',0.001220703125,0.0,False,1,4.211555004119873,4.203919887542725,-0.0076351165771484375,0.0006384124280884862
L0.H1,3,Answer with an Italian word. English: 'Light' / Italian: ',-0.00439453125,-0.0078125,False,1,3.1502575874328613,3.1709561347961426,0.02069854736328125,0.0002300684864167124
L0.H1,4,Answer with an Italian word. English: 'World' / Italian: ',-0.00146484375,0.015625,False,1,1.9956061840057373,1.9829285144805908,-0.012677669525146484,0.00038976463838480413
L0.H1,5,Answer with an Italian word. English: 'Road' / Italian: ',-0.0059814453125,-0.015625,False,1,3.516450881958008,3.5187184810638428,0.002267599105834961,0.00047548534348607063
L0.H1,6,Answer with an Italian word. English: 'Year' / Italian: ',0.02099609375,0.078125,False,1,1.228502631187439,1.17577064037323,-0.052731990814208984,0.0008890598546713591
L0.H1,7,Answer with an Italian word. English: 'Bread' / Italian: ',-0.00244140625,-0.0078125,False,1,3.3623809814453125,3.358347177505493,-0.004033803939819336,0.00039208398084156215
L0.H1,8,Answer with an Italian word. English: 'Dog' / Italian: ',-0.01123046875,-0.0546875,False,1,3.4576001167297363,3.5240156650543213,0.06641554832458496,0.0008286606171168387
L0.H1,9,Answer with an Italian word. English: 'Door' / Italian: ',-0.0029296875,-0.015625,False,1,1.514739751815796,1.5321593284606934,0.01741957664489746,0.0003203904489055276
L0.H1,10,Answer with an Italian word. English: 'Mother' / Italian: ',-0.0087890625,-0.015625,False,1,1.641364336013794,1.6645309925079346,0.023166656494140625,0.00021960781305097044
L0.H1,11,Answer with an Italian word. English: 'City' / Italian: ',-0.0029296875,-0.03125,False,1,1.476731538772583,1.4926754236221313,0.01594388484954834,0.00031835795380175114
L0.H1,12,Answer with an Italian word. English: 'Fruit' / Italian: ',-0.00537109375,-0.015625,False,1,1.5604846477508545,1.5770621299743652,0.016577482223510742,8.201552554965019e-05
L0.H1,13,Answer with an Italian word. English: 'Ten' / Italian: ',-0.00152587890625,-0.015625,False,1,3.886892795562744,3.886667490005493,-0.00022530555725097656,0.0003675140906125307
L0.H1,14,Answer with an Italian word. English: 'Water' / Italian: ',0.0078125,0.0234375,False,1,2.6321797370910645,2.637815475463867,0.005635738372802734,0.000365293089998886
L0.H1,15,Answer with an Italian word. English: 'Death' / Italian: ',-0.00732421875,-0.03125,False,1,2.5070600509643555,2.5433053970336914,0.03624534606933594,0.0002986183390021324
L0.H1,16,Answer with an Italian word. English: 'Black' / Italian: ',0.0029296875,0.0234375,False,1,3.6321487426757812,3.6188085079193115,-0.013340234756469727,0.0007078768685460091
L0.H1,17,Answer with an Italian word. English: 'Bridge' / Italian: ',0.00115966796875,0.0078125,False,1,4.554144859313965,4.5649895668029785,0.010844707489013672,0.00024740758817642927
L0.H1,18,Answer with an Italian word. English: 'New' / Italian: ',-0.00390625,-0.03125,False,1,0.6301807761192322,0.6460597515106201,0.01587897539138794,0.0002637617290019989
L0.H1,19,Answer with an Italian word. English: 'One' / Italian: ',0.017822265625,0.0625,False,1,3.084542751312256,3.052891492843628,-0.03165125846862793,0.001088464166969061
L0.H1,20,Answer with an Italian word. English: 'Time' / Italian: ',-0.00341796875,-0.0625,False,1,0.45764607191085815,0.4770970344543457,0.01945096254348755,0.00010656433005351573
L0.H1,21,Answer with an Italian word. English: 'Man' / Italian: ',0.001708984375,0.015625,False,1,2.036101818084717,2.0252134799957275,-0.010888338088989258,9.158759348792955e-05
L0.H1,22,Answer with an Italian word. English: 'Good' / Italian: ',0.00048828125,0.03125,False,1,1.394876480102539,1.3878326416015625,-0.0070438385009765625,0.00014471978647634387
L0.H1,23,Answer with an Italian word. English: 'Mountain' / Italian: ',-0.00390625,-0.03125,False,1,2.7632570266723633,2.7854952812194824,0.02223825454711914,0.000102074263850227
L0.H1,24,Answer with an Italian word. English: 'Dream' / Italian: ',0.0009765625,0.03125,False,1,2.938425064086914,2.914726495742798,-0.02369856834411621,0.0002550341887399554
L0.H1,25,Answer with an Italian word. English: 'Moon' / Italian: ',-0.0018310546875,-0.0234375,False,1,3.9355146884918213,3.969456434249878,0.03394174575805664,0.0007010604022070765
