head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,40,-0.14186325073242187,0.975,0.175,-0.7419921875,1,0.9359813928604126,0.16050750780850648
L11.H3,40,-0.09142913818359374,0.95,0.15,-0.4349609375,1,0.4821381583809853,0.06164243980310857
L19.H13,40,-0.0578521728515625,0.75,0.15,-0.3919921875,1,0.25730628073215484,0.06882580233504995
L13.H11,40,-0.05729331970214844,0.75,0.175,-0.00625,2,0.20063127726316451,0.12423479263670742
L13.H12,40,-0.048309326171875,0.825,0.05,-0.35,1,0.3138395294547081,0.03666476933285594
L22.H2,40,-0.0447113037109375,0.875,0.05,-0.4529296875,1,0.25276733189821243,0.02718734088994097
L11.H1,40,-0.0410614013671875,0.8,0.075,-0.25859375,1,0.2673717960715294,0.037598858773708346
L11.H11,40,-0.0353485107421875,0.775,0.05,-0.1287109375,1,0.19737950935959817,0.020547966926824302
L8.H8,40,-0.02667388916015625,0.85,0.075,-0.116796875,1,0.16851633042097092,0.010498498746892437
L13.H15,40,-0.02505340576171875,0.7,0.075,-0.1330078125,1,0.13299606665968894,0.020156008715275675
L14.H5,40,-0.02477569580078125,0.7,0.125,-0.13984375,1,0.16054861769080161,0.055924774413870185
L10.H4,40,-0.0204345703125,0.775,0.05,-0.1248046875,1,0.13637240156531333,0.008615335042122751
L11.H6,40,-0.02014312744140625,0.675,0.0,-0.111328125,1,0.15031144618988038,0.013783765613334253
L13.H0,40,-0.016619873046875,0.65,0.0,-0.1470703125,1,0.12233369946479797,0.017393497310695238
L12.H8,40,-0.01651153564453125,0.675,0.1,-0.075390625,1,0.12352237328886986,0.017816634173505007
L10.H11,40,-0.0161834716796875,0.75,0.025,-0.0400390625,1,0.07136293202638626,0.009574209799757228
L11.H14,40,-0.0154937744140625,0.875,0.0,-0.059765625,1,0.09694909602403641,0.004044392163632437
L4.H4,40,-0.01526336669921875,0.9,0.025,-0.0390625,1,0.09523211419582367,0.003843043468077667
L9.H3,40,-0.0148468017578125,0.9,0.0,-0.0630859375,1,0.08953859359025955,0.0035742688036407345
L22.H0,40,-0.01400146484375,0.625,0.075,-0.10390625,1,0.09214458614587784,0.023085890657966956
L0.H11,40,-0.01219024658203125,0.825,0.025,-0.0626953125,1,0.08350739032030105,0.00336446269066073
L17.H2,40,-0.01201171875,0.575,0.025,0.01015625,1,0.0036661960184574127,0.018490060724434442
L17.H11,40,-0.01144866943359375,0.675,0.025,-0.0423828125,1,0.07290856465697289,0.009498004803026561
L12.H14,40,-0.0114044189453125,0.8,0.15,-0.1673828125,1,0.05636911243200302,0.02270912825479172
L7.H2,40,-0.01097412109375,0.7,0.025,-0.0326171875,1,0.0708838552236557,0.003179315147281159
L9.H11,40,-0.010772705078125,0.775,0.0,-0.04609375,1,0.06439804285764694,0.003136172110680491
L10.H9,40,-0.01051025390625,0.75,0.025,-0.0736328125,1,0.07095474526286125,0.006222644745139405
L8.H2,40,-0.010400390625,0.75,0.05,-0.065234375,1,0.052969837188720705,0.005308765490190126
L13.H6,40,-0.0100006103515625,0.6,0.025,-0.1119140625,1,0.07744146436452866,0.01637243956211023
L14.H4,40,-0.0099273681640625,0.575,0.05,-0.071484375,1,0.054283277690410615,0.01331188016338274
L16.H0,40,-0.00955047607421875,0.6,0.0,-0.06171875,1,0.05235130488872528,0.011077362151991111
L23.H13,40,-0.0094207763671875,0.725,0.05,-0.0736328125,1,0.050984007120132444,0.004080729885026812
L5.H9,40,-0.00937957763671875,0.725,0.025,-0.0546875,1,0.07484089434146882,0.002249974213555106
L10.H14,40,-0.00916595458984375,0.75,0.05,-0.004296875,1,0.05165004283189774,0.004500038507103454
L16.H6,40,-0.00865478515625,0.5,0.075,-0.0330078125,1,0.11129629388451576,0.02152692608142388
L15.H10,40,-0.00833282470703125,0.55,0.025,0.0658203125,1,0.04602809399366379,0.01468471052357927
L12.H5,40,-0.0078765869140625,0.65,0.05,-0.0703125,1,0.018530317395925523,0.01658734698430635
L16.H12,40,-0.0078704833984375,0.575,0.075,-0.0150390625,1,0.017720094323158263,0.013529882370494305
L15.H5,40,-0.0077178955078125,0.6,0.05,-0.0248046875,1,0.04446787312626839,0.003567958259372972
L21.H10,40,-0.00745086669921875,0.45,0.0,-0.0451171875,1,0.05277438461780548,0.003519288430470624
L4.H11,40,-0.00741119384765625,0.625,0.025,0.0064453125,1,0.05374695658683777,0.002912159726838581
L4.H0,40,-0.0073577880859375,0.825,0.025,-0.03359375,1,0.04744461327791214,0.0008926601229177322
L9.H15,40,-0.0073455810546875,0.775,0.0,-0.055078125,1,0.052820111811161044,0.0013410191553703044
L9.H1,40,-0.007281494140625,0.825,0.0,-0.0390625,1,0.048432616889476775,0.0009386783454829129
L16.H15,40,-0.00713348388671875,0.5,0.025,-0.0556640625,1,0.032134126871824265,0.004580359030660475
L14.H1,40,-0.0069671630859375,0.6,0.025,-0.080078125,1,0.04464658945798874,0.0048178159922827035
L1.H3,40,-0.006854248046875,0.7,0.0,-0.00625,1,0.04882050901651382,0.0016876700337888906
L8.H5,40,-0.00679779052734375,0.6,0.025,-0.00703125,1,0.06232660934329033,0.005758098179649096
