head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L9.H2,42,-0.2503269740513393,0.9761904761904762,0.19047619047619047,-1.7665550595238095,1,1.684781334229878,0.38439407235100154
L11.H3,42,-0.09713309151785714,0.8571428571428571,0.11904761904761904,-0.6060267857142857,1,0.5849487639608837,0.08322243427946455
L13.H11,42,-0.07932390485491071,0.7380952380952381,0.16666666666666666,-0.43266369047619047,1,0.4340900991644178,0.09650183446882736
L11.H1,42,-0.05870128813244048,0.9523809523809523,0.047619047619047616,-0.32533482142857145,1,0.39175031724430265,0.03832494043966844
L13.H12,42,-0.05478050595238095,0.9047619047619048,0.07142857142857142,-0.43005952380952384,1,0.36773707611220224,0.03453394520052132
L14.H5,42,-0.052830287388392856,0.6428571428571429,0.07142857142857142,-0.26004464285714285,1,0.3175766297749111,0.06926981561506788
L11.H11,42,-0.04637363978794643,0.9047619047619048,0.07142857142857142,-0.2457217261904762,1,0.27430069304647897,0.023789465782188234
L8.H8,42,-0.04543486095610119,0.8809523809523809,0.0,-0.27306547619047616,1,0.3068703625883375,0.016715756650748
L12.H8,42,-0.04020763578869048,0.8095238095238095,0.09523809523809523,-0.16499255952380953,1,0.254382624512627,0.029899879863175254
L12.H14,42,-0.032132103329613096,0.9285714285714286,0.11904761904761904,-0.23642113095238096,1,0.08030312543823606,0.020658807801304475
L22.H2,42,-0.03151012602306548,0.7619047619047619,0.047619047619047616,-0.28738839285714285,1,0.17899109068371,0.018020915017197176
L11.H6,42,-0.030366443452380952,0.8333333333333334,0.0,-0.18601190476190477,1,0.210983388480686,0.016024357037773978
L19.H13,42,-0.02858334495907738,0.6190476190476191,0.14285714285714285,-0.1480654761904762,1,0.07452714443206787,0.03330507036021334
L13.H2,42,-0.028111049107142856,0.7380952380952381,0.07142857142857142,-0.16313244047619047,1,0.19021427489462353,0.028332064515866694
L8.H2,42,-0.025845482235863096,0.8571428571428571,0.07142857142857142,-0.13411458333333334,1,0.1190989939939408,0.008027893341412502
L10.H4,42,-0.025479271298363096,0.8333333333333334,0.07142857142857142,-0.18136160714285715,1,0.18144325841040837,0.009796981805092878
L13.H15,42,-0.024062383742559524,0.7857142857142857,0.023809523809523808,-0.16889880952380953,1,0.17439064525422596,0.01724831173972537
L10.H9,42,-0.02329653785342262,0.8571428571428571,0.0,-0.14769345238095238,1,0.12592498887152898,0.007807682700721281
L17.H11,42,-0.02307855515252976,0.7857142857142857,0.11904761904761904,-0.11049107142857142,1,0.11960625222751073,0.01087219362878906
L4.H4,42,-0.022628057570684524,0.8333333333333334,0.023809523809523808,-0.0896577380952381,1,0.15264024904796056,0.0051670495013240725
L9.H13,42,-0.021340506417410716,0.8095238095238095,0.0,-0.12406994047619048,1,0.10220062590780712,0.00417556794681808
L23.H13,42,-0.021153041294642856,0.7619047619047619,0.047619047619047616,-0.14434523809523808,1,0.10300016687029884,0.006039364519806224
L13.H0,42,-0.018790108816964284,0.6190476190476191,0.11904761904761904,-0.10863095238095238,1,0.07067902315230597,0.02537865161762706
L16.H6,42,-0.01859247116815476,0.5952380952380952,0.023809523809523808,-0.05226934523809524,1,0.12093017640567962,0.015101841796075903
L13.H9,42,-0.01655215308779762,0.7380952380952381,0.07142857142857142,-0.13448660714285715,1,0.061156658899216426,0.007159004747379748
L7.H2,42,-0.016514369419642856,0.8333333333333334,0.0,-0.09058779761904762,1,0.11291952076412383,0.0033045560648176995
L15.H10,42,-0.015752883184523808,0.7142857142857143,0.023809523809523808,-0.09077380952380952,1,0.10387195717720758,0.012762964886081005
L11.H14,42,-0.014899844215029762,0.8809523809523809,0.0,-0.10286458333333333,1,0.10483657746087938,0.003446699849432445
L5.H9,42,-0.014584495907738096,0.8571428571428571,0.0,-0.07849702380952381,1,0.09918679509844099,0.002235138852570561
L8.H9,42,-0.014524913969494048,0.8333333333333334,0.023809523809523808,-0.10007440476190477,1,0.07004511214437939,0.00411443230474279
L11.H8,42,-0.013523646763392858,0.7619047619047619,0.047619047619047616,-0.056919642857142856,1,0.05508637995946975,0.004485328633953551
L0.H11,42,-0.01279267810639881,0.7857142857142857,0.0,-0.08314732142857142,1,0.07384853277887617,0.0027066453337846767
L15.H13,42,-0.012709844680059524,0.5,0.0,-0.05673363095238095,1,0.0662643171492077,0.016178594049311608
L1.H3,42,-0.011749267578125,0.8095238095238095,0.023809523809523808,-0.04892113095238095,1,0.08164069198426746,0.0018710193440451153
L2.H7,42,-0.011711483909970238,0.9047619047619048,0.0,-0.06566220238095238,1,0.05535246077037993,0.0017524362732988916
